Time,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0147,0.1438,0.4958,0.3578,0.4205,0.3891,0.6295,0.6841,0.6568,0.5944,0.6612,0.6278
0.1,-0.0252,0.1301,0.5337,0.371,0.4532,0.4121,0.6166,0.705,0.6608,0.6081,0.6795,0.6438
0.2,-0.0379,0.1252,0.568,0.3871,0.491,0.439,0.6024,0.7241,0.6633,0.6191,0.6927,0.6559
0.3,-0.0514,0.1295,0.5987,0.406,0.5324,0.4692,0.5881,0.7416,0.6648,0.6272,0.7006,0.6639
0.4,-0.0652,0.1431,0.6256,0.4276,0.5769,0.5023,0.5744,0.7579,0.6661,0.6329,0.7033,0.6681
0.5,-0.0792,0.1654,0.6483,0.4512,0.624,0.5376,0.562,0.7734,0.6677,0.6368,0.7011,0.669
0.6,-0.0947,0.1954,0.6662,0.4755,0.6731,0.5743,0.5511,0.7888,0.6699,0.6395,0.6945,0.667
0.7,-0.1135,0.2317,0.6793,0.4997,0.7235,0.6116,0.5417,0.8046,0.6732,0.6413,0.6845,0.6629
0.8,-0.1369,0.2722,0.6877,0.5232,0.774,0.6486,0.5348,0.8216,0.6782,0.6428,0.6721,0.6574
0.9,-0.1652,0.3149,0.6915,0.546,0.8233,0.6846,0.531,0.8399,0.6855,0.6442,0.6585,0.6513
1,-0.1964,0.3577,0.6909,0.5675,0.8694,0.7184,0.5305,0.8589,0.6947,0.6452,0.6443,0.6448
1.1,-0.2279,0.3979,0.6867,0.5862,0.9103,0.7483,0.5324,0.8778,0.7051,0.6457,0.63,0.6378
1.2,-0.2576,0.4335,0.6798,0.6013,0.9442,0.7728,0.536,0.8958,0.7159,0.6457,0.6156,0.6306
1.3,-0.2837,0.464,0.6713,0.6132,0.9707,0.792,0.5412,0.9128,0.727,0.6455,0.6015,0.6235
