Time,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC,eBay - Who is Karen 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4417,0.6013,0.5136,0.2788,0.337,0.3079,0.6097,0.9088,0.7592,0.7183,0.734,0.7262
0.1,0.4402,0.5975,0.5153,0.2918,0.3332,0.3125,0.5978,0.8858,0.7418,0.7328,0.7404,0.7366
0.2,0.4387,0.5922,0.5172,0.3052,0.3296,0.3174,0.584,0.8627,0.7233,0.7453,0.7463,0.7458
0.3,0.4368,0.5847,0.5193,0.3182,0.3257,0.322,0.5699,0.8406,0.7053,0.7559,0.7519,0.7539
0.4,0.4329,0.5745,0.5218,0.3298,0.3212,0.3255,0.5569,0.8201,0.6885,0.7644,0.7574,0.7609
0.5,0.4246,0.5614,0.5254,0.3389,0.3163,0.3276,0.5455,0.8014,0.6734,0.7708,0.7633,0.767
0.6,0.4101,0.5464,0.5303,0.3456,0.3116,0.3286,0.5361,0.7842,0.6602,0.7747,0.7698,0.7722
0.7,0.3897,0.5307,0.5369,0.3506,0.3079,0.3292,0.5293,0.7688,0.649,0.7765,0.7772,0.7768
0.8,0.3649,0.5157,0.5449,0.3548,0.3055,0.3301,0.5256,0.7556,0.6406,0.777,0.7854,0.7812
0.9,0.3375,0.5023,0.5545,0.3586,0.3044,0.3315,0.5255,0.7451,0.6353,0.7769,0.7946,0.7858
1,0.3085,0.491,0.5654,0.3624,0.3045,0.3335,0.5293,0.7373,0.6333,0.7766,0.8048,0.7907
1.1,0.2792,0.4822,0.5774,0.3661,0.3053,0.3357,0.5366,0.7319,0.6343,0.7762,0.8156,0.7959
1.2,0.2512,0.4762,0.5894,0.3699,0.3061,0.338,0.5468,0.7292,0.638,0.7756,0.8269,0.8012
1.3,0.2264,0.4728,0.6005,0.3736,0.3064,0.34,0.5595,0.7291,0.6443,0.7745,0.838,0.8063
1.4,0.2057,0.4717,0.6106,0.3772,0.3061,0.3417,0.5747,0.7316,0.6531,0.773,0.8483,0.8107
1.5,0.1899,0.4729,0.6206,0.3814,0.3058,0.3436,0.5925,0.7362,0.6643,0.7712,0.8575,0.8143
1.6,0.1785,0.4765,0.6315,0.3866,0.3063,0.3464,0.6123,0.7425,0.6774,0.7691,0.8659,0.8175
1.7,0.1717,0.4825,0.6437,0.3931,0.3076,0.3504,0.633,0.7495,0.6912,0.7667,0.8735,0.8201
1.8,0.1705,0.4903,0.6574,0.4007,0.3095,0.3551,0.6533,0.757,0.7052,0.7642,0.8805,0.8223
1.9,0.1759,0.4992,0.6728,0.4091,0.3111,0.3601,0.6733,0.7648,0.7191,0.7619,0.887,0.8244
2,0.188,0.5091,0.6895,0.4183,0.3122,0.3653,0.6934,0.7731,0.7333,0.7605,0.8927,0.8266
2.1,0.2063,0.5199,0.7069,0.4288,0.3123,0.3705,0.7148,0.7821,0.7484,0.7608,0.8978,0.8293
2.2,0.2302,0.5313,0.7249,0.4408,0.3107,0.3757,0.7378,0.7923,0.765,0.7631,0.903,0.8331
2.3,0.2594,0.5431,0.7437,0.4549,0.307,0.381,0.7616,0.8047,0.7832,0.7676,0.9088,0.8382
2.4,0.2927,0.5548,0.7643,0.4713,0.3018,0.3865,0.7853,0.8197,0.8025,0.7737,0.9157,0.8447
2.5,0.3274,0.5659,0.7872,0.4899,0.2963,0.3931,0.8073,0.8363,0.8218,0.7809,0.9232,0.852
2.6,0.3591,0.5758,0.8119,0.5107,0.2919,0.4013,0.8259,0.8525,0.8392,0.7879,0.9305,0.8592
2.7,0.3835,0.5838,0.837,0.5327,0.2895,0.4111,0.8393,0.8665,0.8529,0.794,0.9369,0.8655
2.8,0.3985,0.5892,0.8611,0.5548,0.2892,0.422,0.8461,0.877,0.8616,0.7987,0.9421,0.8704
2.9,0.405,0.5915,0.8833,0.5761,0.2911,0.4336,0.8462,0.8842,0.8652,0.802,0.9462,0.8741
3,0.4051,0.5905,0.9032,0.5958,0.2955,0.4457,0.8407,0.8892,0.865,0.8048,0.9496,0.8772
3.1,0.4009,0.587,0.9201,0.6136,0.303,0.4583,0.8312,0.8927,0.8619,0.8077,0.9528,0.8802
3.2,0.3932,0.5817,0.9332,0.63,0.3138,0.4719,0.8186,0.8948,0.8567,0.8112,0.9558,0.8835
