Time,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
20.9,-0.0454,0.5648,0.4973,0.5344,0.6817,0.6081,0.6512,0.6064,0.6288,0.752,0.7058,0.7289
21,-0.0366,0.564,0.4937,0.5359,0.6817,0.6088,0.6213,0.6047,0.613,0.7292,0.6742,0.7017
21.1,-0.0324,0.565,0.4926,0.5376,0.6834,0.6105,0.5943,0.6063,0.6003,0.7085,0.6455,0.677
21.2,-0.0332,0.5677,0.4945,0.5389,0.6867,0.6128,0.5712,0.6114,0.5913,0.691,0.6211,0.656
21.3,-0.0387,0.5722,0.4997,0.5394,0.6912,0.6153,0.5522,0.6197,0.5859,0.6767,0.6014,0.639
21.4,-0.0485,0.5774,0.5077,0.5385,0.6958,0.6171,0.537,0.6301,0.5835,0.6657,0.5861,0.6259
21.5,-0.0619,0.5826,0.5182,0.5361,0.7001,0.6181,0.526,0.6414,0.5837,0.6579,0.5755,0.6167
21.6,-0.0788,0.5872,0.5303,0.5327,0.7046,0.6186,0.5199,0.6534,0.5867,0.6539,0.5703,0.6121
21.7,-0.0993,0.5913,0.5435,0.5291,0.7101,0.6196,0.5193,0.6659,0.5926,0.6538,0.5706,0.6122
21.8,-0.1238,0.5955,0.5575,0.526,0.7172,0.6216,0.524,0.679,0.6015,0.6573,0.5759,0.6166
21.9,-0.1524,0.6002,0.5716,0.5235,0.7259,0.6247,0.5335,0.6922,0.6128,0.6634,0.5849,0.6241
22,-0.1845,0.6049,0.5855,0.5212,0.735,0.6281,0.5463,0.7046,0.6254,0.6707,0.5959,0.6333
22.1,-0.2189,0.609,0.5983,0.5189,0.7431,0.631,0.561,0.7147,0.6379,0.6785,0.6077,0.6431
22.2,-0.2544,0.6119,0.6097,0.5168,0.7501,0.6335,0.5766,0.7221,0.6494,0.686,0.6196,0.6528
22.3,-0.2901,0.6142,0.6194,0.5155,0.7563,0.6359,0.5923,0.7266,0.6594,0.6931,0.6312,0.6621
22.4,-0.3258,0.6167,0.6273,0.5156,0.7626,0.6391,0.6074,0.7287,0.668,0.6995,0.6421,0.6708
22.5,-0.3606,0.6206,0.6336,0.5178,0.7694,0.6436,0.6214,0.7292,0.6753,0.7048,0.6518,0.6783
22.6,-0.3935,0.6264,0.6382,0.5228,0.7769,0.6499,0.6345,0.7287,0.6816,0.7087,0.6599,0.6843
22.7,-0.4235,0.6338,0.6413,0.5308,0.7848,0.6578,0.6472,0.7274,0.6873,0.711,0.6667,0.6888
22.8,-0.4487,0.6423,0.6425,0.5416,0.7926,0.6671,0.6601,0.7252,0.6927,0.7116,0.6724,0.692
22.9,-0.4676,0.6513,0.6416,0.5552,0.7998,0.6775,0.6742,0.722,0.6981,0.7104,0.6771,0.6938
23,-0.4798,0.6602,0.6386,0.5717,0.8059,0.6888,0.6895,0.7178,0.7037,0.7072,0.6808,0.694
23.1,-0.4852,0.6687,0.6332,0.5906,0.8104,0.7005,0.7056,0.7125,0.7091,0.7018,0.6833,0.6925
23.2,-0.4839,0.6762,0.6257,0.6112,0.813,0.7121,0.7217,0.7059,0.7138,0.6942,0.6845,0.6894
23.3,-0.4764,0.6821,0.6157,0.6324,0.8134,0.7229,0.7369,0.698,0.7174,0.685,0.6844,0.6847
23.4,-0.4634,0.6856,0.6034,0.6527,0.8115,0.7321,0.7503,0.6886,0.7195,0.6743,0.683,0.6786
23.5,-0.4463,0.6862,0.5887,0.6709,0.8072,0.7391,0.7613,0.6782,0.7197,0.6625,0.6802,0.6713
23.6,-0.426,0.6839,0.5722,0.686,0.801,0.7435,0.7699,0.667,0.7185,0.6499,0.6767,0.6633
23.7,-0.4042,0.6787,0.5542,0.6971,0.7931,0.7451,0.7767,0.6557,0.7162,0.6373,0.673,0.6551
23.8,-0.3819,0.6705,0.535,0.7037,0.7839,0.7438,0.7822,0.6449,0.7135,0.6252,0.6699,0.6475
23.9,-0.3594,0.6594,0.5152,0.7054,0.7735,0.7395,0.7866,0.635,0.7108,0.6141,0.6675,0.6408
24,-0.3369,0.6455,0.4954,0.702,0.7621,0.732,0.7899,0.6266,0.7082,0.6043,0.6654,0.6348
24.1,-0.3144,0.6294,0.4764,0.6936,0.7502,0.7219,0.7919,0.6198,0.7058,0.5959,0.6631,0.6295
24.2,-0.292,0.6112,0.4592,0.6808,0.738,0.7094,0.7923,0.6149,0.7036,0.5886,0.6605,0.6245
24.3,-0.2695,0.5912,0.4445,0.6642,0.7258,0.695,0.7911,0.6118,0.7014,0.5823,0.6574,0.6198
24.4,-0.2467,0.5697,0.4323,0.6442,0.7135,0.6788,0.7878,0.61,0.6989,0.5764,0.6534,0.6149
24.5,-0.2235,0.5468,0.4221,0.6217,0.7006,0.6612,0.782,0.6087,0.6953,0.5702,0.6475,0.6089
24.6,-0.1997,0.5235,0.4128,0.5976,0.6871,0.6424,0.7733,0.6073,0.6903,0.563,0.6387,0.6009
24.7,-0.1755,0.5004,0.4043,0.573,0.6731,0.6231,0.7623,0.6056,0.684,0.5542,0.6267,0.5904
24.8,-0.1507,0.4788,0.3968,0.549,0.6588,0.6039,0.7497,0.604,0.6769,0.544,0.6114,0.5777
24.9,-0.1253,0.4592,0.3911,0.5259,0.6443,0.5851,0.7366,0.603,0.6698,0.5325,0.5932,0.5629
25,-0.0993,0.4423,0.3872,0.5032,0.6297,0.5665,0.7237,0.603,0.6633,0.5199,0.5721,0.546
25.1,-0.0733,0.4279,0.3848,0.4798,0.6147,0.5472,0.7108,0.6039,0.6574,0.5056,0.5475,0.5266
25.2,-0.0472,0.4162,0.3836,0.4547,0.599,0.5269,0.6974,0.6057,0.6516,0.4891,0.5188,0.504
25.3,-0.0207,0.4075,0.3836,0.4282,0.5828,0.5055,0.6829,0.608,0.6455,0.47,0.4856,0.4778
25.4,0.0071,0.4029,0.3851,0.4014,0.5666,0.484,0.6673,0.6104,0.6388,0.4488,0.4488,0.4488
25.5,0.0376,0.4037,0.3889,0.3756,0.5518,0.4637,0.6513,0.6129,0.6321,0.4269,0.4109,0.4189
25.6,0.0719,0.411,0.3953,0.3517,0.5398,0.4457,0.636,0.6161,0.626,0.4063,0.375,0.3907
25.7,0.1108,0.425,0.4045,0.3302,0.531,0.4306,0.6221,0.6201,0.6211,0.3889,0.3445,0.3667
25.8,0.1542,0.4445,0.4162,0.3109,0.5252,0.4181,0.6102,0.6241,0.6171,0.3754,0.3217,0.3485
25.9,0.2011,0.4679,0.4297,0.2941,0.5212,0.4077,0.6006,0.6271,0.6139,0.3657,0.3081,0.3369
26,0.2492,0.4935,0.4439,0.2803,0.5181,0.3992,0.5944,0.6286,0.6115,0.3599,0.3052,0.3325
26.1,0.2956,0.5203,0.4574,0.27,0.5156,0.3928,0.5926,0.6286,0.6106,0.3594,0.314,0.3367
26.2,0.3366,0.5477,0.469,0.2638,0.5139,0.3889,0.5959,0.6279,0.6119,0.3659,0.3347,0.3503
26.3,0.3691,0.5747,0.4777,0.2624,0.5137,0.388,0.604,0.627,0.6155,0.3801,0.3652,0.3727
26.4,0.3907,0.6001,0.483,0.2655,0.5148,0.3901,0.6161,0.6256,0.6209,0.4015,0.4014,0.4014
26.5,0.4005,0.6229,0.4837,0.2726,0.517,0.3948,0.6313,0.6234,0.6273,0.4286,0.4392,0.4339
26.6,0.3997,0.6423,0.4802,0.2836,0.5202,0.4019,0.6489,0.6206,0.6347,0.4602,0.4762,0.4682
26.7,0.3898,0.6583,0.4736,0.2984,0.5243,0.4114,0.6689,0.6181,0.6435,0.4956,0.5109,0.5033
26.8,0.372,0.6711,0.4656,0.317,0.5294,0.4232,0.6908,0.6169,0.6539,0.5339,0.5428,0.5384
26.9,0.348,0.681,0.4577,0.3388,0.5349,0.4369,0.7139,0.6172,0.6656,0.5737,0.5709,0.5723
27,0.3194,0.688,0.4503,0.3632,0.5403,0.4518,0.7369,0.6181,0.6775,0.6131,0.5938,0.6035
27.1,0.2876,0.6925,0.4437,0.3894,0.5453,0.4673,0.7577,0.619,0.6884,0.6501,0.6107,0.6304
27.2,0.2537,0.695,0.4382,0.4166,0.5502,0.4834,0.7744,0.6199,0.6972,0.6834,0.6212,0.6523
27.3,0.2183,0.6961,0.4343,0.4442,0.5556,0.4999,0.7861,0.6212,0.7036,0.7119,0.626,0.669
27.4,0.1825,0.6958,0.4322,0.471,0.5616,0.5163,0.7922,0.623,0.7076,0.7351,0.6259,0.6805
27.5,0.1477,0.6941,0.4317,0.4964,0.5674,0.5319,0.7932,0.625,0.7091,0.7526,0.6213,0.687
27.6,0.1158,0.6912,0.4318,0.5202,0.5725,0.5463,0.79,0.6267,0.7084,0.7647,0.6128,0.6887
27.7,0.0877,0.688,0.432,0.543,0.5774,0.5602,0.7838,0.6284,0.7061,0.7721,0.6012,0.6866
27.8,0.0635,0.6855,0.4322,0.5657,0.5834,0.5746,0.7753,0.6305,0.7029,0.7757,0.5875,0.6816
27.9,0.0429,0.6849,0.4331,0.5887,0.5913,0.59,0.7651,0.6333,0.6992,0.7761,0.5727,0.6744
28,0.0248,0.6861,0.4352,0.6117,0.6011,0.6064,0.7532,0.6368,0.695,0.7739,0.5576,0.6658
28.1,0.008,0.688,0.4393,0.6338,0.6124,0.6231,0.7398,0.6403,0.6901,0.7697,0.543,0.6564
28.2,-0.009,0.6896,0.4456,0.654,0.6245,0.6392,0.7251,0.6436,0.6843,0.7643,0.5301,0.6472
28.3,-0.0273,0.6904,0.4546,0.6715,0.6373,0.6544,0.7093,0.6465,0.6779,0.759,0.5204,0.6397
28.4,-0.048,0.6904,0.4666,0.6858,0.6513,0.6685,0.6929,0.6496,0.6712,0.7547,0.5154,0.635
28.5,-0.0718,0.6899,0.4815,0.697,0.6669,0.682,0.676,0.6528,0.6644,0.7521,0.5156,0.6339
28.6,-0.0981,0.689,0.4993,0.7058,0.6843,0.6951,0.6594,0.6562,0.6578,0.7515,0.5211,0.6363
28.7,-0.1256,0.6878,0.5196,0.713,0.703,0.708,0.6436,0.6591,0.6514,0.753,0.5317,0.6423
28.8,-0.1525,0.6858,0.5422,0.7187,0.7224,0.7205,0.6297,0.6611,0.6454,0.7567,0.5471,0.6519
28.9,-0.1778,0.6822,0.5666,0.7223,0.7413,0.7318,0.6184,0.6621,0.6403,0.7623,0.5668,0.6645
29,-0.2013,0.6764,0.5921,0.7231,0.759,0.741,0.6098,0.6618,0.6358,0.7688,0.5895,0.6791
29.1,-0.2233,0.6683,0.6178,0.7205,0.7751,0.7478,0.6035,0.66,0.6318,0.7748,0.6139,0.6943
29.2,-0.2447,0.6581,0.6431,0.7147,0.7899,0.7523,0.5996,0.657,0.6283,0.7793,0.6387,0.709
29.3,-0.2655,0.6467,0.6676,0.7066,0.8043,0.7555,0.5986,0.6534,0.626,0.7818,0.6635,0.7227
29.4,-0.2857,0.6347,0.6905,0.697,0.8191,0.758,0.601,0.6497,0.6254,0.7831,0.6885,0.7358
29.5,-0.3041,0.6226,0.7112,0.6863,0.8343,0.7603,0.6072,0.6459,0.6265,0.783,0.7135,0.7483
29.6,-0.3192,0.6102,0.7292,0.6755,0.8496,0.7625,0.6164,0.6416,0.629,0.7808,0.7376,0.7592
29.7,-0.3291,0.597,0.7439,0.665,0.8642,0.7646,0.6279,0.6369,0.6324,0.7751,0.7597,0.7674
29.8,-0.3327,0.5829,0.7557,0.6554,0.8774,0.7664,0.6412,0.6328,0.637,0.7649,0.7795,0.7722
29.9,-0.3295,0.5683,0.7645,0.6471,0.8886,0.7679,0.656,0.6306,0.6433,0.7503,0.7974,0.7738
