Time,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.6,-0.0068,0.7423,0.7413,0.7028,0.634,0.6684,0.5995,0.6254,0.6125,0.7769,0.6762,0.7265
4.7,0.0061,0.7508,0.7407,0.6935,0.6451,0.6693,0.5799,0.6332,0.6065,0.7642,0.6562,0.7102
4.8,0.0232,0.7587,0.7362,0.6822,0.6578,0.67,0.5601,0.6416,0.6009,0.7513,0.6349,0.6931
4.9,0.0425,0.7651,0.7283,0.669,0.6723,0.6706,0.5405,0.6504,0.5955,0.7382,0.613,0.6756
5,0.0627,0.7694,0.7175,0.6543,0.6881,0.6712,0.5216,0.659,0.5903,0.7251,0.5911,0.6581
5.1,0.0837,0.7709,0.7042,0.6388,0.7041,0.6715,0.5039,0.6667,0.5853,0.7123,0.5701,0.6412
5.2,0.1054,0.7699,0.6887,0.6236,0.7195,0.6716,0.4882,0.6723,0.5802,0.7001,0.551,0.6256
5.3,0.1276,0.7664,0.6713,0.609,0.7339,0.6715,0.4749,0.675,0.575,0.6887,0.5346,0.6117
5.4,0.1494,0.7602,0.6525,0.5946,0.7469,0.6708,0.4645,0.674,0.5692,0.6784,0.5212,0.5998
5.5,0.1701,0.7514,0.633,0.5803,0.758,0.6692,0.4573,0.6691,0.5632,0.6693,0.5112,0.5902
5.6,0.19,0.7405,0.614,0.5671,0.7663,0.6667,0.4536,0.6609,0.5573,0.6618,0.5047,0.5832
5.7,0.2102,0.7283,0.597,0.5561,0.7716,0.6639,0.4536,0.6507,0.5521,0.6563,0.502,0.5791
5.8,0.2312,0.7165,0.583,0.5483,0.774,0.6611,0.4571,0.6395,0.5483,0.6534,0.503,0.5782
5.9,0.2524,0.7067,0.5721,0.5437,0.774,0.6588,0.4639,0.6283,0.5461,0.6533,0.5071,0.5802
6,0.2731,0.7,0.5646,0.542,0.7725,0.6573,0.4735,0.6176,0.5456,0.6557,0.5139,0.5848
6.1,0.2929,0.697,0.5607,0.5432,0.7703,0.6567,0.4858,0.6081,0.5469,0.6604,0.523,0.5917
