Time,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.1397,0.5446,0.3124,0.6038,0.7861,0.6949,0.8118,0.5866,0.6992,0.5661,0.3658,0.4659
4.6,0.1353,0.5351,0.3561,0.5891,0.7821,0.6856,0.8324,0.6073,0.7198,0.5748,0.3875,0.4812
4.7,0.1239,0.5241,0.3993,0.573,0.7745,0.6738,0.8504,0.6308,0.7406,0.5834,0.4064,0.4949
4.8,0.1062,0.5118,0.4408,0.5561,0.7633,0.6597,0.8651,0.6568,0.7609,0.5915,0.4229,0.5072
4.9,0.084,0.4991,0.4794,0.5392,0.7489,0.6441,0.8756,0.6846,0.7801,0.599,0.4371,0.518
5,0.0583,0.487,0.5144,0.5228,0.7321,0.6275,0.8817,0.713,0.7973,0.6064,0.4491,0.5277
5.1,0.0309,0.4764,0.5459,0.507,0.714,0.6105,0.8837,0.7413,0.8125,0.6145,0.4591,0.5368
5.2,0.0046,0.468,0.5738,0.4927,0.6958,0.5942,0.8823,0.7691,0.8257,0.6239,0.4679,0.5459
5.3,-0.0179,0.4635,0.5982,0.4816,0.6795,0.5805,0.8784,0.7959,0.8371,0.6349,0.4766,0.5558
5.4,-0.0353,0.4639,0.6196,0.4751,0.667,0.5711,0.8728,0.8218,0.8473,0.6474,0.4858,0.5666
5.5,-0.0486,0.4689,0.639,0.4733,0.6597,0.5665,0.8664,0.8469,0.8566,0.6613,0.496,0.5787
5.6,-0.0586,0.4768,0.6571,0.4755,0.6572,0.5664,0.8594,0.8709,0.8651,0.6761,0.5072,0.5917
5.7,-0.065,0.4862,0.6739,0.4811,0.659,0.57,0.8518,0.893,0.8724,0.6916,0.5195,0.6055
5.8,-0.067,0.4966,0.6889,0.49,0.6643,0.5772,0.8436,0.912,0.8778,0.7075,0.533,0.6203
5.9,-0.0653,0.5076,0.7015,0.5025,0.6729,0.5877,0.8345,0.9267,0.8806,0.7237,0.5481,0.6359
6,-0.0624,0.5186,0.7117,0.5176,0.684,0.6008,0.8246,0.9367,0.8807,0.7397,0.5652,0.6524
6.1,-0.0598,0.5286,0.7195,0.5335,0.6966,0.6151,0.8141,0.9421,0.8781,0.7554,0.5844,0.6699
6.2,-0.0561,0.5371,0.7248,0.549,0.7096,0.6293,0.8031,0.9431,0.8731,0.7703,0.6058,0.688
6.3,-0.0491,0.5447,0.7283,0.5638,0.7223,0.643,0.7916,0.94,0.8658,0.7837,0.6286,0.7061
6.4,-0.038,0.5518,0.7306,0.5777,0.7341,0.6559,0.7803,0.9333,0.8568,0.7948,0.6514,0.7231
6.5,-0.0242,0.5582,0.7328,0.5907,0.7445,0.6676,0.7699,0.9237,0.8468,0.8031,0.6729,0.738
6.6,-0.0098,0.564,0.7362,0.6021,0.7533,0.6777,0.7613,0.9119,0.8366,0.8083,0.6927,0.7505
6.7,0.0042,0.5694,0.7418,0.6118,0.7605,0.6862,0.7551,0.8986,0.8269,0.8108,0.7111,0.7609
6.8,0.0171,0.5746,0.749,0.62,0.7658,0.6929,0.7516,0.8843,0.8179,0.8114,0.7276,0.7695
6.9,0.0276,0.5794,0.7564,0.6266,0.7685,0.6976,0.7509,0.8695,0.8102,0.811,0.7419,0.7765
7,0.0344,0.584,0.763,0.6313,0.7681,0.6997,0.7536,0.8548,0.8042,0.8102,0.7538,0.782
7.1,0.0363,0.5883,0.7676,0.6339,0.7645,0.6992,0.7596,0.8408,0.8002,0.8089,0.7632,0.7861
7.2,0.0328,0.5926,0.7699,0.6348,0.7586,0.6967,0.7693,0.8281,0.7987,0.8072,0.7703,0.7888
7.3,0.0232,0.5975,0.7694,0.6347,0.7516,0.6932,0.7827,0.8171,0.7999,0.8052,0.7752,0.7902
7.4,0.0062,0.6031,0.7661,0.6341,0.7447,0.6894,0.8,0.8085,0.8043,0.8028,0.7781,0.7904
7.5,-0.0185,0.6097,0.76,0.6331,0.7384,0.6857,0.8209,0.8026,0.8118,0.7998,0.7792,0.7895
7.6,-0.0505,0.6173,0.7511,0.6317,0.7329,0.6823,0.8448,0.7994,0.8221,0.7963,0.779,0.7877
7.7,-0.088,0.6253,0.74,0.63,0.7286,0.6793,0.8709,0.7996,0.8353,0.7923,0.778,0.7851
7.8,-0.1294,0.6332,0.7271,0.6278,0.7257,0.6767,0.8985,0.804,0.8513,0.7882,0.7761,0.7822
7.9,-0.1727,0.6406,0.7123,0.625,0.7242,0.6746,0.9267,0.8132,0.8699,0.784,0.7737,0.7788
8,-0.2152,0.6472,0.6952,0.6218,0.724,0.6729,0.9539,0.8264,0.8902,0.7792,0.7707,0.7749
8.1,-0.254,0.653,0.6751,0.6183,0.7243,0.6713,0.9784,0.842,0.9102,0.7735,0.7672,0.7703
8.2,-0.2862,0.6577,0.6518,0.6141,0.7243,0.6692,0.9983,0.858,0.9282,0.7664,0.7633,0.7648
8.3,-0.3103,0.6609,0.6258,0.6087,0.7232,0.6659,1.0126,0.873,0.9428,0.758,0.7588,0.7584
8.4,-0.3252,0.6619,0.5976,0.6021,0.7205,0.6613,1.0206,0.8858,0.9532,0.7487,0.7533,0.751
8.5,-0.3296,0.6603,0.5677,0.5948,0.7162,0.6555,1.0224,0.8959,0.9592,0.7387,0.7467,0.7427
8.6,-0.3229,0.6566,0.536,0.588,0.7104,0.6492,1.0182,0.9031,0.9607,0.7277,0.7385,0.7331
8.7,-0.3056,0.6507,0.5021,0.5823,0.7035,0.6429,1.0087,0.9074,0.958,0.7153,0.7282,0.7217
8.8,-0.2795,0.6427,0.4661,0.5776,0.6954,0.6365,0.9945,0.9087,0.9516,0.7013,0.7155,0.7084
8.9,-0.2465,0.6327,0.4285,0.5736,0.6864,0.63,0.9767,0.9073,0.942,0.6858,0.7001,0.693
9,-0.2083,0.621,0.39,0.5703,0.677,0.6236,0.9562,0.9032,0.9297,0.6696,0.6824,0.676
9.1,-0.1648,0.608,0.3518,0.5684,0.6678,0.6181,0.9336,0.8962,0.9149,0.6538,0.663,0.6584
9.2,-0.1161,0.5943,0.3152,0.5685,0.6591,0.6138,0.9099,0.8866,0.8982,0.6396,0.6431,0.6414
9.3,-0.0632,0.58,0.2815,0.5704,0.6505,0.6104,0.8856,0.8748,0.8802,0.6282,0.6233,0.6258
9.4,-0.0074,0.5658,0.2524,0.574,0.6419,0.6079,0.862,0.8616,0.8618,0.62,0.6046,0.6123
9.5,0.0504,0.5528,0.2293,0.5795,0.6333,0.6064,0.8401,0.8483,0.8442,0.6154,0.5872,0.6013
9.6,0.1097,0.5425,0.2133,0.5877,0.6253,0.6065,0.8206,0.8356,0.8281,0.6146,0.5716,0.5931
9.7,0.1692,0.5357,0.2043,0.5991,0.6181,0.6086,0.804,0.8241,0.8141,0.6173,0.5581,0.5877
9.8,0.2266,0.5327,0.2022,0.6137,0.6116,0.6126,0.7906,0.8144,0.8025,0.6234,0.5473,0.5853
