Time,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0046,0.2894,0.627,0.557,0.3724,0.4647,0.5492,0.5346,0.5419,0.399,0.5195,0.4593
0.1,0.0129,0.2861,0.6532,0.5918,0.3668,0.4793,0.5691,0.5466,0.5579,0.4079,0.5312,0.4695
0.2,0.0234,0.2869,0.6799,0.6298,0.3641,0.4969,0.5928,0.5608,0.5768,0.4188,0.5432,0.481
0.3,0.0367,0.293,0.7062,0.6696,0.3647,0.5171,0.6209,0.5774,0.5991,0.4321,0.5549,0.4935
0.4,0.0543,0.3049,0.7311,0.7097,0.3685,0.5391,0.6529,0.5965,0.6247,0.4473,0.5655,0.5064
0.5,0.0779,0.3221,0.7532,0.7483,0.375,0.5617,0.6879,0.6175,0.6527,0.4636,0.5749,0.5192
0.6,0.1085,0.3427,0.7713,0.7837,0.3834,0.5836,0.7245,0.6397,0.6821,0.4795,0.5834,0.5315
0.7,0.1462,0.3643,0.7841,0.8148,0.3924,0.6036,0.7609,0.6624,0.7117,0.4941,0.5911,0.5426
0.8,0.1908,0.3849,0.7909,0.8399,0.4004,0.6201,0.7953,0.6851,0.7402,0.5062,0.5974,0.5518
0.9,0.2421,0.4027,0.7916,0.8574,0.4062,0.6318,0.825,0.7068,0.7659,0.5151,0.6016,0.5584
1,0.2988,0.4174,0.7866,0.8673,0.4099,0.6386,0.8472,0.7265,0.7869,0.5205,0.6025,0.5615
1.1,0.3597,0.4291,0.7764,0.8702,0.4123,0.6413,0.8601,0.7435,0.8018,0.5221,0.5997,0.5609
1.2,0.4236,0.4379,0.7616,0.8672,0.4145,0.6408,0.8635,0.7571,0.8103,0.5201,0.5934,0.5567
1.3,0.4902,0.4441,0.7432,0.8593,0.4166,0.638,0.8584,0.7667,0.8126,0.5155,0.5843,0.5499
1.4,0.5584,0.448,0.7232,0.8478,0.4187,0.6332,0.846,0.7725,0.8092,0.5093,0.5734,0.5414
1.5,0.6252,0.4512,0.7037,0.8336,0.421,0.6273,0.8276,0.7745,0.801,0.5027,0.5622,0.5325
1.6,0.6859,0.4551,0.6861,0.8174,0.4242,0.6208,0.8045,0.7725,0.7885,0.4964,0.5521,0.5243
1.7,0.7364,0.4604,0.6711,0.7994,0.4286,0.614,0.7781,0.7663,0.7722,0.491,0.544,0.5175
1.8,0.774,0.4667,0.6581,0.7786,0.434,0.6063,0.7499,0.7559,0.7529,0.4873,0.5379,0.5126
1.9,0.7991,0.4734,0.6466,0.7547,0.4402,0.5974,0.721,0.7419,0.7315,0.4861,0.5332,0.5097
2,0.8134,0.4801,0.6361,0.7282,0.447,0.5876,0.692,0.7254,0.7087,0.4869,0.5292,0.508
2.1,0.8184,0.4872,0.6266,0.7002,0.4548,0.5775,0.6635,0.7072,0.6853,0.4886,0.5252,0.5069
2.2,0.8152,0.4954,0.6182,0.6728,0.4639,0.5684,0.6363,0.6882,0.6623,0.4909,0.5215,0.5062
2.3,0.8039,0.5049,0.6113,0.6478,0.4746,0.5612,0.6115,0.6693,0.6404,0.494,0.5189,0.5064
2.4,0.7847,0.5161,0.6064,0.6259,0.4866,0.5563,0.5904,0.6508,0.6206,0.4984,0.518,0.5082
2.5,0.7593,0.5296,0.6035,0.6074,0.5001,0.5538,0.5732,0.633,0.6031,0.5046,0.5186,0.5116
2.6,0.7293,0.5461,0.6025,0.5924,0.5154,0.5539,0.5594,0.6159,0.5877,0.5121,0.5205,0.5163
2.7,0.6954,0.566,0.6029,0.581,0.5326,0.5568,0.5479,0.6001,0.574,0.5201,0.5236,0.5219
2.8,0.6577,0.5894,0.6049,0.5734,0.5519,0.5626,0.5379,0.5862,0.562,0.5281,0.5277,0.5279
2.9,0.6162,0.6159,0.6082,0.57,0.5729,0.5714,0.5296,0.5746,0.5521,0.5356,0.5326,0.5341
3,0.57,0.6447,0.6126,0.5704,0.5951,0.5828,0.5235,0.5658,0.5447,0.5424,0.538,0.5402
3.1,0.5184,0.6745,0.6176,0.5736,0.6181,0.5958,0.5198,0.5593,0.5395,0.5481,0.5429,0.5455
3.2,0.4609,0.7039,0.6227,0.5783,0.6413,0.6098,0.5183,0.5543,0.5363,0.5519,0.5469,0.5494
3.3,0.3986,0.7318,0.628,0.5836,0.6645,0.6241,0.519,0.5504,0.5347,0.5536,0.5499,0.5518
3.4,0.3343,0.7571,0.6339,0.5892,0.687,0.6381,0.5223,0.548,0.5352,0.5533,0.5522,0.5528
3.5,0.2723,0.7792,0.6407,0.5955,0.7081,0.6518,0.5282,0.5476,0.5379,0.5513,0.5541,0.5527
3.6,0.2169,0.7979,0.6486,0.6029,0.7272,0.6651,0.5365,0.5492,0.5428,0.5477,0.5557,0.5517
3.7,0.1703,0.8133,0.6578,0.6117,0.744,0.6778,0.5465,0.5523,0.5494,0.5423,0.5568,0.5496
3.8,0.1327,0.8252,0.6683,0.6217,0.7581,0.6899,0.557,0.5565,0.5568,0.5352,0.5578,0.5465
3.9,0.1028,0.8337,0.6799,0.6325,0.7694,0.701,0.5675,0.5613,0.5644,0.5265,0.5589,0.5427
4,0.0782,0.839,0.6923,0.6439,0.7775,0.7107,0.5772,0.566,0.5716,0.5165,0.56,0.5382
4.1,0.0569,0.8419,0.7051,0.6556,0.7824,0.719,0.5859,0.5698,0.5778,0.5054,0.5603,0.5328
4.2,0.0376,0.8429,0.718,0.6672,0.7846,0.7259,0.5928,0.572,0.5824,0.4929,0.559,0.526
4.3,0.02,0.8423,0.7309,0.6785,0.7848,0.7316,0.5968,0.5724,0.5846,0.4792,0.5561,0.5176
4.4,0.0046,0.8404,0.7438,0.6901,0.7835,0.7368,0.5976,0.5709,0.5843,0.4646,0.552,0.5083
4.5,-0.0086,0.8371,0.7564,0.7022,0.7805,0.7414,0.5956,0.5675,0.5816,0.4499,0.5482,0.499
4.6,-0.0205,0.8323,0.7679,0.7138,0.7755,0.7446,0.5915,0.5621,0.5768,0.4361,0.5451,0.4906
4.7,-0.0328,0.8256,0.7779,0.724,0.768,0.746,0.5859,0.5547,0.5703,0.4238,0.543,0.4834
