Time,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0415,0.5603,0.7718,0.5964,0.8005,0.6984,0.6431,0.699,0.671,0.8162,0.7216,0.7689
0.1,-0.0343,0.5578,0.7846,0.5856,0.79,0.6878,0.6618,0.7194,0.6906,0.8185,0.7254,0.772
0.2,-0.0287,0.5596,0.801,0.5776,0.781,0.6793,0.6802,0.7394,0.7098,0.8205,0.7334,0.777
0.3,-0.0248,0.5659,0.8201,0.5721,0.7737,0.6729,0.6985,0.7586,0.7285,0.8218,0.7452,0.7835
0.4,-0.0231,0.5763,0.841,0.5687,0.7684,0.6686,0.7162,0.7766,0.7464,0.8218,0.7598,0.7908
0.5,-0.0235,0.5907,0.8626,0.5672,0.7655,0.6664,0.7326,0.7929,0.7627,0.8199,0.7752,0.7975
0.6,-0.0251,0.6091,0.8839,0.5681,0.7652,0.6666,0.7466,0.8071,0.7768,0.8156,0.7897,0.8026
0.7,-0.0277,0.6311,0.904,0.5718,0.7673,0.6696,0.7572,0.819,0.7881,0.8088,0.8019,0.8053
0.8,-0.0314,0.6554,0.9227,0.5782,0.7713,0.6748,0.7639,0.8289,0.7964,0.7994,0.8108,0.8051
0.9,-0.0364,0.6806,0.9402,0.5869,0.7766,0.6817,0.7666,0.8371,0.8019,0.7877,0.8158,0.8017
1,-0.0419,0.7054,0.9568,0.5975,0.7825,0.69,0.7654,0.8435,0.8045,0.7736,0.817,0.7953
1.1,-0.0466,0.7294,0.9725,0.6106,0.7889,0.6997,0.7604,0.8476,0.804,0.7573,0.8138,0.7856
1.2,-0.0489,0.7525,0.9869,0.6265,0.795,0.7107,0.7516,0.8485,0.8,0.7388,0.8062,0.7725
1.3,-0.0483,0.7734,0.9995,0.6445,0.7996,0.7221,0.7395,0.8458,0.7926,0.7187,0.7941,0.7564
1.4,-0.0459,0.7908,1.0094,0.663,0.8012,0.7321,0.7244,0.8396,0.782,0.6976,0.7784,0.738
1.5,-0.0427,0.8031,1.0162,0.6804,0.7986,0.7395,0.7071,0.8304,0.7688,0.6766,0.7606,0.7186
1.6,-0.0389,0.81,1.0199,0.6964,0.7919,0.7441,0.6888,0.8192,0.754,0.6569,0.742,0.6994
1.7,-0.0334,0.812,1.0206,0.7113,0.7811,0.7462,0.6707,0.8065,0.7386,0.6402,0.7243,0.6823
1.8,-0.0249,0.8095,1.0184,0.7249,0.7667,0.7458,0.6537,0.7928,0.7232,0.6284,0.7086,0.6685
1.9,-0.0133,0.802,1.0131,0.7362,0.7484,0.7423,0.6382,0.7779,0.708,0.6226,0.6961,0.6593
2,0.0013,0.7887,1.0043,0.7437,0.7258,0.7347,0.6245,0.7617,0.6931,0.623,0.6875,0.6553
2.1,0.0192,0.7691,0.9918,0.7473,0.6981,0.7227,0.6129,0.7441,0.6785,0.6289,0.6839,0.6564
2.2,0.0418,0.7435,0.9758,0.7478,0.6655,0.7067,0.6038,0.725,0.6644,0.6398,0.6858,0.6628
2.3,0.0695,0.7131,0.9572,0.7464,0.6282,0.6873,0.5976,0.7051,0.6513,0.6555,0.6931,0.6743
2.4,0.1009,0.6795,0.9369,0.7431,0.5874,0.6652,0.5943,0.6851,0.6397,0.676,0.7054,0.6907
2.5,0.1334,0.6443,0.9162,0.7375,0.5441,0.6408,0.5941,0.6662,0.6301,0.7007,0.7218,0.7112
2.6,0.165,0.6088,0.8963,0.7297,0.4994,0.6146,0.5969,0.6491,0.623,0.7281,0.7408,0.7344
2.7,0.1948,0.5741,0.8777,0.7205,0.4544,0.5875,0.6022,0.6338,0.618,0.7561,0.7611,0.7586
2.8,0.2229,0.5412,0.8606,0.711,0.4101,0.5605,0.6092,0.62,0.6146,0.7828,0.7816,0.7822
2.9,0.2488,0.5109,0.845,0.7015,0.3678,0.5346,0.6171,0.6075,0.6123,0.8072,0.8018,0.8045
3,0.2717,0.4837,0.8311,0.6915,0.3287,0.5101,0.625,0.5966,0.6108,0.8287,0.8209,0.8248
3.1,0.2906,0.4597,0.8189,0.6805,0.2935,0.487,0.6328,0.588,0.6104,0.8473,0.8384,0.8428
3.2,0.3047,0.4397,0.8082,0.6683,0.2627,0.4655,0.6403,0.5827,0.6115,0.8627,0.854,0.8584
3.3,0.314,0.4245,0.7987,0.6557,0.2369,0.4463,0.6481,0.5813,0.6147,0.8748,0.8676,0.8712
3.4,0.3184,0.4145,0.7899,0.6435,0.2169,0.4302,0.6564,0.5839,0.6202,0.8829,0.8787,0.8808
3.5,0.3175,0.4093,0.7814,0.6318,0.2028,0.4173,0.6649,0.5899,0.6274,0.8865,0.8867,0.8866
3.6,0.3114,0.4076,0.7728,0.6202,0.1942,0.4072,0.6731,0.5985,0.6358,0.8851,0.8914,0.8882
3.7,0.3006,0.4084,0.7637,0.6082,0.1904,0.3993,0.6802,0.6089,0.6446,0.8785,0.8926,0.8856
3.8,0.2866,0.4109,0.754,0.5957,0.1906,0.3931,0.6861,0.6208,0.6535,0.8672,0.8904,0.8788
3.9,0.2707,0.4153,0.7433,0.583,0.1942,0.3886,0.6909,0.634,0.6624,0.8523,0.8853,0.8688
4,0.254,0.4219,0.7313,0.5703,0.2009,0.3856,0.6948,0.648,0.6714,0.8348,0.878,0.8564
4.1,0.2369,0.4304,0.7183,0.558,0.2103,0.3842,0.6982,0.6626,0.6804,0.816,0.8697,0.8429
4.2,0.2197,0.4401,0.7049,0.546,0.2215,0.3837,0.7015,0.6771,0.6893,0.7971,0.8618,0.8294
4.3,0.2034,0.451,0.6919,0.5346,0.2338,0.3842,0.7051,0.6911,0.6981,0.7794,0.8552,0.8173
4.4,0.1896,0.4634,0.6798,0.5246,0.2473,0.3859,0.7089,0.7039,0.7064,0.764,0.8504,0.8072
4.5,0.1797,0.4777,0.6686,0.5162,0.2619,0.3891,0.7129,0.7151,0.714,0.7515,0.8474,0.7994
4.6,0.1748,0.4941,0.6583,0.5093,0.2774,0.3934,0.7171,0.7247,0.7209,0.7424,0.8461,0.7943
4.7,0.1746,0.5117,0.6489,0.5034,0.2931,0.3982,0.7217,0.7327,0.7272,0.7371,0.8471,0.7921
4.8,0.1784,0.5299,0.6408,0.4985,0.3084,0.4035,0.7267,0.7392,0.7329,0.7361,0.851,0.7936
4.9,0.1857,0.5486,0.6345,0.4952,0.3236,0.4094,0.7322,0.7443,0.7383,0.7398,0.8586,0.7992
5,0.1962,0.5682,0.6303,0.4938,0.339,0.4164,0.7379,0.7481,0.743,0.7485,0.8701,0.8093
5.1,0.2104,0.5881,0.6281,0.4942,0.3548,0.4245,0.7435,0.7502,0.7469,0.7616,0.8851,0.8233
5.2,0.2284,0.6071,0.6272,0.4952,0.3704,0.4328,0.7486,0.7505,0.7495,0.7785,0.903,0.8407
5.3,0.2502,0.6232,0.6267,0.4955,0.3845,0.44,0.7525,0.7488,0.7506,0.798,0.9231,0.8605
5.4,0.2756,0.635,0.6267,0.4944,0.3963,0.4454,0.7547,0.7448,0.7498,0.8189,0.9442,0.8816
5.5,0.3037,0.642,0.6274,0.4921,0.4053,0.4487,0.755,0.7386,0.7468,0.8399,0.965,0.9024
5.6,0.3324,0.6447,0.6291,0.4884,0.4116,0.45,0.7532,0.7306,0.7419,0.86,0.9838,0.9219
5.7,0.3579,0.6437,0.6322,0.4831,0.4157,0.4494,0.7495,0.7217,0.7356,0.8783,0.9997,0.939
5.8,0.3757,0.6396,0.6359,0.4756,0.4181,0.4469,0.7444,0.7126,0.7285,0.8937,1.0116,0.9526
5.9,0.3826,0.6328,0.6395,0.4658,0.4198,0.4428,0.738,0.7036,0.7208,0.9054,1.0193,0.9623
6,0.3767,0.6238,0.6414,0.454,0.4219,0.4379,0.7301,0.6944,0.7122,0.9126,1.0223,0.9674
6.1,0.3583,0.6131,0.6402,0.4412,0.4251,0.4331,0.7199,0.6845,0.7022,0.9144,1.0203,0.9673
6.2,0.3295,0.601,0.635,0.428,0.4299,0.429,0.7073,0.6739,0.6906,0.9104,1.0129,0.9616
6.3,0.2933,0.5882,0.6257,0.4153,0.4364,0.4259,0.6928,0.6632,0.678,0.9008,0.9999,0.9503
6.4,0.2525,0.5756,0.6131,0.4046,0.4446,0.4246,0.6778,0.6529,0.6653,0.8859,0.9814,0.9337
6.5,0.209,0.5652,0.5981,0.3972,0.4548,0.426,0.6628,0.6434,0.6531,0.8663,0.9581,0.9122
6.6,0.1645,0.5582,0.5819,0.3935,0.4675,0.4305,0.6479,0.6348,0.6413,0.8422,0.9308,0.8865
6.7,0.1203,0.555,0.5654,0.3931,0.4824,0.4377,0.6322,0.6268,0.6295,0.8139,0.9001,0.857
6.8,0.0776,0.5547,0.5497,0.3947,0.4983,0.4465,0.6155,0.6194,0.6175,0.7818,0.8666,0.8242
6.9,0.0379,0.5563,0.5359,0.3977,0.5139,0.4558,0.5981,0.6125,0.6053,0.7469,0.8311,0.789
7,0.0026,0.5596,0.5254,0.4018,0.5281,0.4649,0.5807,0.6066,0.5936,0.7111,0.7951,0.7531
7.1,-0.027,0.5655,0.519,0.4074,0.5407,0.474,0.5643,0.6015,0.5829,0.6765,0.7599,0.7182
7.2,-0.0507,0.5744,0.5166,0.415,0.5518,0.4834,0.5496,0.5975,0.5736,0.6452,0.727,0.6861
7.3,-0.0688,0.5858,0.518,0.4244,0.5616,0.493,0.537,0.5945,0.5658,0.6185,0.6974,0.658
7.4,-0.0823,0.5982,0.5232,0.4353,0.57,0.5027,0.5267,0.5924,0.5595,0.5973,0.672,0.6347
7.5,-0.0924,0.6097,0.5326,0.4469,0.5764,0.5117,0.5189,0.591,0.555,0.5822,0.6515,0.6168
7.6,-0.1003,0.6192,0.5466,0.4582,0.5808,0.5195,0.5136,0.5904,0.552,0.573,0.6363,0.6047
7.7,-0.1062,0.626,0.5652,0.4686,0.583,0.5258,0.5106,0.5909,0.5508,0.5697,0.6263,0.598
7.8,-0.1101,0.6301,0.5873,0.4775,0.5828,0.5301,0.5098,0.5927,0.5512,0.5715,0.6211,0.5963
7.9,-0.1112,0.6312,0.6115,0.4842,0.5796,0.5319,0.5111,0.5956,0.5533,0.5779,0.6205,0.5992
8,-0.1095,0.6289,0.6368,0.4882,0.5727,0.5305,0.5146,0.5993,0.557,0.5886,0.6245,0.6066
8.1,-0.1058,0.6228,0.6623,0.4895,0.5619,0.5257,0.52,0.6035,0.5617,0.6035,0.6334,0.6185
8.2,-0.1008,0.6127,0.6873,0.4878,0.5474,0.5176,0.5264,0.6073,0.5669,0.6223,0.6466,0.6345
8.3,-0.0953,0.5984,0.7112,0.4833,0.5297,0.5065,0.5328,0.6104,0.5716,0.644,0.6626,0.6533
8.4,-0.0892,0.5799,0.7333,0.4757,0.5093,0.4925,0.5384,0.6123,0.5753,0.6676,0.6796,0.6736
