Time,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
19.7,-0.0381,0.4363,0.7924,0.5565,0.5703,0.5634,0.5912,0.489,0.5401,0.9909,0.9163,0.9536
19.8,-0.0585,0.4356,0.8121,0.5638,0.5879,0.5759,0.6411,0.5188,0.5799,1.0163,0.9315,0.9739
19.9,-0.0812,0.436,0.8309,0.5705,0.61,0.5902,0.6866,0.5509,0.6188,1.0356,0.9467,0.9911
20,-0.1069,0.4369,0.8474,0.5757,0.6365,0.6061,0.726,0.5834,0.6547,1.0477,0.9604,1.004
20.1,-0.1353,0.4379,0.86,0.579,0.6681,0.6235,0.7585,0.6141,0.6863,1.0518,0.9713,1.0115
20.2,-0.1657,0.4395,0.867,0.5802,0.7057,0.6429,0.784,0.6421,0.713,1.0476,0.9782,1.0129
20.3,-0.1972,0.4424,0.8675,0.5789,0.7493,0.6641,0.8023,0.6665,0.7344,1.0353,0.9804,1.0079
20.4,-0.2296,0.4464,0.8616,0.5739,0.7979,0.6859,0.8137,0.6867,0.7502,1.0156,0.9775,0.9966
20.5,-0.2631,0.4511,0.8495,0.5637,0.8482,0.706,0.818,0.702,0.76,0.989,0.9694,0.9792
20.6,-0.2984,0.4557,0.8319,0.5471,0.8965,0.7218,0.8157,0.7118,0.7638,0.956,0.9565,0.9563
20.7,-0.3362,0.4597,0.8099,0.5242,0.9396,0.7319,0.8079,0.716,0.7619,0.9172,0.9394,0.9283
20.8,-0.377,0.4628,0.7848,0.4959,0.9758,0.7358,0.7957,0.7149,0.7553,0.8736,0.919,0.8963
20.9,-0.4207,0.465,0.7578,0.4636,1.0046,0.7341,0.7803,0.7094,0.7449,0.8269,0.8959,0.8614
21,-0.4665,0.4667,0.7294,0.4292,1.0257,0.7275,0.7626,0.7004,0.7315,0.7789,0.8712,0.825
21.1,-0.5133,0.4684,0.7008,0.3945,1.0382,0.7164,0.7427,0.689,0.7158,0.7313,0.8456,0.7885
21.2,-0.56,0.4702,0.6738,0.3615,1.0416,0.7015,0.7209,0.6757,0.6983,0.6854,0.8202,0.7528
21.3,-0.6064,0.472,0.65,0.3315,1.0363,0.6839,0.6974,0.6609,0.6791,0.6419,0.7952,0.7185
21.4,-0.6521,0.4731,0.6299,0.3055,1.0235,0.6645,0.6724,0.6446,0.6585,0.6019,0.7707,0.6863
21.5,-0.6964,0.4733,0.6129,0.2838,1.0044,0.6441,0.6464,0.6267,0.6366,0.5664,0.7469,0.6567
21.6,-0.7374,0.4721,0.5979,0.2667,0.9806,0.6237,0.6201,0.6075,0.6138,0.5362,0.7243,0.6302
21.7,-0.773,0.4697,0.5852,0.2548,0.9538,0.6043,0.595,0.5878,0.5914,0.5116,0.7037,0.6076
21.8,-0.8016,0.4663,0.5759,0.2485,0.926,0.5872,0.5729,0.569,0.5709,0.4929,0.686,0.5895
21.9,-0.8233,0.4625,0.5712,0.2475,0.8983,0.5729,0.5551,0.5524,0.5537,0.4803,0.6719,0.5761
22,-0.8386,0.4581,0.5711,0.2515,0.8708,0.5612,0.5424,0.5388,0.5406,0.4733,0.6613,0.5673
22.1,-0.8472,0.4533,0.5747,0.2601,0.843,0.5515,0.5347,0.5286,0.5316,0.4713,0.6536,0.5624
22.2,-0.8467,0.4485,0.5808,0.2729,0.8143,0.5436,0.5314,0.5218,0.5266,0.4736,0.6485,0.5611
22.3,-0.8343,0.4444,0.5884,0.2898,0.7843,0.537,0.5325,0.5186,0.5256,0.4797,0.6458,0.5628
22.4,-0.8085,0.4415,0.5971,0.3103,0.7529,0.5316,0.5381,0.5192,0.5286,0.4893,0.6453,0.5673
22.5,-0.7691,0.44,0.6063,0.3339,0.7199,0.5269,0.5483,0.5231,0.5357,0.502,0.6471,0.5746
22.6,-0.7168,0.4396,0.6157,0.3598,0.6851,0.5224,0.5627,0.53,0.5464,0.5174,0.6513,0.5844
22.7,-0.6526,0.4396,0.6252,0.3869,0.6488,0.5179,0.5806,0.5396,0.5601,0.5348,0.6582,0.5965
22.8,-0.5788,0.4392,0.635,0.4137,0.6119,0.5128,0.6007,0.5518,0.5763,0.5533,0.6679,0.6106
22.9,-0.4985,0.4386,0.6453,0.4383,0.5754,0.5069,0.6217,0.5668,0.5943,0.5722,0.6801,0.6262
23,-0.4156,0.4378,0.6558,0.4596,0.5399,0.4998,0.6425,0.584,0.6133,0.5911,0.6942,0.6427
23.1,-0.334,0.4373,0.6661,0.4772,0.5061,0.4916,0.6623,0.6019,0.6321,0.6093,0.7092,0.6592
23.2,-0.2575,0.4375,0.6754,0.4912,0.4742,0.4827,0.6805,0.6191,0.6498,0.626,0.7239,0.675
23.3,-0.1894,0.4385,0.6837,0.5023,0.4451,0.4737,0.6968,0.6347,0.6658,0.6405,0.7375,0.689
23.4,-0.1331,0.4403,0.6906,0.5106,0.4192,0.4649,0.7108,0.649,0.6799,0.6521,0.7495,0.7008
23.5,-0.0904,0.4428,0.6959,0.516,0.3965,0.4563,0.7218,0.6621,0.692,0.6602,0.7594,0.7098
23.6,-0.0614,0.4452,0.6998,0.5185,0.3768,0.4477,0.7293,0.6742,0.7018,0.664,0.7671,0.7155
23.7,-0.0453,0.4465,0.7031,0.5181,0.3596,0.4389,0.7329,0.685,0.7089,0.6628,0.7723,0.7176
23.8,-0.0408,0.446,0.7074,0.5153,0.3451,0.4302,0.7326,0.6945,0.7135,0.6563,0.7754,0.7159
23.9,-0.0475,0.4438,0.7147,0.5105,0.3343,0.4224,0.7293,0.7032,0.7163,0.6454,0.777,0.7112
24,-0.0655,0.4404,0.726,0.5041,0.3282,0.4162,0.724,0.7122,0.7181,0.6312,0.7777,0.7045
24.1,-0.0946,0.4363,0.7415,0.4969,0.328,0.4125,0.7176,0.7221,0.7199,0.6148,0.7778,0.6963
24.2,-0.1324,0.4314,0.76,0.4895,0.3341,0.4118,0.7104,0.7328,0.7216,0.5973,0.7774,0.6873
24.3,-0.1748,0.4252,0.7798,0.4826,0.3464,0.4145,0.7026,0.7439,0.7232,0.5802,0.777,0.6786
24.4,-0.2174,0.4176,0.7996,0.4772,0.364,0.4206,0.6945,0.7544,0.7245,0.5648,0.7776,0.6712
24.5,-0.2566,0.4091,0.8187,0.474,0.3859,0.43,0.6869,0.7642,0.7255,0.5528,0.7797,0.6663
24.6,-0.2899,0.4005,0.837,0.4736,0.4107,0.4422,0.6803,0.7731,0.7267,0.545,0.7827,0.6639
24.7,-0.316,0.3927,0.8535,0.4759,0.4371,0.4565,0.6754,0.7812,0.7283,0.5412,0.7858,0.6635
24.8,-0.3344,0.3864,0.8668,0.4808,0.4638,0.4723,0.6723,0.7882,0.7302,0.5413,0.7887,0.665
24.9,-0.3451,0.3818,0.8761,0.4878,0.4898,0.4888,0.6709,0.7942,0.7326,0.5455,0.7923,0.6689
25,-0.3483,0.3795,0.8815,0.4966,0.5149,0.5057,0.6712,0.7993,0.7353,0.5538,0.7979,0.6758
25.1,-0.3446,0.3801,0.8834,0.5069,0.5387,0.5228,0.673,0.8034,0.7382,0.5659,0.8061,0.686
25.2,-0.3348,0.3841,0.8821,0.5187,0.5611,0.5399,0.6756,0.8059,0.7407,0.5806,0.816,0.6983
25.3,-0.3202,0.3916,0.8772,0.5318,0.5817,0.5568,0.6782,0.8059,0.7421,0.5967,0.8267,0.7117
25.4,-0.3017,0.4024,0.8685,0.5458,0.6,0.5729,0.68,0.8032,0.7416,0.6129,0.8374,0.7251
25.5,-0.2796,0.4167,0.8566,0.5599,0.616,0.588,0.6806,0.7983,0.7394,0.6286,0.8481,0.7384
25.6,-0.2538,0.4344,0.8425,0.5733,0.6298,0.6016,0.6802,0.7921,0.7362,0.6439,0.8593,0.7516
25.7,-0.2245,0.455,0.827,0.5856,0.6415,0.6136,0.6793,0.7857,0.7325,0.6591,0.8711,0.7651
25.8,-0.1927,0.4779,0.8109,0.597,0.6509,0.6239,0.678,0.7795,0.7288,0.6741,0.8829,0.7785
25.9,-0.1595,0.5019,0.7951,0.607,0.6579,0.6325,0.676,0.7734,0.7247,0.6882,0.8945,0.7914
26,-0.1274,0.5258,0.7805,0.615,0.6624,0.6387,0.6732,0.767,0.7201,0.7009,0.9056,0.8032
26.1,-0.0986,0.5489,0.7675,0.6197,0.6646,0.6422,0.6699,0.7608,0.7153,0.712,0.916,0.814
26.2,-0.0748,0.5708,0.7562,0.6207,0.6653,0.643,0.6671,0.7549,0.711,0.7218,0.9255,0.8236
26.3,-0.0563,0.5913,0.7463,0.6184,0.6648,0.6416,0.6656,0.7499,0.7078,0.7307,0.9331,0.8319
26.4,-0.0419,0.6103,0.7381,0.6146,0.6636,0.6391,0.6658,0.7457,0.7058,0.739,0.9381,0.8385
26.5,-0.0296,0.6276,0.7324,0.6108,0.6616,0.6362,0.6673,0.7426,0.705,0.7468,0.9403,0.8435
26.6,-0.0184,0.6429,0.7297,0.6079,0.6592,0.6335,0.6696,0.7405,0.7051,0.754,0.9401,0.847
26.7,-0.0087,0.6555,0.7301,0.6059,0.6563,0.6311,0.672,0.7397,0.7059,0.7607,0.9382,0.8495
26.8,-0.0011,0.6651,0.7333,0.6048,0.6534,0.6291,0.6742,0.7399,0.7071,0.7675,0.9348,0.8511
26.9,0.0043,0.6713,0.7392,0.6047,0.6505,0.6276,0.6758,0.7404,0.7081,0.7747,0.9296,0.8522
27,0.0083,0.674,0.748,0.6056,0.6477,0.6266,0.6761,0.7405,0.7083,0.7824,0.9226,0.8525
27.1,0.0116,0.6735,0.7603,0.6074,0.6453,0.6263,0.6749,0.7398,0.7073,0.7902,0.9135,0.8519
27.2,0.0143,0.6703,0.7762,0.6098,0.6436,0.6267,0.6718,0.7384,0.7051,0.7975,0.9022,0.8499
27.3,0.0157,0.6646,0.7954,0.6125,0.6427,0.6276,0.6672,0.7362,0.7017,0.8045,0.8884,0.8465
27.4,0.0153,0.6567,0.8168,0.6153,0.6419,0.6286,0.6617,0.7334,0.6976,0.8111,0.8722,0.8417
27.5,0.0138,0.6467,0.8399,0.618,0.6409,0.6295,0.6559,0.7299,0.6929,0.8175,0.8538,0.8356
27.6,0.0124,0.6354,0.8647,0.6207,0.6395,0.6301,0.6507,0.7259,0.6883,0.8238,0.8338,0.8288
27.7,0.0111,0.624,0.8916,0.6232,0.638,0.6306,0.6471,0.7223,0.6847,0.8302,0.8131,0.8217
27.8,0.009,0.6138,0.9205,0.6256,0.6365,0.631,0.6456,0.7202,0.6829,0.8371,0.7921,0.8146
27.9,0.004,0.6057,0.9507,0.6276,0.6353,0.6315,0.6466,0.7203,0.6834,0.8448,0.7717,0.8082
28,-0.0057,0.6002,0.9804,0.6293,0.6344,0.6319,0.6496,0.7227,0.6861,0.8529,0.753,0.803
28.1,-0.0212,0.5974,1.0067,0.6305,0.6343,0.6324,0.6546,0.7264,0.6905,0.8614,0.7374,0.7994
28.2,-0.0433,0.5971,1.0266,0.6306,0.6353,0.633,0.6615,0.7307,0.6961,0.8705,0.7261,0.7983
28.3,-0.0724,0.5986,1.0381,0.6295,0.6379,0.6337,0.6704,0.7351,0.7027,0.8806,0.7199,0.8002
28.4,-0.108,0.6016,1.0404,0.6271,0.642,0.6345,0.6814,0.7389,0.7101,0.8907,0.7184,0.8046
28.5,-0.1477,0.6059,1.0334,0.6238,0.647,0.6354,0.6944,0.7421,0.7182,0.899,0.7206,0.8098
28.6,-0.1883,0.6105,1.0183,0.6199,0.6517,0.6358,0.7096,0.7447,0.7271,0.9038,0.725,0.8144
28.7,-0.2276,0.6144,0.9968,0.6151,0.655,0.635,0.7267,0.7471,0.7369,0.9051,0.7309,0.818
28.8,-0.264,0.617,0.9711,0.6084,0.6566,0.6325,0.7452,0.7496,0.7474,0.9036,0.7376,0.8206
28.9,-0.2974,0.6176,0.9441,0.5994,0.6564,0.6279,0.7639,0.7521,0.758,0.8997,0.7445,0.8221
29,-0.3272,0.616,0.9182,0.588,0.6548,0.6214,0.7813,0.7536,0.7674,0.8936,0.7513,0.8225
29.1,-0.3522,0.6118,0.8949,0.5749,0.6514,0.6131,0.7956,0.7522,0.7739,0.8848,0.7576,0.8212
29.2,-0.3715,0.6045,0.8747,0.5606,0.6452,0.6029,0.8053,0.7461,0.7757,0.8725,0.7628,0.8176
29.3,-0.3851,0.5943,0.8571,0.5454,0.6357,0.5906,0.8091,0.7343,0.7717,0.8567,0.7668,0.8118
29.4,-0.3938,0.5812,0.8413,0.5291,0.6234,0.5762,0.8067,0.7174,0.7621,0.8382,0.7696,0.8039
29.5,-0.3981,0.5659,0.8266,0.5122,0.6091,0.5607,0.7981,0.6965,0.7473,0.818,0.7712,0.7946
29.6,-0.3983,0.549,0.8129,0.4953,0.5938,0.5446,0.7834,0.6727,0.728,0.7969,0.7716,0.7842
29.7,-0.3943,0.5311,0.8006,0.4792,0.5774,0.5283,0.7631,0.6467,0.7049,0.7749,0.7707,0.7728
29.8,-0.386,0.5126,0.79,0.4641,0.5591,0.5116,0.7379,0.6186,0.6783,0.7518,0.7679,0.7599
29.9,-0.3745,0.4938,0.7801,0.4495,0.5388,0.4942,0.7085,0.5886,0.6485,0.727,0.7627,0.7448
