Time,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1022,0.2349,0.4674,0.2156,0.4367,0.3262,0.2796,0.4561,0.3679,0.4806,0.6363,0.5584
0.1,0.0783,0.2339,0.4944,0.2139,0.4263,0.3201,0.2856,0.4607,0.3732,0.5057,0.65,0.5779
0.2,0.0538,0.2369,0.5236,0.224,0.4213,0.3226,0.2951,0.468,0.3816,0.5315,0.6642,0.5979
0.3,0.0285,0.2435,0.5539,0.2453,0.421,0.3332,0.3084,0.4777,0.3931,0.5571,0.6778,0.6174
0.4,0.0022,0.253,0.5842,0.2762,0.4249,0.3506,0.3256,0.4893,0.4075,0.5815,0.6899,0.6357
0.5,-0.0254,0.2653,0.6134,0.3151,0.4329,0.374,0.3465,0.5025,0.4245,0.6045,0.7003,0.6524
0.6,-0.0547,0.2806,0.6408,0.3602,0.4452,0.4027,0.3706,0.5169,0.4437,0.6257,0.7088,0.6672
0.7,-0.0863,0.2993,0.6661,0.4102,0.462,0.4361,0.3975,0.5325,0.465,0.6445,0.7152,0.6799
0.8,-0.1212,0.3214,0.6888,0.4633,0.4829,0.4731,0.427,0.5491,0.488,0.6605,0.7195,0.69
0.9,-0.1598,0.3468,0.7085,0.5169,0.5071,0.512,0.4585,0.5665,0.5125,0.6734,0.7217,0.6976
1,-0.2019,0.3756,0.7254,0.5682,0.5339,0.5511,0.4914,0.5844,0.5379,0.6832,0.7221,0.7027
1.1,-0.2472,0.4078,0.7397,0.6151,0.5631,0.5891,0.5243,0.6025,0.5634,0.6898,0.721,0.7054
1.2,-0.2953,0.4433,0.7516,0.6563,0.5943,0.6253,0.5562,0.6206,0.5884,0.6931,0.7185,0.7058
1.3,-0.3452,0.4824,0.7612,0.6914,0.6274,0.6594,0.5867,0.6384,0.6125,0.6924,0.7145,0.7034
1.4,-0.3955,0.525,0.7681,0.7205,0.6618,0.6912,0.6155,0.6553,0.6354,0.6872,0.7085,0.6978
1.5,-0.4448,0.5701,0.7724,0.7433,0.6972,0.7203,0.6423,0.6706,0.6564,0.6773,0.7003,0.6888
1.6,-0.4919,0.6161,0.7744,0.7594,0.733,0.7462,0.666,0.684,0.675,0.6628,0.6898,0.6763
1.7,-0.5362,0.6605,0.7744,0.7676,0.7682,0.7679,0.6857,0.6947,0.6902,0.6444,0.677,0.6607
1.8,-0.5777,0.7007,0.7728,0.7673,0.8018,0.7845,0.7008,0.7025,0.7016,0.623,0.6621,0.6426
1.9,-0.6165,0.7351,0.7703,0.7593,0.8335,0.7964,0.7119,0.7079,0.7099,0.5997,0.6454,0.6225
2,-0.6524,0.7637,0.7682,0.7454,0.8633,0.8044,0.72,0.7115,0.7158,0.5756,0.6276,0.6016
2.1,-0.6839,0.787,0.7673,0.7276,0.8917,0.8096,0.7259,0.7134,0.7197,0.5518,0.6098,0.5808
2.2,-0.7099,0.8054,0.7677,0.7071,0.9182,0.8127,0.7295,0.7132,0.7213,0.5283,0.5929,0.5606
2.3,-0.7297,0.8191,0.7689,0.6848,0.9416,0.8132,0.73,0.7106,0.7203,0.5051,0.5773,0.5412
2.4,-0.7433,0.8285,0.7706,0.6614,0.961,0.8112,0.7269,0.7056,0.7163,0.4821,0.563,0.5226
2.5,-0.7509,0.8348,0.7732,0.6382,0.9767,0.8074,0.7202,0.6991,0.7097,0.4597,0.5501,0.5049
2.6,-0.7521,0.8391,0.7777,0.6167,0.9898,0.8032,0.7102,0.6921,0.7011,0.4383,0.5382,0.4882
2.7,-0.7469,0.8423,0.7837,0.5983,1.0005,0.7994,0.6969,0.6849,0.6909,0.4172,0.5268,0.472
2.8,-0.7353,0.844,0.7895,0.5834,1.0079,0.7956,0.6801,0.677,0.6785,0.3955,0.5153,0.4554
2.9,-0.7181,0.8435,0.7931,0.5719,1.0104,0.7912,0.66,0.6677,0.6639,0.3728,0.5034,0.4381
3,-0.6963,0.8401,0.7934,0.5636,1.0073,0.7855,0.6376,0.6565,0.6471,0.3497,0.4917,0.4207
3.1,-0.6704,0.8338,0.7904,0.5586,0.9992,0.7789,0.6144,0.6435,0.629,0.3274,0.4811,0.4042
3.2,-0.6408,0.8252,0.7844,0.5576,0.9875,0.7726,0.5921,0.6292,0.6106,0.307,0.4722,0.3896
3.3,-0.6082,0.8153,0.7758,0.5614,0.9734,0.7674,0.5719,0.614,0.593,0.2899,0.4656,0.3777
3.4,-0.5732,0.8048,0.7656,0.57,0.9574,0.7637,0.555,0.5986,0.5768,0.2766,0.4614,0.369
3.5,-0.537,0.7936,0.7546,0.5822,0.9399,0.761,0.5418,0.5834,0.5626,0.2675,0.4595,0.3635
3.6,-0.5006,0.7818,0.7438,0.5964,0.9218,0.7591,0.5328,0.5694,0.5511,0.2629,0.4598,0.3613
3.7,-0.4637,0.7698,0.7338,0.612,0.9046,0.7583,0.5283,0.5574,0.5428,0.2629,0.462,0.3625
3.8,-0.4259,0.7582,0.7249,0.6287,0.8896,0.7592,0.5285,0.5485,0.5385,0.2676,0.4663,0.367
3.9,-0.3868,0.7471,0.7173,0.6465,0.8773,0.7619,0.5331,0.5427,0.5379,0.2772,0.4726,0.3749
4,-0.3471,0.737,0.7115,0.6648,0.8678,0.7663,0.5413,0.5397,0.5405,0.2915,0.4806,0.3861
4.1,-0.3076,0.7283,0.7082,0.683,0.8607,0.7718,0.5526,0.5394,0.546,0.3107,0.4905,0.4006
4.2,-0.2692,0.7216,0.7084,0.7009,0.8555,0.7782,0.5662,0.542,0.5541,0.335,0.5023,0.4186
4.3,-0.2319,0.7173,0.7125,0.7188,0.8518,0.7853,0.5816,0.5479,0.5647,0.3642,0.5159,0.44
4.4,-0.1952,0.7149,0.7207,0.7368,0.8494,0.7931,0.598,0.5573,0.5777,0.3976,0.5313,0.4645
4.5,-0.1594,0.714,0.7329,0.7552,0.8481,0.8016,0.615,0.57,0.5925,0.4344,0.5486,0.4915
4.6,-0.1258,0.7136,0.7484,0.7737,0.8476,0.8107,0.6322,0.5853,0.6087,0.4731,0.5677,0.5204
4.7,-0.0963,0.7131,0.7661,0.792,0.8478,0.8199,0.6492,0.6024,0.6258,0.5124,0.5882,0.5503
4.8,-0.0718,0.7125,0.7858,0.8093,0.8489,0.8291,0.6651,0.6206,0.6428,0.5511,0.6097,0.5804
4.9,-0.0516,0.7116,0.8074,0.8253,0.8513,0.8383,0.679,0.6391,0.6591,0.5884,0.6319,0.6102
5,-0.0348,0.7106,0.8307,0.8396,0.8549,0.8473,0.6903,0.6578,0.674,0.6237,0.655,0.6393
5.1,-0.021,0.7097,0.8556,0.8527,0.8598,0.8562,0.6988,0.6765,0.6876,0.6563,0.6788,0.6675
5.2,-0.0111,0.71,0.8818,0.8648,0.8661,0.8654,0.7046,0.6954,0.7,0.6858,0.7034,0.6946
5.3,-0.0069,0.7128,0.9087,0.8765,0.8743,0.8754,0.7081,0.7149,0.7115,0.7119,0.7287,0.7203
5.4,-0.0093,0.7192,0.9358,0.8876,0.8847,0.8861,0.709,0.7345,0.7217,0.7342,0.7547,0.7444
5.5,-0.0179,0.7294,0.9624,0.8973,0.8962,0.8968,0.7073,0.7539,0.7306,0.7525,0.7809,0.7667
5.6,-0.0313,0.7421,0.9879,0.9047,0.9072,0.9059,0.7031,0.7727,0.7379,0.7664,0.8071,0.7868
5.7,-0.0483,0.7556,1.0113,0.9088,0.916,0.9124,0.6964,0.7902,0.7433,0.7758,0.8325,0.8041
5.8,-0.0681,0.7687,1.0312,0.9092,0.9215,0.9154,0.6871,0.8056,0.7464,0.7807,0.8558,0.8183
5.9,-0.0904,0.7804,1.0463,0.9057,0.9235,0.9146,0.6751,0.8177,0.7464,0.7813,0.8759,0.8286
6,-0.1143,0.7899,1.0548,0.8979,0.9213,0.9096,0.6602,0.8255,0.7428,0.7777,0.8915,0.8346
6.1,-0.1388,0.7966,1.0554,0.8854,0.9138,0.8996,0.6424,0.8281,0.7353,0.7696,0.9015,0.8355
6.2,-0.163,0.7996,1.0467,0.8678,0.9001,0.8839,0.6221,0.8257,0.7239,0.7563,0.9048,0.8306
6.3,-0.1868,0.7986,1.0291,0.8453,0.8804,0.8628,0.5998,0.8187,0.7092,0.738,0.9014,0.8197
6.4,-0.2103,0.7936,1.0039,0.8187,0.8561,0.8374,0.5762,0.8081,0.6921,0.7157,0.8918,0.8038
6.5,-0.2332,0.7851,0.9725,0.789,0.8291,0.809,0.552,0.7947,0.6734,0.6909,0.8771,0.784
6.6,-0.2549,0.774,0.9362,0.7571,0.8006,0.7788,0.5281,0.7786,0.6534,0.6646,0.858,0.7613
6.7,-0.2745,0.761,0.8956,0.7242,0.7717,0.748,0.5049,0.7599,0.6324,0.6379,0.8352,0.7365
6.8,-0.2915,0.7469,0.8513,0.6915,0.7437,0.7176,0.4829,0.7389,0.6109,0.6111,0.8089,0.71
6.9,-0.3061,0.7319,0.8042,0.6604,0.718,0.6892,0.4627,0.7166,0.5896,0.5848,0.7797,0.6822
7,-0.3183,0.7163,0.7558,0.6323,0.6957,0.664,0.4449,0.6939,0.5694,0.56,0.7482,0.6541
7.1,-0.3275,0.7001,0.7079,0.6083,0.6771,0.6427,0.4305,0.6717,0.5511,0.5375,0.7157,0.6266
7.2,-0.3335,0.6838,0.6625,0.589,0.6621,0.6255,0.4201,0.6503,0.5352,0.5183,0.6835,0.6009
7.3,-0.3363,0.668,0.6214,0.5744,0.6503,0.6123,0.4139,0.63,0.5219,0.5026,0.6529,0.5778
7.4,-0.3366,0.6536,0.586,0.5641,0.6423,0.6032,0.4117,0.6116,0.5117,0.4908,0.6248,0.5578
