Time,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC,David Jones - Let Your Spirit Soar 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2537,0.3985,0.5982,0.1282,0.7403,0.4343,0.6895,0.7596,0.7245,0.7882,0.385,0.5866
0.1,0.2356,0.3924,0.5983,0.1256,0.7559,0.4407,0.6632,0.741,0.7021,0.8057,0.4246,0.6152
0.2,0.2228,0.3861,0.5989,0.1273,0.7648,0.4461,0.6369,0.7198,0.6784,0.825,0.4603,0.6426
0.3,0.2163,0.3794,0.6003,0.1329,0.7665,0.4497,0.6121,0.697,0.6545,0.8459,0.4912,0.6685
0.4,0.2136,0.3722,0.6027,0.1422,0.7612,0.4517,0.5894,0.6736,0.6315,0.867,0.5167,0.6919
0.5,0.2117,0.3643,0.6054,0.1544,0.7496,0.452,0.5689,0.6508,0.6098,0.8864,0.5365,0.7115
0.6,0.2083,0.3556,0.6068,0.1681,0.7319,0.45,0.5497,0.6294,0.5896,0.9014,0.5499,0.7257
0.7,0.2024,0.3461,0.6063,0.1816,0.708,0.4448,0.5309,0.6103,0.5706,0.9102,0.5551,0.7327
0.8,0.1931,0.3361,0.6038,0.1939,0.6789,0.4364,0.5114,0.5939,0.5526,0.9115,0.5508,0.7312
0.9,0.1792,0.3261,0.5992,0.2055,0.6467,0.4261,0.4906,0.5801,0.5353,0.905,0.5365,0.7207
1,0.1599,0.3166,0.5919,0.2184,0.6142,0.4163,0.4679,0.568,0.518,0.8899,0.5121,0.701
1.1,0.1365,0.308,0.5812,0.2342,0.5844,0.4093,0.4435,0.5569,0.5002,0.8654,0.48,0.6727
1.2,0.1122,0.3003,0.5676,0.2537,0.5594,0.4065,0.4178,0.5466,0.4822,0.8317,0.4436,0.6377
1.3,0.0898,0.2935,0.5525,0.2765,0.5402,0.4083,0.3921,0.5378,0.465,0.7905,0.4069,0.5987
1.4,0.0701,0.2875,0.5381,0.3022,0.5269,0.4145,0.3673,0.5314,0.4493,0.7441,0.3736,0.5588
1.5,0.0526,0.2823,0.5263,0.3298,0.5179,0.4239,0.3435,0.5277,0.4356,0.6951,0.3467,0.5209
1.6,0.0361,0.2781,0.5181,0.3588,0.5117,0.4352,0.3212,0.5272,0.4242,0.646,0.3277,0.4868
1.7,0.0204,0.2753,0.5135,0.389,0.5083,0.4487,0.3021,0.5294,0.4157,0.5981,0.316,0.457
1.8,0.0061,0.2745,0.5116,0.4207,0.5088,0.4647,0.2873,0.5336,0.4104,0.5524,0.3106,0.4315
1.9,-0.0061,0.2761,0.5114,0.4534,0.5132,0.4833,0.2768,0.5386,0.4077,0.5096,0.3103,0.4099
2,-0.0154,0.2803,0.5123,0.4864,0.5207,0.5035,0.2693,0.5428,0.406,0.4699,0.3138,0.3919
2.1,-0.0207,0.2878,0.5134,0.519,0.5296,0.5243,0.2629,0.5449,0.4039,0.4335,0.3203,0.3769
2.2,-0.0217,0.2989,0.5146,0.551,0.5389,0.5449,0.2575,0.5449,0.4012,0.4004,0.3292,0.3648
2.3,-0.0183,0.3133,0.5165,0.5823,0.5482,0.5652,0.2535,0.5436,0.3985,0.3706,0.3401,0.3553
2.4,-0.0102,0.3302,0.5197,0.6124,0.557,0.5847,0.252,0.542,0.397,0.3438,0.353,0.3484
2.5,0.0033,0.3482,0.5243,0.6405,0.565,0.6028,0.2533,0.5407,0.397,0.3196,0.3681,0.3439
2.6,0.0235,0.3661,0.5298,0.6657,0.5716,0.6186,0.2571,0.5396,0.3983,0.2976,0.3851,0.3413
2.7,0.051,0.3828,0.5355,0.6869,0.5766,0.6318,0.263,0.538,0.4005,0.2778,0.4036,0.3407
2.8,0.0853,0.3974,0.5409,0.7035,0.5789,0.6412,0.2709,0.5357,0.4033,0.2609,0.4231,0.342
2.9,0.125,0.41,0.5455,0.7147,0.5766,0.6457,0.2809,0.5324,0.4067,0.2473,0.4432,0.3453
3,0.1689,0.4205,0.5489,0.7198,0.568,0.6439,0.2926,0.5279,0.4103,0.2373,0.4634,0.3503
3.1,0.217,0.4294,0.5508,0.7182,0.5527,0.6354,0.3053,0.5215,0.4134,0.2309,0.4828,0.3569
3.2,0.2701,0.4376,0.5504,0.7102,0.5316,0.6209,0.3183,0.5129,0.4156,0.2276,0.5011,0.3644
3.3,0.3277,0.4459,0.5472,0.6958,0.507,0.6014,0.3311,0.502,0.4166,0.2271,0.5177,0.3724
3.4,0.3877,0.455,0.5408,0.675,0.4818,0.5784,0.3432,0.4895,0.4164,0.2285,0.5318,0.3801
3.5,0.4464,0.4647,0.5308,0.6478,0.4584,0.5531,0.354,0.4759,0.415,0.231,0.5429,0.3869
3.6,0.5009,0.4748,0.5166,0.6154,0.4386,0.527,0.3628,0.462,0.4124,0.234,0.5505,0.3922
3.7,0.55,0.4847,0.4981,0.5807,0.4239,0.5023,0.3695,0.4481,0.4088,0.2375,0.5546,0.3961
3.8,0.5943,0.4945,0.4754,0.5466,0.4141,0.4803,0.3747,0.4351,0.4049,0.2425,0.5559,0.3992
