Time,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.1194,0.4303,0.2552,0.3746,0.4052,0.3899,0.3794,0.2857,0.3325,0.4245,0.2626,0.3436
4.6,0.1187,0.4567,0.2392,0.3996,0.4234,0.4115,0.3736,0.2891,0.3313,0.4386,0.2574,0.348
4.7,0.1175,0.4858,0.226,0.427,0.4404,0.4337,0.3704,0.2968,0.3336,0.4536,0.2544,0.354
4.8,0.1166,0.5162,0.2168,0.4559,0.4553,0.4556,0.3697,0.3091,0.3394,0.469,0.253,0.361
4.9,0.1171,0.5467,0.2124,0.4859,0.468,0.477,0.3711,0.3259,0.3485,0.4839,0.2529,0.3684
5,0.1208,0.5765,0.2138,0.5177,0.4784,0.498,0.3744,0.3471,0.3607,0.4978,0.2539,0.3758
5.1,0.1298,0.6043,0.2213,0.5514,0.4858,0.5186,0.3791,0.3723,0.3757,0.5106,0.2561,0.3834
5.2,0.1451,0.629,0.2353,0.5863,0.4898,0.5381,0.3852,0.401,0.3931,0.5227,0.2604,0.3915
5.3,0.1661,0.6496,0.2558,0.6208,0.4911,0.5559,0.3929,0.433,0.4129,0.5348,0.2674,0.4011
5.4,0.1908,0.6654,0.2817,0.6531,0.4907,0.5719,0.4021,0.4685,0.4353,0.5478,0.2777,0.4128
5.5,0.2164,0.6764,0.3123,0.6822,0.4894,0.5858,0.4128,0.5069,0.4599,0.5621,0.2913,0.4267
5.6,0.241,0.6829,0.3464,0.7079,0.488,0.5979,0.4248,0.5464,0.4856,0.5777,0.3081,0.4429
5.7,0.2628,0.6854,0.3829,0.7299,0.4868,0.6084,0.4371,0.5851,0.5111,0.5946,0.3281,0.4614
5.8,0.28,0.6841,0.4206,0.7484,0.4867,0.6175,0.4492,0.6216,0.5354,0.6132,0.3521,0.4826
5.9,0.2908,0.6797,0.4585,0.7631,0.4885,0.6258,0.461,0.6558,0.5584,0.6341,0.3805,0.5073
6,0.2941,0.673,0.4959,0.7747,0.4927,0.6337,0.4727,0.688,0.5803,0.6578,0.4142,0.536
6.1,0.2898,0.6648,0.5322,0.7834,0.5,0.6417,0.4852,0.718,0.6016,0.6839,0.4532,0.5685
6.2,0.2783,0.6558,0.5667,0.7898,0.5106,0.6502,0.499,0.745,0.622,0.711,0.4969,0.604
6.3,0.2601,0.6467,0.5984,0.7947,0.5245,0.6596,0.5135,0.7684,0.641,0.7377,0.5438,0.6407
6.4,0.2357,0.6384,0.6262,0.7988,0.5415,0.6702,0.5284,0.7876,0.658,0.7622,0.5917,0.6769
6.5,0.2065,0.6319,0.6491,0.8024,0.5616,0.682,0.5431,0.8019,0.6725,0.7836,0.6383,0.711
6.6,0.174,0.628,0.6664,0.8058,0.5841,0.6949,0.5575,0.8108,0.6841,0.8018,0.6823,0.742
6.7,0.1398,0.6273,0.6777,0.8087,0.6081,0.7084,0.5712,0.8141,0.6926,0.817,0.7224,0.7697
6.8,0.1051,0.6298,0.6825,0.8106,0.6325,0.7216,0.5837,0.8117,0.6977,0.8293,0.758,0.7937
6.9,0.0696,0.6346,0.6818,0.811,0.6562,0.7336,0.5947,0.8039,0.6993,0.8384,0.7885,0.8134
7,0.0327,0.6411,0.6774,0.8089,0.6784,0.7437,0.6039,0.7916,0.6978,0.844,0.8133,0.8287
7.1,-0.005,0.6487,0.6708,0.8041,0.6987,0.7514,0.6111,0.7755,0.6933,0.8458,0.8322,0.839
7.2,-0.0416,0.6574,0.6632,0.7964,0.717,0.7567,0.6163,0.7567,0.6865,0.8438,0.8449,0.8444
7.3,-0.0747,0.6674,0.6551,0.7864,0.7332,0.7598,0.6198,0.7361,0.6779,0.8385,0.8522,0.8453
7.4,-0.1018,0.6786,0.6472,0.7749,0.7474,0.7612,0.6225,0.7148,0.6686,0.8303,0.8549,0.8426
7.5,-0.1216,0.691,0.6404,0.7626,0.7598,0.7612,0.625,0.6937,0.6593,0.8203,0.8544,0.8373
7.6,-0.1342,0.7041,0.6352,0.7499,0.7708,0.7603,0.6275,0.6737,0.6506,0.8091,0.8514,0.8302
7.7,-0.1396,0.7173,0.6316,0.7371,0.7803,0.7587,0.6297,0.6552,0.6425,0.7972,0.8463,0.8217
7.8,-0.1378,0.7298,0.6291,0.7242,0.7885,0.7563,0.6315,0.6385,0.635,0.7847,0.8396,0.8121
7.9,-0.1296,0.7409,0.6275,0.7111,0.7953,0.7532,0.6325,0.6237,0.6281,0.7718,0.8314,0.8016
8,-0.1151,0.7505,0.6268,0.6984,0.8008,0.7496,0.6326,0.6112,0.6219,0.7587,0.8225,0.7906
