Time,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0701,0.5114,0.4621,0.4427,0.5021,0.4724,0.3063,0.3245,0.3154,0.3168,0.4292,0.373
0.1,0.1248,0.5343,0.4321,0.4475,0.4957,0.4716,0.2877,0.3011,0.2944,0.3101,0.3882,0.3492
0.2,0.1732,0.5589,0.4085,0.4598,0.494,0.4769,0.2742,0.2824,0.2783,0.2989,0.3464,0.3226
0.3,0.213,0.5842,0.3912,0.4788,0.496,0.4874,0.2665,0.2684,0.2675,0.2844,0.3051,0.2948
0.4,0.2431,0.609,0.3804,0.5025,0.5007,0.5016,0.2648,0.2588,0.2618,0.268,0.2656,0.2668
0.5,0.263,0.6326,0.3764,0.5293,0.5075,0.5184,0.2693,0.2538,0.2615,0.2505,0.2287,0.2396
0.6,0.2735,0.6552,0.3793,0.558,0.517,0.5375,0.2803,0.2537,0.267,0.2328,0.1955,0.2141
0.7,0.2764,0.677,0.3882,0.5877,0.5294,0.5585,0.2981,0.2579,0.278,0.2156,0.1669,0.1913
0.8,0.2734,0.6979,0.4017,0.6173,0.5437,0.5805,0.3221,0.2656,0.2939,0.1998,0.1438,0.1718
0.9,0.2653,0.7174,0.4188,0.645,0.5586,0.6018,0.3513,0.2755,0.3134,0.186,0.127,0.1565
1,0.2524,0.7347,0.439,0.6694,0.5729,0.6212,0.3841,0.2869,0.3355,0.1756,0.1168,0.1462
1.1,0.2345,0.7497,0.4624,0.69,0.5863,0.6381,0.4198,0.2995,0.3596,0.1701,0.1139,0.142
1.2,0.2118,0.7625,0.4886,0.7067,0.5986,0.6526,0.4576,0.3134,0.3855,0.1706,0.119,0.1448
1.3,0.1856,0.7735,0.5161,0.7199,0.6093,0.6646,0.4966,0.3279,0.4123,0.1777,0.1323,0.155
1.4,0.1574,0.7822,0.5433,0.7296,0.6177,0.6737,0.5359,0.3425,0.4392,0.191,0.1532,0.1721
1.5,0.1281,0.788,0.5686,0.7352,0.6234,0.6793,0.5738,0.3562,0.465,0.2089,0.1802,0.1945
1.6,0.0981,0.7902,0.5913,0.7363,0.6261,0.6812,0.609,0.3687,0.4888,0.2304,0.2117,0.221
1.7,0.0676,0.7886,0.6107,0.7331,0.6266,0.6798,0.6407,0.3803,0.5105,0.2549,0.2471,0.251
1.8,0.037,0.7835,0.6265,0.7263,0.6259,0.6761,0.6684,0.3917,0.5301,0.2822,0.2859,0.2841
1.9,0.0076,0.7755,0.6375,0.7167,0.6244,0.6705,0.6916,0.4022,0.5469,0.3122,0.3269,0.3195
2,-0.0203,0.7652,0.643,0.7046,0.6219,0.6633,0.7093,0.4107,0.56,0.3438,0.3681,0.356
2.1,-0.0465,0.7534,0.6432,0.691,0.6192,0.6551,0.7213,0.4166,0.569,0.3752,0.4075,0.3914
2.2,-0.0706,0.7415,0.6404,0.6772,0.6176,0.6474,0.7281,0.4209,0.5745,0.4058,0.4431,0.4244
2.3,-0.0916,0.7306,0.6367,0.665,0.6183,0.6416,0.7307,0.4248,0.5777,0.4349,0.4736,0.4543
2.4,-0.108,0.7215,0.6325,0.656,0.6217,0.6389,0.7302,0.4285,0.5793,0.4618,0.4982,0.48
2.5,-0.1182,0.7149,0.6274,0.6511,0.6279,0.6395,0.7274,0.4317,0.5795,0.4855,0.5159,0.5007
2.6,-0.1211,0.711,0.6214,0.651,0.6368,0.6439,0.7226,0.4336,0.5781,0.5054,0.5263,0.5158
2.7,-0.1173,0.7101,0.615,0.6561,0.6487,0.6524,0.7161,0.4346,0.5753,0.5215,0.53,0.5257
2.8,-0.1081,0.7128,0.609,0.6665,0.664,0.6653,0.7081,0.4355,0.5718,0.5344,0.5283,0.5314
2.9,-0.0944,0.7193,0.6036,0.6819,0.6824,0.6822,0.6992,0.4367,0.5679,0.5446,0.5222,0.5334
3,-0.0763,0.7289,0.5985,0.7011,0.7029,0.702,0.6897,0.438,0.5639,0.5518,0.5123,0.532
3.1,-0.054,0.7408,0.5933,0.7228,0.7245,0.7237,0.68,0.4391,0.5595,0.5558,0.4986,0.5272
3.2,-0.0284,0.7542,0.5883,0.7463,0.747,0.7466,0.6706,0.4398,0.5552,0.5575,0.4819,0.5197
3.3,-0.0019,0.7687,0.5838,0.7709,0.7706,0.7707,0.6623,0.4405,0.5514,0.5582,0.463,0.5106
3.4,0.0231,0.7834,0.5801,0.7958,0.7947,0.7953,0.6554,0.4412,0.5483,0.5595,0.4432,0.5014
3.5,0.0444,0.797,0.5765,0.819,0.8179,0.8185,0.6496,0.4413,0.5454,0.5619,0.4235,0.4927
3.6,0.0614,0.8082,0.5727,0.8381,0.8385,0.8383,0.6441,0.4398,0.542,0.5651,0.4039,0.4845
3.7,0.0742,0.8169,0.5692,0.8516,0.8557,0.8536,0.6383,0.4369,0.5376,0.569,0.3846,0.4768
3.8,0.0834,0.8234,0.5663,0.8594,0.8695,0.8645,0.6319,0.4333,0.5326,0.5734,0.3663,0.4699
3.9,0.0893,0.8278,0.5641,0.8623,0.8801,0.8712,0.6252,0.4296,0.5274,0.5784,0.3496,0.464
4,0.0919,0.8299,0.5619,0.8603,0.8869,0.8736,0.6181,0.4256,0.5218,0.5834,0.3348,0.4591
4.1,0.0916,0.8288,0.5592,0.8528,0.8894,0.8711,0.6102,0.4204,0.5153,0.5874,0.322,0.4547
4.2,0.0886,0.8237,0.5558,0.8392,0.8871,0.8632,0.6011,0.414,0.5076,0.5895,0.311,0.4503
4.3,0.0828,0.8145,0.5525,0.8194,0.8803,0.8498,0.5908,0.4069,0.4989,0.5893,0.3023,0.4458
4.4,0.0743,0.8014,0.5496,0.7938,0.8691,0.8315,0.5793,0.4001,0.4897,0.5865,0.296,0.4413
4.5,0.0638,0.785,0.5471,0.7637,0.8539,0.8088,0.5669,0.394,0.4804,0.5809,0.2923,0.4366
4.6,0.0522,0.7655,0.5445,0.7305,0.8351,0.7828,0.5534,0.3886,0.471,0.5721,0.2908,0.4314
4.7,0.0407,0.7433,0.5416,0.6953,0.813,0.7542,0.5383,0.384,0.4611,0.5601,0.291,0.4256
4.8,0.0298,0.7186,0.5385,0.6583,0.7877,0.723,0.5217,0.3806,0.4511,0.5455,0.293,0.4193
4.9,0.0195,0.6921,0.5355,0.6203,0.7595,0.6899,0.5041,0.3789,0.4415,0.5296,0.2974,0.4135
5,0.01,0.6652,0.5327,0.5836,0.7301,0.6569,0.4866,0.3792,0.4329,0.5141,0.3049,0.4095
5.1,0.002,0.6393,0.5297,0.5511,0.7018,0.6265,0.4701,0.3813,0.4257,0.5005,0.315,0.4077
5.2,-0.0035,0.6154,0.5261,0.5247,0.676,0.6004,0.455,0.3844,0.4197,0.489,0.3265,0.4077
5.3,-0.0058,0.594,0.5214,0.5052,0.653,0.5791,0.4407,0.3876,0.4142,0.4794,0.3378,0.4086
5.4,-0.0045,0.5751,0.5153,0.4929,0.6327,0.5628,0.4274,0.3905,0.409,0.4712,0.3479,0.4095
5.5,0.0001,0.5585,0.508,0.4877,0.6155,0.5516,0.4158,0.3936,0.4047,0.4638,0.3555,0.4097
5.6,0.0076,0.5447,0.4999,0.4895,0.6016,0.5455,0.4072,0.3975,0.4023,0.4571,0.3596,0.4084
5.7,0.017,0.5336,0.4906,0.4972,0.5907,0.544,0.4016,0.4021,0.4018,0.4504,0.3592,0.4048
5.8,0.0278,0.5255,0.4793,0.5093,0.5823,0.5458,0.3986,0.4067,0.4026,0.4433,0.3535,0.3984
5.9,0.0401,0.5208,0.4659,0.524,0.576,0.55,0.3977,0.4107,0.4042,0.4358,0.3431,0.3894
6,0.0537,0.5198,0.4513,0.5401,0.5719,0.556,0.3993,0.4135,0.4064,0.4287,0.3293,0.379
6.1,0.068,0.5227,0.4364,0.5564,0.5701,0.5633,0.4035,0.4151,0.4093,0.4229,0.3138,0.3684
6.2,0.0816,0.5292,0.4218,0.5723,0.5706,0.5714,0.4103,0.4157,0.413,0.4188,0.298,0.3584
6.3,0.0934,0.5386,0.4074,0.5865,0.5723,0.5794,0.4187,0.4152,0.4169,0.4162,0.2826,0.3494
6.4,0.1032,0.5501,0.3934,0.5983,0.5743,0.5863,0.428,0.4136,0.4208,0.4153,0.2686,0.3419
6.5,0.1107,0.5635,0.3805,0.6075,0.5769,0.5922,0.4375,0.4117,0.4246,0.4164,0.2565,0.3365
6.6,0.1157,0.5785,0.3696,0.6147,0.5803,0.5975,0.447,0.41,0.4285,0.4202,0.2475,0.3338
6.7,0.1173,0.5945,0.3612,0.6192,0.5841,0.6016,0.4555,0.4086,0.432,0.4261,0.2417,0.3339
6.8,0.1146,0.6098,0.3545,0.62,0.5864,0.6032,0.4616,0.4067,0.4342,0.4325,0.2384,0.3354
6.9,0.1081,0.623,0.3489,0.6163,0.585,0.6006,0.4646,0.4038,0.4342,0.4376,0.236,0.3368
7,0.0992,0.6336,0.3446,0.6081,0.5793,0.5937,0.4645,0.4004,0.4324,0.4405,0.2337,0.3371
