Time,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.6,0.0011,0.5422,0.5751,0.5081,0.5422,0.5252,0.5193,0.5667,0.543,0.6131,0.6036,0.6084
26.7,0.0015,0.5511,0.5773,0.5137,0.5441,0.5289,0.5192,0.5668,0.543,0.6171,0.6051,0.6111
26.8,0.0012,0.559,0.5789,0.5179,0.5451,0.5315,0.5182,0.5659,0.5421,0.6199,0.605,0.6124
26.9,0.0002,0.5656,0.5801,0.5206,0.5455,0.533,0.5167,0.5642,0.5404,0.6214,0.6035,0.6124
27,-0.0011,0.5708,0.5809,0.5218,0.545,0.5334,0.5146,0.5618,0.5382,0.6215,0.6007,0.6111
27.1,-0.0027,0.5745,0.5813,0.5214,0.5436,0.5325,0.5119,0.5587,0.5353,0.6201,0.5967,0.6084
27.2,-0.0043,0.5766,0.5813,0.5193,0.5413,0.5303,0.5087,0.5552,0.532,0.617,0.5915,0.6043
27.3,-0.0057,0.577,0.5808,0.5159,0.5386,0.5272,0.5049,0.5513,0.5281,0.6122,0.5854,0.5988
27.4,-0.0065,0.5758,0.5798,0.5115,0.5356,0.5235,0.5006,0.5471,0.5239,0.6057,0.5784,0.592
27.5,-0.0065,0.5734,0.5784,0.5067,0.5326,0.5196,0.4959,0.5427,0.5193,0.5978,0.5707,0.5842
27.6,-0.0057,0.5703,0.5765,0.5019,0.5298,0.5158,0.491,0.5383,0.5146,0.5887,0.5625,0.5756
27.7,-0.0041,0.5669,0.5742,0.4975,0.5272,0.5124,0.4861,0.5339,0.51,0.5789,0.5544,0.5666
27.8,-0.002,0.5635,0.5715,0.4938,0.525,0.5094,0.4815,0.53,0.5058,0.5689,0.5464,0.5576
27.9,0.0005,0.5603,0.5684,0.4909,0.5232,0.507,0.4774,0.5269,0.5021,0.559,0.5389,0.5489
28,0.0035,0.5572,0.5653,0.4889,0.5219,0.5054,0.4736,0.5245,0.4991,0.5494,0.5321,0.5408
28.1,0.0068,0.5545,0.5622,0.4882,0.521,0.5046,0.4703,0.5231,0.4967,0.5404,0.5262,0.5333
28.2,0.0103,0.5524,0.5591,0.4886,0.5207,0.5046,0.4673,0.5225,0.4949,0.5319,0.5209,0.5264
28.3,0.0136,0.5513,0.5562,0.4904,0.5209,0.5057,0.4646,0.5228,0.4937,0.5243,0.5163,0.5203
28.4,0.0164,0.5513,0.5537,0.4934,0.5219,0.5077,0.4623,0.524,0.4931,0.5177,0.5124,0.5151
28.5,0.0189,0.5523,0.5519,0.4979,0.5234,0.5106,0.4606,0.5262,0.4934,0.5123,0.5096,0.511
28.6,0.0209,0.5543,0.5506,0.5038,0.5254,0.5146,0.4596,0.5293,0.4945,0.5083,0.508,0.5081
28.7,0.0227,0.5572,0.5499,0.5113,0.528,0.5197,0.4594,0.5334,0.4964,0.5055,0.5076,0.5065
28.8,0.0241,0.5611,0.5497,0.5204,0.5311,0.5257,0.46,0.538,0.499,0.5039,0.5082,0.506
28.9,0.0246,0.5658,0.55,0.5306,0.5348,0.5327,0.4612,0.5433,0.5022,0.5033,0.5096,0.5064
29,0.0239,0.571,0.5511,0.5418,0.5391,0.5404,0.4628,0.5489,0.5059,0.5036,0.5117,0.5076
29.1,0.022,0.5764,0.553,0.5534,0.5436,0.5485,0.4647,0.5549,0.5098,0.5046,0.5144,0.5095
29.2,0.0189,0.5815,0.5555,0.5646,0.5481,0.5563,0.4668,0.5608,0.5138,0.5063,0.5175,0.5119
29.3,0.0148,0.5861,0.5581,0.5749,0.5519,0.5634,0.4691,0.5661,0.5176,0.5085,0.5208,0.5146
29.4,0.01,0.5898,0.5606,0.5837,0.555,0.5694,0.4715,0.5704,0.5209,0.5111,0.5241,0.5176
29.5,0.0046,0.5922,0.5628,0.5907,0.557,0.5738,0.474,0.5734,0.5237,0.5139,0.5272,0.5205
29.6,-0.0013,0.5931,0.5644,0.5956,0.5576,0.5766,0.4765,0.5751,0.5258,0.5166,0.53,0.5233
29.7,-0.0075,0.5925,0.5653,0.5984,0.5568,0.5776,0.4792,0.5755,0.5273,0.5187,0.5323,0.5255
29.8,-0.0142,0.5905,0.5651,0.5991,0.5547,0.5769,0.4819,0.5746,0.5283,0.5202,0.5339,0.527
29.9,-0.0212,0.5873,0.5639,0.5977,0.5516,0.5747,0.4849,0.5727,0.5288,0.5211,0.5348,0.5279
