Time,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.9,-0.2688,0.538,0.5982,0.3804,0.6173,0.4989,0.3594,0.5255,0.4425,0.6662,0.712,0.6891
28,-0.2807,0.5475,0.5903,0.4,0.649,0.5245,0.3679,0.5268,0.4473,0.6728,0.7124,0.6926
28.1,-0.2914,0.5566,0.5818,0.4186,0.6786,0.5486,0.3763,0.5276,0.4519,0.6803,0.714,0.6971
28.2,-0.2992,0.5646,0.5738,0.4363,0.7044,0.5703,0.3842,0.5278,0.456,0.6881,0.717,0.7025
28.3,-0.3024,0.5713,0.5676,0.4532,0.7259,0.5895,0.3911,0.5276,0.4594,0.6957,0.7218,0.7088
28.4,-0.2999,0.5767,0.5638,0.4701,0.7436,0.6068,0.3972,0.5274,0.4623,0.7031,0.7288,0.7159
28.5,-0.2912,0.5812,0.5628,0.4873,0.7584,0.6229,0.4031,0.5272,0.4651,0.7102,0.7379,0.724
28.6,-0.2767,0.5853,0.5642,0.5049,0.7708,0.6378,0.41,0.5267,0.4683,0.7171,0.7487,0.7329
28.7,-0.2579,0.5894,0.5673,0.5222,0.7809,0.6515,0.4184,0.5256,0.472,0.7235,0.7609,0.7422
28.8,-0.2372,0.5936,0.571,0.539,0.789,0.664,0.4286,0.524,0.4763,0.7293,0.774,0.7517
28.9,-0.2165,0.5987,0.5748,0.5552,0.7961,0.6757,0.4409,0.5223,0.4816,0.7344,0.7876,0.761
29,-0.1978,0.605,0.5783,0.5711,0.8036,0.6873,0.4561,0.5204,0.4882,0.7392,0.8014,0.7703
29.1,-0.1831,0.6126,0.5812,0.5862,0.8125,0.6993,0.4746,0.5189,0.4967,0.7443,0.815,0.7797
29.2,-0.175,0.6211,0.5831,0.5997,0.8232,0.7114,0.496,0.5177,0.5069,0.7499,0.8282,0.7891
29.3,-0.1752,0.6298,0.5841,0.6107,0.835,0.7228,0.5187,0.517,0.5179,0.7554,0.8404,0.7979
29.4,-0.1843,0.6385,0.5841,0.6189,0.8474,0.7332,0.5407,0.5165,0.5286,0.7602,0.8507,0.8054
29.5,-0.2012,0.647,0.5832,0.6247,0.8603,0.7425,0.5611,0.5161,0.5386,0.7639,0.8588,0.8113
29.6,-0.2235,0.6552,0.5812,0.6287,0.8724,0.7506,0.58,0.5159,0.5479,0.7666,0.8648,0.8157
29.7,-0.2484,0.6625,0.5779,0.6313,0.8826,0.7569,0.5975,0.5161,0.5568,0.7682,0.8691,0.8187
29.8,-0.2732,0.6679,0.5728,0.6321,0.8895,0.7608,0.6137,0.5171,0.5654,0.7687,0.8714,0.8201
29.9,-0.2955,0.6704,0.5655,0.6305,0.8927,0.7616,0.6282,0.5192,0.5737,0.7678,0.8711,0.8194
