Time,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0852,0.8243,0.7487,0.7915,0.7103,0.7509,0.7315,0.8505,0.791,0.6118,0.4876,0.5497
0.1,0.1148,0.811,0.7333,0.7697,0.7032,0.7364,0.7167,0.8593,0.788,0.5979,0.4893,0.5436
0.2,0.1417,0.7992,0.7144,0.7478,0.6988,0.7233,0.7008,0.8675,0.7841,0.5828,0.4894,0.5361
0.3,0.1667,0.7893,0.6916,0.7277,0.6965,0.7121,0.6846,0.8749,0.7798,0.5673,0.4882,0.5278
0.4,0.1909,0.7815,0.6649,0.7111,0.6957,0.7034,0.6691,0.8814,0.7753,0.5522,0.4861,0.5192
0.5,0.2149,0.7759,0.6355,0.6998,0.6962,0.698,0.6554,0.8868,0.7711,0.5383,0.484,0.5111
0.6,0.2382,0.773,0.6044,0.6955,0.6973,0.6964,0.6442,0.8908,0.7675,0.5261,0.4822,0.5042
0.7,0.2594,0.7738,0.5731,0.6992,0.699,0.6991,0.6356,0.8932,0.7644,0.5158,0.481,0.4984
0.8,0.2771,0.7791,0.5432,0.7114,0.7015,0.7065,0.6297,0.8941,0.7619,0.5072,0.4805,0.4939
0.9,0.2905,0.789,0.5166,0.7323,0.7056,0.7189,0.6269,0.8942,0.7605,0.5007,0.4814,0.491
1,0.3002,0.803,0.4952,0.7606,0.712,0.7363,0.6276,0.8941,0.7608,0.4963,0.4837,0.49
1.1,0.3068,0.8197,0.48,0.7943,0.7206,0.7575,0.6315,0.8936,0.7626,0.4942,0.4873,0.4907
1.2,0.3107,0.8383,0.4724,0.8307,0.7306,0.7806,0.6375,0.8919,0.7647,0.4945,0.4913,0.4929
1.3,0.3118,0.8581,0.4737,0.8673,0.7409,0.8041,0.6441,0.888,0.766,0.4973,0.4952,0.4962
1.4,0.3127,0.8781,0.485,0.9025,0.7506,0.8265,0.6501,0.8813,0.7657,0.5024,0.4986,0.5005
1.5,0.3166,0.8971,0.5057,0.9356,0.759,0.8473,0.6545,0.8719,0.7632,0.5098,0.5016,0.5057
1.6,0.325,0.9143,0.533,0.9667,0.7668,0.8668,0.6573,0.8598,0.7586,0.5193,0.5045,0.5119
1.7,0.3367,0.9298,0.5631,0.9954,0.7754,0.8854,0.6591,0.846,0.7526,0.5308,0.5073,0.5191
1.8,0.3487,0.9452,0.5936,1.0221,0.7869,0.9045,0.6607,0.8313,0.746,0.5448,0.5104,0.5276
1.9,0.3585,0.9628,0.6234,1.0483,0.8036,0.9259,0.6622,0.8167,0.7394,0.5617,0.5145,0.5381
