Time,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1831,0.6911,0.6497,0.6619,0.7245,0.6932,0.6339,0.5177,0.5758,0.6313,0.4179,0.5246
0.1,-0.1886,0.696,0.6713,0.6775,0.7248,0.7012,0.6665,0.531,0.5988,0.7134,0.4473,0.5803
0.2,-0.1973,0.6992,0.6927,0.6899,0.7244,0.7071,0.7006,0.5451,0.6229,0.7917,0.4809,0.6363
0.3,-0.2099,0.7009,0.7133,0.6995,0.7242,0.7119,0.7357,0.5605,0.6481,0.8632,0.5168,0.69
0.4,-0.2257,0.7008,0.7328,0.707,0.7248,0.7159,0.7703,0.5774,0.6738,0.9256,0.5533,0.7395
0.5,-0.2432,0.6982,0.7514,0.7132,0.7264,0.7198,0.8027,0.596,0.6993,0.9777,0.5889,0.7833
0.6,-0.2605,0.6925,0.7698,0.7186,0.7286,0.7236,0.8321,0.6162,0.7242,1.0186,0.6226,0.8206
0.7,-0.2755,0.6834,0.7884,0.7234,0.731,0.7272,0.8578,0.6377,0.7477,1.0486,0.6538,0.8512
0.8,-0.2877,0.6708,0.8064,0.7272,0.733,0.7301,0.8786,0.6591,0.7688,1.0691,0.6818,0.8754
0.9,-0.2975,0.6557,0.8218,0.7299,0.7342,0.732,0.8929,0.6789,0.7859,1.0817,0.706,0.8939
1,-0.3063,0.6394,0.8323,0.7311,0.7343,0.7327,0.8995,0.6957,0.7976,1.088,0.7258,0.9069
1.1,-0.3156,0.623,0.8367,0.7308,0.733,0.7319,0.898,0.7084,0.8032,1.0884,0.7402,0.9143
1.2,-0.3257,0.6069,0.835,0.7288,0.7304,0.7296,0.8898,0.7162,0.803,1.0831,0.749,0.9161
1.3,-0.3352,0.5915,0.8276,0.7252,0.7262,0.7257,0.8766,0.7193,0.7979,1.0728,0.7525,0.9126
1.4,-0.3429,0.5775,0.8156,0.7204,0.7208,0.7206,0.8598,0.7184,0.7891,1.0585,0.7515,0.905
1.5,-0.3477,0.5659,0.8005,0.7149,0.7145,0.7147,0.8403,0.715,0.7776,1.0415,0.7473,0.8944
1.6,-0.3488,0.5571,0.784,0.7094,0.7075,0.7084,0.8186,0.7097,0.7642,1.0232,0.7413,0.8822
1.7,-0.3451,0.5507,0.7677,0.704,0.6998,0.7019,0.7957,0.7029,0.7493,1.0043,0.7348,0.8696
1.8,-0.3357,0.5458,0.7522,0.6982,0.6908,0.6945,0.7726,0.6944,0.7335,0.9856,0.7288,0.8572
1.9,-0.3207,0.5419,0.7373,0.6917,0.6801,0.6859,0.75,0.684,0.717,0.9676,0.7236,0.8456
2,-0.3008,0.5388,0.7224,0.6845,0.6673,0.6759,0.7281,0.672,0.7001,0.9503,0.7188,0.8346
