Time,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
25,-0.0866,0.6408,0.4775,0.4468,0.6804,0.5636,0.3759,0.5376,0.4568,0.6757,0.6334,0.6546
25.1,-0.0842,0.6158,0.4678,0.4266,0.6708,0.5487,0.3656,0.5294,0.4475,0.6731,0.6231,0.6481
25.2,-0.0807,0.594,0.4575,0.4106,0.6618,0.5362,0.3554,0.5241,0.4397,0.6722,0.6137,0.643
25.3,-0.0763,0.5762,0.4467,0.3986,0.6536,0.5261,0.3458,0.5221,0.434,0.673,0.6057,0.6393
25.4,-0.0705,0.5628,0.4361,0.3905,0.6463,0.5184,0.3382,0.5241,0.4311,0.6759,0.5994,0.6376
25.5,-0.0625,0.5544,0.4271,0.3866,0.6404,0.5135,0.3333,0.5305,0.4319,0.6809,0.5953,0.6381
25.6,-0.0521,0.5509,0.4203,0.3875,0.6364,0.512,0.3313,0.5411,0.4362,0.6873,0.5933,0.6403
25.7,-0.0393,0.5513,0.4161,0.3933,0.6343,0.5138,0.3321,0.5548,0.4435,0.694,0.5926,0.6433
25.8,-0.0237,0.5546,0.4145,0.4034,0.6341,0.5188,0.3354,0.5711,0.4532,0.7003,0.5924,0.6464
25.9,-0.0056,0.5601,0.4155,0.4167,0.6356,0.5262,0.341,0.589,0.465,0.7054,0.5923,0.6489
26,0.0146,0.5677,0.4193,0.4324,0.6389,0.5356,0.3493,0.6082,0.4787,0.709,0.5924,0.6507
26.1,0.0366,0.577,0.4258,0.4497,0.6438,0.5467,0.3603,0.6277,0.494,0.7111,0.5931,0.6521
26.2,0.06,0.5872,0.4348,0.4684,0.6495,0.559,0.3743,0.6468,0.5106,0.712,0.5941,0.653
26.3,0.0842,0.5971,0.446,0.4879,0.6549,0.5714,0.3913,0.6652,0.5282,0.7117,0.5949,0.6533
26.4,0.1084,0.6058,0.4597,0.5072,0.6588,0.583,0.411,0.6825,0.5468,0.7103,0.5951,0.6527
26.5,0.1321,0.6128,0.4763,0.5253,0.661,0.5932,0.4329,0.6984,0.5656,0.7081,0.5944,0.6512
26.6,0.1545,0.6178,0.4956,0.5411,0.6617,0.6014,0.4554,0.7122,0.5838,0.7048,0.5934,0.6491
26.7,0.1753,0.6208,0.5172,0.554,0.6614,0.6077,0.4769,0.7239,0.6004,0.7005,0.5926,0.6465
26.8,0.1942,0.6221,0.5402,0.5637,0.66,0.6119,0.4971,0.7338,0.6154,0.6957,0.5924,0.644
26.9,0.2106,0.6225,0.564,0.5701,0.6576,0.6139,0.516,0.7427,0.6293,0.6907,0.5928,0.6418
27,0.2247,0.6229,0.5879,0.5735,0.6544,0.6139,0.5342,0.7509,0.6426,0.6861,0.5936,0.6399
27.1,0.2361,0.6242,0.6115,0.5745,0.6506,0.6126,0.5519,0.758,0.6549,0.6821,0.5947,0.6384
27.2,0.2441,0.6268,0.6339,0.5732,0.6465,0.6098,0.5684,0.7631,0.6657,0.6788,0.5959,0.6373
27.3,0.2472,0.6298,0.6542,0.569,0.6414,0.6052,0.5836,0.7649,0.6743,0.676,0.5974,0.6367
27.4,0.2445,0.6319,0.6718,0.5613,0.6348,0.5981,0.597,0.7632,0.6801,0.6737,0.5989,0.6363
27.5,0.2355,0.6321,0.6866,0.5503,0.6268,0.5885,0.6087,0.7582,0.6834,0.6714,0.6004,0.6359
27.6,0.2202,0.6305,0.6986,0.5369,0.6179,0.5774,0.6187,0.7508,0.6847,0.669,0.6016,0.6353
27.7,0.1987,0.6281,0.7079,0.5229,0.6088,0.5658,0.6273,0.742,0.6847,0.6668,0.6023,0.6346
27.8,0.1725,0.6255,0.7151,0.5096,0.6001,0.5549,0.635,0.7328,0.6839,0.6651,0.6025,0.6338
27.9,0.1438,0.6228,0.7201,0.4976,0.5918,0.5447,0.6419,0.7238,0.6828,0.6637,0.6016,0.6327
28,0.1148,0.6192,0.7229,0.4865,0.5834,0.5349,0.6481,0.7152,0.6817,0.6624,0.5992,0.6308
28.1,0.0869,0.6144,0.7234,0.4758,0.5744,0.5251,0.6535,0.707,0.6802,0.6608,0.5952,0.628
28.2,0.061,0.6081,0.7215,0.4653,0.5645,0.5149,0.6581,0.6989,0.6785,0.6587,0.5898,0.6243
28.3,0.0381,0.6003,0.717,0.455,0.5535,0.5042,0.662,0.6908,0.6764,0.6556,0.5834,0.6195
28.4,0.0191,0.5908,0.7097,0.445,0.5411,0.4931,0.6652,0.6825,0.6739,0.6511,0.5762,0.6136
28.5,0.0043,0.5796,0.6993,0.4352,0.5275,0.4814,0.6679,0.674,0.671,0.6451,0.5682,0.6066
28.6,-0.0067,0.5672,0.6861,0.4257,0.5131,0.4694,0.6702,0.6654,0.6678,0.6377,0.5593,0.5985
28.7,-0.0146,0.554,0.6707,0.4165,0.4986,0.4576,0.6719,0.6569,0.6644,0.6295,0.5497,0.5896
28.8,-0.02,0.5405,0.6535,0.4078,0.4844,0.4461,0.6729,0.6488,0.6608,0.6209,0.5396,0.5803
28.9,-0.0231,0.5263,0.6348,0.3992,0.47,0.4346,0.6724,0.6411,0.6568,0.6125,0.5295,0.571
29,-0.0237,0.5111,0.6149,0.3905,0.4549,0.4227,0.6703,0.6343,0.6523,0.6049,0.5198,0.5623
29.1,-0.0219,0.4954,0.5944,0.381,0.4389,0.41,0.6667,0.6289,0.6478,0.5987,0.5114,0.5551
29.2,-0.0184,0.4804,0.5744,0.3707,0.4226,0.3966,0.6625,0.6259,0.6442,0.5947,0.5053,0.55
29.3,-0.014,0.4673,0.5557,0.3599,0.4071,0.3835,0.6583,0.6257,0.642,0.5933,0.5022,0.5477
29.4,-0.0091,0.4573,0.5391,0.3496,0.3934,0.3715,0.6547,0.6289,0.6418,0.5945,0.502,0.5483
29.5,-0.0038,0.4506,0.5253,0.3403,0.3821,0.3612,0.6518,0.6361,0.6439,0.598,0.5042,0.5511
29.6,0.0023,0.4475,0.5153,0.332,0.3735,0.3528,0.6497,0.6475,0.6486,0.6035,0.5079,0.5557
29.7,0.0089,0.4486,0.5105,0.3252,0.3684,0.3468,0.6485,0.6633,0.6559,0.6103,0.5128,0.5615
29.8,0.0156,0.4552,0.5119,0.3206,0.3678,0.3442,0.6481,0.6836,0.6658,0.618,0.5189,0.5685
29.9,0.0224,0.4679,0.5203,0.3196,0.3725,0.3461,0.6481,0.7078,0.6779,0.6261,0.5265,0.5763
