Time,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23.7,-0.2539,0.4443,0.6535,0.4818,0.5261,0.5039,0.4252,0.4567,0.4409,0.8521,0.737,0.7945
23.8,-0.2478,0.4368,0.6284,0.4639,0.5199,0.4919,0.3896,0.4316,0.4106,0.812,0.7069,0.7595
23.9,-0.2417,0.431,0.6039,0.4466,0.5145,0.4806,0.3572,0.4072,0.3822,0.77,0.6748,0.7224
24,-0.2374,0.4266,0.5813,0.4293,0.51,0.4697,0.3281,0.3843,0.3562,0.7276,0.6419,0.6847
24.1,-0.2357,0.4232,0.5615,0.4118,0.5057,0.4587,0.3028,0.3642,0.3335,0.6861,0.609,0.6476
24.2,-0.2361,0.4203,0.5455,0.3945,0.5007,0.4476,0.2818,0.3478,0.3148,0.6468,0.5772,0.612
24.3,-0.2374,0.4176,0.534,0.3786,0.4946,0.4366,0.2655,0.3358,0.3006,0.6105,0.5477,0.5791
24.4,-0.239,0.4151,0.527,0.3648,0.4872,0.426,0.2537,0.3277,0.2907,0.5776,0.5218,0.5497
24.5,-0.2407,0.4127,0.5241,0.3532,0.4783,0.4157,0.2456,0.3229,0.2842,0.5483,0.5002,0.5242
24.6,-0.2429,0.4103,0.5246,0.3431,0.4682,0.4056,0.2407,0.3205,0.2806,0.5224,0.4831,0.5027
24.7,-0.2457,0.4084,0.5277,0.3346,0.457,0.3958,0.239,0.3199,0.2794,0.4998,0.4701,0.4849
24.8,-0.2478,0.4076,0.5328,0.3287,0.4456,0.3872,0.2401,0.3208,0.2804,0.4805,0.4609,0.4707
24.9,-0.2478,0.4085,0.5393,0.3262,0.4346,0.3804,0.2438,0.3228,0.2833,0.4643,0.4551,0.4597
25,-0.245,0.411,0.5466,0.3272,0.4242,0.3757,0.2499,0.3255,0.2877,0.4513,0.4523,0.4518
25.1,-0.2402,0.4143,0.5539,0.3301,0.4144,0.3722,0.2581,0.3286,0.2933,0.441,0.4518,0.4464
25.2,-0.235,0.4173,0.5608,0.3332,0.4048,0.369,0.2684,0.3318,0.3001,0.4334,0.4533,0.4433
25.3,-0.2302,0.4195,0.5671,0.3355,0.3954,0.3655,0.2805,0.3349,0.3077,0.4282,0.4564,0.4423
25.4,-0.2254,0.4207,0.5723,0.3369,0.386,0.3615,0.2942,0.3376,0.3159,0.4252,0.4606,0.4429
25.5,-0.2198,0.4212,0.576,0.3379,0.377,0.3574,0.3088,0.3396,0.3242,0.4242,0.4655,0.4448
25.6,-0.2128,0.4214,0.5777,0.3387,0.3685,0.3536,0.3235,0.3406,0.3321,0.4245,0.4704,0.4475
25.7,-0.2047,0.4213,0.5772,0.3393,0.3607,0.35,0.338,0.3402,0.3391,0.4257,0.4749,0.4503
25.8,-0.1954,0.4209,0.5748,0.3395,0.3538,0.3466,0.3519,0.3385,0.3452,0.4275,0.4786,0.453
25.9,-0.1844,0.4203,0.5713,0.3395,0.348,0.3438,0.3649,0.3354,0.3501,0.43,0.4815,0.4557
26,-0.171,0.4197,0.5668,0.3393,0.3438,0.3415,0.3766,0.3311,0.3539,0.4336,0.4837,0.4586
26.1,-0.1548,0.419,0.5612,0.3389,0.3411,0.34,0.3867,0.3258,0.3562,0.4384,0.485,0.4617
26.2,-0.1362,0.4186,0.5543,0.3379,0.3402,0.3391,0.3947,0.3195,0.3571,0.444,0.4849,0.4645
26.3,-0.116,0.4186,0.5465,0.3364,0.3409,0.3386,0.4005,0.3126,0.3565,0.4504,0.4832,0.4668
26.4,-0.0948,0.4192,0.5386,0.3346,0.3428,0.3387,0.4039,0.3055,0.3547,0.4578,0.4802,0.469
26.5,-0.0734,0.4207,0.5314,0.3327,0.3451,0.3389,0.4051,0.2983,0.3517,0.4667,0.4764,0.4715
26.6,-0.0521,0.423,0.5254,0.3303,0.3473,0.3388,0.4041,0.2915,0.3478,0.4777,0.4721,0.4749
26.7,-0.0319,0.4257,0.5203,0.3265,0.3487,0.3376,0.4011,0.2854,0.3432,0.4907,0.4675,0.4791
26.8,-0.0141,0.4282,0.5157,0.3203,0.3491,0.3347,0.3964,0.28,0.3382,0.5055,0.4624,0.4839
26.9,0.0004,0.4303,0.511,0.3114,0.3485,0.33,0.3904,0.2758,0.3331,0.522,0.4571,0.4895
27,0.0114,0.4323,0.5064,0.3003,0.3473,0.3238,0.3836,0.273,0.3283,0.5404,0.4519,0.4961
27.1,0.0193,0.4347,0.5021,0.2879,0.3452,0.3166,0.3772,0.2726,0.3249,0.5608,0.4474,0.5041
27.2,0.0241,0.4382,0.4986,0.2752,0.3421,0.3087,0.3727,0.2757,0.3242,0.583,0.444,0.5135
27.3,0.0259,0.4427,0.4964,0.2632,0.3378,0.3005,0.3712,0.2831,0.3272,0.6063,0.4417,0.524
27.4,0.0246,0.4481,0.4959,0.2526,0.3326,0.2926,0.3732,0.2952,0.3342,0.6294,0.4403,0.5348
27.5,0.0209,0.4538,0.4974,0.2438,0.3262,0.285,0.3782,0.3116,0.3449,0.651,0.4396,0.5453
27.6,0.0157,0.4592,0.501,0.237,0.3189,0.278,0.3855,0.3316,0.3585,0.67,0.4396,0.5548
27.7,0.0093,0.4642,0.5063,0.2325,0.3104,0.2714,0.3945,0.3542,0.3744,0.6856,0.44,0.5628
27.8,0.0019,0.4683,0.5132,0.2307,0.3009,0.2658,0.4056,0.3786,0.3921,0.6975,0.4402,0.5688
27.9,-0.0061,0.4718,0.5218,0.2322,0.2909,0.2615,0.4194,0.4042,0.4118,0.7051,0.4397,0.5724
28,-0.014,0.4744,0.5326,0.2375,0.2806,0.2591,0.4363,0.4303,0.4333,0.7083,0.4379,0.5731
28.1,-0.0211,0.476,0.5457,0.2465,0.2704,0.2584,0.4565,0.4561,0.4563,0.7069,0.4348,0.5708
28.2,-0.0267,0.476,0.5608,0.258,0.2597,0.2589,0.4797,0.4808,0.4803,0.701,0.4304,0.5657
28.3,-0.0305,0.4736,0.5774,0.2709,0.2478,0.2593,0.5061,0.5035,0.5048,0.6914,0.4252,0.5583
28.4,-0.0315,0.4683,0.5951,0.2843,0.2339,0.2591,0.5351,0.5231,0.5291,0.6789,0.4197,0.5493
28.5,-0.0279,0.4597,0.6139,0.2984,0.2175,0.2579,0.5657,0.5386,0.5522,0.6644,0.4141,0.5392
28.6,-0.018,0.4483,0.6337,0.3135,0.1987,0.2561,0.5958,0.5493,0.5725,0.6486,0.4086,0.5286
28.7,-0.0012,0.4351,0.6541,0.3295,0.1785,0.254,0.6225,0.5546,0.5886,0.6324,0.4031,0.5177
28.8,0.0223,0.4212,0.6743,0.3457,0.1586,0.2521,0.6435,0.5541,0.5988,0.6161,0.3978,0.507
28.9,0.0518,0.4077,0.6929,0.3611,0.1406,0.2509,0.6569,0.5476,0.6023,0.6,0.3932,0.4966
29,0.087,0.3952,0.7083,0.3755,0.1262,0.2508,0.6619,0.5349,0.5984,0.5844,0.39,0.4872
29.1,0.1283,0.3846,0.7193,0.3896,0.1166,0.2531,0.6578,0.5162,0.587,0.5697,0.3889,0.4793
29.2,0.1755,0.3767,0.725,0.4046,0.1131,0.2588,0.6442,0.4922,0.5682,0.5565,0.3902,0.4734
29.3,0.2274,0.3722,0.725,0.4212,0.1164,0.2688,0.6211,0.4643,0.5427,0.545,0.394,0.4695
29.4,0.2817,0.3714,0.7188,0.4394,0.1271,0.2833,0.5898,0.4342,0.512,0.5355,0.4,0.4677
29.5,0.3354,0.3743,0.7066,0.4589,0.1455,0.3022,0.552,0.4035,0.4777,0.5276,0.4081,0.4679
29.6,0.3858,0.3806,0.6893,0.479,0.1716,0.3253,0.5099,0.3733,0.4416,0.5216,0.4183,0.4699
29.7,0.4309,0.3903,0.6682,0.4993,0.2051,0.3522,0.4656,0.3448,0.4052,0.5173,0.4305,0.4739
29.8,0.4694,0.4034,0.6448,0.5194,0.2456,0.3825,0.4206,0.319,0.3698,0.5152,0.444,0.4796
29.9,0.5007,0.4195,0.62,0.539,0.292,0.4155,0.3761,0.2972,0.3367,0.5145,0.4572,0.4859
