Time,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22,-0.1839,0.4338,0.5232,0.2076,0.3645,0.286,0.3487,0.8696,0.6092,0.6185,0.6014,0.61
22.1,-0.2189,0.4496,0.5616,0.2078,0.3771,0.2925,0.3586,0.8672,0.6129,0.6094,0.582,0.5957
22.2,-0.2481,0.4641,0.5955,0.209,0.3889,0.2989,0.37,0.8629,0.6164,0.6016,0.5616,0.5816
22.3,-0.2702,0.4766,0.6213,0.2112,0.4003,0.3057,0.3823,0.8554,0.6188,0.5941,0.5407,0.5674
22.4,-0.2842,0.4868,0.6376,0.2146,0.4108,0.3127,0.3949,0.8443,0.6196,0.5858,0.52,0.5529
22.5,-0.2897,0.4944,0.6448,0.22,0.4192,0.3196,0.4077,0.8306,0.6192,0.5752,0.5003,0.5377
22.6,-0.2883,0.4994,0.6445,0.2273,0.4243,0.3258,0.4206,0.8153,0.6179,0.5616,0.4821,0.5218
22.7,-0.2831,0.501,0.6385,0.2353,0.4253,0.3303,0.4329,0.7994,0.6162,0.5449,0.4658,0.5053
22.8,-0.2758,0.4986,0.6284,0.2427,0.4223,0.3325,0.4441,0.7832,0.6136,0.5251,0.4518,0.4884
22.9,-0.2662,0.4919,0.6153,0.2485,0.4156,0.3321,0.4537,0.7663,0.61,0.5022,0.4399,0.471
23,-0.2539,0.4821,0.6005,0.2529,0.4066,0.3298,0.4621,0.7494,0.6057,0.477,0.4298,0.4534
23.1,-0.2416,0.4703,0.5856,0.2572,0.3968,0.327,0.4693,0.7349,0.6021,0.4509,0.4214,0.4361
23.2,-0.2336,0.4573,0.5716,0.2622,0.3878,0.325,0.475,0.7241,0.5996,0.4249,0.415,0.4199
23.3,-0.2319,0.4438,0.5592,0.2686,0.3808,0.3247,0.4785,0.7171,0.5978,0.4002,0.4111,0.4057
23.4,-0.2354,0.4306,0.5489,0.2767,0.3766,0.3266,0.4797,0.7134,0.5965,0.3776,0.4102,0.3939
23.5,-0.2423,0.4188,0.5408,0.2862,0.3758,0.331,0.4792,0.7125,0.5958,0.3574,0.4114,0.3844
23.6,-0.2517,0.4093,0.5343,0.2972,0.3787,0.338,0.4776,0.7141,0.5959,0.3399,0.4143,0.3771
23.7,-0.2632,0.4028,0.5289,0.31,0.3858,0.3479,0.475,0.7178,0.5964,0.3255,0.4188,0.3722
23.8,-0.2763,0.3998,0.5248,0.3251,0.397,0.3611,0.4721,0.723,0.5975,0.3151,0.4253,0.3702
23.9,-0.289,0.4002,0.523,0.3425,0.4126,0.3775,0.4699,0.7294,0.5997,0.3105,0.4345,0.3725
24,-0.2996,0.4039,0.5239,0.3616,0.4324,0.397,0.47,0.7366,0.6033,0.3143,0.4466,0.3804
24.1,-0.3068,0.4107,0.5277,0.3822,0.4566,0.4194,0.473,0.7443,0.6086,0.3274,0.4616,0.3945
24.2,-0.3101,0.4191,0.5335,0.4035,0.4845,0.444,0.4788,0.7518,0.6153,0.3499,0.4799,0.4149
24.3,-0.3091,0.4279,0.5403,0.4248,0.5146,0.4697,0.4869,0.7582,0.6225,0.3816,0.5016,0.4416
24.4,-0.3037,0.4364,0.5477,0.4454,0.5452,0.4953,0.4971,0.7628,0.6299,0.4222,0.5266,0.4744
24.5,-0.2933,0.4445,0.5554,0.465,0.5753,0.5201,0.5097,0.7657,0.6377,0.4706,0.5549,0.5128
24.6,-0.2784,0.4526,0.5632,0.4838,0.6042,0.544,0.5249,0.767,0.6459,0.5244,0.5869,0.5557
24.7,-0.2593,0.4606,0.5702,0.5021,0.6312,0.5667,0.5424,0.7662,0.6543,0.5812,0.6224,0.6018
24.8,-0.236,0.4678,0.5756,0.5204,0.6551,0.5877,0.5613,0.7625,0.6619,0.6388,0.6615,0.6501
24.9,-0.2075,0.4737,0.5788,0.5391,0.674,0.6065,0.5809,0.7551,0.668,0.6961,0.7033,0.6997
25,-0.1741,0.4776,0.5803,0.5577,0.6867,0.6222,0.6004,0.7445,0.6725,0.7515,0.7466,0.7491
25.1,-0.1375,0.4788,0.5806,0.5754,0.6926,0.634,0.6192,0.7316,0.6754,0.8021,0.7904,0.7962
25.2,-0.0994,0.4768,0.5797,0.5911,0.692,0.6415,0.6366,0.7166,0.6766,0.846,0.8333,0.8397
25.3,-0.0611,0.4714,0.5768,0.6037,0.6852,0.6444,0.652,0.6993,0.6756,0.8826,0.8738,0.8782
25.4,-0.0252,0.4628,0.5711,0.6122,0.6725,0.6423,0.6649,0.6797,0.6723,0.9113,0.9095,0.9104
25.5,0.0064,0.4519,0.563,0.6164,0.655,0.6357,0.6752,0.6587,0.667,0.931,0.9386,0.9348
25.6,0.0328,0.4398,0.553,0.6167,0.6342,0.6254,0.6826,0.6372,0.6599,0.941,0.9598,0.9504
25.7,0.0549,0.4272,0.5419,0.6139,0.6117,0.6128,0.6869,0.6158,0.6514,0.9418,0.9723,0.957
25.8,0.0734,0.4145,0.5302,0.6079,0.5893,0.5986,0.6881,0.595,0.6416,0.9351,0.976,0.9555
25.9,0.0858,0.4018,0.519,0.5987,0.5682,0.5834,0.6862,0.5756,0.6309,0.923,0.971,0.947
26,0.088,0.39,0.5085,0.5863,0.5494,0.5679,0.6807,0.5585,0.6196,0.9067,0.9577,0.9322
26.1,0.077,0.3798,0.4985,0.5717,0.534,0.5529,0.6716,0.544,0.6078,0.8867,0.9363,0.9115
26.2,0.0532,0.3723,0.4889,0.5565,0.5233,0.5399,0.6592,0.5323,0.5957,0.8639,0.9082,0.886
26.3,0.0198,0.3689,0.4798,0.5425,0.5185,0.5305,0.6449,0.5232,0.584,0.8397,0.8749,0.8573
26.4,-0.0197,0.3709,0.4721,0.5314,0.52,0.5257,0.6303,0.5172,0.5737,0.8152,0.8377,0.8264
26.5,-0.0635,0.3783,0.4661,0.5236,0.5275,0.5256,0.6154,0.515,0.5652,0.7904,0.7973,0.7938
26.6,-0.1099,0.3901,0.4615,0.5193,0.5404,0.5298,0.6,0.5161,0.558,0.7645,0.7541,0.7593
26.7,-0.156,0.4048,0.4578,0.5182,0.5584,0.5383,0.5841,0.5195,0.5518,0.7367,0.7088,0.7228
26.8,-0.1992,0.4214,0.4549,0.5201,0.581,0.5506,0.5683,0.5247,0.5465,0.7071,0.6626,0.6849
26.9,-0.2381,0.4392,0.4533,0.5243,0.607,0.5656,0.553,0.531,0.542,0.6762,0.6167,0.6465
27,-0.2724,0.4579,0.453,0.5299,0.635,0.5824,0.5386,0.5377,0.5382,0.6452,0.5726,0.6089
27.1,-0.3014,0.4767,0.4539,0.5369,0.6639,0.6004,0.5254,0.5444,0.5349,0.6152,0.5313,0.5732
27.2,-0.3247,0.4952,0.4557,0.5454,0.6933,0.6193,0.5137,0.5503,0.532,0.5871,0.4935,0.5403
27.3,-0.3424,0.5124,0.4581,0.5545,0.722,0.6382,0.5043,0.5551,0.5297,0.5619,0.4596,0.5107
27.4,-0.3558,0.5275,0.4606,0.5627,0.7484,0.6555,0.4973,0.5586,0.528,0.5398,0.4301,0.485
27.5,-0.3658,0.5401,0.4625,0.5688,0.7709,0.6699,0.4923,0.561,0.5267,0.5204,0.4051,0.4627
27.6,-0.3719,0.5502,0.4634,0.5729,0.7884,0.6807,0.4885,0.5623,0.5254,0.5031,0.3841,0.4436
27.7,-0.3735,0.5586,0.4626,0.5756,0.8006,0.6881,0.4854,0.5623,0.5239,0.4878,0.3661,0.4269
27.8,-0.3713,0.5666,0.4603,0.5776,0.808,0.6928,0.4834,0.5605,0.5219,0.4745,0.3504,0.4125
27.9,-0.3664,0.5747,0.4569,0.5787,0.8107,0.6947,0.4829,0.5572,0.5201,0.4634,0.337,0.4002
28,-0.3601,0.5826,0.4527,0.5784,0.8078,0.6931,0.4847,0.5531,0.5189,0.4546,0.3263,0.3905
28.1,-0.3522,0.5893,0.4479,0.5762,0.7984,0.6873,0.4887,0.5486,0.5187,0.4484,0.3189,0.3837
28.2,-0.3416,0.5937,0.4425,0.5714,0.7819,0.6767,0.4944,0.5441,0.5192,0.4448,0.3152,0.38
28.3,-0.3271,0.5953,0.4365,0.5633,0.7587,0.661,0.5013,0.5395,0.5204,0.4433,0.3154,0.3793
28.4,-0.3094,0.5945,0.4302,0.5511,0.73,0.6405,0.5094,0.5346,0.522,0.4437,0.3194,0.3815
28.5,-0.2904,0.5916,0.4236,0.5346,0.6978,0.6162,0.5186,0.5287,0.5237,0.4458,0.3271,0.3865
28.6,-0.2723,0.5875,0.4161,0.5142,0.6638,0.589,0.5279,0.5215,0.5247,0.4495,0.3383,0.3939
28.7,-0.2568,0.5827,0.4075,0.4909,0.6292,0.56,0.5358,0.5129,0.5244,0.4544,0.3522,0.4033
28.8,-0.2455,0.5778,0.3984,0.4656,0.5944,0.53,0.5415,0.5043,0.5229,0.4596,0.3682,0.4139
28.9,-0.2385,0.5733,0.3901,0.4387,0.5603,0.4995,0.545,0.4966,0.5208,0.4648,0.3864,0.4256
29,-0.2347,0.5694,0.3844,0.4107,0.5278,0.4693,0.5469,0.4909,0.5189,0.4704,0.4074,0.4389
29.1,-0.2329,0.5662,0.3827,0.3824,0.4978,0.4401,0.5482,0.4878,0.518,0.478,0.432,0.455
29.2,-0.2321,0.5637,0.3862,0.3552,0.4707,0.4129,0.5498,0.4881,0.5189,0.4882,0.4603,0.4743
29.3,-0.2319,0.562,0.3956,0.3305,0.4466,0.3886,0.552,0.492,0.522,0.5012,0.4915,0.4963
29.4,-0.2308,0.5615,0.4115,0.3099,0.4258,0.3679,0.555,0.4997,0.5273,0.5164,0.5243,0.5203
29.5,-0.2264,0.5624,0.4339,0.2944,0.4085,0.3515,0.5593,0.5105,0.5349,0.5333,0.5574,0.5454
29.6,-0.216,0.5641,0.4623,0.2847,0.3949,0.3398,0.5652,0.5241,0.5446,0.5514,0.5896,0.5705
29.7,-0.1979,0.5663,0.4956,0.281,0.3844,0.3327,0.5723,0.5398,0.556,0.5697,0.6191,0.5944
29.8,-0.1719,0.5682,0.5325,0.2827,0.375,0.3289,0.5792,0.5571,0.5682,0.586,0.6451,0.6156
29.9,-0.1386,0.569,0.5714,0.2881,0.3644,0.3263,0.5845,0.5755,0.58,0.5983,0.6676,0.6329
