Time,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0869,0.677,0.6227,0.5744,0.7442,0.6593,0.6264,0.5064,0.5664,0.785,0.6697,0.7274
0.1,-0.0614,0.6693,0.6209,0.5992,0.7351,0.6672,0.6092,0.5341,0.5717,0.7868,0.6886,0.7377
0.2,-0.0355,0.661,0.6214,0.621,0.7253,0.6731,0.5914,0.5633,0.5774,0.7886,0.707,0.7478
0.3,-0.0103,0.6524,0.6254,0.6401,0.7149,0.6775,0.5737,0.5939,0.5838,0.7911,0.7256,0.7584
0.4,0.0123,0.6436,0.6341,0.6564,0.704,0.6802,0.5565,0.6258,0.5912,0.7945,0.7443,0.7694
0.5,0.0302,0.6344,0.6478,0.6692,0.6919,0.6805,0.5409,0.659,0.5999,0.7987,0.7625,0.7806
0.6,0.0415,0.6245,0.6664,0.6774,0.6781,0.6778,0.5279,0.6926,0.6102,0.803,0.7797,0.7913
0.7,0.0467,0.6132,0.6888,0.6801,0.6626,0.6713,0.5189,0.7249,0.6219,0.8067,0.7957,0.8012
0.8,0.0476,0.5999,0.7139,0.6768,0.6453,0.661,0.5144,0.7547,0.6346,0.8095,0.8105,0.81
0.9,0.0463,0.5847,0.7409,0.6676,0.6263,0.647,0.5149,0.7816,0.6483,0.8113,0.824,0.8176
1,0.0448,0.5675,0.7699,0.6536,0.606,0.6298,0.52,0.8064,0.6632,0.8127,0.8358,0.8242
1.1,0.0446,0.5485,0.8008,0.6359,0.5848,0.6104,0.5288,0.8293,0.6791,0.8148,0.8461,0.8304
1.2,0.0471,0.5277,0.8325,0.6159,0.5634,0.5896,0.5402,0.8495,0.6949,0.8183,0.8551,0.8367
1.3,0.0537,0.5053,0.8636,0.5942,0.5423,0.5683,0.5528,0.8659,0.7094,0.8236,0.863,0.8433
1.4,0.0655,0.4817,0.8934,0.5713,0.5221,0.5467,0.5654,0.8773,0.7214,0.8299,0.8694,0.8497
1.5,0.0822,0.4572,0.9215,0.5474,0.5033,0.5254,0.5772,0.8835,0.7303,0.8362,0.8735,0.8548
1.6,0.1009,0.4326,0.9466,0.5226,0.4866,0.5046,0.5874,0.8844,0.7359,0.8414,0.8741,0.8578
1.7,0.1174,0.4092,0.9663,0.4965,0.4735,0.485,0.5947,0.88,0.7373,0.8447,0.8709,0.8578
1.8,0.1268,0.3885,0.9775,0.4696,0.4658,0.4677,0.5977,0.8701,0.7339,0.8455,0.8633,0.8544
1.9,0.1255,0.3724,0.9788,0.443,0.4647,0.4539,0.5958,0.8553,0.7255,0.8429,0.851,0.8469
2,0.1114,0.3625,0.9711,0.418,0.4705,0.4442,0.5892,0.8373,0.7132,0.8365,0.8337,0.8351
2.1,0.0839,0.3595,0.9559,0.3957,0.4818,0.4388,0.5786,0.8175,0.698,0.8262,0.8114,0.8188
2.2,0.0444,0.3626,0.9349,0.377,0.4965,0.4368,0.5651,0.7967,0.6809,0.8126,0.7844,0.7985
2.3,-0.0043,0.3704,0.9088,0.3618,0.5123,0.4371,0.5497,0.7751,0.6624,0.7965,0.7533,0.7749
2.4,-0.0596,0.3814,0.8783,0.3497,0.5271,0.4384,0.5328,0.7527,0.6427,0.7786,0.7186,0.7486
