Time,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0198,0.5693,0.6378,0.6212,0.5801,0.6006,0.4556,0.5483,0.502,0.5706,0.5261,0.5484
0.1,-0.0257,0.5734,0.6372,0.6303,0.5985,0.6144,0.4607,0.553,0.5069,0.5769,0.5373,0.5571
0.2,-0.0321,0.577,0.636,0.641,0.6172,0.6291,0.4675,0.5573,0.5124,0.5846,0.5494,0.567
0.3,-0.0389,0.5807,0.6347,0.6541,0.6368,0.6455,0.4762,0.5616,0.5189,0.5933,0.5622,0.5777
0.4,-0.0459,0.585,0.634,0.6701,0.6573,0.6637,0.4868,0.5665,0.5267,0.6026,0.5755,0.589
0.5,-0.052,0.5898,0.6342,0.6892,0.6785,0.6839,0.499,0.5722,0.5356,0.6125,0.5886,0.6005
0.6,-0.0557,0.5953,0.6352,0.7112,0.6998,0.7055,0.5126,0.5787,0.5457,0.6228,0.6011,0.612
0.7,-0.0556,0.6013,0.6372,0.7354,0.7208,0.7281,0.5277,0.5859,0.5568,0.6336,0.6126,0.6231
0.8,-0.0523,0.6079,0.6404,0.7603,0.7408,0.7505,0.544,0.5941,0.569,0.6443,0.6228,0.6335
0.9,-0.047,0.6152,0.6449,0.7842,0.7591,0.7717,0.5615,0.6031,0.5823,0.6541,0.6313,0.6427
1,-0.0409,0.6229,0.6503,0.8057,0.7751,0.7904,0.5801,0.6127,0.5964,0.6628,0.6379,0.6503
1.1,-0.0341,0.6307,0.6563,0.8238,0.7882,0.806,0.6002,0.6224,0.6113,0.6704,0.6423,0.6564
1.2,-0.026,0.638,0.6618,0.838,0.7978,0.8179,0.6217,0.6321,0.6269,0.6773,0.6443,0.6608
1.3,-0.0164,0.644,0.6659,0.848,0.8032,0.8256,0.6437,0.6414,0.6426,0.6831,0.6435,0.6633
1.4,-0.0054,0.6478,0.6681,0.8533,0.8038,0.8285,0.6648,0.6497,0.6573,0.6867,0.6395,0.6631
1.5,0.0055,0.6488,0.6681,0.853,0.7995,0.8263,0.6834,0.656,0.6697,0.6874,0.6321,0.6597
1.6,0.0146,0.6462,0.6656,0.8469,0.7905,0.8187,0.6982,0.6598,0.679,0.6849,0.6217,0.6533
1.7,0.0204,0.6402,0.6607,0.8348,0.7775,0.8062,0.7086,0.6607,0.6846,0.6798,0.6092,0.6445
1.8,0.0217,0.6312,0.6534,0.8174,0.7615,0.7895,0.714,0.659,0.6865,0.6726,0.5956,0.6341
1.9,0.0184,0.6201,0.6441,0.7954,0.7435,0.7694,0.7142,0.6554,0.6848,0.6642,0.5821,0.6231
2,0.011,0.6077,0.6337,0.77,0.7241,0.7471,0.7095,0.6506,0.68,0.6552,0.5695,0.6124
2.1,0.0007,0.5953,0.623,0.7426,0.7044,0.7235,0.7009,0.6451,0.673,0.6468,0.5591,0.6029
2.2,-0.0114,0.5837,0.6132,0.7149,0.6854,0.7002,0.6897,0.6393,0.6645,0.64,0.5516,0.5958
2.3,-0.0245,0.5737,0.6048,0.6884,0.6686,0.6785,0.677,0.6335,0.6553,0.6356,0.547,0.5913
2.4,-0.0383,0.5657,0.5986,0.6645,0.655,0.6598,0.6638,0.6281,0.6459,0.6337,0.5453,0.5895
2.5,-0.0523,0.5599,0.595,0.6438,0.6453,0.6446,0.6502,0.6237,0.637,0.6342,0.5459,0.59
2.6,-0.0658,0.5563,0.5945,0.6269,0.6394,0.6331,0.6367,0.621,0.6288,0.637,0.5487,0.5928
2.7,-0.0777,0.5546,0.5968,0.6139,0.6369,0.6254,0.6235,0.6201,0.6218,0.6417,0.5534,0.5975
2.8,-0.0872,0.5543,0.6012,0.6046,0.6369,0.6208,0.6113,0.6206,0.6159,0.6476,0.5596,0.6036
2.9,-0.0938,0.5551,0.607,0.5989,0.6388,0.6189,0.6004,0.6215,0.6109,0.6542,0.5668,0.6105
