Time,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.6575,0.292,0.8185,0.7721,0.5846,0.6784,0.791,0.5355,0.6632,0.4398,0.425,0.4324
0.1,0.647,0.2933,0.8257,0.7673,0.5654,0.6664,0.7919,0.516,0.654,0.4436,0.43,0.4368
0.2,0.6282,0.298,0.8328,0.7605,0.5491,0.6548,0.7903,0.4967,0.6435,0.4548,0.4384,0.4466
0.3,0.6006,0.305,0.8393,0.7506,0.5351,0.6429,0.7857,0.4771,0.6314,0.4729,0.4503,0.4616
0.4,0.5643,0.3133,0.8448,0.7366,0.5227,0.6296,0.7773,0.4565,0.6169,0.4967,0.4656,0.4811
0.5,0.5201,0.3226,0.849,0.7183,0.5116,0.615,0.7653,0.436,0.6006,0.5247,0.484,0.5043
0.6,0.4695,0.333,0.852,0.6974,0.5029,0.6001,0.7502,0.418,0.5841,0.5562,0.5057,0.5309
0.7,0.4153,0.3449,0.854,0.6757,0.497,0.5864,0.7329,0.4061,0.5695,0.5906,0.5305,0.5606
0.8,0.361,0.3579,0.8547,0.6544,0.494,0.5742,0.7141,0.4028,0.5584,0.6273,0.5569,0.5921
0.9,0.3093,0.3714,0.8543,0.6338,0.4934,0.5636,0.6937,0.409,0.5513,0.6644,0.5824,0.6234
1,0.2618,0.3843,0.8534,0.6139,0.4954,0.5546,0.6722,0.4247,0.5485,0.7008,0.6051,0.6529
1.1,0.2196,0.3965,0.8529,0.5954,0.5002,0.5478,0.6512,0.4502,0.5507,0.7357,0.6248,0.6802
1.2,0.183,0.4082,0.8541,0.5795,0.5083,0.5439,0.6333,0.4857,0.5595,0.7694,0.6426,0.706
1.3,0.153,0.4199,0.8576,0.567,0.5195,0.5432,0.6209,0.5308,0.5759,0.8021,0.6592,0.7306
