Time,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0554,0.4139,0.8142,0.4898,0.485,0.4874,0.786,0.6677,0.7268,0.9538,0.7572,0.8555
0.1,-0.0467,0.3948,0.8005,0.5007,0.4485,0.4746,0.8054,0.6625,0.734,0.9563,0.7642,0.8603
0.2,-0.03,0.3747,0.7829,0.5114,0.4077,0.4596,0.8165,0.6538,0.7351,0.9528,0.7644,0.8586
0.3,-0.0045,0.3549,0.7612,0.523,0.3633,0.4432,0.8192,0.6407,0.7299,0.9439,0.7591,0.8515
0.4,0.0296,0.3366,0.7357,0.5358,0.3163,0.4261,0.8133,0.623,0.7181,0.9304,0.7499,0.8401
0.5,0.0704,0.3211,0.7072,0.5496,0.2693,0.4094,0.7984,0.6008,0.6996,0.913,0.7376,0.8253
0.6,0.1136,0.3088,0.6761,0.5632,0.2256,0.3944,0.7742,0.5748,0.6745,0.8918,0.7226,0.8072
0.7,0.1544,0.3004,0.6423,0.5754,0.1886,0.382,0.7415,0.5457,0.6436,0.867,0.7052,0.7861
0.8,0.1902,0.2964,0.6057,0.5859,0.1604,0.3731,0.7021,0.5144,0.6082,0.8395,0.6862,0.7628
0.9,0.2196,0.2969,0.567,0.5953,0.142,0.3687,0.6586,0.4825,0.5705,0.8107,0.6668,0.7388
1,0.2417,0.302,0.5281,0.6047,0.1337,0.3692,0.6135,0.4523,0.5329,0.7825,0.6483,0.7154
1.1,0.2545,0.3111,0.4909,0.6134,0.1353,0.3743,0.5689,0.4261,0.4975,0.7559,0.6313,0.6936
1.2,0.2552,0.3236,0.4567,0.6198,0.1457,0.3828,0.5264,0.405,0.4657,0.7316,0.6162,0.6739
1.3,0.2415,0.3384,0.4265,0.6233,0.1633,0.3933,0.4877,0.3894,0.4386,0.7095,0.6031,0.6563
1.4,0.2139,0.3546,0.4009,0.6245,0.1864,0.4055,0.4548,0.3793,0.417,0.6899,0.5924,0.6411
1.5,0.1758,0.372,0.3808,0.6253,0.2136,0.4194,0.4286,0.3747,0.4016,0.6731,0.584,0.6286
1.6,0.1303,0.3906,0.3671,0.6262,0.2438,0.435,0.4094,0.3758,0.3926,0.6591,0.5778,0.6185
1.7,0.0795,0.4104,0.3603,0.6273,0.2763,0.4518,0.3966,0.3828,0.3897,0.6481,0.5732,0.6106
1.8,0.0245,0.4311,0.3603,0.6281,0.3102,0.4691,0.3894,0.3957,0.3925,0.6402,0.5694,0.6048
1.9,-0.0325,0.4518,0.3668,0.6288,0.3442,0.4865,0.3869,0.4139,0.4004,0.6357,0.5664,0.601
2,-0.0884,0.471,0.3793,0.6294,0.377,0.5032,0.3887,0.4367,0.4127,0.6346,0.5643,0.5995
2.1,-0.1399,0.4875,0.3969,0.6299,0.4072,0.5185,0.3942,0.4625,0.4283,0.637,0.5634,0.6002
2.2,-0.1852,0.5003,0.4183,0.6295,0.4334,0.5314,0.4023,0.4894,0.4459,0.6425,0.5639,0.6032
2.3,-0.224,0.5088,0.4418,0.6274,0.4548,0.5411,0.4123,0.5159,0.4641,0.6506,0.5661,0.6084
2.4,-0.2566,0.5126,0.4663,0.6234,0.4712,0.5473,0.4235,0.5408,0.4822,0.6612,0.5701,0.6156
2.5,-0.2827,0.5115,0.4907,0.6175,0.4825,0.55,0.4355,0.5635,0.4995,0.6738,0.5758,0.6248
2.6,-0.3026,0.5057,0.5141,0.6095,0.4893,0.5494,0.448,0.5831,0.5156,0.6878,0.5827,0.6352
2.7,-0.317,0.4956,0.5354,0.599,0.4916,0.5453,0.4606,0.5988,0.5297,0.7023,0.5895,0.6459
2.8,-0.3274,0.4818,0.5535,0.5853,0.4899,0.5376,0.4728,0.6104,0.5416,0.7166,0.5951,0.6559
2.9,-0.3351,0.4647,0.5677,0.5682,0.4846,0.5264,0.4846,0.6184,0.5515,0.7304,0.5985,0.6644
3,-0.3406,0.4453,0.5778,0.548,0.477,0.5125,0.4961,0.6233,0.5597,0.7434,0.5991,0.6712
3.1,-0.3436,0.4244,0.5839,0.5255,0.4681,0.4968,0.507,0.625,0.566,0.7554,0.5964,0.6759
3.2,-0.3439,0.4031,0.586,0.5015,0.4595,0.4805,0.5173,0.6233,0.5703,0.7655,0.5898,0.6777
3.3,-0.342,0.3826,0.5842,0.4769,0.4519,0.4644,0.5268,0.6178,0.5723,0.7731,0.5791,0.6761
3.4,-0.339,0.3636,0.5782,0.452,0.4458,0.4489,0.5352,0.609,0.5721,0.7777,0.5641,0.6709
3.5,-0.3359,0.3466,0.5679,0.4269,0.4406,0.4338,0.5425,0.5972,0.5699,0.7796,0.5454,0.6625
3.6,-0.3327,0.3318,0.5537,0.4018,0.4358,0.4188,0.5484,0.5832,0.5658,0.7793,0.5241,0.6517
3.7,-0.3287,0.3192,0.5367,0.377,0.4315,0.4043,0.5527,0.5679,0.5603,0.7775,0.5016,0.6396
3.8,-0.3232,0.3086,0.5184,0.3529,0.4278,0.3904,0.555,0.5521,0.5535,0.7746,0.479,0.6268
3.9,-0.3151,0.3003,0.4998,0.3297,0.425,0.3773,0.5556,0.5368,0.5462,0.7706,0.4571,0.6138
4,-0.303,0.294,0.4815,0.3078,0.4226,0.3652,0.5549,0.5231,0.539,0.7655,0.4365,0.601
4.1,-0.2846,0.2897,0.464,0.2879,0.4202,0.354,0.5541,0.5116,0.5329,0.7599,0.4184,0.5892
4.2,-0.2573,0.2872,0.448,0.2708,0.4174,0.3441,0.5541,0.5025,0.5283,0.755,0.4039,0.5794
4.3,-0.2192,0.2865,0.4341,0.2574,0.4144,0.3359,0.5551,0.4958,0.5254,0.7516,0.394,0.5728
4.4,-0.1702,0.2878,0.4225,0.2486,0.4113,0.33,0.5566,0.4911,0.5238,0.7502,0.3892,0.5697
4.5,-0.1117,0.2916,0.413,0.2448,0.4082,0.3265,0.5577,0.4877,0.5227,0.7504,0.3894,0.5699
4.6,-0.0453,0.298,0.4044,0.2462,0.4048,0.3255,0.5583,0.4848,0.5216,0.7521,0.3948,0.5735
4.7,0.0275,0.3067,0.3959,0.2527,0.401,0.3268,0.5589,0.4818,0.5203,0.7556,0.4056,0.5806
4.8,0.1055,0.3177,0.3874,0.2647,0.3974,0.331,0.5595,0.4792,0.5193,0.7615,0.4214,0.5914
4.9,0.186,0.3312,0.3796,0.2818,0.3947,0.3383,0.56,0.4781,0.519,0.7701,0.4418,0.6059
5,0.2653,0.3471,0.3731,0.3035,0.3935,0.3485,0.5599,0.4789,0.5194,0.7813,0.4658,0.6236
5.1,0.34,0.3648,0.3683,0.3281,0.3933,0.3607,0.5593,0.4814,0.5203,0.7948,0.4921,0.6434
5.2,0.4085,0.3829,0.3654,0.3543,0.3935,0.3739,0.5593,0.485,0.5221,0.8102,0.5188,0.6645
5.3,0.4704,0.3999,0.3642,0.3806,0.3932,0.3869,0.5612,0.489,0.5251,0.8269,0.544,0.6854
5.4,0.5255,0.4153,0.3646,0.4057,0.3918,0.3987,0.5658,0.4931,0.5295,0.8441,0.5659,0.705
5.5,0.5733,0.429,0.3657,0.4281,0.3899,0.409,0.5729,0.4974,0.5351,0.8608,0.5834,0.7221
5.6,0.6125,0.4416,0.3665,0.4472,0.3884,0.4178,0.5823,0.5015,0.5419,0.876,0.5958,0.7359
5.7,0.6423,0.4535,0.3666,0.4631,0.389,0.426,0.5944,0.5057,0.5501,0.8892,0.6024,0.7458
5.8,0.6631,0.4651,0.3665,0.4763,0.3929,0.4346,0.6102,0.5106,0.5604,0.8999,0.6025,0.7512
5.9,0.6753,0.4766,0.3671,0.4871,0.4005,0.4438,0.6302,0.5169,0.5735,0.9069,0.5951,0.751
6,0.6794,0.4882,0.3686,0.4953,0.4111,0.4532,0.6538,0.5247,0.5892,0.9096,0.5804,0.745
6.1,0.6753,0.5001,0.3709,0.5012,0.4236,0.4624,0.6799,0.5337,0.6068,0.9075,0.5596,0.7336
6.2,0.6634,0.5123,0.3734,0.5056,0.4377,0.4717,0.7071,0.5437,0.6254,0.9007,0.5346,0.7176
6.3,0.6449,0.5248,0.3762,0.5102,0.4532,0.4817,0.7342,0.5541,0.6441,0.8893,0.5074,0.6984
6.4,0.6214,0.5375,0.3797,0.516,0.4698,0.4929,0.7597,0.5643,0.662,0.8737,0.4805,0.6771
6.5,0.5939,0.5495,0.3844,0.5231,0.4868,0.505,0.7823,0.5737,0.678,0.8542,0.4559,0.6551
6.6,0.5615,0.5594,0.3905,0.5308,0.5027,0.5168,0.8005,0.5823,0.6914,0.832,0.435,0.6335
6.7,0.5229,0.5658,0.3982,0.5378,0.5163,0.5271,0.8134,0.5905,0.7019,0.8082,0.4181,0.6131
6.8,0.4778,0.5676,0.4079,0.5428,0.5266,0.5347,0.8208,0.5988,0.7098,0.7841,0.405,0.5946
6.9,0.4279,0.5645,0.4201,0.545,0.5333,0.5392,0.8233,0.6074,0.7154,0.7604,0.3951,0.5777
7,0.3757,0.5568,0.4352,0.5444,0.5367,0.5406,0.8217,0.6166,0.7191,0.7378,0.3884,0.5631
7.1,0.3241,0.545,0.4535,0.541,0.5367,0.5388,0.8167,0.626,0.7213,0.7169,0.3847,0.5508
7.2,0.2754,0.5297,0.4746,0.535,0.5324,0.5337,0.809,0.6352,0.7221,0.6975,0.3835,0.5405
7.3,0.2314,0.5115,0.4974,0.5268,0.5232,0.525,0.7996,0.644,0.7218,0.6798,0.3844,0.5321
