Time,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.32,0.523,0.8899,0.7972,0.6168,0.707,1.0042,0.962,0.9831,0.8842,0.9889,0.9365
4.6,0.3194,0.5339,0.8918,0.8011,0.637,0.719,1.0139,0.9667,0.9903,0.8829,1.0125,0.9477
4.7,0.3127,0.5499,0.891,0.8052,0.6598,0.7325,1.0199,0.9692,0.9945,0.8794,1.033,0.9562
4.8,0.3002,0.5697,0.8865,0.8089,0.6845,0.7467,1.0221,0.9687,0.9954,0.8729,1.0493,0.9611
4.9,0.2817,0.5924,0.8778,0.8113,0.7098,0.7606,1.0201,0.9651,0.9926,0.8626,1.0605,0.9616
5,0.257,0.617,0.8648,0.8116,0.7346,0.7731,1.0134,0.9582,0.9858,0.8479,1.0663,0.9571
5.1,0.2261,0.6426,0.8478,0.8096,0.7576,0.7836,1.0018,0.9476,0.9747,0.829,1.0664,0.9477
5.2,0.1899,0.6685,0.8268,0.8062,0.7784,0.7923,0.9856,0.933,0.9593,0.806,1.0602,0.9331
5.3,0.1503,0.6937,0.8018,0.8029,0.7967,0.7998,0.9651,0.9143,0.9397,0.779,1.0472,0.9131
5.4,0.1093,0.7172,0.7733,0.8006,0.812,0.8063,0.9406,0.8913,0.916,0.7482,1.0271,0.8876
5.5,0.0682,0.7379,0.7425,0.7994,0.8239,0.8117,0.9123,0.8644,0.8884,0.7145,0.9999,0.8572
5.6,0.0273,0.7542,0.7111,0.7985,0.8323,0.8154,0.8806,0.8339,0.8572,0.6796,0.9664,0.823
5.7,-0.0137,0.7653,0.6804,0.7977,0.8373,0.8175,0.8464,0.8004,0.8234,0.646,0.9277,0.7868
5.8,-0.0555,0.7711,0.6509,0.7968,0.8398,0.8183,0.811,0.7653,0.7881,0.6153,0.8846,0.75
5.9,-0.0986,0.7724,0.6224,0.7962,0.8408,0.8185,0.7758,0.7297,0.7527,0.5886,0.838,0.7133
6,-0.1432,0.7708,0.5947,0.7959,0.8417,0.8188,0.7422,0.6948,0.7185,0.566,0.7888,0.6774
6.1,-0.1893,0.7675,0.5681,0.7956,0.8435,0.8195,0.7115,0.6617,0.6866,0.5475,0.7384,0.6429
6.2,-0.2364,0.7633,0.5436,0.7951,0.8469,0.821,0.6844,0.6318,0.6581,0.5331,0.689,0.611
6.3,-0.2833,0.7583,0.5225,0.7941,0.8522,0.8231,0.6619,0.6059,0.6339,0.5232,0.6425,0.5829
6.4,-0.3279,0.7523,0.5054,0.7921,0.8595,0.8258,0.6449,0.5847,0.6148,0.5181,0.6007,0.5594
6.5,-0.3675,0.7452,0.4925,0.7887,0.8686,0.8287,0.6337,0.5682,0.6009,0.517,0.5638,0.5404
6.6,-0.3993,0.7371,0.4836,0.7835,0.8792,0.8313,0.6285,0.5559,0.5922,0.5192,0.5319,0.5256
6.7,-0.4215,0.7283,0.4781,0.7764,0.8909,0.8337,0.629,0.5474,0.5882,0.5239,0.5047,0.5143
6.8,-0.4336,0.7191,0.4756,0.7683,0.9026,0.8354,0.6348,0.5426,0.5887,0.5304,0.4819,0.5061
6.9,-0.4363,0.7106,0.4758,0.7599,0.9139,0.8369,0.6455,0.5415,0.5935,0.5381,0.4636,0.5008
7,-0.4312,0.7035,0.4784,0.7521,0.9246,0.8383,0.6608,0.5445,0.6026,0.5468,0.4498,0.4983
7.1,-0.4196,0.6985,0.4833,0.7453,0.9348,0.8401,0.6799,0.5513,0.6156,0.5562,0.4403,0.4983
7.2,-0.403,0.6956,0.4903,0.7399,0.944,0.842,0.7021,0.5617,0.6319,0.566,0.4348,0.5004
7.3,-0.382,0.6942,0.4988,0.7358,0.9515,0.8437,0.7271,0.5748,0.6509,0.5758,0.4332,0.5045
7.4,-0.3569,0.6939,0.5083,0.7331,0.9564,0.8448,0.7542,0.5901,0.6722,0.5853,0.4354,0.5103
7.5,-0.3279,0.6942,0.5179,0.7316,0.9584,0.845,0.783,0.6073,0.6952,0.5946,0.4408,0.5177
7.6,-0.2964,0.6953,0.5273,0.7312,0.9573,0.8442,0.8127,0.6259,0.7193,0.6043,0.4491,0.5267
7.7,-0.2638,0.6972,0.5359,0.732,0.9534,0.8427,0.8423,0.645,0.7436,0.6148,0.4599,0.5373
7.8,-0.2311,0.6996,0.543,0.7344,0.9466,0.8405,0.8704,0.663,0.7667,0.6263,0.4726,0.5495
7.9,-0.1984,0.7021,0.5474,0.739,0.9366,0.8378,0.8962,0.6782,0.7872,0.6384,0.4869,0.5626
8,-0.1651,0.7047,0.5486,0.7462,0.9236,0.8349,0.9193,0.6897,0.8045,0.65,0.5023,0.5762
8.1,-0.1312,0.7076,0.5466,0.756,0.9082,0.8321,0.9394,0.6972,0.8183,0.6605,0.5187,0.5896
8.2,-0.0973,0.7115,0.5418,0.7678,0.8916,0.8297,0.9565,0.7013,0.8289,0.6697,0.5361,0.6029
8.3,-0.0652,0.717,0.5356,0.7816,0.8747,0.8282,0.9705,0.7025,0.8365,0.678,0.5546,0.6163
8.4,-0.036,0.7242,0.5294,0.7973,0.8583,0.8278,0.9812,0.7013,0.8412,0.6858,0.5744,0.6301
8.5,-0.0096,0.7333,0.5241,0.8149,0.843,0.829,0.9881,0.6979,0.843,0.6932,0.5947,0.6439
8.6,0.0149,0.7443,0.5203,0.8347,0.8291,0.8319,0.991,0.6929,0.8419,0.7002,0.615,0.6576
8.7,0.0385,0.7568,0.5188,0.856,0.8172,0.8366,0.9902,0.6873,0.8387,0.7071,0.635,0.6711
8.8,0.0611,0.7706,0.5208,0.8776,0.8074,0.8425,0.986,0.6823,0.8341,0.7144,0.6551,0.6847
8.9,0.0818,0.7851,0.5273,0.8981,0.7998,0.8489,0.979,0.6785,0.8287,0.7224,0.6752,0.6988
9,0.1002,0.8003,0.5387,0.9166,0.7938,0.8552,0.97,0.6763,0.8231,0.7311,0.6949,0.713
9.1,0.1162,0.8166,0.5543,0.9326,0.7896,0.8611,0.96,0.6763,0.8181,0.7397,0.7133,0.7265
9.2,0.1294,0.8343,0.5734,0.946,0.7873,0.8667,0.95,0.6789,0.8145,0.7473,0.7293,0.7383
9.3,0.1386,0.853,0.5955,0.9564,0.7872,0.8718,0.9403,0.6846,0.8125,0.7531,0.7426,0.7478
9.4,0.1424,0.8712,0.6204,0.9632,0.7892,0.8762,0.9303,0.6934,0.8119,0.757,0.7532,0.7551
9.5,0.1406,0.8876,0.6473,0.9655,0.7934,0.8795,0.9192,0.7045,0.8118,0.7593,0.7611,0.7602
9.6,0.1342,0.9011,0.6751,0.963,0.7996,0.8813,0.9071,0.7167,0.8119,0.76,0.7665,0.7632
