Time,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
21.4,-0.4403,0.5743,0.5404,0.5282,0.6983,0.6133,0.6538,0.6512,0.6525,0.6645,0.7637,0.7141
21.5,-0.3933,0.5609,0.552,0.5267,0.6893,0.608,0.6622,0.6365,0.6493,0.6682,0.7673,0.7178
21.6,-0.3467,0.549,0.564,0.5283,0.6843,0.6063,0.6691,0.6198,0.6445,0.6707,0.7697,0.7202
21.7,-0.3017,0.5392,0.5759,0.5335,0.6838,0.6086,0.6741,0.6026,0.6384,0.6721,0.7714,0.7217
21.8,-0.2588,0.5322,0.5873,0.5425,0.6877,0.6151,0.6777,0.5857,0.6317,0.673,0.7731,0.7231
21.9,-0.2185,0.5282,0.5975,0.5555,0.6952,0.6254,0.6806,0.5695,0.625,0.6744,0.7758,0.7251
22,-0.1811,0.5272,0.6051,0.5726,0.7054,0.639,0.6835,0.5539,0.6187,0.6771,0.7794,0.7282
22.1,-0.1478,0.5291,0.6085,0.5936,0.7177,0.6557,0.686,0.5392,0.6126,0.6809,0.7829,0.7319
22.2,-0.1201,0.5336,0.6069,0.6183,0.7317,0.675,0.6873,0.5252,0.6063,0.6851,0.785,0.735
22.3,-0.0988,0.54,0.601,0.6461,0.7471,0.6966,0.6865,0.512,0.5993,0.6886,0.7846,0.7366
22.4,-0.0839,0.5472,0.592,0.6757,0.763,0.7193,0.6834,0.4994,0.5914,0.6912,0.7816,0.7364
22.5,-0.0742,0.5539,0.5811,0.7052,0.7783,0.7418,0.678,0.4877,0.5828,0.6933,0.7766,0.7349
22.6,-0.0685,0.5594,0.5692,0.7329,0.7916,0.7622,0.6706,0.4774,0.574,0.6952,0.7705,0.7328
22.7,-0.0658,0.563,0.5569,0.7568,0.8016,0.7792,0.6618,0.4691,0.5655,0.6973,0.7637,0.7305
22.8,-0.0658,0.5641,0.5444,0.7761,0.8075,0.7918,0.6519,0.463,0.5574,0.6999,0.7567,0.7283
22.9,-0.0681,0.5622,0.5325,0.7901,0.8086,0.7994,0.6411,0.4587,0.5499,0.7033,0.7496,0.7264
23,-0.0724,0.5569,0.5219,0.7982,0.805,0.8016,0.6297,0.4561,0.5429,0.7082,0.743,0.7256
23.1,-0.0783,0.5482,0.5135,0.7997,0.797,0.7984,0.6176,0.4547,0.5362,0.7155,0.7377,0.7266
23.2,-0.0859,0.5366,0.5077,0.7941,0.7855,0.7898,0.6046,0.4545,0.5296,0.7256,0.7346,0.7301
23.3,-0.0954,0.5229,0.5045,0.7812,0.7714,0.7763,0.5906,0.4557,0.5231,0.7379,0.7338,0.7358
23.4,-0.1063,0.5072,0.5033,0.7611,0.7555,0.7583,0.5756,0.4581,0.5168,0.7512,0.7352,0.7432
23.5,-0.1179,0.4894,0.5044,0.7346,0.7378,0.7362,0.56,0.4617,0.5108,0.7647,0.7383,0.7515
23.6,-0.1293,0.4698,0.508,0.7022,0.7186,0.7104,0.544,0.4664,0.5052,0.7783,0.7429,0.7606
23.7,-0.1396,0.449,0.5145,0.6647,0.6979,0.6813,0.5278,0.4719,0.4998,0.7919,0.7492,0.7706
23.8,-0.148,0.4286,0.5242,0.6228,0.676,0.6494,0.5112,0.4778,0.4945,0.8051,0.757,0.7811
23.9,-0.1533,0.4095,0.5366,0.5778,0.6533,0.6155,0.4943,0.4838,0.489,0.8174,0.7659,0.7916
24,-0.1546,0.3918,0.5508,0.5307,0.6303,0.5805,0.4771,0.4891,0.4831,0.828,0.7751,0.8015
24.1,-0.1519,0.3752,0.5663,0.4832,0.6072,0.5452,0.4603,0.4935,0.4769,0.8368,0.7842,0.8105
24.2,-0.1455,0.3595,0.5826,0.4367,0.5837,0.5102,0.4446,0.4973,0.4709,0.8439,0.7933,0.8186
24.3,-0.136,0.3446,0.5995,0.3932,0.5601,0.4766,0.4305,0.5006,0.4655,0.8494,0.8024,0.8259
24.4,-0.1236,0.3311,0.6161,0.3543,0.5364,0.4453,0.418,0.5034,0.4607,0.8534,0.812,0.8327
24.5,-0.1082,0.3194,0.631,0.3213,0.5127,0.417,0.4072,0.5047,0.456,0.8562,0.8219,0.8391
24.6,-0.0906,0.3099,0.6429,0.2946,0.4894,0.392,0.3983,0.503,0.4507,0.8582,0.8317,0.8449
24.7,-0.0723,0.3032,0.6515,0.2741,0.4668,0.3705,0.3919,0.4983,0.4451,0.8598,0.8408,0.8503
24.8,-0.0546,0.2996,0.6566,0.2592,0.4452,0.3522,0.3886,0.4915,0.44,0.861,0.8488,0.8549
24.9,-0.0385,0.2998,0.6581,0.2491,0.425,0.3371,0.3885,0.4839,0.4362,0.8614,0.8551,0.8582
25,-0.0246,0.3037,0.6561,0.2433,0.4067,0.325,0.3907,0.4764,0.4336,0.8604,0.8591,0.8597
25.1,-0.0131,0.3114,0.65,0.2415,0.3907,0.3161,0.3946,0.4695,0.432,0.858,0.8607,0.8593
25.2,-0.0046,0.323,0.6398,0.2441,0.3775,0.3108,0.3996,0.4638,0.4317,0.8545,0.8607,0.8576
25.3,0.0005,0.3381,0.6259,0.2508,0.3672,0.309,0.4056,0.4602,0.4329,0.851,0.8599,0.8555
25.4,0.0019,0.3565,0.6089,0.261,0.3597,0.3103,0.4122,0.4597,0.436,0.8478,0.8591,0.8535
25.5,-0.0004,0.3774,0.5898,0.2736,0.3549,0.3142,0.4186,0.4627,0.4406,0.8445,0.8577,0.8511
25.6,-0.0056,0.3996,0.57,0.2874,0.3529,0.3201,0.4235,0.4684,0.446,0.8398,0.8546,0.8472
25.7,-0.013,0.4222,0.5507,0.3014,0.354,0.3277,0.4261,0.4757,0.4509,0.8329,0.8482,0.8406
25.8,-0.0217,0.4444,0.5325,0.3151,0.3584,0.3367,0.4263,0.4837,0.455,0.8235,0.8382,0.8308
25.9,-0.0314,0.4663,0.5159,0.3281,0.3656,0.3469,0.4242,0.4923,0.4582,0.8118,0.8247,0.8182
26,-0.0424,0.4876,0.5011,0.3401,0.375,0.3575,0.4202,0.5016,0.4609,0.7974,0.8084,0.8029
26.1,-0.0559,0.5084,0.4884,0.3504,0.3862,0.3683,0.4146,0.5116,0.4631,0.7791,0.7892,0.7841
26.2,-0.0732,0.5288,0.4781,0.3589,0.3992,0.379,0.4074,0.5224,0.4649,0.7551,0.7664,0.7608
26.3,-0.0951,0.5492,0.4702,0.3661,0.4141,0.3901,0.399,0.5336,0.4663,0.7243,0.7396,0.732
26.4,-0.1209,0.5701,0.4654,0.3733,0.4309,0.4021,0.3898,0.5452,0.4675,0.6867,0.7094,0.698
26.5,-0.1488,0.5919,0.4634,0.3816,0.4488,0.4152,0.3806,0.557,0.4688,0.643,0.677,0.66
26.6,-0.1766,0.6141,0.464,0.3914,0.467,0.4292,0.3722,0.5692,0.4707,0.5941,0.6437,0.6189
26.7,-0.2023,0.6354,0.4667,0.4031,0.4847,0.4439,0.3654,0.5814,0.4734,0.5411,0.6095,0.5753
26.8,-0.2248,0.6545,0.4706,0.4165,0.5015,0.459,0.3606,0.5929,0.4767,0.4858,0.5745,0.5301
26.9,-0.2436,0.6708,0.4749,0.4321,0.5166,0.4743,0.358,0.6021,0.48,0.4301,0.5384,0.4842
27,-0.2582,0.6845,0.4786,0.45,0.5298,0.4899,0.3582,0.6079,0.4831,0.3763,0.5017,0.439
27.1,-0.2678,0.6962,0.4807,0.4702,0.5406,0.5054,0.3619,0.6099,0.4859,0.326,0.4654,0.3957
27.2,-0.2718,0.7063,0.4808,0.492,0.5491,0.5205,0.3693,0.6081,0.4887,0.28,0.4306,0.3553
27.3,-0.2703,0.7143,0.4792,0.5152,0.5554,0.5353,0.3801,0.603,0.4915,0.2389,0.3985,0.3187
27.4,-0.2638,0.7195,0.4763,0.5394,0.5597,0.5495,0.3934,0.5944,0.4939,0.2034,0.3698,0.2866
27.5,-0.2528,0.7223,0.4724,0.5648,0.5621,0.5634,0.4086,0.5823,0.4954,0.1742,0.3451,0.2596
27.6,-0.2369,0.7241,0.4673,0.5913,0.5629,0.5771,0.4256,0.5666,0.4961,0.152,0.3249,0.2384
27.7,-0.2156,0.7263,0.461,0.6187,0.5628,0.5908,0.4439,0.5476,0.4957,0.1372,0.3096,0.2234
27.8,-0.1889,0.7297,0.4532,0.6466,0.5629,0.6048,0.4625,0.526,0.4942,0.1295,0.2992,0.2144
27.9,-0.1578,0.7341,0.4442,0.6748,0.5644,0.6196,0.4804,0.5028,0.4916,0.1282,0.2934,0.2108
28,-0.1236,0.7389,0.4342,0.7024,0.5681,0.6352,0.4966,0.4791,0.4879,0.1322,0.2915,0.2118
28.1,-0.0872,0.744,0.4241,0.7284,0.5743,0.6514,0.5102,0.4566,0.4834,0.1403,0.2928,0.2166
28.2,-0.0488,0.7492,0.4146,0.7518,0.5833,0.6675,0.5203,0.4363,0.4783,0.1518,0.2974,0.2246
28.3,-0.0091,0.7541,0.4064,0.7714,0.5952,0.6833,0.5263,0.419,0.4726,0.1662,0.3057,0.2359
28.4,0.0306,0.7574,0.3993,0.7866,0.6096,0.6981,0.5279,0.4043,0.4661,0.1833,0.3183,0.2508
28.5,0.069,0.7583,0.3929,0.7966,0.6255,0.7111,0.525,0.3919,0.4585,0.2033,0.3356,0.2694
28.6,0.1046,0.7566,0.387,0.801,0.6419,0.7215,0.5181,0.3814,0.4498,0.2256,0.357,0.2913
28.7,0.1359,0.752,0.3817,0.7989,0.658,0.7285,0.5077,0.3724,0.44,0.2496,0.3815,0.3155
28.8,0.1608,0.7445,0.3774,0.79,0.6737,0.7319,0.4937,0.3645,0.4291,0.2737,0.4074,0.3406
28.9,0.176,0.7338,0.3745,0.7747,0.6898,0.7322,0.4759,0.3577,0.4168,0.2965,0.4337,0.3651
29,0.1785,0.7201,0.3731,0.7542,0.7067,0.7304,0.4547,0.352,0.4033,0.3169,0.4601,0.3885
29.1,0.167,0.704,0.373,0.7304,0.7246,0.7275,0.4309,0.3475,0.3892,0.335,0.4869,0.4109
29.2,0.1419,0.6866,0.3742,0.7052,0.7432,0.7242,0.4061,0.3445,0.3753,0.351,0.5145,0.4327
29.3,0.1048,0.6691,0.3774,0.6796,0.7619,0.7207,0.3823,0.3433,0.3628,0.3655,0.5431,0.4543
29.4,0.0584,0.6521,0.3829,0.6541,0.7801,0.7171,0.3606,0.3439,0.3523,0.3788,0.5727,0.4758
29.5,0.0058,0.6362,0.3909,0.6286,0.7972,0.7129,0.3419,0.3463,0.3441,0.3913,0.603,0.4971
29.6,-0.0496,0.6214,0.4007,0.6033,0.8125,0.7079,0.3264,0.3506,0.3385,0.403,0.6333,0.5182
29.7,-0.1054,0.608,0.4124,0.5788,0.8255,0.7022,0.3145,0.3567,0.3356,0.415,0.6632,0.5391
29.8,-0.1603,0.5963,0.4272,0.5556,0.8369,0.6963,0.3068,0.3647,0.3357,0.4283,0.6923,0.5603
29.9,-0.2136,0.5864,0.4453,0.534,0.8475,0.6907,0.3044,0.3741,0.3392,0.444,0.7207,0.5824
