Time,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0445,0.4687,0.7688,0.2178,0.5769,0.3974,0.7408,0.3322,0.5365,0.9368,0.8354,0.8861
0.1,0.0611,0.4811,0.7493,0.2186,0.6018,0.4102,0.7403,0.3438,0.5421,0.9273,0.82,0.8737
0.2,0.0747,0.4941,0.7309,0.2255,0.6273,0.4264,0.7352,0.359,0.5471,0.9161,0.8015,0.8588
0.3,0.0845,0.5069,0.7147,0.239,0.6534,0.4462,0.7256,0.3775,0.5516,0.904,0.7809,0.8424
0.4,0.0906,0.5189,0.7009,0.2592,0.6795,0.4694,0.7131,0.3984,0.5558,0.8911,0.7591,0.8251
0.5,0.0937,0.5299,0.6891,0.2859,0.7048,0.4954,0.6995,0.421,0.5602,0.8774,0.7369,0.8071
0.6,0.0933,0.5399,0.6789,0.3182,0.7282,0.5232,0.686,0.4444,0.5652,0.863,0.7147,0.7888
0.7,0.0883,0.5491,0.6702,0.3546,0.7483,0.5514,0.673,0.4678,0.5704,0.8483,0.6936,0.7709
0.8,0.0786,0.5576,0.6626,0.3937,0.7633,0.5785,0.6604,0.4905,0.5755,0.8342,0.6747,0.7545
0.9,0.0659,0.5651,0.6555,0.4335,0.772,0.6028,0.6487,0.512,0.5803,0.8212,0.6587,0.74
1,0.053,0.5718,0.6487,0.4725,0.774,0.6233,0.6384,0.5321,0.5853,0.8096,0.6456,0.7276
1.1,0.0423,0.5776,0.642,0.5092,0.7692,0.6392,0.6301,0.5505,0.5903,0.7993,0.6354,0.7173
1.2,0.0347,0.5825,0.6358,0.5421,0.7584,0.6502,0.6236,0.5669,0.5952,0.7899,0.6282,0.7091
1.3,0.0298,0.5862,0.6307,0.5698,0.7425,0.6561,0.6182,0.5805,0.5993,0.7811,0.6238,0.7025
1.4,0.0267,0.5878,0.6263,0.5909,0.722,0.6565,0.613,0.5905,0.6017,0.7722,0.6214,0.6968
1.5,0.0249,0.5867,0.6222,0.6047,0.6975,0.6511,0.6073,0.5962,0.6017,0.7623,0.6197,0.691
1.6,0.0241,0.5831,0.618,0.6116,0.67,0.6408,0.6007,0.5975,0.5991,0.7506,0.6177,0.6842
1.7,0.0237,0.5776,0.6139,0.613,0.6414,0.6272,0.5931,0.5948,0.594,0.7369,0.6144,0.6757
1.8,0.0234,0.571,0.6104,0.6103,0.6136,0.612,0.5847,0.5885,0.5866,0.7212,0.6096,0.6654
1.9,0.0221,0.5637,0.608,0.6046,0.588,0.5963,0.5755,0.579,0.5772,0.7033,0.6029,0.6531
2,0.0194,0.556,0.6068,0.5965,0.5651,0.5808,0.5656,0.5666,0.5661,0.6838,0.5944,0.6391
2.1,0.0155,0.5482,0.6065,0.5869,0.5456,0.5662,0.555,0.5517,0.5533,0.6633,0.5843,0.6238
2.2,0.0112,0.5406,0.6071,0.5765,0.5294,0.5529,0.5438,0.5345,0.5392,0.6427,0.573,0.6078
2.3,0.0081,0.5332,0.6085,0.5657,0.5163,0.541,0.532,0.5155,0.5238,0.623,0.561,0.592
2.4,0.0077,0.5258,0.6106,0.5548,0.506,0.5304,0.5194,0.4948,0.5071,0.6048,0.5487,0.5767
2.5,0.01,0.5182,0.6132,0.5441,0.4982,0.5211,0.5058,0.4724,0.4891,0.5885,0.5361,0.5623
2.6,0.0144,0.5103,0.6162,0.5335,0.4928,0.5132,0.4911,0.4489,0.47,0.5743,0.5233,0.5488
2.7,0.02,0.5023,0.6197,0.523,0.4899,0.5065,0.4751,0.425,0.4501,0.5625,0.5105,0.5365
2.8,0.0265,0.4943,0.6238,0.5124,0.4898,0.5011,0.4574,0.4016,0.4295,0.5531,0.4981,0.5256
2.9,0.0341,0.4867,0.6284,0.5015,0.493,0.4972,0.4381,0.3787,0.4084,0.5464,0.4865,0.5165
3,0.0432,0.4794,0.6327,0.4905,0.4997,0.4951,0.4173,0.3564,0.3869,0.5425,0.4763,0.5094
3.1,0.0539,0.4728,0.6362,0.4802,0.5098,0.495,0.3954,0.3346,0.365,0.5412,0.4675,0.5043
3.2,0.0657,0.4671,0.6382,0.4709,0.5224,0.4966,0.3727,0.3136,0.3431,0.5422,0.4599,0.5011
3.3,0.0774,0.4625,0.6383,0.4632,0.5359,0.4995,0.3493,0.2937,0.3215,0.5455,0.4539,0.4997
3.4,0.0887,0.4586,0.6361,0.4567,0.5489,0.5028,0.3257,0.2751,0.3004,0.5513,0.4502,0.5007
3.5,0.0989,0.4553,0.632,0.4509,0.5602,0.5055,0.3025,0.2581,0.2803,0.5599,0.4497,0.5048
3.6,0.1075,0.4529,0.6262,0.4453,0.5694,0.5073,0.2805,0.2434,0.2619,0.571,0.4536,0.5123
3.7,0.1137,0.4522,0.6193,0.44,0.5763,0.5081,0.2608,0.232,0.2464,0.5845,0.4626,0.5236
3.8,0.1171,0.4537,0.6112,0.4354,0.5806,0.508,0.2442,0.225,0.2346,0.6001,0.4769,0.5385
3.9,0.1176,0.4576,0.6023,0.4315,0.5815,0.5065,0.2312,0.2228,0.227,0.6172,0.4964,0.5568
4,0.116,0.4633,0.5934,0.4279,0.5784,0.5031,0.2218,0.2252,0.2235,0.635,0.5205,0.5778
4.1,0.1139,0.4696,0.5859,0.4239,0.571,0.4974,0.2163,0.2321,0.2242,0.6527,0.5485,0.6006
4.2,0.1134,0.4756,0.5814,0.4196,0.5593,0.4895,0.2156,0.2436,0.2296,0.6692,0.5795,0.6243
4.3,0.1165,0.4806,0.5815,0.4152,0.5439,0.4795,0.2203,0.2597,0.24,0.6832,0.612,0.6476
4.4,0.1236,0.4841,0.5867,0.4109,0.5254,0.4681,0.2304,0.2801,0.2553,0.6936,0.6442,0.6689
4.5,0.1329,0.486,0.5974,0.4068,0.5043,0.4555,0.2451,0.304,0.2745,0.7,0.6748,0.6874
4.6,0.1416,0.4861,0.6136,0.4024,0.4813,0.4419,0.2628,0.3303,0.2965,0.7024,0.7026,0.7025
4.7,0.1467,0.4844,0.6348,0.3975,0.4572,0.4273,0.2828,0.3583,0.3206,0.7015,0.7266,0.714
4.8,0.1476,0.4812,0.66,0.3921,0.4324,0.4122,0.3051,0.3876,0.3464,0.698,0.7462,0.7221
4.9,0.1463,0.477,0.6877,0.3867,0.4076,0.3972,0.3297,0.4174,0.3736,0.6928,0.7616,0.7272
5,0.1452,0.4727,0.716,0.3822,0.3834,0.3828,0.3566,0.4467,0.4016,0.6867,0.7733,0.73
5.1,0.145,0.4689,0.7437,0.3792,0.3601,0.3696,0.3854,0.4742,0.4298,0.6807,0.782,0.7313
5.2,0.1452,0.4658,0.77,0.378,0.3379,0.3579,0.4157,0.4993,0.4575,0.6758,0.7878,0.7318
5.3,0.1449,0.4631,0.7941,0.3785,0.3169,0.3477,0.4471,0.5219,0.4845,0.6729,0.7912,0.732
5.4,0.1441,0.4604,0.8157,0.3807,0.2972,0.3389,0.4788,0.5421,0.5104,0.6721,0.7918,0.732
5.5,0.1442,0.4572,0.834,0.3849,0.2789,0.3319,0.5096,0.5595,0.5346,0.6733,0.7897,0.7315
5.6,0.1465,0.4526,0.8488,0.3913,0.2623,0.3268,0.5384,0.5742,0.5563,0.6757,0.7847,0.7302
5.7,0.1518,0.4459,0.8602,0.4,0.2474,0.3237,0.5641,0.5861,0.5751,0.6784,0.7771,0.7278
5.8,0.1602,0.4368,0.8684,0.4107,0.2345,0.3226,0.5864,0.5956,0.591,0.6808,0.7672,0.724
5.9,0.1708,0.4259,0.8739,0.423,0.2239,0.3235,0.6055,0.603,0.6042,0.6825,0.7556,0.719
6,0.1825,0.4144,0.8768,0.4365,0.2164,0.3264,0.6217,0.6083,0.615,0.6836,0.7429,0.7133
6.1,0.194,0.4032,0.8776,0.4502,0.2124,0.3313,0.6352,0.6116,0.6234,0.6848,0.7298,0.7073
6.2,0.204,0.3932,0.8763,0.4633,0.2121,0.3377,0.6465,0.6127,0.6296,0.6866,0.7167,0.7016
6.3,0.2117,0.3848,0.8734,0.4756,0.2152,0.3454,0.6564,0.6121,0.6342,0.6895,0.7045,0.697
6.4,0.2164,0.3779,0.8695,0.4869,0.2212,0.3541,0.6657,0.6105,0.6381,0.6942,0.6941,0.6941
6.5,0.217,0.3723,0.8655,0.4964,0.2294,0.3629,0.6743,0.609,0.6417,0.7005,0.6862,0.6934
6.6,0.2125,0.3674,0.862,0.5027,0.2388,0.3708,0.6818,0.608,0.6449,0.708,0.6814,0.6947
6.7,0.2025,0.3633,0.8595,0.5051,0.2492,0.3771,0.6878,0.6082,0.648,0.7164,0.6798,0.6981
6.8,0.1877,0.3605,0.859,0.5038,0.261,0.3824,0.6924,0.6105,0.6515,0.7254,0.6813,0.7033
6.9,0.1698,0.3598,0.8612,0.5003,0.2749,0.3876,0.6958,0.6155,0.6557,0.7351,0.6861,0.7106
7,0.1512,0.362,0.8669,0.4961,0.2915,0.3938,0.6977,0.6233,0.6605,0.7454,0.6936,0.7195
7.1,0.1347,0.3674,0.8756,0.4924,0.3103,0.4013,0.6981,0.6334,0.6658,0.7559,0.7031,0.7295
7.2,0.1229,0.3759,0.8869,0.4895,0.3306,0.41,0.6972,0.6451,0.6712,0.7657,0.7131,0.7394
7.3,0.1171,0.3875,0.9006,0.4874,0.3523,0.4198,0.6956,0.6578,0.6767,0.7742,0.7226,0.7484
7.4,0.1176,0.402,0.9168,0.4864,0.3756,0.431,0.694,0.6712,0.6826,0.7811,0.7314,0.7563
7.5,0.1235,0.4196,0.9352,0.4874,0.401,0.4442,0.693,0.6854,0.6892,0.7861,0.7396,0.7629
7.6,0.1333,0.4404,0.955,0.4913,0.4285,0.4599,0.6926,0.7006,0.6966,0.7889,0.7471,0.768
7.7,0.1451,0.4648,0.9752,0.4984,0.4582,0.4783,0.6927,0.7171,0.7049,0.7891,0.7533,0.7712
7.8,0.1572,0.4925,0.9944,0.509,0.4901,0.4996,0.6927,0.735,0.7139,0.7864,0.7575,0.7719
7.9,0.1691,0.5228,1.0114,0.5226,0.5237,0.5232,0.6925,0.7538,0.7232,0.7807,0.759,0.7699
8,0.1813,0.5549,1.0251,0.5388,0.5582,0.5485,0.6916,0.7719,0.7318,0.7726,0.7579,0.7652
8.1,0.1949,0.5876,1.0341,0.5572,0.5922,0.5747,0.6895,0.7873,0.7384,0.762,0.7538,0.7579
8.2,0.2109,0.6197,1.0376,0.5776,0.6241,0.6009,0.6856,0.7984,0.742,0.7491,0.7469,0.748
8.3,0.2287,0.6503,1.0353,0.5994,0.6525,0.626,0.6794,0.8043,0.7419,0.7339,0.7373,0.7356
8.4,0.2451,0.6785,1.0278,0.6213,0.6761,0.6487,0.6707,0.805,0.7379,0.7172,0.7253,0.7212
8.5,0.2556,0.7027,1.0158,0.6412,0.6942,0.6677,0.6592,0.8008,0.73,0.6996,0.7114,0.7055
8.6,0.2569,0.7214,1,0.6574,0.7064,0.6819,0.6446,0.7921,0.7184,0.6818,0.6962,0.689
8.7,0.2481,0.7336,0.981,0.6692,0.712,0.6906,0.6269,0.7794,0.7031,0.6639,0.6801,0.672
