Time,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.5,0.0352,0.6728,0.6845,0.5477,0.6699,0.6088,0.8306,0.6784,0.7545,0.7486,0.7044,0.7265
22.6,0.024,0.6771,0.6924,0.556,0.6761,0.616,0.8186,0.6797,0.7492,0.7499,0.7138,0.7318
22.7,0.0155,0.6786,0.6993,0.5635,0.6783,0.6209,0.8053,0.6783,0.7418,0.7499,0.7211,0.7355
22.8,0.0097,0.6769,0.7055,0.5702,0.6767,0.6235,0.7906,0.6748,0.7327,0.7491,0.7264,0.7377
22.9,0.0067,0.672,0.711,0.5763,0.6712,0.6238,0.7747,0.6697,0.7222,0.7478,0.7298,0.7388
23,0.0067,0.6642,0.7162,0.5822,0.6618,0.622,0.7576,0.6631,0.7104,0.7459,0.7315,0.7387
23.1,0.0108,0.6537,0.7212,0.5884,0.6485,0.6184,0.7397,0.6557,0.6977,0.7434,0.732,0.7377
23.2,0.0199,0.6407,0.7264,0.5952,0.6316,0.6134,0.7214,0.6478,0.6846,0.741,0.732,0.7365
23.3,0.0347,0.6254,0.7318,0.6028,0.612,0.6074,0.7035,0.6396,0.6715,0.7392,0.7318,0.7355
23.4,0.0553,0.6083,0.7373,0.6111,0.5908,0.601,0.6866,0.6315,0.6591,0.7384,0.7317,0.735
23.5,0.0815,0.5901,0.7425,0.6203,0.569,0.5946,0.6711,0.6238,0.6474,0.7385,0.7312,0.7349
23.6,0.1122,0.5717,0.747,0.6301,0.5471,0.5886,0.657,0.6166,0.6368,0.7392,0.7295,0.7343
23.7,0.1463,0.5538,0.7506,0.6406,0.5258,0.5832,0.6439,0.6101,0.627,0.7398,0.726,0.7329
23.8,0.1825,0.537,0.7533,0.6516,0.5056,0.5786,0.6312,0.6046,0.6179,0.7398,0.7208,0.7303
23.9,0.2195,0.5218,0.7555,0.6626,0.4874,0.575,0.618,0.6002,0.6091,0.7386,0.7144,0.7265
24,0.2554,0.5089,0.7574,0.6729,0.4721,0.5725,0.6037,0.5968,0.6002,0.7354,0.7068,0.7211
24.1,0.2885,0.4985,0.7587,0.6813,0.4601,0.5707,0.5877,0.5944,0.591,0.7298,0.6978,0.7138
24.2,0.317,0.4906,0.7591,0.6867,0.4515,0.5691,0.5694,0.5929,0.5811,0.7215,0.687,0.7042
24.3,0.3398,0.4853,0.7582,0.6882,0.446,0.5671,0.5484,0.5919,0.5702,0.7106,0.6738,0.6922
24.4,0.3561,0.4825,0.7558,0.6857,0.4435,0.5646,0.5248,0.5911,0.5579,0.6969,0.6583,0.6776
24.5,0.3653,0.4826,0.7524,0.6797,0.444,0.5618,0.499,0.5901,0.5445,0.6808,0.6407,0.6608
24.6,0.3666,0.486,0.7487,0.6711,0.4474,0.5592,0.4722,0.589,0.5306,0.6628,0.6215,0.6421
24.7,0.3596,0.4927,0.7452,0.6608,0.4534,0.5571,0.4457,0.5882,0.5169,0.6434,0.6011,0.6223
24.8,0.3447,0.5026,0.7422,0.6491,0.4615,0.5553,0.4208,0.5871,0.5039,0.6238,0.5804,0.6021
24.9,0.323,0.5149,0.7392,0.6363,0.4715,0.5539,0.3984,0.5851,0.4918,0.6047,0.56,0.5824
25,0.2957,0.5288,0.7357,0.6233,0.4833,0.5533,0.3796,0.5815,0.4806,0.5872,0.5404,0.5638
25.1,0.264,0.5437,0.7312,0.6108,0.4969,0.5539,0.3651,0.5759,0.4705,0.5722,0.5224,0.5473
25.2,0.2295,0.5591,0.7252,0.5995,0.5119,0.5557,0.3555,0.5684,0.462,0.5602,0.5066,0.5334
25.3,0.1937,0.5748,0.7173,0.5893,0.5278,0.5585,0.3511,0.5593,0.4552,0.552,0.4934,0.5227
25.4,0.1579,0.5905,0.7075,0.58,0.5436,0.5618,0.3517,0.5486,0.4502,0.548,0.4834,0.5157
25.5,0.1224,0.6052,0.6962,0.5716,0.5586,0.5651,0.3572,0.5366,0.4469,0.5488,0.477,0.5129
25.6,0.0872,0.618,0.6838,0.5649,0.5727,0.5688,0.3672,0.5241,0.4456,0.555,0.4749,0.5149
25.7,0.0527,0.6285,0.6708,0.561,0.5859,0.5734,0.3817,0.5123,0.447,0.5668,0.4778,0.5223
25.8,0.0199,0.637,0.658,0.561,0.5985,0.5797,0.4005,0.5026,0.4515,0.5838,0.4861,0.535
25.9,-0.0095,0.6441,0.6463,0.5651,0.6106,0.5878,0.4229,0.4961,0.4595,0.6048,0.4991,0.552
26,-0.0335,0.6498,0.6364,0.5728,0.6217,0.5973,0.4481,0.493,0.4705,0.6287,0.516,0.5724
26.1,-0.0501,0.6539,0.6287,0.5834,0.6315,0.6074,0.475,0.4931,0.484,0.6545,0.5356,0.5951
26.2,-0.0583,0.6564,0.6232,0.5959,0.6395,0.6177,0.5021,0.496,0.4991,0.6814,0.557,0.6192
26.3,-0.058,0.6573,0.6196,0.6094,0.6456,0.6275,0.5284,0.5014,0.5149,0.7089,0.5793,0.6441
26.4,-0.0501,0.657,0.6175,0.6231,0.6502,0.6367,0.5531,0.5086,0.5308,0.7367,0.6019,0.6693
26.5,-0.0357,0.6561,0.6163,0.636,0.6538,0.6449,0.5757,0.5173,0.5465,0.7648,0.6244,0.6946
26.6,-0.0163,0.6545,0.6156,0.6475,0.6567,0.6521,0.596,0.527,0.5615,0.793,0.6463,0.7196
26.7,0.0071,0.6529,0.6149,0.657,0.6596,0.6583,0.6134,0.5372,0.5753,0.8205,0.6672,0.7438
26.8,0.0336,0.6516,0.6147,0.6645,0.6629,0.6637,0.6275,0.5476,0.5876,0.8467,0.6868,0.7667
26.9,0.062,0.6509,0.6155,0.6699,0.667,0.6684,0.6379,0.5579,0.5979,0.8709,0.7051,0.788
27,0.0914,0.6505,0.6179,0.6726,0.6721,0.6723,0.6447,0.5682,0.6064,0.8932,0.7222,0.8077
27.1,0.1205,0.65,0.6221,0.6723,0.6778,0.675,0.6484,0.5782,0.6133,0.9135,0.7382,0.8259
27.2,0.1472,0.6487,0.6282,0.6684,0.6843,0.6764,0.6493,0.5881,0.6187,0.9321,0.7532,0.8426
27.3,0.1693,0.6466,0.6359,0.6612,0.6921,0.6766,0.6483,0.5982,0.6233,0.9486,0.7666,0.8576
27.4,0.1849,0.644,0.6448,0.6513,0.7015,0.6764,0.6459,0.6087,0.6273,0.9628,0.7772,0.87
27.5,0.1937,0.6414,0.6541,0.6398,0.7129,0.6764,0.6428,0.6195,0.6312,0.9747,0.7845,0.8796
27.6,0.1964,0.6389,0.6632,0.6274,0.7261,0.6767,0.64,0.6303,0.6352,0.9848,0.7886,0.8867
27.7,0.1935,0.6358,0.6717,0.6145,0.7402,0.6773,0.6381,0.6405,0.6393,0.9939,0.7902,0.892
27.8,0.1846,0.6315,0.6794,0.6012,0.7541,0.6777,0.6374,0.6495,0.6434,1.0023,0.79,0.8961
27.9,0.1696,0.6255,0.6865,0.5874,0.767,0.6772,0.6376,0.6567,0.6472,1.0097,0.7882,0.8989
28,0.1492,0.618,0.6931,0.5729,0.7777,0.6753,0.6386,0.6617,0.6502,1.0154,0.7847,0.9001
28.1,0.1253,0.6089,0.6987,0.5576,0.7855,0.6715,0.64,0.6642,0.6521,1.0191,0.7792,0.8992
28.2,0.0988,0.5978,0.7028,0.5412,0.7899,0.6656,0.6415,0.6637,0.6526,1.0203,0.7722,0.8963
28.3,0.0699,0.5848,0.7051,0.5243,0.7912,0.6577,0.6427,0.6604,0.6515,1.019,0.7645,0.8917
28.4,0.038,0.5709,0.7059,0.5074,0.7905,0.6489,0.643,0.6544,0.6487,1.0153,0.7568,0.886
28.5,0.0024,0.5573,0.7052,0.4912,0.7888,0.64,0.6419,0.6463,0.6441,1.0091,0.7497,0.8794
28.6,-0.0368,0.5444,0.7029,0.4759,0.7864,0.6311,0.6388,0.6365,0.6377,1.0005,0.7433,0.8719
28.7,-0.0794,0.5321,0.6986,0.4609,0.7831,0.622,0.6333,0.6248,0.6291,0.9894,0.7372,0.8633
28.8,-0.1254,0.5199,0.6924,0.4459,0.7779,0.6119,0.625,0.6107,0.6179,0.9761,0.7312,0.8537
28.9,-0.1749,0.5077,0.6847,0.4313,0.7704,0.6008,0.6141,0.5943,0.6042,0.9609,0.7255,0.8432
29,-0.2284,0.4962,0.6762,0.4174,0.7611,0.5893,0.6008,0.5763,0.5886,0.944,0.7201,0.832
29.1,-0.2858,0.4861,0.6679,0.4048,0.7505,0.5776,0.5857,0.5581,0.5719,0.9255,0.7149,0.8202
29.2,-0.3459,0.4778,0.66,0.3928,0.7385,0.5656,0.5687,0.5401,0.5544,0.9055,0.7097,0.8076
29.3,-0.4073,0.4706,0.6527,0.3806,0.7248,0.5527,0.5494,0.5225,0.536,0.8843,0.7045,0.7944
29.4,-0.4684,0.4639,0.6455,0.3681,0.71,0.539,0.528,0.5054,0.5167,0.8626,0.6993,0.781
29.5,-0.5276,0.4578,0.638,0.3558,0.6943,0.5251,0.5049,0.4893,0.4971,0.8412,0.6943,0.7677
29.6,-0.5831,0.4529,0.6303,0.3441,0.6779,0.511,0.4808,0.4746,0.4777,0.8203,0.6898,0.755
29.7,-0.6325,0.4496,0.6228,0.3338,0.6605,0.4971,0.4566,0.4614,0.459,0.7998,0.6858,0.7428
29.8,-0.6733,0.4483,0.6161,0.326,0.6417,0.4839,0.433,0.4494,0.4412,0.7796,0.6821,0.7308
29.9,-0.7028,0.4489,0.6104,0.3219,0.6214,0.4716,0.4108,0.438,0.4244,0.7593,0.6784,0.7188
