Time,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.0985,0.3403,0.6912,0.4189,0.4922,0.4556,0.5906,0.5689,0.5798,0.5527,0.6258,0.5893
4.6,0.0966,0.3304,0.7057,0.4311,0.4919,0.4615,0.5943,0.5994,0.5969,0.5684,0.6524,0.6104
4.7,0.0928,0.3204,0.7212,0.4422,0.4937,0.468,0.5977,0.6285,0.6131,0.5843,0.6803,0.6323
4.8,0.0879,0.3107,0.738,0.453,0.498,0.4755,0.601,0.6561,0.6286,0.6005,0.7096,0.655
4.9,0.0819,0.3019,0.7561,0.4641,0.5045,0.4843,0.6046,0.682,0.6433,0.6172,0.7401,0.6786
5,0.0737,0.2941,0.7751,0.4753,0.5128,0.494,0.6078,0.706,0.6569,0.6342,0.771,0.7026
5.1,0.0619,0.2872,0.7941,0.4851,0.5219,0.5035,0.6102,0.7278,0.669,0.6511,0.8016,0.7263
5.2,0.0454,0.2813,0.8121,0.4924,0.5314,0.5119,0.6112,0.7468,0.679,0.6671,0.8305,0.7488
5.3,0.0235,0.2766,0.8278,0.4966,0.5408,0.5187,0.6107,0.7624,0.6865,0.6815,0.8564,0.7689
5.4,-0.0034,0.2735,0.84,0.4975,0.5494,0.5234,0.6083,0.7736,0.691,0.6935,0.878,0.7857
5.5,-0.0337,0.272,0.8483,0.4953,0.5572,0.5263,0.6043,0.7797,0.692,0.7031,0.8945,0.7988
5.6,-0.0661,0.2722,0.8523,0.4904,0.5647,0.5276,0.5988,0.7806,0.6897,0.7101,0.9057,0.8079
5.7,-0.1002,0.2743,0.8522,0.4832,0.5722,0.5277,0.592,0.7767,0.6843,0.7147,0.9114,0.8131
5.8,-0.1365,0.279,0.8481,0.4741,0.5803,0.5272,0.5841,0.7685,0.6763,0.717,0.9123,0.8146
5.9,-0.1754,0.2869,0.8405,0.464,0.5894,0.5267,0.5755,0.7567,0.6661,0.717,0.9086,0.8128
6,-0.2168,0.2986,0.8302,0.4541,0.6,0.527,0.5669,0.7423,0.6546,0.7148,0.9008,0.8078
6.1,-0.2593,0.3146,0.8181,0.4453,0.6119,0.5286,0.5597,0.7266,0.6431,0.7106,0.8895,0.8
6.2,-0.3008,0.3348,0.8047,0.4386,0.6249,0.5317,0.5547,0.7104,0.6326,0.7043,0.8752,0.7897
6.3,-0.3396,0.3583,0.7906,0.4348,0.6384,0.5366,0.5524,0.6942,0.6233,0.6956,0.8584,0.777
6.4,-0.3753,0.3839,0.7761,0.4343,0.6522,0.5432,0.5524,0.6787,0.6155,0.6844,0.8397,0.7621
6.5,-0.4076,0.4101,0.7619,0.4369,0.666,0.5515,0.5543,0.6643,0.6093,0.6705,0.8198,0.7452
6.6,-0.4359,0.4359,0.748,0.4419,0.6796,0.5607,0.5578,0.6514,0.6046,0.6544,0.799,0.7267
6.7,-0.4594,0.4607,0.7348,0.4485,0.6925,0.5705,0.5626,0.6399,0.6012,0.6367,0.7775,0.7071
6.8,-0.4773,0.4838,0.7222,0.4563,0.7042,0.5802,0.5682,0.6296,0.5989,0.6179,0.7559,0.6869
6.9,-0.4893,0.5048,0.7105,0.4651,0.7145,0.5898,0.574,0.6204,0.5972,0.5987,0.7346,0.6667
7,-0.4962,0.5236,0.6995,0.4751,0.7236,0.5994,0.5799,0.6124,0.5962,0.5797,0.714,0.6469
7.1,-0.499,0.5403,0.6895,0.4864,0.7321,0.6092,0.5859,0.6055,0.5957,0.5614,0.6943,0.6279
7.2,-0.4987,0.5552,0.6804,0.4988,0.7406,0.6197,0.5922,0.5995,0.5958,0.5443,0.6755,0.6099
7.3,-0.4964,0.5685,0.6728,0.5119,0.7494,0.6307,0.5989,0.5941,0.5965,0.5287,0.6579,0.5933
7.4,-0.4925,0.58,0.6669,0.5251,0.7587,0.6419,0.6057,0.589,0.5973,0.515,0.6419,0.5785
7.5,-0.4877,0.5895,0.6628,0.5378,0.7678,0.6528,0.6121,0.5837,0.5979,0.5029,0.6274,0.5652
7.6,-0.4823,0.5965,0.6603,0.5501,0.7763,0.6632,0.6176,0.578,0.5978,0.4926,0.614,0.5533
7.7,-0.4757,0.6006,0.6596,0.5622,0.7833,0.6728,0.6226,0.5714,0.597,0.4846,0.6018,0.5432
7.8,-0.4669,0.6017,0.661,0.575,0.7887,0.6818,0.6276,0.5645,0.5961,0.4798,0.5916,0.5357
