Time,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26,-0.1896,0.3503,0.5325,0.4967,0.5754,0.5361,0.7446,0.5556,0.6501,0.6474,0.4944,0.5709
26.1,-0.2021,0.3403,0.5393,0.5112,0.567,0.5391,0.7579,0.56,0.6589,0.6646,0.512,0.5883
26.2,-0.213,0.334,0.5481,0.5281,0.5618,0.5449,0.7702,0.5655,0.6678,0.6801,0.5314,0.6058
26.3,-0.2225,0.3316,0.5579,0.5462,0.559,0.5526,0.781,0.5715,0.6763,0.6939,0.552,0.623
26.4,-0.2302,0.3325,0.5684,0.5642,0.5577,0.561,0.7904,0.5775,0.684,0.7062,0.573,0.6396
26.5,-0.2351,0.3355,0.5794,0.5812,0.5568,0.569,0.7982,0.5832,0.6907,0.7167,0.5938,0.6553
26.6,-0.2365,0.3396,0.5906,0.5959,0.5557,0.5758,0.8035,0.5881,0.6958,0.7245,0.613,0.6687
26.7,-0.2349,0.344,0.601,0.6073,0.5535,0.5804,0.8057,0.5916,0.6986,0.7284,0.6289,0.6786
26.8,-0.2316,0.3484,0.6095,0.6145,0.5499,0.5822,0.8038,0.593,0.6984,0.7276,0.6404,0.684
26.9,-0.2265,0.3525,0.6151,0.6173,0.5443,0.5808,0.7973,0.5916,0.6945,0.7219,0.6469,0.6844
27,-0.2181,0.3561,0.6179,0.6157,0.5368,0.5762,0.7861,0.5875,0.6868,0.7113,0.6484,0.6798
27.1,-0.2044,0.3593,0.6182,0.61,0.5278,0.5689,0.7703,0.5807,0.6755,0.6955,0.6453,0.6704
27.2,-0.1852,0.3619,0.6166,0.6006,0.5182,0.5594,0.7508,0.5719,0.6613,0.6744,0.6374,0.6559
27.3,-0.1618,0.3637,0.6132,0.5877,0.509,0.5483,0.7286,0.5615,0.645,0.6477,0.6246,0.6362
27.4,-0.1361,0.3644,0.6076,0.5712,0.5005,0.5358,0.7051,0.55,0.6275,0.6157,0.6069,0.6113
27.5,-0.1095,0.3635,0.5997,0.5513,0.493,0.5221,0.6813,0.5379,0.6096,0.5791,0.5848,0.582
27.6,-0.0821,0.3605,0.5894,0.5282,0.4864,0.5073,0.6577,0.5257,0.5917,0.5392,0.5592,0.5492
27.7,-0.0547,0.3558,0.5769,0.5021,0.4809,0.4915,0.6345,0.5139,0.5742,0.4969,0.531,0.5139
27.8,-0.0282,0.3497,0.5623,0.4732,0.4766,0.4749,0.6116,0.5022,0.5569,0.453,0.501,0.477
27.9,-0.0031,0.3424,0.546,0.4423,0.4733,0.4578,0.5893,0.4903,0.5398,0.4082,0.4698,0.439
28,0.0206,0.3343,0.5281,0.4106,0.4708,0.4407,0.568,0.4781,0.523,0.3632,0.4379,0.4005
28.1,0.0435,0.3254,0.5095,0.3796,0.4688,0.4242,0.5482,0.4658,0.507,0.3185,0.4058,0.3622
28.2,0.0654,0.3162,0.4907,0.3503,0.4671,0.4087,0.5303,0.4544,0.4923,0.2753,0.3744,0.3248
28.3,0.086,0.3069,0.4722,0.3232,0.4654,0.3943,0.5148,0.4447,0.4797,0.2344,0.3441,0.2892
28.4,0.1051,0.2978,0.4546,0.2985,0.4633,0.3809,0.5021,0.4372,0.4696,0.1963,0.3154,0.2559
28.5,0.1238,0.2888,0.4379,0.2765,0.4601,0.3683,0.4923,0.4314,0.4619,0.1614,0.2886,0.225
28.6,0.143,0.2797,0.4225,0.2571,0.4553,0.3562,0.4853,0.4268,0.456,0.13,0.2636,0.1968
28.7,0.1633,0.2702,0.4083,0.2402,0.4484,0.3443,0.4804,0.4228,0.4516,0.103,0.2408,0.1719
28.8,0.1843,0.2607,0.3956,0.2258,0.4395,0.3327,0.4772,0.4194,0.4483,0.0816,0.2209,0.1512
28.9,0.2048,0.2517,0.3846,0.2139,0.4288,0.3214,0.4754,0.417,0.4462,0.0668,0.2045,0.1357
29,0.2236,0.2435,0.3756,0.2043,0.4168,0.3106,0.4752,0.4155,0.4454,0.0585,0.1925,0.1255
29.1,0.2401,0.2364,0.3686,0.1967,0.4037,0.3002,0.4764,0.4146,0.4455,0.0561,0.1846,0.1204
29.2,0.2546,0.2306,0.3634,0.1909,0.3893,0.2901,0.4788,0.4138,0.4463,0.0583,0.1801,0.1192
29.3,0.2682,0.2261,0.3592,0.1863,0.3728,0.2795,0.4818,0.4123,0.4471,0.0638,0.1778,0.1208
29.4,0.2813,0.2226,0.3546,0.1817,0.353,0.2674,0.4848,0.4093,0.4471,0.0719,0.1764,0.1242
29.5,0.2929,0.2195,0.3483,0.1757,0.329,0.2523,0.4876,0.4041,0.4458,0.0821,0.1753,0.1287
29.6,0.301,0.2162,0.3401,0.1672,0.3001,0.2336,0.49,0.3969,0.4435,0.0938,0.1748,0.1343
29.7,0.3048,0.2118,0.3306,0.1564,0.266,0.2112,0.4926,0.3886,0.4406,0.1069,0.1757,0.1413
29.8,0.3046,0.2062,0.3208,0.1437,0.2273,0.1855,0.4955,0.3803,0.4379,0.1215,0.1786,0.15
29.9,0.3003,0.1991,0.311,0.1298,0.1843,0.157,0.4982,0.3726,0.4354,0.1376,0.1834,0.1605
