Time,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.7,-0.1989,0.5039,0.641,0.6008,0.4102,0.5055,0.7592,0.655,0.7071,0.4503,0.4369,0.4436
22.8,-0.2232,0.5133,0.6386,0.6044,0.4222,0.5133,0.7641,0.6505,0.7073,0.4614,0.4592,0.4603
22.9,-0.2434,0.5209,0.639,0.6052,0.4323,0.5187,0.764,0.6459,0.7049,0.4722,0.4831,0.4777
23,-0.259,0.5273,0.6414,0.6041,0.4408,0.5224,0.759,0.6407,0.6999,0.4824,0.5075,0.4949
23.1,-0.2693,0.5326,0.645,0.6016,0.4478,0.5247,0.7494,0.6346,0.692,0.4914,0.5312,0.5113
23.2,-0.2736,0.5368,0.649,0.5978,0.4527,0.5253,0.7355,0.627,0.6813,0.4991,0.5534,0.5263
23.3,-0.2721,0.5396,0.6527,0.5928,0.4546,0.5237,0.7182,0.6177,0.6679,0.5051,0.5733,0.5392
23.4,-0.2651,0.5412,0.6552,0.5864,0.4531,0.5197,0.6978,0.6064,0.6521,0.5092,0.5903,0.5497
23.5,-0.2537,0.5419,0.6555,0.5785,0.4486,0.5135,0.6746,0.5931,0.6338,0.5111,0.6041,0.5576
23.6,-0.2387,0.5422,0.6526,0.5691,0.4424,0.5058,0.649,0.5777,0.6134,0.5113,0.6147,0.563
23.7,-0.2213,0.5421,0.6468,0.5583,0.4359,0.4971,0.6219,0.5603,0.5911,0.5106,0.6223,0.5664
23.8,-0.2028,0.5416,0.6382,0.546,0.4296,0.4878,0.5948,0.5409,0.5678,0.5096,0.6274,0.5685
23.9,-0.1843,0.5404,0.6274,0.5327,0.4237,0.4782,0.5692,0.5199,0.5445,0.5087,0.6306,0.5696
24,-0.167,0.5385,0.6147,0.5183,0.4181,0.4682,0.546,0.4978,0.5219,0.508,0.6325,0.5702
24.1,-0.1522,0.536,0.6002,0.5029,0.4133,0.4581,0.5256,0.4752,0.5004,0.5072,0.6329,0.57
24.2,-0.1409,0.5328,0.5839,0.4862,0.4096,0.4479,0.5081,0.452,0.4801,0.5055,0.6312,0.5684
24.3,-0.1333,0.5286,0.5657,0.4682,0.4073,0.4377,0.4933,0.4287,0.461,0.502,0.627,0.5645
24.4,-0.1295,0.5234,0.5467,0.4491,0.4063,0.4277,0.4815,0.4056,0.4435,0.4964,0.6205,0.5584
24.5,-0.1288,0.5172,0.5282,0.4298,0.407,0.4184,0.4725,0.3832,0.4279,0.4886,0.6126,0.5506
24.6,-0.131,0.5102,0.5119,0.4112,0.4098,0.4105,0.4661,0.3621,0.4141,0.4787,0.6043,0.5415
24.7,-0.1365,0.5025,0.4989,0.3927,0.4153,0.404,0.4618,0.3427,0.4023,0.4673,0.5964,0.5319
24.8,-0.1457,0.4939,0.4894,0.3738,0.4232,0.3985,0.4591,0.3256,0.3924,0.4549,0.5892,0.522
24.9,-0.1584,0.484,0.4835,0.3539,0.4328,0.3933,0.458,0.311,0.3845,0.4419,0.5826,0.5123
25,-0.1731,0.4728,0.4812,0.3331,0.4428,0.388,0.4586,0.2991,0.3788,0.429,0.5767,0.5028
25.1,-0.1872,0.4604,0.4819,0.3127,0.4525,0.3826,0.4609,0.2905,0.3757,0.4165,0.5716,0.494
25.2,-0.1986,0.4476,0.4853,0.2939,0.4617,0.3778,0.4649,0.2859,0.3754,0.4045,0.5676,0.4861
25.3,-0.2069,0.4351,0.491,0.2774,0.4709,0.3742,0.4702,0.2858,0.378,0.3937,0.5648,0.4793
25.4,-0.2126,0.4238,0.499,0.2638,0.4805,0.3722,0.4772,0.291,0.3841,0.3846,0.5632,0.4739
25.5,-0.2166,0.4147,0.5094,0.2534,0.4908,0.3721,0.4856,0.3018,0.3937,0.3775,0.5626,0.4701
25.6,-0.2196,0.4082,0.522,0.2465,0.5013,0.3739,0.495,0.3174,0.4062,0.3724,0.5624,0.4674
25.7,-0.2221,0.4045,0.5359,0.2431,0.5118,0.3774,0.5047,0.3363,0.4205,0.3684,0.5618,0.4651
25.8,-0.2241,0.4035,0.5495,0.2431,0.5225,0.3828,0.5142,0.3572,0.4357,0.3649,0.56,0.4624
25.9,-0.2256,0.4055,0.5614,0.2465,0.5337,0.3901,0.5235,0.3792,0.4513,0.3612,0.5562,0.4587
26,-0.2264,0.4109,0.5709,0.2532,0.5451,0.3992,0.533,0.4015,0.4673,0.3569,0.5501,0.4535
26.1,-0.2254,0.42,0.578,0.2636,0.5564,0.41,0.5427,0.4234,0.483,0.3518,0.5414,0.4466
26.2,-0.2209,0.4323,0.5825,0.2783,0.5667,0.4225,0.552,0.4436,0.4978,0.3459,0.5304,0.4381
26.3,-0.2114,0.447,0.5835,0.2977,0.5754,0.4366,0.56,0.4604,0.5102,0.3395,0.518,0.4287
26.4,-0.196,0.4624,0.5799,0.3214,0.5822,0.4518,0.5656,0.4724,0.519,0.3328,0.5047,0.4187
26.5,-0.1753,0.4772,0.5716,0.3479,0.5865,0.4672,0.5682,0.4788,0.5235,0.326,0.4904,0.4082
26.6,-0.1517,0.4904,0.5589,0.3758,0.5879,0.4818,0.5672,0.4796,0.5234,0.3189,0.4752,0.3971
26.7,-0.1278,0.5012,0.543,0.4036,0.5861,0.4948,0.5617,0.4753,0.5185,0.3117,0.4592,0.3855
26.8,-0.1058,0.5093,0.5247,0.4306,0.5815,0.506,0.5511,0.467,0.509,0.3047,0.4429,0.3738
26.9,-0.087,0.514,0.5053,0.4564,0.5743,0.5153,0.5355,0.4559,0.4957,0.2981,0.4272,0.3627
27,-0.0714,0.515,0.4865,0.4805,0.5642,0.5224,0.516,0.4431,0.4796,0.2926,0.4131,0.3528
27.1,-0.0585,0.5117,0.4702,0.502,0.5504,0.5262,0.4939,0.4296,0.4617,0.2884,0.4012,0.3448
27.2,-0.0488,0.504,0.4577,0.5201,0.5321,0.5261,0.4699,0.4158,0.4428,0.2859,0.3919,0.3389
27.3,-0.0429,0.4923,0.4491,0.5341,0.5098,0.5219,0.4446,0.4018,0.4232,0.2848,0.3848,0.3348
27.4,-0.0422,0.4775,0.444,0.5439,0.4848,0.5144,0.4176,0.3877,0.4026,0.2848,0.3795,0.3322
27.5,-0.0478,0.4604,0.4419,0.5493,0.4594,0.5044,0.3892,0.3735,0.3813,0.2857,0.3753,0.3305
27.6,-0.0603,0.4418,0.4426,0.5503,0.4354,0.4928,0.3595,0.3598,0.3597,0.287,0.3716,0.3293
27.7,-0.0789,0.4223,0.4462,0.547,0.4138,0.4804,0.3289,0.3472,0.3381,0.2883,0.3681,0.3282
27.8,-0.1027,0.402,0.4525,0.5402,0.3949,0.4676,0.2982,0.3364,0.3173,0.2894,0.3649,0.3272
27.9,-0.1304,0.3812,0.4609,0.5308,0.3792,0.455,0.2683,0.3276,0.2979,0.2907,0.3621,0.3264
28,-0.161,0.3605,0.471,0.5194,0.3672,0.4433,0.2399,0.3211,0.2805,0.2924,0.3594,0.3259
28.1,-0.1929,0.3404,0.4823,0.5072,0.359,0.4331,0.214,0.317,0.2655,0.295,0.3565,0.3257
28.2,-0.2236,0.3218,0.4947,0.4952,0.3544,0.4248,0.1913,0.3149,0.2531,0.2983,0.3532,0.3257
28.3,-0.2504,0.3051,0.5078,0.4843,0.3527,0.4185,0.1718,0.3139,0.2429,0.3018,0.3488,0.3253
28.4,-0.2708,0.2908,0.5204,0.4754,0.3537,0.4146,0.1555,0.3133,0.2344,0.3043,0.3427,0.3235
28.5,-0.283,0.2798,0.5312,0.469,0.3574,0.4132,0.1421,0.3128,0.2274,0.3047,0.3344,0.3196
28.6,-0.2875,0.2726,0.5397,0.4653,0.3642,0.4147,0.1317,0.3132,0.2224,0.3026,0.3236,0.3131
28.7,-0.2857,0.2698,0.5468,0.4641,0.3742,0.4192,0.1249,0.3158,0.2203,0.2984,0.3105,0.3045
28.8,-0.2792,0.2717,0.5533,0.4654,0.3877,0.4266,0.1223,0.3214,0.2218,0.2932,0.2958,0.2945
28.9,-0.2692,0.2785,0.5592,0.4692,0.4049,0.437,0.124,0.3295,0.2268,0.2876,0.2804,0.284
29,-0.2564,0.2903,0.5636,0.4754,0.4262,0.4508,0.1297,0.3391,0.2344,0.282,0.2651,0.2735
29.1,-0.2412,0.3069,0.5652,0.484,0.4522,0.4681,0.1386,0.3494,0.244,0.2761,0.2501,0.2631
29.2,-0.2239,0.328,0.5633,0.4948,0.4823,0.4886,0.1503,0.3601,0.2552,0.27,0.2356,0.2528
29.3,-0.2049,0.3526,0.5579,0.5072,0.5155,0.5113,0.1645,0.371,0.2677,0.2644,0.2217,0.2431
29.4,-0.185,0.3793,0.5493,0.5204,0.5497,0.535,0.1803,0.3819,0.2811,0.2603,0.2094,0.2348
29.5,-0.1645,0.407,0.5376,0.5339,0.5835,0.5587,0.197,0.3925,0.2948,0.2585,0.1999,0.2292
29.6,-0.144,0.4347,0.5226,0.5477,0.6164,0.582,0.2139,0.4023,0.3081,0.2599,0.1947,0.2273
29.7,-0.1246,0.4616,0.5041,0.5615,0.6485,0.605,0.2304,0.4111,0.3207,0.2646,0.1943,0.2295
29.8,-0.1069,0.4869,0.4826,0.5753,0.6796,0.6274,0.2461,0.4189,0.3325,0.2722,0.1986,0.2354
29.9,-0.0911,0.5099,0.4592,0.589,0.7088,0.6489,0.2612,0.4258,0.3435,0.2819,0.2072,0.2446
