Time,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.5749,0.6619,0.3796,0.5771,0.3218,0.4494,0.4367,0.4208,0.4287,0.4889,0.462,0.4755
0.1,0.5734,0.6821,0.3983,0.5805,0.3303,0.4554,0.3937,0.4216,0.4076,0.4944,0.4642,0.4793
0.2,0.5639,0.7014,0.416,0.5815,0.3413,0.4614,0.3546,0.4237,0.3892,0.5018,0.4681,0.485
0.3,0.5462,0.7193,0.4316,0.5795,0.3552,0.4673,0.3199,0.4264,0.3731,0.5102,0.4728,0.4915
0.4,0.5204,0.7365,0.444,0.5756,0.3725,0.474,0.2902,0.429,0.3596,0.5187,0.4774,0.498
0.5,0.4866,0.7535,0.4527,0.5711,0.3933,0.4822,0.2664,0.4315,0.349,0.5266,0.4811,0.5038
0.6,0.4448,0.7696,0.4576,0.5658,0.4178,0.4918,0.2496,0.434,0.3418,0.5338,0.4836,0.5087
0.7,0.3955,0.7832,0.4589,0.5589,0.4454,0.5021,0.2406,0.4364,0.3385,0.5407,0.4849,0.5128
0.8,0.3401,0.7931,0.4568,0.5492,0.4756,0.5124,0.2388,0.4382,0.3385,0.5476,0.4848,0.5162
0.9,0.2807,0.7986,0.4516,0.5365,0.5073,0.5219,0.2429,0.4384,0.3406,0.5542,0.4827,0.5184
1,0.2191,0.7998,0.444,0.5209,0.5388,0.5298,0.251,0.4365,0.3437,0.5599,0.4785,0.5192
1.1,0.1572,0.7963,0.4355,0.5026,0.5679,0.5352,0.2618,0.4325,0.3472,0.5644,0.4726,0.5185
1.2,0.096,0.7877,0.4273,0.4808,0.5924,0.5366,0.2751,0.4275,0.3513,0.5677,0.4655,0.5166
1.3,0.037,0.7733,0.4204,0.455,0.6107,0.5328,0.2913,0.4224,0.3569,0.5699,0.4577,0.5138
1.4,-0.0184,0.7532,0.4149,0.4247,0.6221,0.5234,0.3106,0.4181,0.3644,0.5708,0.4498,0.5103
1.5,-0.0685,0.7281,0.4104,0.3906,0.627,0.5088,0.333,0.4151,0.3741,0.5702,0.4423,0.5063
1.6,-0.1125,0.6994,0.4073,0.3539,0.6269,0.4904,0.3585,0.4136,0.3861,0.5685,0.4356,0.5021
1.7,-0.1489,0.6685,0.4063,0.3161,0.6233,0.4697,0.3875,0.4144,0.4009,0.5666,0.4303,0.4985
1.8,-0.1766,0.6369,0.4083,0.2786,0.6176,0.4481,0.4204,0.4178,0.4191,0.5661,0.4266,0.4963
1.9,-0.1948,0.6059,0.4137,0.2431,0.6105,0.4268,0.4564,0.4242,0.4403,0.5676,0.4242,0.4959
2,-0.2036,0.5766,0.422,0.2113,0.6034,0.4073,0.4941,0.4332,0.4636,0.5711,0.4229,0.497
2.1,-0.205,0.5501,0.4327,0.1845,0.5975,0.391,0.5315,0.4446,0.4881,0.5759,0.4223,0.4991
2.2,-0.2016,0.5276,0.4454,0.164,0.594,0.379,0.5668,0.4586,0.5127,0.5814,0.4223,0.5018
2.3,-0.1946,0.5095,0.4594,0.1508,0.5938,0.3723,0.5982,0.4751,0.5366,0.5874,0.4227,0.5051
2.4,-0.1841,0.4965,0.4743,0.1458,0.5967,0.3713,0.6238,0.4939,0.5588,0.5939,0.4233,0.5086
2.5,-0.1693,0.4886,0.4895,0.1494,0.6019,0.3756,0.6426,0.5143,0.5785,0.6004,0.4241,0.5122
2.6,-0.1499,0.4861,0.5045,0.1612,0.6086,0.3849,0.6548,0.5361,0.5954,0.6068,0.4252,0.516
2.7,-0.1259,0.4892,0.519,0.181,0.6161,0.3986,0.661,0.5589,0.6099,0.6131,0.4271,0.5201
2.8,-0.0971,0.4982,0.5327,0.2091,0.6237,0.4164,0.6621,0.5821,0.6221,0.6193,0.4301,0.5247
2.9,-0.0628,0.5129,0.5456,0.2454,0.631,0.4382,0.6585,0.6053,0.6319,0.6253,0.4342,0.5297
3,-0.0238,0.5327,0.5576,0.2891,0.6372,0.4632,0.6511,0.6279,0.6395,0.631,0.4394,0.5352
3.1,0.0183,0.5563,0.5689,0.3381,0.6417,0.4899,0.6411,0.6493,0.6452,0.6367,0.4458,0.5412
3.2,0.0608,0.5818,0.5795,0.3892,0.6439,0.5166,0.6298,0.669,0.6494,0.6427,0.4537,0.5482
3.3,0.1008,0.6067,0.5891,0.439,0.6432,0.5411,0.6182,0.686,0.6521,0.649,0.4628,0.5559
3.4,0.1358,0.6291,0.5968,0.4844,0.6391,0.5617,0.6062,0.6998,0.653,0.6553,0.4728,0.5641
3.5,0.1639,0.6477,0.6021,0.5238,0.6314,0.5776,0.594,0.7094,0.6517,0.6608,0.4828,0.5718
3.6,0.1838,0.6621,0.6047,0.5573,0.6205,0.5889,0.5818,0.7143,0.648,0.6643,0.4922,0.5783
3.7,0.1955,0.6721,0.6045,0.5853,0.607,0.5961,0.57,0.7147,0.6423,0.6654,0.5009,0.5832
3.8,0.2005,0.6774,0.6014,0.609,0.5912,0.6001,0.5593,0.7117,0.6355,0.6646,0.5087,0.5866
3.9,0.2011,0.6773,0.5956,0.6292,0.5731,0.6011,0.5502,0.7062,0.6282,0.6623,0.5157,0.589
4,0.1997,0.6712,0.587,0.6462,0.5521,0.5991,0.5424,0.6986,0.6205,0.6587,0.5217,0.5902
4.1,0.1981,0.6594,0.5757,0.6605,0.5281,0.5943,0.5355,0.689,0.6123,0.6534,0.5264,0.5899
4.2,0.1968,0.6432,0.5623,0.6731,0.5015,0.5873,0.5292,0.6775,0.6034,0.6461,0.5293,0.5877
4.3,0.1962,0.6235,0.5476,0.6844,0.4733,0.5788,0.5236,0.6645,0.594,0.6365,0.5302,0.5834
4.4,0.1964,0.601,0.5324,0.6945,0.444,0.5692,0.5189,0.6506,0.5848,0.6251,0.5294,0.5773
4.5,0.1984,0.5757,0.5171,0.7025,0.4145,0.5585,0.516,0.6367,0.5764,0.613,0.5273,0.5702
4.6,0.2031,0.5482,0.5017,0.7073,0.3855,0.5464,0.5157,0.6234,0.5695,0.6013,0.5244,0.5628
4.7,0.2114,0.5192,0.4862,0.7084,0.3579,0.5331,0.5181,0.6109,0.5645,0.5902,0.5205,0.5554
4.8,0.2225,0.4897,0.4705,0.7063,0.3323,0.5193,0.5225,0.5991,0.5608,0.5795,0.515,0.5473
4.9,0.2345,0.4604,0.4552,0.7019,0.3094,0.5056,0.5281,0.5879,0.558,0.5689,0.5073,0.5381
5,0.245,0.4319,0.4411,0.6957,0.2898,0.4928,0.5341,0.5773,0.5557,0.5585,0.4973,0.5279
5.1,0.2522,0.4046,0.4298,0.6869,0.2743,0.4806,0.5406,0.5678,0.5542,0.5488,0.4859,0.5174
5.2,0.2549,0.3796,0.4225,0.6748,0.2636,0.4692,0.5481,0.5599,0.554,0.5405,0.4739,0.5072
5.3,0.2525,0.3582,0.4202,0.6591,0.2586,0.4589,0.5567,0.5542,0.5555,0.5337,0.4622,0.4979
5.4,0.244,0.3416,0.4225,0.6416,0.2601,0.4509,0.566,0.5507,0.5584,0.5282,0.4511,0.4897
5.5,0.229,0.3305,0.4284,0.6248,0.268,0.4464,0.5754,0.5491,0.5623,0.524,0.4409,0.4824
5.6,0.2072,0.3249,0.4368,0.6106,0.2817,0.4461,0.5843,0.5487,0.5665,0.5214,0.4315,0.4764
5.7,0.1797,0.3248,0.4475,0.5996,0.3003,0.4499,0.5924,0.5488,0.5706,0.5207,0.4233,0.472
5.8,0.1479,0.3299,0.4605,0.5915,0.3227,0.4571,0.5993,0.5495,0.5744,0.5223,0.4172,0.4697
5.9,0.1122,0.3395,0.4762,0.5856,0.3481,0.4669,0.6046,0.5512,0.5779,0.5263,0.4134,0.4699
6,0.0723,0.353,0.4948,0.5815,0.3762,0.4788,0.6077,0.5541,0.5809,0.5327,0.4122,0.4724
6.1,0.0289,0.3695,0.516,0.5792,0.4058,0.4925,0.6085,0.5582,0.5833,0.5415,0.4133,0.4774
6.2,-0.0161,0.3879,0.5395,0.5789,0.4356,0.5072,0.6078,0.563,0.5854,0.5529,0.4166,0.4848
6.3,-0.0603,0.4069,0.5651,0.5801,0.4638,0.5219,0.6067,0.5681,0.5874,0.5675,0.4225,0.495
6.4,-0.1011,0.4255,0.5926,0.5821,0.4892,0.5357,0.6063,0.5733,0.5898,0.5851,0.4314,0.5083
6.5,-0.1376,0.4429,0.6212,0.5842,0.5114,0.5478,0.6071,0.5786,0.5929,0.6051,0.4433,0.5242
6.6,-0.1707,0.4585,0.6499,0.5865,0.5306,0.5585,0.6093,0.584,0.5967,0.626,0.4578,0.5419
6.7,-0.2014,0.4719,0.677,0.5894,0.5466,0.568,0.6122,0.5888,0.6005,0.646,0.4733,0.5597
6.8,-0.2301,0.4823,0.7014,0.5932,0.5591,0.5761,0.6153,0.5916,0.6035,0.6636,0.4887,0.5762
6.9,-0.2555,0.4895,0.7219,0.5975,0.5675,0.5825,0.6182,0.5916,0.6049,0.6775,0.5033,0.5904
7,-0.2757,0.4928,0.738,0.6014,0.5709,0.5862,0.6206,0.5882,0.6044,0.6875,0.5164,0.602
7.1,-0.2892,0.4918,0.749,0.6038,0.5678,0.5858,0.6217,0.5808,0.6013,0.6935,0.528,0.6108
7.2,-0.2957,0.4864,0.7543,0.6041,0.5573,0.5807,0.6201,0.5688,0.5944,0.6962,0.5377,0.6169
7.3,-0.2947,0.4775,0.7535,0.6028,0.539,0.5709,0.6149,0.5509,0.5829,0.6959,0.5457,0.6208
7.4,-0.2864,0.4664,0.7467,0.6001,0.5136,0.5569,0.6054,0.5268,0.5661,0.6931,0.5524,0.6227
7.5,-0.2722,0.4542,0.7347,0.596,0.4827,0.5393,0.592,0.4972,0.5446,0.6882,0.5583,0.6232
7.6,-0.2536,0.4412,0.7189,0.5895,0.4477,0.5186,0.5752,0.4645,0.5198,0.6818,0.5642,0.623
7.7,-0.2313,0.427,0.7005,0.5797,0.4103,0.495,0.5558,0.4311,0.4935,0.6748,0.5707,0.6228
7.8,-0.2062,0.412,0.6807,0.5663,0.3723,0.4693,0.5344,0.3991,0.4668,0.6679,0.5781,0.623
7.9,-0.1795,0.3972,0.6606,0.5503,0.3354,0.4429,0.5119,0.3697,0.4408,0.6614,0.5862,0.6238
8,-0.1538,0.3843,0.641,0.5326,0.3019,0.4173,0.4888,0.3443,0.4166,0.6549,0.5943,0.6246
8.1,-0.132,0.3743,0.6227,0.5144,0.2743,0.3944,0.4656,0.324,0.3948,0.6476,0.6016,0.6246
8.2,-0.117,0.3678,0.6069,0.4963,0.2553,0.3758,0.4431,0.3094,0.3763,0.6395,0.608,0.6237
8.3,-0.1096,0.3656,0.5944,0.4787,0.2473,0.363,0.422,0.3008,0.3614,0.6307,0.6139,0.6223
8.4,-0.1088,0.369,0.5859,0.4626,0.252,0.3573,0.4035,0.298,0.3508,0.6223,0.6198,0.6211
8.5,-0.1132,0.3797,0.5812,0.4489,0.2701,0.3595,0.3885,0.3011,0.3448,0.6149,0.6259,0.6204
8.6,-0.1223,0.3991,0.5801,0.4388,0.3013,0.37,0.3772,0.3098,0.3435,0.609,0.6319,0.6204
8.7,-0.136,0.4279,0.5822,0.433,0.3442,0.3886,0.3694,0.3236,0.3465,0.6047,0.6373,0.621
8.8,-0.1541,0.4653,0.5868,0.4318,0.3965,0.4141,0.3648,0.3411,0.3529,0.602,0.6419,0.6219
8.9,-0.1757,0.5094,0.593,0.4346,0.4546,0.4446,0.3634,0.3609,0.3621,0.6009,0.6455,0.6232
9,-0.1991,0.5572,0.6006,0.4405,0.5152,0.4778,0.3654,0.3822,0.3738,0.6017,0.6481,0.6249
9.1,-0.2224,0.6058,0.6093,0.4481,0.5753,0.5117,0.3709,0.4045,0.3877,0.6041,0.65,0.627
9.2,-0.2438,0.6518,0.6187,0.4563,0.6324,0.5443,0.3792,0.4275,0.4034,0.608,0.6511,0.6295
9.3,-0.262,0.6928,0.6284,0.464,0.6844,0.5742,0.3893,0.4505,0.4199,0.6129,0.6513,0.6321
9.4,-0.275,0.7272,0.6374,0.4713,0.7292,0.6002,0.4001,0.4723,0.4362,0.6184,0.6504,0.6344
9.5,-0.2804,0.7544,0.6449,0.4781,0.7654,0.6218,0.411,0.4919,0.4515,0.6242,0.6485,0.6363
9.6,-0.2763,0.7744,0.6501,0.4848,0.7924,0.6386,0.422,0.509,0.4655,0.6302,0.6453,0.6377
9.7,-0.2627,0.7879,0.6528,0.4913,0.8104,0.6509,0.4329,0.5231,0.478,0.6356,0.6412,0.6384
9.8,-0.2406,0.7956,0.6532,0.4974,0.8203,0.6589,0.4428,0.5344,0.4886,0.6396,0.6359,0.6378
9.9,-0.2113,0.798,0.6514,0.503,0.8225,0.6627,0.4508,0.5426,0.4967,0.6412,0.6294,0.6353
10,-0.1752,0.7954,0.6479,0.5081,0.8168,0.6624,0.4562,0.5478,0.502,0.6401,0.6217,0.6309
10.1,-0.1318,0.7877,0.6435,0.5128,0.8029,0.6579,0.4585,0.5504,0.5044,0.6362,0.613,0.6246
10.2,-0.0809,0.7755,0.6397,0.5169,0.7808,0.6488,0.4579,0.5512,0.5045,0.6301,0.604,0.6171
10.3,-0.0236,0.7596,0.6381,0.5199,0.7509,0.6354,0.4553,0.5518,0.5035,0.6223,0.5956,0.6089
10.4,0.0376,0.7407,0.6395,0.5212,0.7142,0.6177,0.4517,0.5535,0.5026,0.6131,0.5886,0.6008
10.5,0.1001,0.7193,0.6442,0.5207,0.6723,0.5965,0.4479,0.5569,0.5024,0.6029,0.5837,0.5933
10.6,0.162,0.6959,0.6516,0.5188,0.627,0.5729,0.4451,0.5621,0.5036,0.5917,0.5814,0.5866
10.7,0.2221,0.6708,0.6613,0.5162,0.5808,0.5485,0.4442,0.5693,0.5067,0.5795,0.5815,0.5805
10.8,0.2782,0.6449,0.6731,0.5132,0.5362,0.5247,0.446,0.5788,0.5124,0.566,0.5835,0.5747
10.9,0.3277,0.619,0.6871,0.5095,0.4957,0.5026,0.4507,0.5912,0.521,0.5512,0.5869,0.569
11,0.369,0.5936,0.7027,0.505,0.4605,0.4827,0.4585,0.607,0.5328,0.5357,0.5911,0.5634
11.1,0.4015,0.5693,0.7189,0.5001,0.4316,0.4659,0.4697,0.6257,0.5477,0.5204,0.5958,0.5581
11.2,0.4249,0.547,0.7344,0.4961,0.4094,0.4528,0.485,0.6468,0.5659,0.506,0.5999,0.553
11.3,0.4387,0.5282,0.7482,0.4938,0.3947,0.4442,0.5048,0.67,0.5874,0.4924,0.6025,0.5475
11.4,0.4419,0.5139,0.7601,0.4933,0.3882,0.4408,0.5293,0.6959,0.6126,0.4794,0.6027,0.541
11.5,0.4336,0.5051,0.7702,0.4946,0.3906,0.4426,0.558,0.7247,0.6413,0.4671,0.6003,0.5337
11.6,0.4131,0.502,0.7781,0.4972,0.4016,0.4494,0.59,0.7557,0.6729,0.4569,0.5954,0.5261
11.7,0.3802,0.5041,0.7829,0.5006,0.4205,0.4605,0.6236,0.7867,0.7052,0.4503,0.588,0.5192
11.8,0.3344,0.5107,0.7835,0.5044,0.4457,0.4751,0.6565,0.8145,0.7355,0.4486,0.5784,0.5135
11.9,0.275,0.5214,0.7794,0.5081,0.4763,0.4922,0.6865,0.8363,0.7614,0.4517,0.5673,0.5095
12,0.2028,0.5353,0.7718,0.5112,0.5108,0.511,0.7114,0.8503,0.7808,0.4592,0.5563,0.5078
12.1,0.1214,0.5508,0.7626,0.5132,0.5471,0.5302,0.7295,0.855,0.7923,0.4704,0.547,0.5087
12.2,0.037,0.5659,0.7528,0.5139,0.5824,0.5482,0.74,0.8498,0.7949,0.4849,0.5402,0.5125
12.3,-0.044,0.578,0.7431,0.5128,0.6132,0.563,0.7429,0.8343,0.7886,0.5023,0.5363,0.5193
12.4,-0.1168,0.5854,0.7339,0.5093,0.6369,0.5731,0.7392,0.8093,0.7743,0.5223,0.5356,0.5289
12.5,-0.1782,0.5877,0.7258,0.5036,0.6523,0.578,0.73,0.7762,0.7531,0.5447,0.5388,0.5418
12.6,-0.2251,0.5855,0.719,0.4967,0.6594,0.578,0.7168,0.7362,0.7265,0.569,0.5462,0.5576
12.7,-0.2551,0.5803,0.7131,0.4901,0.659,0.5745,0.7005,0.6908,0.6956,0.5945,0.5574,0.5759
12.8,-0.2666,0.5732,0.7073,0.4851,0.6523,0.5687,0.6819,0.6411,0.6615,0.62,0.5713,0.5956
12.9,-0.26,0.5653,0.7008,0.4826,0.6405,0.5616,0.6616,0.5892,0.6254,0.6446,0.5871,0.6158
13,-0.2381,0.5568,0.6938,0.4823,0.6248,0.5535,0.641,0.5377,0.5894,0.668,0.6045,0.6362
13.1,-0.2042,0.548,0.6871,0.4839,0.6062,0.5451,0.6215,0.4894,0.5555,0.6902,0.6233,0.6567
13.2,-0.1607,0.5395,0.6815,0.4875,0.5858,0.5367,0.6043,0.4469,0.5256,0.711,0.6434,0.6772
13.3,-0.1088,0.5316,0.6765,0.4932,0.5646,0.5289,0.5902,0.412,0.5011,0.7298,0.6641,0.6969
13.4,-0.0497,0.5248,0.6715,0.5011,0.5436,0.5223,0.5795,0.3861,0.4828,0.7461,0.6845,0.7153
13.5,0.0144,0.5191,0.6657,0.5102,0.5237,0.5169,0.5724,0.3699,0.4711,0.7596,0.7036,0.7316
13.6,0.0804,0.5143,0.6582,0.5194,0.506,0.5127,0.5689,0.3632,0.466,0.7704,0.7208,0.7456
13.7,0.1452,0.5099,0.6479,0.5273,0.4911,0.5092,0.5689,0.3646,0.4668,0.7781,0.7354,0.7568
13.8,0.2063,0.5057,0.6335,0.5335,0.4793,0.5064,0.5717,0.3722,0.472,0.7828,0.7467,0.7648
13.9,0.262,0.5013,0.6143,0.5378,0.4708,0.5043,0.5764,0.3841,0.4802,0.7843,0.7538,0.769
14,0.3109,0.4967,0.5911,0.5405,0.4652,0.5029,0.5822,0.399,0.4906,0.7825,0.7559,0.7692
14.1,0.3521,0.4915,0.566,0.542,0.4625,0.5022,0.5887,0.4165,0.5026,0.7781,0.7529,0.7655
