Time,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,-0.1659,0.4583,0.6028,0.3206,0.3572,0.3389,0.3842,0.5113,0.4478,0.797,0.724,0.7605
4.5,-0.2005,0.4534,0.5961,0.3077,0.3619,0.3348,0.3656,0.5067,0.4361,0.8091,0.7163,0.7627
4.6,-0.2361,0.451,0.5906,0.2988,0.3687,0.3338,0.3459,0.5017,0.4238,0.8198,0.7064,0.7631
4.7,-0.2712,0.4511,0.5863,0.2946,0.3773,0.3359,0.326,0.4961,0.4111,0.8286,0.6951,0.7619
4.8,-0.3037,0.4541,0.5834,0.2955,0.3874,0.3415,0.3064,0.4901,0.3982,0.8351,0.6826,0.7588
4.9,-0.3319,0.4606,0.5816,0.3019,0.3994,0.3506,0.2878,0.4839,0.3859,0.8384,0.6689,0.7537
5,-0.3542,0.4712,0.5805,0.3142,0.4133,0.3637,0.2716,0.4779,0.3747,0.8385,0.6544,0.7465
5.1,-0.3699,0.4857,0.5795,0.3321,0.4292,0.3806,0.2585,0.4724,0.3654,0.8354,0.6403,0.7378
5.2,-0.3777,0.5037,0.5785,0.3551,0.4465,0.4008,0.2486,0.4676,0.3581,0.8294,0.6278,0.7286
5.3,-0.3768,0.524,0.5773,0.3824,0.4646,0.4235,0.2418,0.463,0.3524,0.821,0.6185,0.7197
5.4,-0.3665,0.5462,0.5759,0.4133,0.4827,0.448,0.238,0.4581,0.348,0.8107,0.6132,0.712
5.5,-0.3475,0.5698,0.5738,0.448,0.5008,0.4744,0.2379,0.4529,0.3454,0.7998,0.6131,0.7065
5.6,-0.3217,0.5943,0.5706,0.4861,0.5189,0.5025,0.2422,0.4483,0.3453,0.7892,0.6192,0.7042
5.7,-0.2927,0.6186,0.5663,0.5261,0.5368,0.5315,0.2516,0.4448,0.3482,0.7796,0.6317,0.7057
5.8,-0.2648,0.6414,0.561,0.5656,0.5543,0.56,0.2654,0.4432,0.3543,0.7708,0.6501,0.7104
5.9,-0.2414,0.6624,0.5558,0.6022,0.5708,0.5865,0.2826,0.4434,0.363,0.7623,0.6729,0.7176
6,-0.2231,0.6817,0.5514,0.6348,0.5861,0.6105,0.3021,0.4457,0.3739,0.7535,0.6986,0.7261
6.1,-0.2088,0.6995,0.5481,0.6633,0.6003,0.6318,0.3232,0.4498,0.3865,0.7445,0.7261,0.7353
6.2,-0.1975,0.7152,0.5461,0.6875,0.6125,0.65,0.3455,0.4563,0.4009,0.7353,0.7545,0.7449
6.3,-0.1889,0.7278,0.5456,0.7072,0.6218,0.6645,0.3685,0.4656,0.417,0.7263,0.7829,0.7546
6.4,-0.1825,0.7364,0.5467,0.7223,0.6271,0.6747,0.3918,0.478,0.4349,0.7178,0.8104,0.7641
6.5,-0.1771,0.7407,0.55,0.7329,0.6278,0.6803,0.4145,0.4937,0.4541,0.7097,0.8358,0.7728
6.6,-0.1714,0.7409,0.5555,0.7396,0.6235,0.6816,0.4358,0.5124,0.4741,0.7022,0.8581,0.7802
6.7,-0.1638,0.7376,0.5631,0.7431,0.6146,0.6789,0.4549,0.5338,0.4943,0.6953,0.8766,0.7859
6.8,-0.1534,0.7312,0.5724,0.7442,0.6019,0.673,0.4712,0.5572,0.5142,0.6888,0.8911,0.7899
6.9,-0.1398,0.7221,0.5833,0.7431,0.5869,0.665,0.4844,0.5825,0.5334,0.6827,0.9017,0.7922
7,-0.1239,0.7107,0.5959,0.7404,0.5714,0.6559,0.4945,0.6097,0.5521,0.677,0.9082,0.7926
7.1,-0.107,0.6978,0.6101,0.7362,0.5567,0.6465,0.5015,0.6386,0.57,0.6717,0.9103,0.791
7.2,-0.0903,0.6838,0.6247,0.7307,0.5435,0.6371,0.5051,0.6687,0.5869,0.6664,0.9079,0.7871
7.3,-0.0741,0.6689,0.6379,0.7233,0.5315,0.6274,0.5051,0.6986,0.6018,0.661,0.9008,0.7809
7.4,-0.0579,0.6529,0.6484,0.7135,0.5209,0.6172,0.5011,0.7263,0.6137,0.6557,0.8888,0.7723
7.5,-0.0415,0.6362,0.656,0.7009,0.5117,0.6063,0.4937,0.7502,0.622,0.6504,0.8721,0.7613
7.6,-0.0248,0.6203,0.6614,0.686,0.5046,0.5953,0.4841,0.7692,0.6266,0.645,0.8509,0.748
