Time,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2693,0.5005,0.7139,0.564,0.5181,0.541,0.7789,0.7033,0.7411,0.8623,0.6722,0.7673
0.1,-0.249,0.5206,0.7108,0.5749,0.5183,0.5466,0.7761,0.7125,0.7443,0.8671,0.6633,0.7652
0.2,-0.2299,0.5397,0.7097,0.5844,0.5218,0.5531,0.7713,0.7214,0.7463,0.8685,0.655,0.7618
0.3,-0.213,0.5582,0.711,0.5927,0.5282,0.5605,0.7652,0.7301,0.7477,0.8672,0.6479,0.7575
0.4,-0.1989,0.5762,0.7141,0.6003,0.5372,0.5688,0.759,0.7385,0.7488,0.8638,0.6425,0.7531
0.5,-0.1884,0.5937,0.7184,0.6071,0.5485,0.5778,0.753,0.7464,0.7497,0.8583,0.6392,0.7488
0.6,-0.1821,0.6107,0.7229,0.6129,0.5613,0.5871,0.7471,0.7533,0.7502,0.8512,0.6377,0.7445
0.7,-0.1806,0.6266,0.7278,0.6172,0.5744,0.5958,0.7408,0.7592,0.75,0.8431,0.6384,0.7407
0.8,-0.1838,0.6409,0.7332,0.6194,0.5865,0.6029,0.734,0.7641,0.749,0.835,0.6416,0.7383
0.9,-0.1909,0.653,0.7395,0.6193,0.597,0.6082,0.7266,0.7681,0.7474,0.8275,0.6477,0.7376
1,-0.2013,0.6626,0.7464,0.6171,0.6058,0.6114,0.7186,0.7713,0.7449,0.8205,0.6565,0.7385
1.1,-0.2148,0.6697,0.753,0.613,0.6126,0.6128,0.7098,0.7732,0.7415,0.8134,0.6667,0.7401
1.2,-0.2307,0.6747,0.7582,0.6074,0.6174,0.6124,0.7002,0.7734,0.7368,0.8063,0.6774,0.7418
1.3,-0.2477,0.678,0.7613,0.6006,0.6202,0.6104,0.6901,0.7716,0.7309,0.7995,0.6878,0.7436
1.4,-0.264,0.68,0.7617,0.5933,0.6208,0.6071,0.68,0.7672,0.7236,0.7937,0.6979,0.7458
1.5,-0.2781,0.681,0.7592,0.586,0.6196,0.6028,0.6703,0.7597,0.715,0.7892,0.7076,0.7484
1.6,-0.2888,0.6811,0.7538,0.579,0.6163,0.5977,0.6613,0.7492,0.7052,0.7861,0.7167,0.7514
1.7,-0.2951,0.6801,0.7458,0.5723,0.6107,0.5915,0.6525,0.7353,0.6939,0.7841,0.7249,0.7545
1.8,-0.2952,0.6777,0.7352,0.5655,0.6022,0.5838,0.6435,0.718,0.6808,0.7829,0.7318,0.7573
1.9,-0.288,0.6739,0.7221,0.5584,0.5907,0.5745,0.6339,0.6977,0.6658,0.782,0.7366,0.7593
