Time,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC
2,-0.2732,0.6688,0.7064,0.5511,0.5759,0.5635,0.6234,0.6749,0.6491,0.7809,0.7388,0.7598
2.1,-0.2514,0.6627,0.6883,0.5437,0.5581,0.5509,0.6117,0.6501,0.6309,0.7791,0.7378,0.7584
2.2,-0.2229,0.6557,0.6683,0.5361,0.5377,0.5369,0.5988,0.6239,0.6113,0.7762,0.7333,0.7548
2.3,-0.1875,0.6483,0.6474,0.5289,0.5157,0.5223,0.5852,0.5962,0.5907,0.7719,0.7257,0.7488
2.4,-0.1453,0.6407,0.6257,0.5224,0.4929,0.5076,0.5711,0.5674,0.5692,0.766,0.7153,0.7406
2.5,-0.0976,0.6329,0.6035,0.5166,0.4695,0.493,0.5568,0.5379,0.5473,0.7578,0.7022,0.73
2.6,-0.0471,0.625,0.5809,0.5115,0.4457,0.4786,0.5422,0.5088,0.5255,0.747,0.6862,0.7166
2.7,0.0039,0.6171,0.559,0.5074,0.422,0.4647,0.5274,0.4812,0.5043,0.7334,0.6674,0.7004
2.8,0.0547,0.6101,0.5392,0.5051,0.3998,0.4524,0.5129,0.4565,0.4847,0.7172,0.6464,0.6818
2.9,0.1048,0.6049,0.523,0.5058,0.3799,0.4429,0.4998,0.4364,0.4681,0.6995,0.6244,0.662
3,0.1532,0.6024,0.5114,0.5104,0.3631,0.4367,0.4894,0.422,0.4557,0.6819,0.6029,0.6424
3.1,0.1976,0.6024,0.5048,0.5187,0.3492,0.4339,0.4823,0.4138,0.4481,0.6655,0.583,0.6243
3.2,0.2353,0.6049,0.5028,0.53,0.3389,0.4345,0.4786,0.4114,0.445,0.6511,0.5652,0.6082
3.3,0.263,0.6093,0.5046,0.5438,0.3331,0.4384,0.4782,0.414,0.4461,0.6387,0.5501,0.5944
3.4,0.2781,0.615,0.5094,0.5599,0.3325,0.4462,0.4808,0.4213,0.451,0.6285,0.5378,0.5831
3.5,0.2786,0.6212,0.5169,0.5782,0.3376,0.4579,0.4863,0.4332,0.4598,0.6206,0.5284,0.5745
3.6,0.2649,0.6272,0.527,0.598,0.3477,0.4728,0.4945,0.4495,0.472,0.6148,0.5218,0.5683
3.7,0.2384,0.6321,0.5391,0.6181,0.3623,0.4902,0.5047,0.4693,0.487,0.6113,0.5183,0.5648
3.8,0.2013,0.6356,0.5526,0.6382,0.3809,0.5095,0.5164,0.4913,0.5038,0.6101,0.5179,0.564
3.9,0.1562,0.6383,0.5678,0.6583,0.4031,0.5307,0.5295,0.5142,0.5218,0.6115,0.521,0.5663
4,0.1055,0.6409,0.5855,0.6784,0.4287,0.5536,0.5439,0.5373,0.5406,0.6158,0.5278,0.5718
4.1,0.052,0.6439,0.6068,0.6983,0.4571,0.5777,0.5597,0.5607,0.5602,0.6227,0.5383,0.5805
4.2,-0.0005,0.6475,0.6323,0.7173,0.4878,0.6026,0.5763,0.5839,0.5801,0.6317,0.5522,0.5919
4.3,-0.049,0.6519,0.6609,0.7349,0.5208,0.6278,0.5932,0.6062,0.5997,0.6415,0.5689,0.6052
4.4,-0.0929,0.6574,0.6908,0.751,0.5552,0.6531,0.6102,0.6268,0.6185,0.6518,0.5877,0.6198
4.5,-0.1331,0.6644,0.7209,0.7652,0.5905,0.6778,0.6274,0.645,0.6362,0.6628,0.6084,0.6356
4.6,-0.1709,0.6728,0.7511,0.7771,0.6257,0.7014,0.6446,0.6606,0.6526,0.6747,0.6304,0.6525
4.7,-0.2065,0.6822,0.7812,0.7861,0.66,0.723,0.6613,0.6733,0.6673,0.6873,0.6529,0.6701
4.8,-0.2389,0.6918,0.8104,0.7919,0.6925,0.7422,0.6767,0.6827,0.6797,0.6997,0.6747,0.6872
4.9,-0.2673,0.7011,0.838,0.7945,0.7222,0.7583,0.6904,0.6888,0.6896,0.7111,0.6951,0.7031
5,-0.2912,0.71,0.8634,0.7942,0.7482,0.7712,0.7017,0.6923,0.697,0.7216,0.7139,0.7178
5.1,-0.3111,0.7183,0.8858,0.7909,0.7701,0.7805,0.71,0.694,0.702,0.7309,0.7307,0.7308
5.2,-0.3276,0.7258,0.9041,0.7848,0.7884,0.7866,0.715,0.6944,0.7047,0.7381,0.7447,0.7414
5.3,-0.3414,0.7324,0.9172,0.7764,0.8037,0.79,0.7172,0.6941,0.7056,0.7422,0.7552,0.7487
5.4,-0.3533,0.738,0.9244,0.7667,0.8164,0.7916,0.7167,0.6931,0.7049,0.7425,0.7619,0.7522
5.5,-0.3637,0.7424,0.9253,0.7569,0.8271,0.792,0.7141,0.692,0.703,0.7391,0.765,0.752
5.6,-0.3727,0.7459,0.9201,0.7475,0.8356,0.7916,0.7095,0.6912,0.7003,0.732,0.7646,0.7483
5.7,-0.3809,0.7482,0.909,0.7386,0.8419,0.7902,0.7029,0.6911,0.697,0.7211,0.7607,0.7409
5.8,-0.3892,0.7491,0.8927,0.7296,0.8457,0.7877,0.6943,0.6921,0.6932,0.7063,0.7531,0.7297
5.9,-0.3986,0.7486,0.8724,0.7204,0.8472,0.7838,0.6838,0.6943,0.689,0.6883,0.742,0.7152
6,-0.4087,0.7468,0.8496,0.7111,0.8466,0.7788,0.6718,0.6974,0.6846,0.6686,0.7284,0.6985
6.1,-0.4179,0.744,0.8256,0.7019,0.8441,0.773,0.6591,0.7012,0.6801,0.6484,0.7131,0.6807
6.2,-0.4248,0.7401,0.801,0.6932,0.8401,0.7666,0.6464,0.7052,0.6758,0.6281,0.6968,0.6624
6.3,-0.4292,0.7349,0.776,0.6846,0.8347,0.7597,0.6343,0.7092,0.6718,0.608,0.6803,0.6441
6.4,-0.4314,0.7283,0.7509,0.6756,0.8276,0.7516,0.6229,0.7125,0.6677,0.5886,0.664,0.6263
6.5,-0.4318,0.7205,0.7261,0.6654,0.8184,0.7419,0.6119,0.7142,0.663,0.5701,0.6482,0.6091
6.6,-0.4301,0.7116,0.702,0.6535,0.807,0.7303,0.6012,0.7139,0.6576,0.5528,0.6331,0.593
6.7,-0.4258,0.7014,0.6792,0.6397,0.793,0.7164,0.5914,0.7117,0.6515,0.537,0.6191,0.5781
6.8,-0.4189,0.6895,0.6587,0.6237,0.7766,0.7002,0.5829,0.7076,0.6452,0.5226,0.6062,0.5644
6.9,-0.4098,0.676,0.6413,0.6055,0.7578,0.6816,0.576,0.7017,0.6388,0.5093,0.5946,0.5519
7,-0.3985,0.6613,0.6271,0.5855,0.7372,0.6614,0.571,0.6936,0.6323,0.4973,0.5841,0.5407
7.1,-0.3854,0.6465,0.6157,0.5648,0.7159,0.6403,0.5677,0.683,0.6254,0.4873,0.5749,0.5311
7.2,-0.3708,0.6325,0.6062,0.5437,0.6947,0.6192,0.5662,0.6694,0.6178,0.4795,0.5668,0.5231
7.3,-0.3555,0.6203,0.5976,0.5226,0.6746,0.5986,0.5666,0.6531,0.6099,0.4737,0.5594,0.5165
7.4,-0.3401,0.6098,0.5894,0.5011,0.6565,0.5788,0.5687,0.6349,0.6018,0.4694,0.552,0.5107
7.5,-0.3255,0.6012,0.5806,0.4792,0.6411,0.5602,0.572,0.6156,0.5938,0.4656,0.5438,0.5047
7.6,-0.3123,0.5952,0.5706,0.4574,0.6289,0.5432,0.5757,0.5957,0.5857,0.4616,0.534,0.4978
7.7,-0.3014,0.592,0.5587,0.436,0.6199,0.5279,0.5787,0.5755,0.5771,0.4565,0.5219,0.4892
7.8,-0.2943,0.5911,0.5451,0.4151,0.6129,0.514,0.5802,0.5552,0.5677,0.4503,0.5073,0.4788
7.9,-0.2908,0.5911,0.5302,0.3947,0.6067,0.5007,0.5797,0.535,0.5574,0.4426,0.4899,0.4663
8,-0.2887,0.5906,0.5146,0.3754,0.6002,0.4878,0.577,0.5153,0.5461,0.4333,0.4699,0.4516
8.1,-0.2849,0.5885,0.4987,0.3577,0.5928,0.4753,0.5719,0.4966,0.5343,0.4219,0.4474,0.4347
8.2,-0.2771,0.5846,0.4829,0.3425,0.5844,0.4634,0.5644,0.4798,0.5221,0.4083,0.423,0.4156
8.3,-0.266,0.5796,0.468,0.3304,0.5754,0.4529,0.5545,0.4656,0.5101,0.3928,0.3974,0.3951
8.4,-0.2533,0.574,0.4546,0.3217,0.5667,0.4442,0.5425,0.4543,0.4984,0.3762,0.3719,0.374
8.5,-0.2408,0.5678,0.4432,0.3158,0.5581,0.437,0.529,0.446,0.4875,0.3592,0.3473,0.3533
8.6,-0.2297,0.5604,0.4342,0.3118,0.5495,0.4306,0.515,0.4406,0.4778,0.3422,0.3247,0.3335
8.7,-0.2208,0.5515,0.4279,0.3087,0.5402,0.4244,0.5013,0.4381,0.4697,0.326,0.3049,0.3154
8.8,-0.2146,0.5411,0.4246,0.3061,0.5303,0.4182,0.4886,0.4387,0.4636,0.3111,0.2886,0.2998
8.9,-0.212,0.5299,0.424,0.3042,0.5204,0.4123,0.4773,0.4427,0.46,0.2983,0.2761,0.2872
9,-0.2124,0.5186,0.4259,0.3033,0.5112,0.4072,0.4683,0.45,0.4591,0.2881,0.2677,0.2779
9.1,-0.214,0.5078,0.4301,0.3035,0.503,0.4032,0.462,0.46,0.461,0.2807,0.2632,0.272
9.2,-0.215,0.4974,0.4363,0.3049,0.4956,0.4002,0.4588,0.4721,0.4655,0.2762,0.2627,0.2695
9.3,-0.2141,0.4876,0.4445,0.3075,0.4885,0.398,0.459,0.486,0.4725,0.2752,0.2662,0.2707
9.4,-0.2104,0.4787,0.4547,0.3115,0.4815,0.3965,0.4624,0.5014,0.4819,0.2777,0.2738,0.2757
9.5,-0.2031,0.4706,0.4665,0.3171,0.4744,0.3957,0.4687,0.5179,0.4933,0.2835,0.2851,0.2843
9.6,-0.1912,0.4639,0.4792,0.3246,0.4674,0.396,0.4775,0.5343,0.5059,0.2921,0.2998,0.2959
9.7,-0.1744,0.4593,0.492,0.3344,0.4611,0.3977,0.4879,0.5497,0.5188,0.3035,0.3175,0.3105
9.8,-0.1534,0.4579,0.5041,0.3469,0.4556,0.4013,0.4993,0.5636,0.5315,0.3176,0.3381,0.3278
9.9,-0.1297,0.4605,0.5151,0.3625,0.4514,0.407,0.511,0.5759,0.5434,0.334,0.3608,0.3474
10,-0.1045,0.4672,0.5247,0.381,0.4485,0.4148,0.5226,0.5864,0.5545,0.3515,0.3849,0.3682
10.1,-0.0783,0.4776,0.5329,0.4022,0.4466,0.4244,0.5338,0.5952,0.5645,0.3692,0.4094,0.3893
10.2,-0.051,0.4914,0.5395,0.4259,0.4452,0.4356,0.5443,0.6019,0.5731,0.386,0.4334,0.4097
10.3,-0.0234,0.5083,0.5445,0.452,0.4442,0.4481,0.5539,0.6069,0.5804,0.4016,0.4562,0.4289
10.4,0.0031,0.5282,0.5477,0.4802,0.4438,0.462,0.5625,0.6102,0.5864,0.4157,0.4775,0.4466
10.5,0.0272,0.5504,0.5489,0.5093,0.4443,0.4768,0.5698,0.6124,0.5911,0.4282,0.4965,0.4623
10.6,0.048,0.5734,0.5482,0.5378,0.4456,0.4917,0.5759,0.6134,0.5947,0.4388,0.5131,0.4759
10.7,0.0652,0.5957,0.5458,0.5643,0.4471,0.5057,0.5809,0.6137,0.5973,0.4469,0.5272,0.4871
10.8,0.0791,0.6156,0.5425,0.5879,0.4481,0.518,0.5849,0.6135,0.5992,0.4525,0.5391,0.4958
10.9,0.09,0.632,0.5388,0.6079,0.4477,0.5278,0.5877,0.613,0.6003,0.4556,0.5489,0.5022
11,0.0984,0.6435,0.5348,0.6231,0.4443,0.5337,0.5892,0.6119,0.6005,0.4565,0.5564,0.5064
11.1,0.1047,0.6487,0.5301,0.6316,0.4368,0.5342,0.5886,0.6097,0.5991,0.4554,0.5615,0.5085
11.2,0.109,0.6471,0.5246,0.6327,0.4251,0.5289,0.5861,0.6062,0.5961,0.4526,0.5644,0.5085
11.3,0.1113,0.6398,0.5185,0.6267,0.4108,0.5188,0.5821,0.6014,0.5917,0.4482,0.5657,0.507
11.4,0.1113,0.6286,0.5127,0.6145,0.3959,0.5052,0.5769,0.5959,0.5864,0.4425,0.5665,0.5045
11.5,0.1089,0.615,0.5081,0.5971,0.3817,0.4894,0.5705,0.5904,0.5804,0.436,0.5673,0.5017
11.6,0.1043,0.5999,0.5052,0.5754,0.3685,0.472,0.5629,0.585,0.5739,0.4296,0.569,0.4993
11.7,0.0979,0.5835,0.5045,0.5497,0.3562,0.4529,0.5546,0.5796,0.5671,0.4246,0.5726,0.4986
11.8,0.0893,0.5662,0.5061,0.5204,0.3444,0.4324,0.5466,0.5741,0.5603,0.4222,0.5791,0.5007
11.9,0.0779,0.5488,0.5103,0.4886,0.3331,0.4108,0.5394,0.5688,0.5541,0.4227,0.5888,0.5058
12,0.0622,0.5322,0.5176,0.4555,0.3231,0.3893,0.5334,0.5644,0.5489,0.4261,0.6015,0.5138
12.1,0.0418,0.5179,0.5278,0.423,0.3156,0.3693,0.5286,0.5616,0.5451,0.4322,0.6159,0.5241
12.2,0.0173,0.507,0.5397,0.3928,0.3115,0.3521,0.5249,0.5602,0.5425,0.4408,0.6307,0.5357
12.3,-0.0098,0.5001,0.5521,0.366,0.3109,0.3384,0.5226,0.5596,0.5411,0.4513,0.6443,0.5478
12.4,-0.0377,0.497,0.5635,0.3431,0.3135,0.3283,0.5217,0.5588,0.5403,0.4636,0.6561,0.5598
12.5,-0.0646,0.4975,0.5731,0.3243,0.3186,0.3214,0.5221,0.5571,0.5396,0.4774,0.6656,0.5715
12.6,-0.0895,0.5016,0.5805,0.3098,0.3261,0.318,0.5231,0.5539,0.5385,0.4922,0.6727,0.5825
12.7,-0.1127,0.5098,0.5857,0.3005,0.3365,0.3185,0.5243,0.5491,0.5367,0.5076,0.6771,0.5924
12.8,-0.134,0.5229,0.5888,0.2969,0.3502,0.3236,0.5259,0.5428,0.5344,0.5229,0.6783,0.6006
12.9,-0.1524,0.5411,0.5895,0.2994,0.3676,0.3335,0.5277,0.5351,0.5314,0.5375,0.6761,0.6068
13,-0.1668,0.564,0.588,0.3076,0.3887,0.3482,0.5297,0.5263,0.528,0.5511,0.6709,0.611
13.1,-0.1765,0.5902,0.5851,0.3211,0.4129,0.367,0.5319,0.5175,0.5247,0.564,0.6636,0.6138
13.2,-0.1817,0.618,0.582,0.3388,0.4389,0.3888,0.5349,0.5096,0.5223,0.5762,0.6549,0.6156
13.3,-0.1826,0.6455,0.5793,0.3592,0.4655,0.4123,0.5388,0.5031,0.521,0.588,0.6454,0.6167
13.4,-0.1798,0.6713,0.5775,0.3811,0.4919,0.4365,0.5439,0.4978,0.5209,0.5988,0.6354,0.6171
13.5,-0.1741,0.694,0.5767,0.4034,0.5172,0.4603,0.5498,0.4936,0.5217,0.6085,0.6247,0.6166
13.6,-0.167,0.7128,0.5766,0.425,0.5406,0.4828,0.5563,0.4905,0.5234,0.6168,0.6136,0.6152
13.7,-0.1599,0.7274,0.5772,0.4447,0.5613,0.503,0.5629,0.4886,0.5257,0.6238,0.6027,0.6132
13.8,-0.1531,0.7379,0.5784,0.4619,0.5789,0.5204,0.5693,0.4879,0.5286,0.6291,0.592,0.6105
13.9,-0.1455,0.7443,0.5803,0.4765,0.5933,0.5349,0.5755,0.488,0.5318,0.6319,0.5815,0.6067
14,-0.1363,0.7467,0.5828,0.489,0.6041,0.5466,0.5814,0.4885,0.5349,0.6315,0.571,0.6013
14.1,-0.1264,0.7452,0.586,0.4997,0.6109,0.5553,0.5864,0.4888,0.5376,0.6272,0.5607,0.594
14.2,-0.1181,0.7401,0.5895,0.5089,0.6132,0.5611,0.5901,0.489,0.5395,0.619,0.5502,0.5846
14.3,-0.1133,0.7315,0.5935,0.5166,0.6113,0.5639,0.5922,0.4893,0.5407,0.607,0.5391,0.5731
14.4,-0.1135,0.7197,0.5979,0.5223,0.6054,0.5639,0.5926,0.4899,0.5412,0.5919,0.5275,0.5597
14.5,-0.1198,0.7045,0.6024,0.5258,0.5956,0.5607,0.5912,0.4908,0.541,0.5742,0.5156,0.5449
14.6,-0.1324,0.6863,0.607,0.5273,0.5817,0.5545,0.5883,0.492,0.5402,0.5545,0.504,0.5292
14.7,-0.1499,0.6659,0.6112,0.5275,0.5639,0.5457,0.5845,0.4938,0.5391,0.5339,0.4934,0.5137
14.8,-0.1706,0.6442,0.6146,0.5272,0.5435,0.5353,0.5801,0.4962,0.5381,0.5136,0.4841,0.4988
14.9,-0.1936,0.6219,0.6165,0.5274,0.5221,0.5247,0.576,0.4997,0.5379,0.4949,0.4756,0.4853
15,-0.2192,0.6003,0.617,0.5284,0.5019,0.5151,0.5735,0.5046,0.5391,0.4787,0.4681,0.4734
15.1,-0.2487,0.5806,0.6159,0.5297,0.4838,0.5068,0.5734,0.5114,0.5424,0.4656,0.4618,0.4637
15.2,-0.2826,0.5639,0.6135,0.5311,0.4684,0.4998,0.5759,0.5199,0.5479,0.4558,0.4566,0.4562
15.3,-0.3196,0.5508,0.61,0.5331,0.4564,0.4948,0.5809,0.5298,0.5553,0.4493,0.4525,0.4509
15.4,-0.3566,0.5415,0.606,0.5366,0.4489,0.4927,0.5877,0.5405,0.5641,0.4463,0.4491,0.4477
15.5,-0.3905,0.5356,0.602,0.5418,0.4462,0.494,0.596,0.5515,0.5738,0.447,0.4468,0.4469
15.6,-0.4193,0.5327,0.5985,0.5486,0.4482,0.4984,0.6048,0.5622,0.5835,0.4513,0.4462,0.4487
15.7,-0.4419,0.5324,0.5958,0.5568,0.4546,0.5057,0.6134,0.5721,0.5928,0.4592,0.4475,0.4534
15.8,-0.4581,0.5351,0.5939,0.5665,0.4659,0.5162,0.6211,0.581,0.601,0.4706,0.4509,0.4608
15.9,-0.4675,0.5409,0.5925,0.578,0.4815,0.5298,0.6274,0.5885,0.608,0.4849,0.4562,0.4706
16,-0.4697,0.5495,0.5913,0.5914,0.4999,0.5456,0.6321,0.5945,0.6133,0.5013,0.463,0.4821
16.1,-0.4645,0.5597,0.5899,0.6058,0.5189,0.5623,0.6353,0.5987,0.617,0.519,0.4711,0.495
16.2,-0.4517,0.57,0.5881,0.6204,0.5363,0.5784,0.6366,0.6013,0.6189,0.5375,0.4806,0.509
16.3,-0.4314,0.5788,0.5856,0.6343,0.5511,0.5927,0.6359,0.6022,0.6191,0.5562,0.4913,0.5238
16.4,-0.4043,0.5852,0.5825,0.6469,0.5624,0.6047,0.6331,0.6017,0.6174,0.5744,0.5032,0.5388
16.5,-0.372,0.5888,0.5789,0.6577,0.5701,0.6139,0.6281,0.5999,0.614,0.5914,0.516,0.5537
16.6,-0.3374,0.5897,0.5749,0.6658,0.5737,0.6198,0.6205,0.5966,0.6086,0.6064,0.5297,0.568
16.7,-0.3035,0.5883,0.5705,0.6706,0.5736,0.6221,0.61,0.5912,0.6006,0.6185,0.5437,0.5811
16.8,-0.2726,0.5853,0.5655,0.6715,0.57,0.6208,0.5961,0.5832,0.5897,0.6269,0.5571,0.592
16.9,-0.2453,0.5814,0.5595,0.6684,0.5628,0.6156,0.5784,0.5725,0.5754,0.6315,0.5694,0.6004
17,-0.2211,0.5773,0.5524,0.6616,0.5523,0.6069,0.5567,0.559,0.5578,0.6323,0.5801,0.6062
17.1,-0.1993,0.5732,0.5439,0.6518,0.5387,0.5953,0.5314,0.5428,0.5371,0.6296,0.5888,0.6092
17.2,-0.1797,0.569,0.5337,0.6406,0.523,0.5818,0.5033,0.524,0.5137,0.6236,0.595,0.6093
17.3,-0.1628,0.5645,0.5214,0.6287,0.5059,0.5673,0.4729,0.5027,0.4878,0.6148,0.5983,0.6065
17.4,-0.1494,0.5594,0.507,0.616,0.4877,0.5519,0.4411,0.4791,0.4601,0.6042,0.5989,0.6016
17.5,-0.1399,0.5538,0.4909,0.6027,0.469,0.5359,0.409,0.4542,0.4316,0.5935,0.5971,0.5953
17.6,-0.1337,0.548,0.4739,0.5893,0.4505,0.5199,0.3782,0.4292,0.4037,0.5838,0.5932,0.5885
17.7,-0.1293,0.5424,0.4568,0.5762,0.4327,0.5045,0.3504,0.405,0.3777,0.5758,0.5878,0.5818
17.8,-0.1253,0.537,0.4402,0.5636,0.4161,0.4898,0.3265,0.3824,0.3545,0.5696,0.5814,0.5755
17.9,-0.1209,0.5321,0.4241,0.551,0.4005,0.4757,0.3073,0.3617,0.3345,0.5656,0.5742,0.5699
18,-0.1154,0.5278,0.4086,0.5382,0.3862,0.4622,0.2932,0.3435,0.3183,0.5636,0.5662,0.5649
18.1,-0.1082,0.5246,0.3941,0.5255,0.3742,0.4499,0.2847,0.3285,0.3066,0.5638,0.5577,0.5608
18.2,-0.0993,0.5231,0.3813,0.5138,0.3656,0.4397,0.2822,0.3174,0.2998,0.5664,0.5489,0.5576
18.3,-0.0893,0.5233,0.3703,0.5038,0.3603,0.4321,0.286,0.3102,0.2981,0.5714,0.54,0.5557
18.4,-0.078,0.5244,0.3604,0.495,0.3572,0.4261,0.2954,0.3065,0.301,0.5788,0.5317,0.5553
18.5,-0.0645,0.5256,0.3512,0.4865,0.3549,0.4207,0.3094,0.3055,0.3075,0.5882,0.5243,0.5562
18.6,-0.0479,0.5265,0.3422,0.4783,0.3537,0.416,0.3267,0.3067,0.3167,0.5989,0.5176,0.5583
18.7,-0.0287,0.5274,0.3338,0.4712,0.3547,0.413,0.3464,0.3098,0.3281,0.6108,0.5118,0.5613
18.8,-0.0083,0.5285,0.3264,0.4659,0.3587,0.4123,0.3679,0.3147,0.3413,0.6233,0.5065,0.5649
18.9,0.0123,0.53,0.3199,0.4626,0.3654,0.414,0.391,0.3215,0.3562,0.6359,0.5017,0.5688
19,0.0325,0.5317,0.3139,0.4609,0.3739,0.4174,0.4155,0.33,0.3728,0.6479,0.4969,0.5724
19.1,0.0527,0.5331,0.3079,0.4606,0.3831,0.4218,0.4416,0.3402,0.3909,0.6583,0.491,0.5747
19.2,0.0736,0.5342,0.3012,0.4614,0.392,0.4267,0.4687,0.3514,0.41,0.6663,0.4837,0.575
19.3,0.0956,0.5346,0.2932,0.4635,0.3997,0.4316,0.4958,0.3629,0.4294,0.6709,0.4748,0.5728
19.4,0.1184,0.5339,0.2838,0.467,0.4056,0.4363,0.5216,0.3743,0.448,0.6717,0.4642,0.568
19.5,0.1412,0.5312,0.2734,0.472,0.4097,0.4408,0.5454,0.3852,0.4653,0.6684,0.4518,0.5601
19.6,0.1634,0.5265,0.2625,0.4779,0.4125,0.4452,0.5665,0.396,0.4813,0.6609,0.4376,0.5493
19.7,0.1836,0.5201,0.2519,0.4842,0.4147,0.4494,0.5847,0.407,0.4958,0.6499,0.4219,0.5359
19.8,0.2007,0.5134,0.2423,0.4908,0.4173,0.4541,0.5996,0.4181,0.5088,0.6359,0.4058,0.5208
19.9,0.2136,0.5073,0.2339,0.4985,0.421,0.4597,0.611,0.4287,0.5198,0.6202,0.3903,0.5052
20,0.2213,0.5022,0.2275,0.5074,0.4256,0.4665,0.6182,0.4383,0.5283,0.6035,0.376,0.4898
20.1,0.2238,0.4981,0.2237,0.5178,0.4304,0.4741,0.6213,0.4464,0.5339,0.5866,0.3631,0.4749
20.2,0.2211,0.4952,0.2225,0.5296,0.4351,0.4824,0.6206,0.4532,0.5369,0.5704,0.3518,0.4611
20.3,0.2136,0.494,0.224,0.5434,0.4397,0.4915,0.6169,0.4592,0.5381,0.5556,0.3429,0.4493
20.4,0.2013,0.4944,0.2279,0.5594,0.4447,0.5021,0.6114,0.4651,0.5382,0.5426,0.3367,0.4397
20.5,0.1833,0.4959,0.2343,0.5771,0.4505,0.5138,0.6049,0.4716,0.5382,0.5318,0.3337,0.4327
20.6,0.1584,0.4979,0.2437,0.5953,0.4573,0.5263,0.5983,0.4795,0.5389,0.5236,0.3344,0.429
20.7,0.1264,0.5006,0.2564,0.612,0.4651,0.5385,0.592,0.4891,0.5406,0.5186,0.3395,0.429
20.8,0.0876,0.5043,0.272,0.6256,0.4736,0.5496,0.5863,0.501,0.5437,0.5171,0.3492,0.4332
20.9,0.0431,0.5091,0.2893,0.6355,0.482,0.5587,0.5816,0.5153,0.5484,0.5189,0.3634,0.4411
21,-0.0048,0.5142,0.3067,0.6409,0.4892,0.5651,0.578,0.5316,0.5548,0.523,0.3813,0.4522
21.1,-0.0533,0.5188,0.3231,0.6409,0.4941,0.5675,0.5758,0.5493,0.5625,0.5288,0.4022,0.4655
