Time,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.7,-0.0375,0.6732,0.8018,0.746,0.6863,0.7161,0.8835,0.8014,0.8425,0.7431,0.7266,0.7348
27.8,-0.035,0.6771,0.8262,0.7351,0.699,0.7171,0.8969,0.8196,0.8582,0.7415,0.7251,0.7333
27.9,-0.0296,0.6832,0.8491,0.7265,0.7129,0.7197,0.9072,0.8362,0.8717,0.7377,0.7231,0.7304
28,-0.0201,0.6913,0.8701,0.7203,0.7272,0.7238,0.9138,0.8509,0.8823,0.7313,0.7201,0.7257
28.1,-0.0066,0.7006,0.8888,0.7161,0.741,0.7286,0.9155,0.8629,0.8892,0.7214,0.7154,0.7184
28.2,0.0099,0.7105,0.9044,0.7132,0.7535,0.7333,0.9114,0.8712,0.8913,0.7077,0.7083,0.708
28.3,0.0279,0.72,0.9163,0.7109,0.764,0.7375,0.9011,0.875,0.8881,0.6898,0.6986,0.6942
28.4,0.0457,0.7284,0.9238,0.7093,0.7723,0.7408,0.8847,0.8748,0.8797,0.6681,0.6864,0.6772
28.5,0.0623,0.735,0.9263,0.7081,0.7786,0.7434,0.8629,0.8709,0.8669,0.6429,0.6718,0.6574
28.6,0.0768,0.7391,0.9239,0.7071,0.7824,0.7448,0.8363,0.8636,0.8499,0.6151,0.6549,0.635
28.7,0.088,0.7405,0.9162,0.7056,0.7833,0.7445,0.8056,0.8526,0.8291,0.5858,0.636,0.6109
28.8,0.0952,0.7387,0.9032,0.7028,0.7808,0.7418,0.7714,0.8374,0.8044,0.5557,0.615,0.5854
28.9,0.098,0.7333,0.885,0.698,0.7747,0.7364,0.7346,0.8175,0.776,0.5253,0.5924,0.5589
29,0.0963,0.7238,0.8617,0.6907,0.7651,0.7279,0.6957,0.7931,0.7444,0.4949,0.5687,0.5318
29.1,0.0903,0.7099,0.834,0.6807,0.7517,0.7162,0.6553,0.7645,0.7099,0.465,0.5444,0.5047
29.2,0.0803,0.6915,0.8028,0.6673,0.7345,0.7009,0.6142,0.732,0.6731,0.4362,0.5202,0.4782
29.3,0.0672,0.6696,0.7692,0.6503,0.7137,0.682,0.5731,0.6963,0.6347,0.4094,0.497,0.4532
29.4,0.0518,0.6455,0.7341,0.6298,0.6902,0.66,0.5334,0.6582,0.5958,0.3854,0.4758,0.4306
29.5,0.035,0.6205,0.6983,0.6062,0.6653,0.6357,0.4963,0.6187,0.5575,0.3652,0.4572,0.4112
29.6,0.018,0.5955,0.6624,0.5801,0.6394,0.6097,0.4628,0.5788,0.5208,0.3494,0.4417,0.3955
29.7,0.0018,0.5705,0.6268,0.5515,0.6128,0.5822,0.4331,0.539,0.486,0.3379,0.4296,0.3838
29.8,-0.0126,0.5454,0.5922,0.5208,0.5856,0.5532,0.4074,0.5,0.4537,0.3306,0.4213,0.3759
29.9,-0.0249,0.5205,0.5597,0.4882,0.5583,0.5232,0.3856,0.4628,0.4242,0.3271,0.4172,0.3722
