Time,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,0.1916,0.4976,0.6423,0.4799,0.3561,0.418,0.5838,0.5515,0.5677,0.7615,0.7518,0.7567
4.5,0.2032,0.4963,0.6523,0.4916,0.3576,0.4246,0.5965,0.5654,0.5809,0.7727,0.7597,0.7662
4.6,0.2074,0.4962,0.6631,0.5034,0.3628,0.4331,0.6083,0.5808,0.5946,0.7804,0.7651,0.7727
4.7,0.2038,0.4968,0.6738,0.515,0.3705,0.4427,0.6186,0.5967,0.6076,0.7838,0.7672,0.7755
4.8,0.1932,0.4977,0.6833,0.5258,0.3798,0.4528,0.6266,0.6122,0.6194,0.7823,0.7652,0.7738
4.9,0.1764,0.4984,0.6909,0.5357,0.3904,0.4631,0.6323,0.6271,0.6297,0.7762,0.7587,0.7675
5,0.1541,0.4993,0.6962,0.5446,0.4025,0.4735,0.6361,0.6416,0.6388,0.7659,0.7479,0.7569
5.1,0.1274,0.5002,0.6988,0.5523,0.416,0.4842,0.6382,0.6552,0.6467,0.7516,0.7334,0.7425
5.2,0.0978,0.501,0.6984,0.5589,0.4305,0.4947,0.6391,0.6673,0.6532,0.7333,0.715,0.7241
5.3,0.0678,0.5016,0.6948,0.5642,0.4454,0.5048,0.6388,0.6772,0.658,0.7107,0.693,0.7018
5.4,0.0398,0.5014,0.6881,0.5677,0.4598,0.5137,0.6376,0.684,0.6608,0.6838,0.6673,0.6756
5.5,0.0156,0.5001,0.6785,0.5689,0.4731,0.521,0.6354,0.6875,0.6615,0.6532,0.6384,0.6458
5.6,-0.004,0.4974,0.6668,0.5677,0.4848,0.5262,0.6324,0.6874,0.6599,0.6197,0.6071,0.6134
5.7,-0.0185,0.4933,0.6535,0.5647,0.4945,0.5296,0.6287,0.6842,0.6565,0.5845,0.574,0.5792
5.8,-0.0277,0.4888,0.6395,0.5615,0.5022,0.5318,0.6245,0.6787,0.6516,0.5487,0.5398,0.5442
5.9,-0.0316,0.4848,0.6256,0.5596,0.5084,0.534,0.6202,0.6718,0.646,0.5134,0.5055,0.5094
6,-0.0302,0.4827,0.6127,0.5598,0.5136,0.5367,0.616,0.6649,0.6404,0.4799,0.4725,0.4762
6.1,-0.0232,0.4829,0.6014,0.5622,0.5185,0.5404,0.6123,0.6588,0.6355,0.4495,0.4424,0.446
6.2,-0.0096,0.4859,0.5922,0.5665,0.5229,0.5447,0.6093,0.6538,0.6315,0.4234,0.4165,0.42
6.3,0.0111,0.4913,0.5849,0.5728,0.5266,0.5497,0.607,0.65,0.6285,0.4022,0.3956,0.3989
6.4,0.0383,0.4991,0.5791,0.5813,0.5292,0.5552,0.6055,0.6472,0.6263,0.3858,0.3797,0.3828
6.5,0.0705,0.5088,0.575,0.5922,0.5307,0.5615,0.6048,0.6457,0.6252,0.3743,0.3688,0.3715
6.6,0.1053,0.5201,0.5725,0.6053,0.5317,0.5685,0.6048,0.6461,0.6254,0.368,0.3629,0.3654
6.7,0.1407,0.5324,0.5718,0.6195,0.5326,0.576,0.6056,0.6484,0.627,0.3671,0.3622,0.3646
6.8,0.1755,0.545,0.5729,0.6334,0.5336,0.5835,0.6069,0.652,0.6295,0.3716,0.3666,0.3691
6.9,0.2088,0.5572,0.5754,0.6462,0.5346,0.5904,0.6085,0.6562,0.6323,0.381,0.3757,0.3784
7,0.2401,0.5688,0.5794,0.6576,0.5356,0.5966,0.6104,0.6605,0.6355,0.3944,0.3891,0.3918
7.1,0.2685,0.5794,0.5847,0.6676,0.5366,0.6021,0.6132,0.6653,0.6392,0.4111,0.4062,0.4087
7.2,0.2932,0.5885,0.5911,0.676,0.5379,0.6069,0.6169,0.6706,0.6437,0.4301,0.4266,0.4283
7.3,0.3138,0.5958,0.598,0.6816,0.5398,0.6107,0.6209,0.6757,0.6483,0.4504,0.4494,0.4499
7.4,0.331,0.601,0.6049,0.6837,0.5424,0.613,0.6241,0.6795,0.6518,0.4711,0.4737,0.4724
7.5,0.3455,0.6046,0.6114,0.6815,0.5455,0.6135,0.6257,0.6816,0.6536,0.491,0.4985,0.4948
7.6,0.3572,0.6072,0.6176,0.6747,0.5491,0.6119,0.6255,0.6817,0.6536,0.5095,0.5233,0.5164
7.7,0.3653,0.6091,0.6232,0.6636,0.553,0.6083,0.6231,0.6802,0.6516,0.526,0.5474,0.5367
7.8,0.3693,0.6106,0.6278,0.6485,0.5568,0.6026,0.6185,0.677,0.6478,0.5396,0.5703,0.555
7.9,0.3698,0.6117,0.6306,0.6298,0.5601,0.595,0.6114,0.672,0.6417,0.5493,0.5911,0.5702
8,0.3678,0.6121,0.6315,0.6073,0.5628,0.5851,0.6018,0.6648,0.6333,0.5542,0.6091,0.5817
8.1,0.3647,0.6116,0.6307,0.5811,0.5643,0.5727,0.5901,0.6557,0.6229,0.5545,0.6242,0.5894
8.2,0.3609,0.6096,0.6288,0.5511,0.5644,0.5578,0.5772,0.6453,0.6112,0.5512,0.6368,0.594
8.3,0.3562,0.606,0.6264,0.5181,0.563,0.5405,0.5637,0.634,0.5988,0.5448,0.6472,0.596
8.4,0.3501,0.6002,0.6238,0.4836,0.5601,0.5219,0.5501,0.6219,0.586,0.5357,0.6556,0.5956
8.5,0.3422,0.5919,0.621,0.4495,0.5559,0.5027,0.5368,0.6091,0.573,0.5241,0.6617,0.5929
