Time,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.1,-0.3082,0.5236,0.4988,0.394,0.5576,0.4758,0.5696,0.5552,0.5624,0.0337,0.5369,0.2853
8.2,-0.2584,0.5259,0.5066,0.4358,0.5613,0.4986,0.5927,0.552,0.5723,0.0501,0.5578,0.304
8.3,-0.2117,0.5284,0.5163,0.4761,0.566,0.521,0.6135,0.5506,0.5821,0.0674,0.576,0.3217
8.4,-0.1714,0.5316,0.5273,0.5134,0.571,0.5422,0.6312,0.5511,0.5912,0.085,0.5911,0.338
8.5,-0.1391,0.5348,0.5391,0.5465,0.5753,0.5609,0.6456,0.5532,0.5994,0.1021,0.6022,0.3521
8.6,-0.1151,0.5369,0.5504,0.5743,0.5775,0.5759,0.6562,0.5564,0.6063,0.1176,0.6081,0.3628
8.7,-0.0975,0.5372,0.5604,0.5967,0.5769,0.5868,0.6622,0.5598,0.611,0.1308,0.6086,0.3697
8.8,-0.0834,0.5362,0.5685,0.6147,0.5734,0.5941,0.6632,0.562,0.6126,0.1419,0.6051,0.3735
8.9,-0.0702,0.5354,0.5755,0.6298,0.5674,0.5986,0.6597,0.5623,0.611,0.1515,0.5996,0.3755
9,-0.0566,0.5361,0.5822,0.6428,0.5595,0.6011,0.6528,0.5608,0.6068,0.1602,0.5937,0.377
9.1,-0.0422,0.5387,0.5888,0.6538,0.5506,0.6022,0.6438,0.5587,0.6013,0.1681,0.5888,0.3784
9.2,-0.0266,0.5424,0.5949,0.6631,0.5419,0.6025,0.6339,0.5571,0.5955,0.1753,0.5855,0.3804
9.3,-0.0091,0.5462,0.6001,0.6712,0.5343,0.6028,0.6243,0.5565,0.5904,0.1815,0.5842,0.3829
9.4,0.0111,0.5491,0.604,0.6786,0.5282,0.6034,0.6159,0.5569,0.5864,0.187,0.5846,0.3858
9.5,0.0343,0.5506,0.6063,0.6854,0.523,0.6042,0.6095,0.5574,0.5835,0.1919,0.586,0.389
9.6,0.0593,0.5506,0.607,0.6908,0.5183,0.6045,0.6055,0.5575,0.5815,0.1966,0.5878,0.3922
9.7,0.0842,0.5485,0.606,0.6939,0.5134,0.6037,0.6037,0.5567,0.5802,0.2019,0.5896,0.3957
9.8,0.1073,0.544,0.6036,0.6938,0.5082,0.601,0.6038,0.5553,0.5795,0.2085,0.5921,0.4003
9.9,0.1266,0.5372,0.6001,0.6903,0.5027,0.5965,0.6059,0.5532,0.5795,0.2174,0.5962,0.4068
10,0.1398,0.5288,0.5955,0.6838,0.497,0.5904,0.6105,0.5506,0.5805,0.229,0.6025,0.4157
10.1,0.1451,0.5193,0.5901,0.6749,0.4913,0.5831,0.6178,0.5474,0.5826,0.2437,0.6108,0.4272
10.2,0.1414,0.5089,0.5844,0.6639,0.486,0.575,0.6276,0.5442,0.5859,0.2614,0.6208,0.4411
10.3,0.1287,0.4976,0.5787,0.651,0.4815,0.5662,0.6388,0.5415,0.5901,0.2818,0.632,0.4569
10.4,0.1085,0.4859,0.5734,0.6363,0.4781,0.5572,0.6507,0.54,0.5954,0.3041,0.6433,0.4737
10.5,0.0829,0.4747,0.5684,0.6206,0.4764,0.5485,0.6626,0.5405,0.6015,0.3275,0.6536,0.4906
10.6,0.0542,0.4648,0.5639,0.6052,0.4763,0.5407,0.6741,0.543,0.6086,0.3512,0.6618,0.5065
10.7,0.0251,0.4561,0.5592,0.5913,0.4773,0.5343,0.6845,0.5478,0.6161,0.3749,0.6667,0.5208
10.8,-0.0021,0.4477,0.5537,0.5794,0.4783,0.5288,0.6935,0.5543,0.6239,0.3978,0.667,0.5324
10.9,-0.0263,0.4388,0.547,0.5696,0.4785,0.524,0.7003,0.5623,0.6313,0.419,0.6623,0.5406
11,-0.0479,0.4292,0.5394,0.562,0.4778,0.5199,0.7046,0.5716,0.6381,0.4377,0.6526,0.5451
11.1,-0.0681,0.4197,0.5315,0.557,0.4769,0.5169,0.706,0.5822,0.6441,0.4536,0.6389,0.5462
