Time,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.2,-0.1486,0.5246,0.6925,0.5588,0.5244,0.5416,0.5393,0.413,0.4761,0.6033,0.7071,0.6552
27.3,-0.1442,0.5288,0.6938,0.5562,0.5206,0.5384,0.5463,0.417,0.4817,0.6029,0.7054,0.6542
27.4,-0.1422,0.5326,0.6933,0.5511,0.5168,0.534,0.5515,0.4228,0.4871,0.603,0.7021,0.6526
27.5,-0.1409,0.5362,0.6914,0.544,0.5136,0.5288,0.5545,0.4303,0.4924,0.6032,0.6969,0.6501
27.6,-0.139,0.5398,0.6883,0.5351,0.5114,0.5233,0.5553,0.4395,0.4974,0.6029,0.6889,0.6459
27.7,-0.1355,0.5436,0.6837,0.5246,0.5105,0.5175,0.5541,0.4503,0.5022,0.6013,0.6774,0.6394
27.8,-0.1301,0.5475,0.6773,0.5128,0.5112,0.512,0.5508,0.4624,0.5066,0.5985,0.6623,0.6304
27.9,-0.1228,0.5512,0.669,0.5002,0.5137,0.5069,0.5455,0.4752,0.5103,0.5945,0.6438,0.6192
28,-0.1132,0.5543,0.6589,0.4869,0.5176,0.5022,0.5381,0.4879,0.513,0.5898,0.623,0.6064
28.1,-0.1001,0.5568,0.6479,0.4734,0.5227,0.4981,0.5292,0.5007,0.515,0.585,0.6013,0.5931
28.2,-0.083,0.5583,0.6366,0.4604,0.5287,0.4946,0.5195,0.5135,0.5165,0.5806,0.5797,0.5801
28.3,-0.0626,0.5587,0.625,0.448,0.5357,0.4918,0.5091,0.5263,0.5177,0.5766,0.5589,0.5677
28.4,-0.0407,0.5579,0.613,0.4364,0.5435,0.49,0.4981,0.5381,0.5181,0.5726,0.5391,0.5558
28.5,-0.0189,0.5564,0.6005,0.426,0.5522,0.4891,0.4858,0.548,0.5169,0.5681,0.5205,0.5443
28.6,0.0017,0.5547,0.5876,0.4171,0.5611,0.4891,0.4725,0.5553,0.5139,0.5634,0.5039,0.5337
28.7,0.0208,0.553,0.5745,0.4102,0.5697,0.4899,0.4586,0.5599,0.5093,0.5594,0.4904,0.5249
28.8,0.038,0.5515,0.5613,0.4058,0.5777,0.4917,0.4446,0.5617,0.5031,0.5568,0.481,0.5189
28.9,0.053,0.5504,0.5481,0.4042,0.5853,0.4948,0.4305,0.5605,0.4955,0.5557,0.476,0.5159
29,0.0658,0.5496,0.5347,0.4056,0.5928,0.4992,0.4162,0.5561,0.4862,0.5561,0.4753,0.5157
29.1,0.0771,0.5494,0.5211,0.4096,0.6003,0.5049,0.4017,0.5486,0.4751,0.5576,0.4784,0.518
29.2,0.088,0.5499,0.5077,0.4162,0.6072,0.5117,0.387,0.5385,0.4627,0.56,0.4849,0.5224
29.3,0.0998,0.5513,0.4946,0.4261,0.6134,0.5197,0.3717,0.5267,0.4492,0.5629,0.4943,0.5286
29.4,0.1124,0.5532,0.4821,0.4393,0.6186,0.529,0.3552,0.5134,0.4343,0.5661,0.5059,0.536
29.5,0.1245,0.5549,0.4703,0.4555,0.6228,0.5392,0.3367,0.499,0.4178,0.5691,0.5191,0.5441
29.6,0.1344,0.5559,0.4594,0.4734,0.6257,0.5496,0.3159,0.4833,0.3996,0.572,0.5336,0.5528
29.7,0.1411,0.5556,0.4497,0.4915,0.6266,0.559,0.2933,0.4669,0.3801,0.5754,0.5493,0.5623
29.8,0.1441,0.5536,0.4415,0.5084,0.6245,0.5665,0.2687,0.4504,0.3596,0.5793,0.5656,0.5724
29.9,0.1428,0.5499,0.4349,0.5234,0.6188,0.5711,0.2418,0.4343,0.3381,0.583,0.5816,0.5823
