Time,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1301,0.53,0.4793,0.5358,0.2828,0.4093,0.4154,0.3532,0.3843,0.4322,0.4993,0.4658
0.1,-0.1657,0.5606,0.5236,0.5616,0.3398,0.4507,0.4477,0.3742,0.4109,0.456,0.5144,0.4852
0.2,-0.1977,0.5921,0.5664,0.5869,0.3987,0.4928,0.4816,0.3947,0.4381,0.4777,0.5276,0.5027
0.3,-0.2242,0.6232,0.6059,0.6106,0.4552,0.5329,0.5145,0.4132,0.4639,0.4954,0.5387,0.517
0.4,-0.2437,0.6531,0.6403,0.6325,0.5062,0.5693,0.5445,0.4287,0.4866,0.5077,0.5471,0.5274
0.5,-0.2555,0.6814,0.6686,0.6525,0.5503,0.6014,0.5701,0.4408,0.5055,0.5142,0.5523,0.5333
0.6,-0.259,0.7071,0.6905,0.6703,0.5874,0.6289,0.5905,0.4503,0.5204,0.5154,0.5538,0.5346
0.7,-0.2548,0.7286,0.7065,0.6848,0.6169,0.6509,0.6049,0.4576,0.5312,0.512,0.5512,0.5316
0.8,-0.2438,0.7444,0.7173,0.6949,0.638,0.6664,0.6125,0.4624,0.5374,0.5049,0.5444,0.5246
0.9,-0.2269,0.7543,0.7238,0.7008,0.6505,0.6756,0.6132,0.4649,0.539,0.4947,0.5335,0.5141
1,-0.2053,0.7588,0.7275,0.7037,0.6555,0.6796,0.6081,0.4652,0.5366,0.482,0.5192,0.5006
1.1,-0.1799,0.7582,0.7289,0.7051,0.6541,0.6796,0.5983,0.4638,0.531,0.4667,0.5024,0.4846
1.2,-0.1524,0.7525,0.7282,0.7054,0.6472,0.6763,0.585,0.461,0.523,0.4491,0.4835,0.4663
1.3,-0.1251,0.7415,0.7255,0.7039,0.6353,0.6696,0.5691,0.4563,0.5127,0.4296,0.4626,0.4461
1.4,-0.0997,0.7256,0.721,0.6998,0.6197,0.6598,0.5513,0.4498,0.5006,0.4091,0.4398,0.4244
1.5,-0.0769,0.7062,0.7147,0.6936,0.6024,0.648,0.5322,0.4416,0.4869,0.3885,0.4153,0.4019
1.6,-0.0569,0.6848,0.7068,0.6865,0.5855,0.636,0.5125,0.432,0.4722,0.3682,0.3905,0.3793
1.7,-0.0403,0.6626,0.6977,0.6794,0.57,0.6247,0.4927,0.4215,0.4571,0.3486,0.3669,0.3578
1.8,-0.0273,0.6405,0.6876,0.6725,0.5566,0.6145,0.4737,0.4108,0.4422,0.3302,0.3461,0.3381
1.9,-0.0185,0.6189,0.6768,0.6656,0.5454,0.6055,0.4562,0.4002,0.4282,0.3138,0.3289,0.3213
2,-0.0135,0.5989,0.6661,0.6592,0.5365,0.5978,0.4414,0.3906,0.416,0.3003,0.3158,0.3081
2.1,-0.0111,0.5809,0.6562,0.6539,0.5305,0.5922,0.4299,0.3829,0.4064,0.2904,0.3068,0.2986
2.2,-0.0096,0.5656,0.6474,0.6505,0.5277,0.5891,0.4219,0.3778,0.3999,0.2841,0.3014,0.2927
2.3,-0.0077,0.5529,0.6397,0.6491,0.528,0.5886,0.4173,0.3758,0.3965,0.2814,0.2994,0.2904
2.4,-0.0044,0.5427,0.6334,0.6496,0.5313,0.5904,0.4155,0.3775,0.3965,0.2822,0.3006,0.2914
2.5,0.0007,0.535,0.629,0.6514,0.5371,0.5942,0.4164,0.3829,0.3997,0.2866,0.3047,0.2957
2.6,0.0084,0.5298,0.6261,0.6538,0.5446,0.5992,0.4196,0.3916,0.4056,0.2943,0.3114,0.3028
2.7,0.0189,0.5268,0.6239,0.656,0.5529,0.6044,0.4243,0.4025,0.4134,0.3044,0.3199,0.3122
2.8,0.0322,0.5254,0.6217,0.6571,0.5607,0.6089,0.43,0.4145,0.4223,0.3166,0.3297,0.3232
2.9,0.0484,0.5249,0.6191,0.6563,0.567,0.6117,0.4364,0.4266,0.4315,0.3308,0.3406,0.3357
3,0.0677,0.5247,0.6161,0.653,0.5706,0.6118,0.4436,0.4386,0.4411,0.3473,0.3523,0.3498
3.1,0.0902,0.5247,0.613,0.6469,0.5707,0.6088,0.4519,0.4509,0.4514,0.3659,0.3649,0.3654
3.2,0.1157,0.5243,0.6098,0.6378,0.5665,0.6022,0.461,0.4631,0.4621,0.3857,0.3783,0.382
3.3,0.1442,0.5226,0.6058,0.6262,0.558,0.5921,0.4702,0.4742,0.4722,0.4056,0.3921,0.3988
3.4,0.1753,0.5192,0.6003,0.6126,0.545,0.5788,0.4787,0.4831,0.4809,0.4248,0.406,0.4154
3.5,0.2085,0.5141,0.5935,0.597,0.5274,0.5622,0.4857,0.489,0.4873,0.4432,0.4202,0.4317
3.6,0.2426,0.5076,0.5859,0.5795,0.5049,0.5422,0.4908,0.4916,0.4912,0.4604,0.4346,0.4475
3.7,0.277,0.5002,0.5779,0.5603,0.4779,0.5191,0.4937,0.4908,0.4923,0.4764,0.4492,0.4628
3.8,0.3103,0.4925,0.5694,0.5402,0.4477,0.4939,0.4944,0.4864,0.4904,0.4911,0.4636,0.4774
3.9,0.3406,0.4847,0.5605,0.5198,0.4164,0.4681,0.4924,0.4784,0.4854,0.5044,0.4773,0.4909
4,0.3663,0.477,0.5508,0.4999,0.3857,0.4428,0.4878,0.4673,0.4775,0.5158,0.4903,0.503
4.1,0.3864,0.4695,0.5407,0.4805,0.3565,0.4185,0.4807,0.4534,0.4671,0.5247,0.5027,0.5137
4.2,0.4006,0.4622,0.5301,0.4621,0.3295,0.3958,0.4717,0.4374,0.4546,0.5308,0.5152,0.523
4.3,0.409,0.4556,0.5192,0.4451,0.3054,0.3752,0.4623,0.4198,0.441,0.534,0.5283,0.5312
4.4,0.4112,0.45,0.508,0.43,0.285,0.3575,0.4536,0.4017,0.4276,0.5342,0.5413,0.5377
4.5,0.4065,0.4453,0.4956,0.4165,0.2688,0.3426,0.446,0.3836,0.4148,0.5312,0.5524,0.5418
4.6,0.394,0.4407,0.4817,0.4036,0.2565,0.3301,0.439,0.3655,0.4023,0.5258,0.5599,0.5428
