Time,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.1,0.2523,0.532,0.7407,0.6838,0.7041,0.694,0.7183,0.6259,0.6721,0.6868,0.6123,0.6496
24.2,0.2738,0.5464,0.7401,0.6734,0.7104,0.6919,0.7251,0.6283,0.6767,0.7067,0.6208,0.6637
24.3,0.2946,0.5621,0.7382,0.6623,0.7159,0.6891,0.73,0.6292,0.6796,0.7246,0.6303,0.6774
24.4,0.3144,0.5795,0.7347,0.6514,0.7205,0.686,0.733,0.6288,0.6809,0.7411,0.6413,0.6912
24.5,0.3329,0.5984,0.7294,0.6411,0.7244,0.6827,0.7335,0.6273,0.6804,0.7558,0.6539,0.7048
24.6,0.3493,0.6183,0.7222,0.6317,0.7271,0.6794,0.731,0.6246,0.6778,0.768,0.6671,0.7176
24.7,0.3628,0.6385,0.7132,0.6233,0.7285,0.6759,0.725,0.6207,0.6728,0.7769,0.68,0.7284
24.8,0.3724,0.6582,0.7026,0.6161,0.7286,0.6723,0.7153,0.6154,0.6653,0.7819,0.6916,0.7367
24.9,0.3772,0.6768,0.6906,0.6104,0.7278,0.6691,0.7022,0.6089,0.6556,0.7826,0.7016,0.7421
25,0.3767,0.694,0.6774,0.6064,0.7268,0.6666,0.6862,0.6017,0.6439,0.779,0.7098,0.7444
25.1,0.3708,0.7093,0.6636,0.6038,0.7258,0.6648,0.6677,0.5941,0.6309,0.7705,0.7156,0.7431
25.2,0.3604,0.7217,0.6496,0.602,0.7251,0.6635,0.6469,0.5866,0.6168,0.757,0.7184,0.7377
25.3,0.346,0.7306,0.6357,0.6006,0.7246,0.6626,0.6242,0.5795,0.6018,0.7381,0.7169,0.7275
25.4,0.3281,0.7358,0.6218,0.5993,0.7241,0.6617,0.6002,0.5725,0.5863,0.7136,0.7099,0.7118
25.5,0.3068,0.7374,0.6079,0.5978,0.7233,0.6606,0.5752,0.5657,0.5705,0.6835,0.6966,0.69
25.6,0.2828,0.7354,0.5941,0.5957,0.7219,0.6588,0.5494,0.5593,0.5544,0.6478,0.6765,0.6621
25.7,0.2572,0.7303,0.5807,0.5924,0.7193,0.6558,0.5227,0.5537,0.5382,0.6073,0.65,0.6286
25.8,0.2306,0.7221,0.5684,0.5878,0.7148,0.6513,0.4953,0.549,0.5222,0.5632,0.618,0.5906
25.9,0.203,0.711,0.5576,0.582,0.7079,0.6449,0.4681,0.5452,0.5067,0.5175,0.5817,0.5496
26,0.1743,0.697,0.5482,0.5748,0.6985,0.6366,0.4425,0.5422,0.4924,0.4726,0.5425,0.5076
26.1,0.1448,0.6804,0.54,0.566,0.6868,0.6264,0.4202,0.5399,0.48,0.4315,0.5021,0.4668
26.2,0.1152,0.6617,0.5317,0.5555,0.6736,0.6146,0.4018,0.5386,0.4702,0.3964,0.4621,0.4292
26.3,0.0858,0.6419,0.5227,0.5435,0.66,0.6017,0.3879,0.5381,0.463,0.3685,0.4245,0.3965
26.4,0.0574,0.6219,0.5121,0.5307,0.6468,0.5888,0.3788,0.5385,0.4587,0.3479,0.3906,0.3692
26.5,0.0305,0.6028,0.4996,0.5184,0.6348,0.5766,0.3744,0.5396,0.457,0.3337,0.3608,0.3472
26.6,0.0054,0.5849,0.4854,0.5074,0.6243,0.5658,0.3743,0.5412,0.4577,0.3248,0.3354,0.3301
26.7,-0.0173,0.5677,0.4694,0.4973,0.6149,0.5561,0.3779,0.5425,0.4602,0.3204,0.3151,0.3178
26.8,-0.0366,0.5504,0.452,0.4875,0.6063,0.5469,0.3839,0.5425,0.4632,0.3197,0.3006,0.3101
26.9,-0.0518,0.5324,0.4334,0.4773,0.5978,0.5376,0.3914,0.5402,0.4658,0.3219,0.2922,0.3071
27,-0.0631,0.5136,0.4146,0.4666,0.5888,0.5277,0.3995,0.535,0.4673,0.3262,0.2897,0.3079
27.1,-0.0707,0.4944,0.3963,0.4552,0.5786,0.5169,0.4077,0.5271,0.4674,0.3318,0.2923,0.312
27.2,-0.0741,0.4753,0.379,0.443,0.5667,0.5049,0.4154,0.5169,0.4661,0.3384,0.2992,0.3188
27.3,-0.0728,0.4568,0.363,0.4298,0.5529,0.4914,0.422,0.5053,0.4636,0.3457,0.3095,0.3276
27.4,-0.0667,0.4391,0.349,0.4149,0.5377,0.4763,0.4274,0.4935,0.4605,0.3529,0.3222,0.3376
27.5,-0.0561,0.4224,0.3378,0.3981,0.5209,0.4595,0.432,0.4822,0.4571,0.36,0.3367,0.3483
27.6,-0.0418,0.4071,0.3303,0.3798,0.5027,0.4413,0.436,0.4719,0.4539,0.3672,0.3528,0.36
27.7,-0.0244,0.3936,0.3267,0.3608,0.4834,0.4221,0.4395,0.463,0.4513,0.3749,0.3704,0.3726
27.8,-0.0044,0.3828,0.3269,0.3417,0.4634,0.4026,0.443,0.4561,0.4495,0.3827,0.388,0.3853
27.9,0.0169,0.375,0.3301,0.3234,0.4439,0.3836,0.4466,0.4511,0.4488,0.3898,0.4039,0.3969
28,0.0379,0.37,0.335,0.306,0.4252,0.3656,0.4501,0.4478,0.4489,0.3963,0.4169,0.4066
28.1,0.0572,0.3674,0.3409,0.2901,0.4075,0.3488,0.4537,0.4459,0.4498,0.4024,0.4269,0.4146
28.2,0.0741,0.3673,0.3485,0.2764,0.3901,0.3332,0.4572,0.4455,0.4513,0.4093,0.4345,0.4219
28.3,0.0889,0.3697,0.359,0.2658,0.3728,0.3193,0.4606,0.4469,0.4538,0.4173,0.4406,0.429
28.4,0.1016,0.3747,0.3731,0.2584,0.3561,0.3072,0.4637,0.4504,0.457,0.4268,0.4453,0.436
28.5,0.1121,0.3819,0.3906,0.2536,0.3406,0.2971,0.4663,0.456,0.4611,0.4375,0.4487,0.4431
28.6,0.1204,0.3913,0.4105,0.2511,0.3275,0.2893,0.4692,0.464,0.4666,0.4496,0.4514,0.4505
28.7,0.1269,0.4032,0.4327,0.2508,0.3173,0.2841,0.4733,0.4745,0.4739,0.4632,0.4542,0.4587
28.8,0.132,0.4179,0.4572,0.2526,0.3103,0.2814,0.4789,0.4876,0.4833,0.4786,0.4582,0.4684
28.9,0.1361,0.4347,0.4838,0.2564,0.3062,0.2813,0.4855,0.503,0.4943,0.4956,0.4637,0.4797
29,0.1384,0.4521,0.511,0.2619,0.3046,0.2832,0.4927,0.5203,0.5065,0.5132,0.4706,0.4919
29.1,0.1379,0.4689,0.5373,0.269,0.3051,0.287,0.5003,0.5391,0.5197,0.5306,0.4785,0.5045
29.2,0.1339,0.4842,0.5614,0.278,0.3079,0.293,0.5088,0.5593,0.534,0.5474,0.4873,0.5174
29.3,0.1272,0.4976,0.5829,0.2887,0.3137,0.3012,0.5184,0.5804,0.5494,0.5639,0.4972,0.5306
29.4,0.1196,0.5085,0.6014,0.3008,0.3225,0.3116,0.5282,0.6017,0.5649,0.5799,0.5078,0.5439
29.5,0.1128,0.5166,0.6164,0.3134,0.3332,0.3233,0.5367,0.622,0.5794,0.5946,0.5183,0.5564
29.6,0.1071,0.5215,0.628,0.3258,0.3448,0.3353,0.5431,0.6408,0.592,0.6068,0.5277,0.5672
29.7,0.1028,0.5239,0.6367,0.3382,0.3568,0.3475,0.5474,0.658,0.6027,0.6156,0.5353,0.5754
29.8,0.0994,0.5244,0.6438,0.3509,0.3692,0.36,0.5501,0.6734,0.6118,0.6202,0.5407,0.5805
29.9,0.0964,0.5241,0.6498,0.3644,0.3821,0.3732,0.5513,0.6865,0.6189,0.6207,0.5438,0.5823
