Time,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.5,-0.1262,0.3981,0.3492,0.5173,0.3242,0.4208,0.2067,0.1057,0.1562,0.4178,0.2177,0.3178
24.6,-0.1551,0.3787,0.3664,0.4683,0.3269,0.3976,0.1806,0.1136,0.1471,0.4075,0.2389,0.3232
24.7,-0.1828,0.3608,0.3894,0.4205,0.3325,0.3765,0.1564,0.1302,0.1433,0.396,0.2622,0.3291
24.8,-0.2072,0.3445,0.4182,0.3756,0.3398,0.3577,0.1354,0.1555,0.1455,0.3839,0.2868,0.3353
24.9,-0.2283,0.3286,0.4528,0.3342,0.3473,0.3408,0.1184,0.1893,0.1539,0.3716,0.3118,0.3417
25,-0.2471,0.3113,0.4916,0.2963,0.3533,0.3248,0.1057,0.2297,0.1677,0.3596,0.3361,0.3478
25.1,-0.2644,0.2915,0.5317,0.2622,0.3566,0.3094,0.097,0.2731,0.185,0.3476,0.357,0.3523
25.2,-0.2799,0.2698,0.5705,0.2329,0.357,0.2949,0.0925,0.3155,0.204,0.3349,0.3725,0.3537
25.3,-0.2931,0.2475,0.6065,0.2091,0.3548,0.282,0.0924,0.3543,0.2233,0.3212,0.3817,0.3514
25.4,-0.3035,0.2262,0.6396,0.1912,0.3512,0.2712,0.0968,0.3882,0.2425,0.3066,0.385,0.3458
25.5,-0.3121,0.2069,0.6698,0.1787,0.3471,0.2629,0.1057,0.4171,0.2614,0.2919,0.3838,0.3379
25.6,-0.3203,0.1901,0.6964,0.1716,0.3433,0.2574,0.1184,0.441,0.2797,0.2778,0.3794,0.3286
25.7,-0.3287,0.1763,0.7176,0.1695,0.3398,0.2546,0.1345,0.4596,0.2971,0.2648,0.3724,0.3186
25.8,-0.3368,0.166,0.7319,0.1721,0.3365,0.2543,0.1537,0.4732,0.3134,0.2529,0.3632,0.308
25.9,-0.3437,0.1589,0.7384,0.1783,0.3332,0.2557,0.1759,0.4823,0.3291,0.2422,0.3521,0.2972
26,-0.3486,0.1545,0.7374,0.1862,0.3289,0.2575,0.2008,0.4878,0.3443,0.2328,0.34,0.2864
26.1,-0.351,0.1523,0.7296,0.1942,0.3228,0.2585,0.2274,0.4904,0.3589,0.225,0.3276,0.2763
26.2,-0.3501,0.1525,0.7153,0.2016,0.3151,0.2584,0.2544,0.4899,0.3721,0.2193,0.3154,0.2673
26.3,-0.345,0.1558,0.6938,0.2089,0.307,0.258,0.2803,0.4862,0.3832,0.2152,0.3029,0.2591
26.4,-0.3343,0.1626,0.665,0.217,0.3003,0.2586,0.3041,0.4796,0.3919,0.2121,0.29,0.251
26.5,-0.3164,0.1727,0.6298,0.2262,0.2957,0.261,0.3258,0.4708,0.3983,0.2089,0.2761,0.2425
26.6,-0.2908,0.1853,0.5905,0.2365,0.2933,0.2649,0.3454,0.4604,0.4029,0.2047,0.2611,0.2329
26.7,-0.2576,0.1995,0.5495,0.2482,0.293,0.2706,0.3631,0.4491,0.4061,0.1991,0.2447,0.2219
26.8,-0.2172,0.2154,0.5088,0.2623,0.2953,0.2788,0.3787,0.4379,0.4083,0.1927,0.2273,0.21
26.9,-0.1695,0.2337,0.4692,0.2801,0.3003,0.2902,0.3922,0.4274,0.4098,0.186,0.209,0.1975
27,-0.1143,0.2546,0.431,0.3025,0.3072,0.3049,0.4032,0.4181,0.4106,0.1793,0.1902,0.1847
27.1,-0.0525,0.278,0.3943,0.3295,0.3145,0.322,0.4115,0.41,0.4108,0.1731,0.1713,0.1722
27.2,0.0141,0.3029,0.3596,0.3602,0.3211,0.3406,0.4173,0.4031,0.4102,0.1678,0.153,0.1604
27.3,0.0834,0.3286,0.327,0.3943,0.3268,0.3605,0.4207,0.3975,0.4091,0.1634,0.1354,0.1494
27.4,0.1532,0.3544,0.297,0.4313,0.3319,0.3816,0.422,0.3932,0.4076,0.16,0.1187,0.1394
27.5,0.2219,0.3792,0.27,0.4713,0.3358,0.4036,0.4215,0.3903,0.4059,0.1578,0.1033,0.1306
27.6,0.2886,0.4017,0.2466,0.513,0.3373,0.4252,0.4192,0.3882,0.4037,0.157,0.0896,0.1233
27.7,0.3523,0.4207,0.2273,0.5543,0.3356,0.4449,0.4147,0.3858,0.4003,0.1576,0.0781,0.1179
27.8,0.4103,0.4354,0.2122,0.5929,0.3306,0.4618,0.4077,0.3824,0.395,0.1594,0.0693,0.1144
27.9,0.459,0.4459,0.201,0.6275,0.3235,0.4755,0.3982,0.3775,0.3879,0.1619,0.0635,0.1127
28,0.4952,0.452,0.1936,0.6563,0.3151,0.4857,0.3867,0.3712,0.379,0.1646,0.061,0.1128
28.1,0.517,0.4534,0.1904,0.6771,0.3053,0.4912,0.374,0.3634,0.3687,0.1679,0.0625,0.1152
28.2,0.524,0.4494,0.1909,0.6877,0.2931,0.4904,0.3602,0.3538,0.357,0.1722,0.0683,0.1202
28.3,0.5164,0.4396,0.1945,0.6867,0.2781,0.4824,0.345,0.3417,0.3433,0.1784,0.0781,0.1283
28.4,0.4948,0.4244,0.2003,0.6744,0.261,0.4677,0.3284,0.327,0.3277,0.1868,0.0914,0.1391
28.5,0.4599,0.4053,0.2078,0.6522,0.2432,0.4477,0.3109,0.3099,0.3104,0.1974,0.1075,0.1524
28.6,0.4133,0.3844,0.2167,0.622,0.2259,0.424,0.2934,0.2911,0.2922,0.21,0.1264,0.1682
28.7,0.3559,0.3634,0.2268,0.5861,0.2104,0.3983,0.2766,0.2719,0.2742,0.2249,0.1484,0.1867
28.8,0.2882,0.3431,0.2378,0.5466,0.1976,0.3721,0.2616,0.2534,0.2575,0.2425,0.1738,0.2081
28.9,0.2111,0.3239,0.2488,0.5062,0.1883,0.3472,0.2493,0.2367,0.243,0.2629,0.2019,0.2324
29,0.1266,0.3067,0.259,0.4676,0.1828,0.3252,0.2404,0.2226,0.2315,0.2859,0.2319,0.2589
29.1,0.0386,0.2923,0.2679,0.434,0.1809,0.3074,0.2358,0.2113,0.2236,0.3107,0.2626,0.2867
29.2,-0.049,0.2818,0.276,0.4074,0.1821,0.2948,0.2355,0.2028,0.2191,0.3368,0.2938,0.3153
29.3,-0.1332,0.2758,0.284,0.3894,0.1863,0.2878,0.2384,0.1972,0.2178,0.3642,0.3256,0.3449
29.4,-0.2122,0.2745,0.2923,0.3805,0.1934,0.287,0.2438,0.1943,0.2191,0.3929,0.3576,0.3753
29.5,-0.2848,0.2778,0.3002,0.3812,0.2039,0.2926,0.2514,0.1938,0.2226,0.4228,0.3886,0.4057
29.6,-0.3497,0.2859,0.307,0.3919,0.2185,0.3052,0.2614,0.1957,0.2286,0.4529,0.4166,0.4347
29.7,-0.4056,0.2988,0.3121,0.4126,0.2372,0.3249,0.2743,0.2003,0.2373,0.4823,0.4401,0.4612
29.8,-0.451,0.3165,0.3163,0.4426,0.2593,0.351,0.2901,0.2082,0.2492,0.5098,0.459,0.4844
29.9,-0.4853,0.3385,0.3213,0.4806,0.2838,0.3822,0.3086,0.2203,0.2644,0.5349,0.4741,0.5045
