Time,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
28.4,-0.3043,0.793,0.7978,0.6409,0.6441,0.6425,0.731,0.7531,0.7421,0.1832,0.2685,0.2258
28.5,-0.3099,0.7783,0.8175,0.6127,0.6301,0.6214,0.7167,0.7514,0.7341,0.1894,0.2801,0.2347
28.6,-0.3178,0.7624,0.8344,0.5833,0.6175,0.6004,0.7005,0.7478,0.7241,0.1999,0.2955,0.2477
28.7,-0.3278,0.7459,0.8464,0.5535,0.6057,0.5796,0.6823,0.7412,0.7118,0.2144,0.3148,0.2646
28.8,-0.3401,0.7296,0.8531,0.5243,0.5945,0.5594,0.6624,0.7312,0.6968,0.2324,0.3383,0.2854
28.9,-0.3544,0.7138,0.8548,0.4967,0.5833,0.54,0.6416,0.7174,0.6795,0.2535,0.3654,0.3094
29,-0.3692,0.6991,0.8527,0.4715,0.572,0.5217,0.6209,0.7,0.6604,0.2766,0.3953,0.3359
29.1,-0.3824,0.6859,0.8475,0.4489,0.5605,0.5047,0.6011,0.6789,0.64,0.3009,0.4271,0.364
29.2,-0.392,0.6743,0.8396,0.4291,0.5487,0.4889,0.5825,0.6543,0.6184,0.3252,0.4599,0.3926
29.3,-0.397,0.6645,0.829,0.412,0.537,0.4745,0.5654,0.627,0.5962,0.349,0.4925,0.4207
29.4,-0.3971,0.6562,0.8162,0.3978,0.5252,0.4615,0.5497,0.598,0.5739,0.372,0.5242,0.4481
29.5,-0.3921,0.6497,0.8026,0.387,0.5137,0.4503,0.5356,0.5686,0.5521,0.3945,0.5547,0.4746
29.6,-0.3818,0.6453,0.7897,0.3802,0.503,0.4416,0.5235,0.5405,0.532,0.4167,0.5834,0.5001
29.7,-0.3663,0.6444,0.7784,0.3783,0.4944,0.4363,0.5144,0.5151,0.5147,0.4383,0.6091,0.5237
29.8,-0.345,0.648,0.7694,0.3823,0.489,0.4356,0.5096,0.4939,0.5018,0.459,0.6309,0.545
29.9,-0.3178,0.6566,0.7627,0.3928,0.4869,0.4398,0.5099,0.4777,0.4938,0.4789,0.6488,0.5638
