Time,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23.2,0.4069,0.699,0.5783,0.4837,0.4855,0.4846,0.6853,0.6199,0.6526,0.7771,0.6655,0.7213
23.3,0.418,0.7154,0.5774,0.5133,0.4987,0.506,0.6742,0.6231,0.6487,0.7519,0.649,0.7004
23.4,0.4293,0.7278,0.5768,0.5423,0.5064,0.5244,0.6583,0.6242,0.6412,0.7221,0.63,0.676
23.5,0.4398,0.7353,0.5756,0.5689,0.5083,0.5386,0.6382,0.6229,0.6306,0.6881,0.6084,0.6483
23.6,0.4502,0.737,0.5725,0.5909,0.5039,0.5474,0.6142,0.6191,0.6166,0.6509,0.5844,0.6176
23.7,0.4627,0.7321,0.5663,0.6064,0.4929,0.5496,0.5864,0.6118,0.5991,0.6109,0.5581,0.5845
23.8,0.4785,0.7204,0.5563,0.6141,0.4757,0.5449,0.5551,0.6005,0.5778,0.5688,0.5299,0.5493
23.9,0.4968,0.7017,0.5419,0.6138,0.4539,0.5339,0.5209,0.5845,0.5527,0.5251,0.5,0.5125
24,0.5137,0.6762,0.5234,0.6056,0.4293,0.5175,0.4847,0.564,0.5244,0.4807,0.4687,0.4747
24.1,0.5248,0.6446,0.5011,0.5899,0.4038,0.4968,0.4475,0.5397,0.4936,0.4366,0.4367,0.4366
24.2,0.528,0.608,0.4757,0.5673,0.3788,0.473,0.4103,0.5124,0.4614,0.3936,0.4052,0.3994
24.3,0.5232,0.5683,0.4486,0.5385,0.3555,0.447,0.3737,0.483,0.4283,0.3523,0.3753,0.3638
24.4,0.5106,0.5269,0.4212,0.5049,0.3341,0.4195,0.3382,0.452,0.3951,0.3135,0.3478,0.3306
24.5,0.4896,0.4851,0.3946,0.4674,0.3148,0.3911,0.3042,0.4205,0.3624,0.2781,0.3235,0.3008
24.6,0.4596,0.4448,0.3698,0.4283,0.298,0.3631,0.2726,0.3897,0.3312,0.2474,0.3028,0.2751
24.7,0.4211,0.4086,0.3477,0.3905,0.2848,0.3377,0.2446,0.3612,0.3029,0.2228,0.2863,0.2545
24.8,0.3763,0.3791,0.3288,0.357,0.2766,0.3168,0.2218,0.3367,0.2792,0.205,0.274,0.2395
24.9,0.3278,0.3572,0.3131,0.3296,0.2742,0.3019,0.2051,0.3176,0.2614,0.1942,0.2657,0.23
25,0.2777,0.3423,0.3006,0.3089,0.278,0.2934,0.195,0.3045,0.2498,0.1905,0.2607,0.2256
25.1,0.2269,0.3328,0.2913,0.2949,0.2868,0.2909,0.1911,0.2974,0.2443,0.1934,0.2584,0.2259
25.2,0.1757,0.3268,0.285,0.2874,0.2993,0.2933,0.1927,0.2952,0.2439,0.2023,0.2583,0.2303
25.3,0.1249,0.3235,0.2817,0.2859,0.3142,0.3001,0.199,0.2961,0.2476,0.2164,0.2602,0.2383
25.4,0.0757,0.3226,0.2816,0.2902,0.3312,0.3107,0.2091,0.2989,0.254,0.2349,0.2637,0.2493
25.5,0.0292,0.3238,0.285,0.2995,0.3504,0.3249,0.2223,0.3028,0.2625,0.2568,0.2684,0.2626
25.6,-0.014,0.3272,0.2918,0.3129,0.3712,0.3421,0.2373,0.3074,0.2724,0.2807,0.2739,0.2773
25.7,-0.0529,0.3325,0.3017,0.3294,0.393,0.3612,0.2533,0.3125,0.2829,0.3053,0.2803,0.2928
25.8,-0.0865,0.3396,0.3146,0.3472,0.4144,0.3808,0.2695,0.3179,0.2937,0.3297,0.2877,0.3087
25.9,-0.1138,0.3479,0.331,0.3644,0.4341,0.3993,0.286,0.3235,0.3048,0.3534,0.2966,0.325
26,-0.1345,0.3564,0.3513,0.3795,0.4513,0.4154,0.3031,0.3291,0.3161,0.3762,0.3069,0.3415
26.1,-0.1488,0.3642,0.3748,0.3917,0.4656,0.4286,0.3211,0.3343,0.3277,0.3977,0.3185,0.3581
26.2,-0.157,0.3714,0.4004,0.4012,0.4769,0.439,0.3395,0.3393,0.3394,0.4175,0.331,0.3742
26.3,-0.1599,0.378,0.4268,0.4083,0.4855,0.4469,0.3579,0.3443,0.3511,0.4354,0.3445,0.3899
26.4,-0.1579,0.3837,0.4527,0.4126,0.4913,0.452,0.3756,0.3499,0.3627,0.4517,0.359,0.4054
26.5,-0.1515,0.3876,0.4775,0.4136,0.4941,0.4539,0.3922,0.3565,0.3743,0.4665,0.3744,0.4205
26.6,-0.141,0.3888,0.5011,0.4109,0.494,0.4525,0.4076,0.3646,0.3861,0.4799,0.3906,0.4353
26.7,-0.1265,0.3871,0.5237,0.4051,0.4913,0.4482,0.4221,0.3748,0.3985,0.4924,0.4078,0.4501
26.8,-0.1081,0.3835,0.5455,0.3974,0.4866,0.442,0.4362,0.3882,0.4122,0.5044,0.4268,0.4656
26.9,-0.0854,0.3793,0.5672,0.389,0.481,0.435,0.4498,0.4053,0.4275,0.5166,0.4483,0.4825
27,-0.0577,0.3757,0.5892,0.3806,0.4749,0.4277,0.4629,0.4262,0.4446,0.5293,0.4725,0.5009
27.1,-0.0244,0.3734,0.6118,0.373,0.4689,0.4209,0.4749,0.4506,0.4627,0.5423,0.4986,0.5205
27.2,0.0141,0.3728,0.6352,0.3673,0.4638,0.4155,0.4853,0.4777,0.4815,0.5552,0.5259,0.5406
27.3,0.0568,0.3744,0.6597,0.3649,0.4605,0.4127,0.4941,0.5076,0.5008,0.5681,0.554,0.5611
27.4,0.1026,0.3789,0.6856,0.3675,0.4591,0.4133,0.5022,0.541,0.5216,0.5818,0.5834,0.5826
27.5,0.151,0.3863,0.713,0.3764,0.4597,0.4181,0.5105,0.5787,0.5446,0.597,0.6148,0.6059
27.6,0.2015,0.3963,0.7415,0.3923,0.4622,0.4272,0.52,0.6206,0.5703,0.6142,0.6482,0.6312
27.7,0.2525,0.408,0.7702,0.4149,0.4667,0.4408,0.5314,0.6657,0.5986,0.6332,0.6828,0.658
27.8,0.3011,0.421,0.7979,0.4438,0.4736,0.4587,0.5457,0.7128,0.6292,0.6529,0.7175,0.6852
27.9,0.3447,0.4346,0.8236,0.478,0.4834,0.4807,0.5635,0.7605,0.662,0.6722,0.7507,0.7114
28,0.3819,0.4482,0.847,0.516,0.4956,0.5058,0.5852,0.8073,0.6963,0.6894,0.7812,0.7353
28.1,0.4121,0.4605,0.8679,0.5556,0.5094,0.5325,0.6109,0.8514,0.7311,0.7027,0.8079,0.7553
28.2,0.4351,0.47,0.8857,0.5936,0.5235,0.5586,0.6398,0.891,0.7654,0.7101,0.8299,0.77
28.3,0.4509,0.4752,0.9003,0.6276,0.5366,0.5821,0.671,0.9239,0.7975,0.7097,0.8464,0.7781
28.4,0.4602,0.4756,0.912,0.6556,0.548,0.6018,0.7032,0.9485,0.8258,0.7001,0.8566,0.7783
28.5,0.4643,0.4709,0.9211,0.6768,0.5568,0.6168,0.7347,0.9636,0.8491,0.6798,0.8598,0.7698
28.6,0.4648,0.4617,0.9277,0.6902,0.5621,0.6261,0.7632,0.9685,0.8658,0.6472,0.8557,0.7515
28.7,0.4625,0.4485,0.9316,0.6954,0.5635,0.6295,0.7864,0.9633,0.8748,0.6027,0.8449,0.7238
28.8,0.458,0.4316,0.9327,0.6926,0.5612,0.6269,0.8026,0.949,0.8758,0.5488,0.829,0.6889
28.9,0.4519,0.4115,0.9309,0.6823,0.5549,0.6186,0.8118,0.9269,0.8694,0.4902,0.8099,0.65
29,0.4445,0.3888,0.9263,0.6648,0.5445,0.6047,0.8152,0.8984,0.8568,0.4319,0.7896,0.6108
29.1,0.4357,0.3641,0.9189,0.6405,0.5294,0.585,0.8138,0.865,0.8394,0.3783,0.7692,0.5737
29.2,0.4255,0.3384,0.9089,0.61,0.5095,0.5597,0.8085,0.8284,0.8184,0.3317,0.749,0.5404
29.3,0.4141,0.3132,0.8965,0.5751,0.4851,0.5301,0.7997,0.7908,0.7952,0.2939,0.7293,0.5116
29.4,0.4012,0.2899,0.8817,0.5374,0.4579,0.4976,0.787,0.7539,0.7705,0.2655,0.7103,0.4879
29.5,0.3865,0.2692,0.8644,0.4989,0.4293,0.4641,0.7703,0.7187,0.7445,0.2468,0.6924,0.4696
29.6,0.3699,0.2514,0.8446,0.4613,0.4009,0.4311,0.7497,0.6857,0.7177,0.2371,0.6757,0.4564
29.7,0.3517,0.2359,0.8225,0.4254,0.3736,0.3995,0.7264,0.6553,0.6908,0.2357,0.66,0.4478
29.8,0.3329,0.2222,0.7989,0.3915,0.3487,0.3701,0.7016,0.6277,0.6646,0.2414,0.6449,0.4432
29.9,0.3135,0.2101,0.775,0.3601,0.328,0.3441,0.676,0.6035,0.6397,0.2539,0.63,0.442
