Time,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.6,0.0028,0.6548,0.7208,0.6182,0.6724,0.6453,0.6393,0.6352,0.6372,0.7184,0.7747,0.7466
4.7,-0.0045,0.6506,0.7211,0.6124,0.6796,0.646,0.6507,0.6384,0.6446,0.734,0.7898,0.7619
4.8,-0.0154,0.6462,0.7213,0.6062,0.686,0.6461,0.6605,0.6406,0.6505,0.7484,0.8033,0.7758
4.9,-0.0287,0.6416,0.7213,0.5996,0.6909,0.6452,0.6682,0.6417,0.6549,0.7611,0.8147,0.7879
5,-0.0435,0.6372,0.7205,0.5922,0.6937,0.6429,0.6737,0.6413,0.6575,0.772,0.8236,0.7978
5.1,-0.0588,0.6331,0.7187,0.5838,0.6941,0.639,0.6766,0.6392,0.6579,0.7808,0.8298,0.8053
5.2,-0.0739,0.6292,0.7159,0.5747,0.6924,0.6335,0.6767,0.635,0.6559,0.7874,0.8334,0.8104
5.3,-0.0882,0.6253,0.7122,0.5648,0.689,0.6269,0.6738,0.6291,0.6515,0.7916,0.8342,0.8129
5.4,-0.1014,0.6213,0.708,0.5545,0.6842,0.6193,0.6681,0.6219,0.645,0.7933,0.8323,0.8128
5.5,-0.1133,0.6175,0.7033,0.5437,0.678,0.6109,0.6597,0.6137,0.6367,0.7922,0.8277,0.81
5.6,-0.1239,0.6139,0.6984,0.5324,0.6709,0.6017,0.6488,0.6053,0.627,0.7881,0.8205,0.8043
5.7,-0.1336,0.6106,0.6933,0.5207,0.6633,0.592,0.6359,0.5969,0.6164,0.7811,0.8111,0.7961
5.8,-0.1424,0.6072,0.6883,0.5082,0.6558,0.582,0.6215,0.5892,0.6054,0.7715,0.8,0.7857
5.9,-0.1497,0.6034,0.6836,0.4952,0.6483,0.5718,0.6065,0.5825,0.5945,0.7601,0.7877,0.7739
6,-0.1549,0.5991,0.6791,0.4818,0.6405,0.5612,0.5915,0.577,0.5842,0.7476,0.7747,0.7612
6.1,-0.1581,0.5942,0.6742,0.4682,0.6318,0.55,0.577,0.5725,0.5748,0.7343,0.7614,0.7478
6.2,-0.1596,0.5891,0.6688,0.4547,0.6221,0.5384,0.5635,0.5692,0.5663,0.7207,0.7481,0.7344
6.3,-0.1597,0.5841,0.6627,0.4417,0.6119,0.5268,0.5518,0.5669,0.5593,0.7073,0.7354,0.7214
6.4,-0.1583,0.5794,0.6567,0.4298,0.6019,0.5158,0.5426,0.5659,0.5543,0.6951,0.7238,0.7095
6.5,-0.1552,0.5754,0.651,0.4198,0.5926,0.5062,0.5366,0.5664,0.5515,0.6848,0.7137,0.6993
6.6,-0.1504,0.5721,0.6459,0.4124,0.5842,0.4983,0.5337,0.568,0.5508,0.677,0.705,0.691
6.7,-0.1437,0.5692,0.6409,0.4078,0.5761,0.492,0.5332,0.5704,0.5518,0.6713,0.6978,0.6846
6.8,-0.1354,0.5667,0.6355,0.4057,0.5681,0.4869,0.5343,0.573,0.5537,0.6677,0.6917,0.6797
6.9,-0.1255,0.5647,0.6295,0.4058,0.5605,0.4831,0.5366,0.5757,0.5562,0.6657,0.6865,0.6761
7,-0.1141,0.5638,0.6234,0.4075,0.5537,0.4806,0.5398,0.5787,0.5593,0.6654,0.6819,0.6736
7.1,-0.1009,0.5644,0.6179,0.4112,0.5481,0.4796,0.5439,0.582,0.563,0.6666,0.6775,0.6721
