Time,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23,0.3347,0.4641,0.6061,0.3875,0.4164,0.402,0.5003,0.5131,0.5067,0.5345,0.448,0.4913
23.1,0.3384,0.4542,0.6077,0.3856,0.421,0.4033,0.4809,0.496,0.4885,0.5301,0.4479,0.489
23.2,0.3364,0.445,0.6088,0.3837,0.4267,0.4052,0.4646,0.4794,0.472,0.5296,0.4521,0.4909
23.3,0.3298,0.4366,0.6096,0.3817,0.4336,0.4076,0.4517,0.4641,0.4579,0.5331,0.4604,0.4967
23.4,0.3197,0.4293,0.6096,0.3798,0.442,0.4109,0.442,0.4504,0.4462,0.5403,0.4722,0.5063
23.5,0.307,0.4232,0.608,0.3782,0.4519,0.4151,0.4347,0.438,0.4363,0.5508,0.4862,0.5185
23.6,0.2918,0.4183,0.6039,0.3769,0.4626,0.4198,0.429,0.4262,0.4276,0.5635,0.5006,0.532
23.7,0.2742,0.4147,0.5973,0.3758,0.4731,0.4244,0.4251,0.4153,0.4202,0.5772,0.5142,0.5457
23.8,0.2545,0.4126,0.5885,0.375,0.4831,0.429,0.4238,0.4055,0.4146,0.5913,0.5267,0.559
23.9,0.233,0.4126,0.5782,0.3752,0.4927,0.4339,0.4257,0.3975,0.4116,0.606,0.5387,0.5723
24,0.2107,0.4149,0.5669,0.3763,0.5026,0.4394,0.4309,0.3915,0.4112,0.6219,0.5508,0.5864
24.1,0.1885,0.4195,0.5548,0.378,0.5128,0.4454,0.4387,0.3871,0.4129,0.6392,0.5631,0.6012
24.2,0.1674,0.426,0.5421,0.3797,0.5227,0.4512,0.4489,0.3838,0.4163,0.6575,0.5753,0.6164
24.3,0.1483,0.4341,0.5289,0.3812,0.5321,0.4566,0.4616,0.3812,0.4214,0.6763,0.587,0.6316
24.4,0.1307,0.4437,0.5156,0.3825,0.5412,0.4618,0.4767,0.3791,0.4279,0.6958,0.5982,0.647
24.5,0.1139,0.4548,0.5024,0.3837,0.5499,0.4668,0.4934,0.3768,0.4351,0.7164,0.6091,0.6627
24.6,0.0976,0.4668,0.49,0.3847,0.5579,0.4713,0.5105,0.3736,0.442,0.7383,0.6199,0.6791
24.7,0.0831,0.4787,0.4791,0.3855,0.5646,0.475,0.5268,0.3695,0.4482,0.7609,0.6305,0.6957
24.8,0.0717,0.4903,0.4701,0.3866,0.5697,0.4782,0.5421,0.3648,0.4535,0.7831,0.6407,0.7119
24.9,0.0645,0.5013,0.4635,0.389,0.5741,0.4816,0.5569,0.3604,0.4587,0.804,0.6499,0.727
25,0.0612,0.5123,0.4596,0.3939,0.579,0.4865,0.5717,0.3573,0.4645,0.8225,0.6575,0.74
25.1,0.0602,0.5236,0.4586,0.4019,0.5854,0.4937,0.5863,0.3556,0.471,0.8377,0.6624,0.75
25.2,0.0592,0.5351,0.4602,0.413,0.5933,0.5031,0.6001,0.3554,0.4778,0.8485,0.664,0.7563
25.3,0.0571,0.5467,0.4644,0.4268,0.6021,0.5144,0.613,0.3564,0.4847,0.8546,0.6619,0.7582
25.4,0.0539,0.5579,0.4713,0.443,0.6114,0.5272,0.6249,0.359,0.492,0.8558,0.6564,0.7561
25.5,0.0502,0.5685,0.4806,0.4613,0.6207,0.541,0.6364,0.3637,0.5,0.853,0.6482,0.7506
25.6,0.0461,0.5781,0.4922,0.4814,0.6299,0.5556,0.6475,0.3709,0.5092,0.8468,0.638,0.7424
25.7,0.0417,0.5865,0.505,0.5022,0.6388,0.5705,0.6584,0.3806,0.5195,0.8376,0.6261,0.7319
25.8,0.0366,0.594,0.518,0.5233,0.6475,0.5854,0.6689,0.3931,0.531,0.8254,0.6127,0.7191
25.9,0.0305,0.6009,0.5301,0.5448,0.656,0.6004,0.679,0.4087,0.5438,0.8097,0.5976,0.7036
26,0.0226,0.6081,0.5403,0.5672,0.6646,0.6159,0.689,0.4279,0.5585,0.7902,0.5805,0.6853
26.1,0.0122,0.6164,0.5481,0.5909,0.6732,0.632,0.6992,0.4507,0.575,0.7671,0.5618,0.6645
26.2,-0.0008,0.6262,0.5537,0.6156,0.6816,0.6486,0.7098,0.4766,0.5932,0.7413,0.5424,0.6419
26.3,-0.015,0.6378,0.557,0.6407,0.6895,0.6651,0.7209,0.5043,0.6126,0.7138,0.5231,0.6184
26.4,-0.0282,0.6515,0.5577,0.6654,0.6969,0.6812,0.7325,0.5326,0.6326,0.6852,0.5045,0.5949
26.5,-0.0387,0.6676,0.5547,0.69,0.7043,0.6972,0.7438,0.5601,0.652,0.656,0.4872,0.5716
26.6,-0.0453,0.6862,0.547,0.715,0.712,0.7135,0.7538,0.5853,0.6696,0.6266,0.4715,0.549
26.7,-0.0472,0.7071,0.5344,0.7404,0.7199,0.7301,0.7613,0.6073,0.6843,0.5969,0.4577,0.5273
26.8,-0.0435,0.7293,0.518,0.7658,0.7269,0.7464,0.7659,0.6252,0.6955,0.5673,0.4467,0.507
26.9,-0.0342,0.752,0.4991,0.7909,0.732,0.7614,0.7675,0.6388,0.7031,0.5379,0.4387,0.4883
27,-0.0202,0.7748,0.4788,0.8156,0.7343,0.7749,0.7668,0.6481,0.7075,0.5092,0.4341,0.4716
27.1,-0.003,0.7972,0.4579,0.8395,0.7337,0.7866,0.7646,0.6538,0.7092,0.4821,0.4331,0.4576
27.2,0.0154,0.8188,0.4372,0.8621,0.7303,0.7962,0.7613,0.6566,0.7089,0.4578,0.436,0.4469
27.3,0.0338,0.8379,0.4177,0.8822,0.7245,0.8033,0.7574,0.6571,0.7073,0.4372,0.4432,0.4402
27.4,0.0517,0.8533,0.4001,0.8988,0.7169,0.8078,0.7533,0.6563,0.7048,0.4209,0.4546,0.4378
27.5,0.0681,0.8641,0.3846,0.9112,0.7085,0.8099,0.7496,0.6544,0.702,0.4087,0.4693,0.439
27.6,0.0813,0.8703,0.3704,0.9197,0.7002,0.8099,0.746,0.6513,0.6986,0.3998,0.4859,0.4428
27.7,0.0895,0.8728,0.3576,0.9244,0.6927,0.8085,0.7421,0.6468,0.6944,0.3939,0.5032,0.4486
27.8,0.0906,0.8725,0.3471,0.9256,0.6871,0.8063,0.7369,0.6413,0.6891,0.3904,0.5205,0.4555
27.9,0.0834,0.8701,0.3407,0.9231,0.6843,0.8037,0.7303,0.6353,0.6828,0.3887,0.5374,0.463
28,0.0683,0.8665,0.34,0.917,0.6849,0.8009,0.7231,0.6303,0.6767,0.3877,0.553,0.4703
28.1,0.046,0.8621,0.3456,0.9079,0.6887,0.7983,0.7163,0.6271,0.6717,0.3866,0.5661,0.4764
28.2,0.0175,0.8571,0.3569,0.8961,0.6949,0.7955,0.7107,0.626,0.6683,0.3848,0.5757,0.4802
28.3,-0.0155,0.8514,0.3732,0.8819,0.7025,0.7922,0.7065,0.6263,0.6664,0.382,0.5813,0.4816
28.4,-0.0507,0.8448,0.3936,0.8653,0.7104,0.7878,0.7034,0.6274,0.6654,0.3789,0.583,0.4809
28.5,-0.0852,0.8376,0.4171,0.8463,0.7177,0.782,0.7012,0.6286,0.6649,0.3761,0.5812,0.4787
28.6,-0.1163,0.8304,0.442,0.8253,0.7244,0.7749,0.7001,0.6297,0.6649,0.3749,0.5767,0.4758
28.7,-0.1422,0.8239,0.4664,0.8034,0.7309,0.7671,0.7006,0.6308,0.6657,0.3761,0.5703,0.4732
28.8,-0.1629,0.8184,0.4893,0.7818,0.7381,0.7599,0.7031,0.6324,0.6677,0.3804,0.5632,0.4718
28.9,-0.1788,0.8143,0.5105,0.7619,0.7473,0.7546,0.7078,0.6346,0.6712,0.3885,0.5565,0.4725
29,-0.1899,0.8119,0.5303,0.7446,0.7594,0.752,0.7147,0.6378,0.6763,0.4004,0.5513,0.4759
29.1,-0.1953,0.8118,0.549,0.7305,0.7743,0.7524,0.7239,0.6424,0.6832,0.4162,0.5488,0.4825
29.2,-0.1939,0.8138,0.5663,0.719,0.7907,0.7549,0.7354,0.6482,0.6918,0.4353,0.5497,0.4925
29.3,-0.1853,0.8177,0.5822,0.7097,0.8069,0.7583,0.7489,0.6549,0.7019,0.4567,0.5547,0.5057
29.4,-0.1689,0.8228,0.5966,0.7024,0.8214,0.7619,0.7638,0.6615,0.7126,0.4799,0.5644,0.5222
29.5,-0.1438,0.8284,0.6099,0.6971,0.8336,0.7653,0.7794,0.667,0.7232,0.5045,0.5792,0.5419
29.6,-0.1091,0.8333,0.6224,0.694,0.8433,0.7686,0.7949,0.6708,0.7328,0.5306,0.5993,0.565
29.7,-0.0652,0.836,0.6342,0.693,0.8501,0.7715,0.809,0.6724,0.7407,0.5578,0.6243,0.5911
29.8,-0.0129,0.8349,0.6453,0.6936,0.8523,0.773,0.8209,0.6719,0.7464,0.5855,0.6531,0.6193
29.9,0.0461,0.8284,0.6557,0.6954,0.8474,0.7714,0.8296,0.6693,0.7495,0.6128,0.6845,0.6486
