Time,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC,Audi Q Range 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.114,0.4263,0.8477,0.5885,0.8733,0.7309,0.7268,0.6843,0.7055,0.6424,0.6071,0.6247
0.1,-0.0467,0.4575,0.8544,0.5836,0.8424,0.713,0.7535,0.6983,0.7259,0.6381,0.607,0.6225
0.2,0.0087,0.4794,0.8558,0.5747,0.8007,0.6877,0.7815,0.7133,0.7474,0.6309,0.6042,0.6176
0.3,0.05,0.4924,0.8518,0.563,0.7515,0.6572,0.8103,0.7293,0.7698,0.6216,0.5986,0.6101
0.4,0.078,0.4983,0.8412,0.5488,0.6992,0.624,0.8384,0.7452,0.7918,0.6097,0.5896,0.5997
0.5,0.0952,0.499,0.8231,0.5322,0.6472,0.5897,0.8633,0.7585,0.8109,0.5948,0.5767,0.5857
0.6,0.1044,0.4961,0.7962,0.5136,0.5986,0.5561,0.8827,0.7666,0.8246,0.576,0.5588,0.5674
0.7,0.1077,0.4911,0.7598,0.4942,0.5558,0.525,0.8958,0.7678,0.8318,0.5538,0.5357,0.5448
0.8,0.106,0.4855,0.7139,0.4754,0.5207,0.498,0.9032,0.7621,0.8327,0.5288,0.508,0.5184
0.9,0.0993,0.4802,0.6588,0.4582,0.4941,0.4762,0.9056,0.7511,0.8284,0.5027,0.4769,0.4898
1,0.0875,0.4755,0.5949,0.4431,0.4755,0.4593,0.903,0.7358,0.8194,0.4766,0.4441,0.4604
1.1,0.071,0.4713,0.5232,0.4297,0.4636,0.4466,0.895,0.7164,0.8057,0.4516,0.4109,0.4312
1.2,0.0517,0.4668,0.4458,0.4178,0.4571,0.4374,0.8815,0.6927,0.7871,0.4286,0.3783,0.4034
1.3,0.032,0.4612,0.3661,0.4077,0.4544,0.431,0.8627,0.665,0.7639,0.408,0.3473,0.3776
1.4,0.0131,0.4541,0.2885,0.3997,0.4543,0.427,0.8396,0.6344,0.737,0.3902,0.3187,0.3544
1.5,-0.0047,0.4462,0.217,0.3946,0.456,0.4253,0.8131,0.6027,0.7079,0.3754,0.2931,0.3343
1.6,-0.0217,0.4378,0.1552,0.3922,0.4586,0.4254,0.7841,0.5714,0.6778,0.3638,0.2706,0.3172
1.7,-0.0381,0.429,0.1052,0.3919,0.4619,0.4269,0.7538,0.5419,0.6479,0.355,0.2513,0.3031
1.8,-0.0537,0.4198,0.0686,0.393,0.4658,0.4294,0.7241,0.5157,0.6199,0.3492,0.235,0.2921
1.9,-0.0682,0.4101,0.0456,0.3948,0.4698,0.4323,0.6966,0.4939,0.5953,0.3462,0.2221,0.2842
2,-0.0805,0.4001,0.0354,0.3968,0.4739,0.4354,0.672,0.477,0.5745,0.346,0.2125,0.2793
2.1,-0.09,0.3901,0.0362,0.3985,0.4777,0.4381,0.6503,0.4649,0.5576,0.3481,0.2059,0.277
2.2,-0.0964,0.3802,0.0458,0.3994,0.4813,0.4403,0.6308,0.4566,0.5437,0.3518,0.2018,0.2768
2.3,-0.0996,0.3708,0.0613,0.3991,0.4846,0.4418,0.613,0.4509,0.5319,0.3563,0.1997,0.278
2.4,-0.1001,0.3618,0.0808,0.3978,0.4879,0.4428,0.5966,0.4472,0.5219,0.3611,0.1991,0.2801
2.5,-0.0988,0.3532,0.1031,0.3953,0.4912,0.4433,0.5818,0.4451,0.5135,0.3657,0.1996,0.2826
2.6,-0.0956,0.345,0.1275,0.3917,0.4937,0.4427,0.5687,0.4446,0.5067,0.3699,0.2011,0.2855
2.7,-0.0901,0.3373,0.154,0.3865,0.4945,0.4405,0.5572,0.4457,0.5014,0.3737,0.2038,0.2887
2.8,-0.0818,0.3301,0.1829,0.3797,0.4929,0.4363,0.5469,0.4486,0.4977,0.3772,0.208,0.2926
2.9,-0.0715,0.324,0.2145,0.3715,0.4894,0.4305,0.5378,0.4537,0.4958,0.3806,0.2142,0.2974
3,-0.0609,0.3197,0.2483,0.3622,0.4845,0.4234,0.5298,0.4613,0.4955,0.3837,0.2224,0.303
3.1,-0.0514,0.3169,0.2833,0.3519,0.4786,0.4153,0.5227,0.4712,0.4969,0.3861,0.2323,0.3092
3.2,-0.0427,0.3155,0.3182,0.3405,0.4719,0.4062,0.5163,0.4829,0.4996,0.3877,0.2435,0.3156
3.3,-0.0334,0.3152,0.3522,0.3285,0.4645,0.3965,0.5107,0.4957,0.5032,0.3883,0.2554,0.3218
3.4,-0.0218,0.3161,0.3854,0.3166,0.4561,0.3863,0.5059,0.5092,0.5075,0.388,0.2679,0.328
3.5,-0.0076,0.3184,0.4174,0.3057,0.4466,0.3761,0.5021,0.5236,0.5128,0.3874,0.2812,0.3343
3.6,0.0086,0.3224,0.448,0.2967,0.4362,0.3664,0.4992,0.5389,0.519,0.3868,0.2953,0.3411
3.7,0.0261,0.3282,0.4766,0.2903,0.4251,0.3577,0.4969,0.5548,0.5259,0.3867,0.3101,0.3484
3.8,0.0448,0.3358,0.5028,0.2868,0.4137,0.3502,0.4946,0.571,0.5328,0.3873,0.3256,0.3564
3.9,0.0652,0.3452,0.5267,0.2868,0.4026,0.3447,0.4924,0.587,0.5397,0.3894,0.3415,0.3655
4,0.0868,0.3565,0.5488,0.2903,0.3926,0.3415,0.4907,0.603,0.5468,0.394,0.3582,0.3761
4.1,0.1087,0.3694,0.5694,0.2971,0.384,0.3406,0.4901,0.6192,0.5546,0.4022,0.3759,0.389
4.2,0.1297,0.3833,0.5884,0.3069,0.377,0.342,0.4907,0.6357,0.5632,0.4147,0.3948,0.4047
4.3,0.1485,0.3978,0.6061,0.3193,0.3719,0.3456,0.4919,0.6522,0.5721,0.4313,0.4151,0.4232
4.4,0.1642,0.4126,0.6226,0.3339,0.3686,0.3512,0.493,0.6683,0.5806,0.4516,0.437,0.4443
4.5,0.1763,0.4276,0.6377,0.3504,0.3677,0.3591,0.4937,0.6832,0.5885,0.4742,0.4601,0.4671
4.6,0.1845,0.4425,0.6517,0.3687,0.37,0.3693,0.4945,0.6968,0.5956,0.4979,0.4836,0.4908
4.7,0.1882,0.4571,0.6646,0.3885,0.3761,0.3823,0.4956,0.709,0.6023,0.5212,0.5067,0.5139
4.8,0.1866,0.4714,0.676,0.4094,0.3861,0.3977,0.497,0.7199,0.6084,0.5429,0.5282,0.5356
4.9,0.1794,0.4862,0.6852,0.4309,0.4003,0.4156,0.4985,0.7291,0.6138,0.5622,0.5472,0.5547
5,0.1669,0.5022,0.6916,0.4529,0.419,0.4359,0.5006,0.7366,0.6186,0.5788,0.5633,0.571
5.1,0.1496,0.5197,0.6954,0.475,0.4425,0.4587,0.504,0.7425,0.6233,0.5925,0.5765,0.5845
5.2,0.1278,0.5383,0.6967,0.4972,0.47,0.4836,0.5091,0.7475,0.6283,0.6032,0.5869,0.5951
5.3,0.1019,0.5577,0.6958,0.5189,0.5007,0.5098,0.5153,0.7513,0.6333,0.6106,0.5947,0.6027
5.4,0.0726,0.5776,0.6928,0.5397,0.5335,0.5366,0.5221,0.7536,0.6378,0.6142,0.6,0.6071
5.5,0.0411,0.5983,0.6878,0.5596,0.5678,0.5637,0.529,0.754,0.6415,0.6144,0.6028,0.6086
5.6,0.0091,0.6195,0.6812,0.5789,0.6024,0.5906,0.5357,0.7529,0.6443,0.6117,0.6034,0.6076
5.7,-0.0221,0.6404,0.6735,0.5979,0.6361,0.617,0.5422,0.7509,0.6466,0.6064,0.6018,0.6041
5.8,-0.0509,0.6602,0.665,0.6164,0.6679,0.6421,0.5483,0.7493,0.6488,0.5982,0.5982,0.5982
5.9,-0.0754,0.6784,0.6564,0.634,0.6971,0.6655,0.5536,0.749,0.6513,0.5871,0.5933,0.5902
6,-0.0934,0.6945,0.6484,0.65,0.723,0.6865,0.5581,0.7505,0.6543,0.5734,0.5879,0.5806
6.1,-0.1034,0.7082,0.6415,0.6639,0.745,0.7044,0.5613,0.7539,0.6576,0.5577,0.5828,0.5702
6.2,-0.1052,0.7189,0.6354,0.6745,0.7626,0.7185,0.563,0.7588,0.6609,0.5405,0.5782,0.5594
6.3,-0.0994,0.7262,0.6295,0.681,0.7748,0.7279,0.5632,0.7645,0.6638,0.5219,0.5737,0.5478
6.4,-0.0869,0.7305,0.6232,0.6829,0.7814,0.7322,0.5622,0.7698,0.666,0.5019,0.5686,0.5353
6.5,-0.067,0.7321,0.6162,0.6809,0.7822,0.7316,0.5602,0.7744,0.6673,0.4808,0.5629,0.5219
6.6,-0.0391,0.7315,0.6095,0.6758,0.7772,0.7265,0.5577,0.7783,0.668,0.4596,0.5572,0.5084
6.7,-0.0043,0.7285,0.6042,0.6681,0.7667,0.7174,0.5548,0.7816,0.6682,0.4393,0.5522,0.4958
6.8,0.0347,0.7227,0.6005,0.6581,0.7515,0.7048,0.5514,0.7845,0.6679,0.4207,0.5487,0.4847
6.9,0.0744,0.714,0.5976,0.6459,0.7329,0.6894,0.5473,0.7864,0.6669,0.4041,0.5466,0.4754
7,0.1121,0.7025,0.5954,0.6316,0.7121,0.6718,0.5426,0.7869,0.6647,0.3901,0.5459,0.468
7.1,0.1466,0.6888,0.5938,0.6154,0.6898,0.6526,0.5374,0.7851,0.6612,0.3792,0.5463,0.4627
7.2,0.1761,0.6739,0.5931,0.5979,0.667,0.6325,0.5321,0.7805,0.6563,0.3716,0.5473,0.4595
7.3,0.199,0.6586,0.5926,0.5799,0.6445,0.6122,0.5274,0.773,0.6502,0.3675,0.5488,0.4581
7.4,0.2134,0.6436,0.5918,0.5626,0.6237,0.5931,0.5239,0.7627,0.6433,0.3669,0.5506,0.4588
7.5,0.2181,0.63,0.5898,0.547,0.6061,0.5765,0.522,0.75,0.636,0.37,0.5529,0.4615
7.6,0.2124,0.6188,0.586,0.5344,0.5928,0.5636,0.522,0.7351,0.6285,0.3767,0.5557,0.4662
7.7,0.1965,0.6107,0.5802,0.5255,0.5845,0.555,0.5236,0.7179,0.6207,0.3866,0.5586,0.4726
7.8,0.1716,0.6054,0.5714,0.5205,0.5809,0.5507,0.5268,0.6983,0.6125,0.3989,0.5609,0.4799
7.9,0.1399,0.6024,0.5586,0.5196,0.5818,0.5507,0.5312,0.6762,0.6037,0.4123,0.5616,0.4869
8,0.1038,0.6015,0.5412,0.5232,0.5874,0.5553,0.5367,0.6523,0.5945,0.4261,0.5602,0.4931
8.1,0.0659,0.6029,0.5193,0.5316,0.5973,0.5645,0.5429,0.6273,0.5851,0.4402,0.5567,0.4984
8.2,0.0287,0.6071,0.4943,0.5444,0.6109,0.5777,0.55,0.6024,0.5762,0.4553,0.5515,0.5034
8.3,-0.0057,0.6139,0.4685,0.5611,0.6275,0.5943,0.559,0.5786,0.5688,0.4719,0.5447,0.5083
8.4,-0.0353,0.6226,0.444,0.581,0.6461,0.6135,0.5708,0.5572,0.564,0.4899,0.5361,0.513
8.5,-0.0579,0.632,0.4223,0.6033,0.6655,0.6344,0.5853,0.5389,0.5621,0.5084,0.5254,0.5169
