Time,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.3,0.0469,0.5076,0.408,0.3242,0.5083,0.4162,0.3002,0.4506,0.3754,0.2806,0.258,0.2693
24.4,0.0602,0.51,0.4052,0.3326,0.5174,0.425,0.2994,0.461,0.3802,0.2777,0.2509,0.2643
24.5,0.0727,0.5066,0.4011,0.3366,0.5221,0.4293,0.298,0.4692,0.3836,0.2752,0.245,0.2601
24.6,0.0845,0.4983,0.3962,0.3367,0.5219,0.4293,0.296,0.4751,0.3856,0.2737,0.2418,0.2577
24.7,0.0955,0.486,0.3906,0.3336,0.517,0.4253,0.2933,0.4786,0.3859,0.2735,0.2415,0.2575
24.8,0.1051,0.4705,0.3848,0.3281,0.5076,0.4178,0.29,0.4796,0.3848,0.275,0.2439,0.2594
24.9,0.113,0.4523,0.3788,0.3213,0.494,0.4076,0.2858,0.4784,0.3821,0.2783,0.2485,0.2634
25,0.1195,0.4321,0.3728,0.3142,0.4768,0.3955,0.2803,0.4754,0.3779,0.2829,0.2553,0.2691
25.1,0.1253,0.4108,0.3667,0.308,0.4566,0.3823,0.2731,0.4709,0.372,0.288,0.2639,0.2759
25.2,0.1307,0.3892,0.3598,0.3035,0.4344,0.3689,0.264,0.4649,0.3645,0.2927,0.2741,0.2834
25.3,0.1357,0.3681,0.3515,0.3005,0.4112,0.3558,0.2533,0.4574,0.3554,0.2968,0.2852,0.291
25.4,0.1396,0.3477,0.3414,0.2987,0.3883,0.3435,0.2411,0.4487,0.3449,0.3,0.2965,0.2983
25.5,0.1418,0.3287,0.3298,0.2982,0.3671,0.3327,0.2278,0.4389,0.3334,0.3028,0.3077,0.3052
25.6,0.1424,0.3115,0.3175,0.2994,0.3486,0.324,0.214,0.4287,0.3213,0.3053,0.3185,0.3119
25.7,0.1417,0.2962,0.3049,0.3024,0.3329,0.3177,0.2003,0.418,0.3092,0.3073,0.3287,0.318
25.8,0.1404,0.283,0.2919,0.307,0.3205,0.3138,0.187,0.4073,0.2971,0.309,0.3383,0.3236
25.9,0.1385,0.272,0.2785,0.3128,0.3118,0.3123,0.1741,0.3964,0.2852,0.3106,0.3474,0.329
26,0.1353,0.2639,0.2655,0.32,0.3075,0.3138,0.1618,0.3859,0.2738,0.3128,0.3561,0.3345
26.1,0.1301,0.2595,0.254,0.3289,0.3082,0.3185,0.1508,0.3761,0.2634,0.3161,0.3644,0.3402
26.2,0.1234,0.2592,0.2446,0.3396,0.3135,0.3265,0.1416,0.3677,0.2546,0.32,0.372,0.346
26.3,0.1159,0.2627,0.2376,0.3519,0.3228,0.3374,0.135,0.3608,0.2479,0.3239,0.3789,0.3514
26.4,0.1081,0.2692,0.2326,0.3655,0.3355,0.3505,0.1316,0.3557,0.2436,0.3272,0.3846,0.3559
26.5,0.0992,0.2778,0.2297,0.3802,0.351,0.3656,0.1316,0.352,0.2418,0.3297,0.3888,0.3593
26.6,0.0883,0.2883,0.2294,0.3954,0.3688,0.3821,0.1345,0.3498,0.2422,0.3311,0.3912,0.3612
26.7,0.0754,0.3007,0.2322,0.4104,0.3885,0.3994,0.1399,0.3489,0.2444,0.3311,0.3917,0.3614
26.8,0.0611,0.3146,0.2382,0.424,0.4096,0.4168,0.1475,0.3491,0.2483,0.3293,0.3907,0.36
26.9,0.0464,0.3295,0.2469,0.4358,0.432,0.4339,0.1569,0.3501,0.2535,0.3256,0.389,0.3573
27,0.0311,0.3453,0.2577,0.4457,0.4555,0.4506,0.1682,0.3515,0.2599,0.32,0.3872,0.3536
27.1,0.0141,0.362,0.2703,0.4544,0.4801,0.4672,0.1816,0.3529,0.2673,0.3124,0.3854,0.3489
27.2,-0.0054,0.3796,0.2844,0.462,0.5052,0.4836,0.1969,0.354,0.2754,0.3031,0.3834,0.3433
27.3,-0.0272,0.3978,0.2994,0.468,0.5305,0.4992,0.2136,0.3544,0.284,0.2924,0.381,0.3367
27.4,-0.0509,0.4157,0.3142,0.4715,0.5553,0.5134,0.2309,0.354,0.2924,0.281,0.3784,0.3297
27.5,-0.0767,0.4323,0.3276,0.4716,0.579,0.5253,0.2482,0.3528,0.3005,0.2694,0.3755,0.3225
27.6,-0.1046,0.4467,0.3389,0.4681,0.6006,0.5343,0.265,0.3514,0.3082,0.2584,0.3724,0.3154
27.7,-0.1337,0.4586,0.348,0.4614,0.6185,0.5399,0.2808,0.35,0.3154,0.2487,0.3689,0.3088
27.8,-0.1626,0.4681,0.3546,0.4527,0.6318,0.5423,0.2946,0.3487,0.3217,0.2407,0.3647,0.3027
27.9,-0.1896,0.4755,0.3582,0.4435,0.6402,0.5418,0.3058,0.3474,0.3266,0.2346,0.3599,0.2972
28,-0.213,0.4806,0.3579,0.4346,0.6435,0.539,0.3134,0.3453,0.3294,0.2302,0.354,0.2921
28.1,-0.2317,0.4833,0.3527,0.4266,0.6416,0.5341,0.3169,0.3416,0.3293,0.2273,0.3468,0.287
28.2,-0.246,0.4832,0.3421,0.4199,0.6344,0.5271,0.316,0.3359,0.3259,0.2255,0.338,0.2817
28.3,-0.2566,0.4802,0.3265,0.4139,0.6216,0.5178,0.3107,0.328,0.3194,0.2246,0.3278,0.2762
28.4,-0.2647,0.4741,0.3062,0.4077,0.6041,0.5059,0.3015,0.3182,0.3099,0.2244,0.3165,0.2705
28.5,-0.2713,0.4653,0.2822,0.4005,0.5828,0.4917,0.2893,0.3066,0.298,0.2253,0.3044,0.2649
28.6,-0.2772,0.4545,0.2558,0.3919,0.5592,0.4756,0.2752,0.2936,0.2844,0.2273,0.2918,0.2596
28.7,-0.2825,0.4429,0.2288,0.3823,0.5346,0.4584,0.2603,0.2795,0.2699,0.231,0.2785,0.2548
28.8,-0.287,0.4314,0.2028,0.3724,0.51,0.4412,0.2457,0.2649,0.2553,0.2367,0.2654,0.2511
28.9,-0.29,0.4201,0.1794,0.3634,0.4863,0.4248,0.2322,0.2504,0.2413,0.2448,0.2535,0.2492
29,-0.291,0.4092,0.1599,0.3552,0.4638,0.4095,0.2204,0.2366,0.2285,0.2553,0.2435,0.2494
29.1,-0.2906,0.3987,0.1456,0.3475,0.443,0.3953,0.2103,0.2241,0.2172,0.2677,0.2359,0.2518
29.2,-0.2901,0.3889,0.1374,0.34,0.4243,0.3822,0.2023,0.2135,0.2079,0.2816,0.231,0.2563
29.3,-0.2912,0.3805,0.1368,0.3331,0.4091,0.3711,0.1968,0.2056,0.2012,0.2966,0.2286,0.2626
29.4,-0.2943,0.3741,0.1451,0.3275,0.3983,0.3629,0.1948,0.2011,0.1979,0.3122,0.2288,0.2705
29.5,-0.2985,0.3695,0.1628,0.3235,0.3917,0.3576,0.1969,0.2006,0.1988,0.3277,0.2322,0.2799
29.6,-0.3022,0.366,0.1897,0.3213,0.3884,0.3548,0.2037,0.2041,0.2039,0.3424,0.2389,0.2907
29.7,-0.3045,0.3632,0.2251,0.321,0.3877,0.3543,0.2155,0.2114,0.2134,0.3565,0.2492,0.3029
29.8,-0.3043,0.3615,0.2676,0.3235,0.3898,0.3567,0.2324,0.223,0.2277,0.3701,0.2627,0.3164
29.9,-0.3005,0.3617,0.3162,0.3302,0.3954,0.3628,0.2549,0.2397,0.2473,0.3836,0.2791,0.3314
