Time,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,-0.1204,0.6378,0.3872,0.6053,0.8037,0.7045,0.5728,0.6939,0.6334,0.5426,0.4325,0.4875
4.5,-0.1405,0.6468,0.3823,0.6114,0.8116,0.7115,0.5634,0.7124,0.6379,0.535,0.4195,0.4772
4.6,-0.1567,0.654,0.379,0.6167,0.8162,0.7165,0.5557,0.7296,0.6426,0.5259,0.4054,0.4657
4.7,-0.168,0.66,0.3768,0.6216,0.8177,0.7197,0.5497,0.7455,0.6476,0.516,0.3901,0.4531
4.8,-0.174,0.6656,0.3756,0.6267,0.8166,0.7217,0.5456,0.7607,0.6532,0.5061,0.3741,0.4401
4.9,-0.1748,0.6708,0.3755,0.632,0.813,0.7225,0.5431,0.7755,0.6593,0.4964,0.3578,0.4271
5,-0.1709,0.6753,0.3759,0.637,0.8068,0.7219,0.5421,0.7896,0.6659,0.4865,0.3413,0.4139
5.1,-0.1633,0.6786,0.3761,0.6416,0.7976,0.7196,0.5426,0.8028,0.6727,0.4763,0.3246,0.4004
5.2,-0.1527,0.6803,0.376,0.6457,0.7861,0.7159,0.5444,0.8153,0.6799,0.466,0.3083,0.3871
5.3,-0.1403,0.681,0.3764,0.65,0.7733,0.7116,0.5476,0.8279,0.6877,0.4569,0.2939,0.3754
5.4,-0.127,0.6811,0.3782,0.6544,0.7605,0.7075,0.5522,0.8409,0.6966,0.4501,0.283,0.3666
5.5,-0.1136,0.6808,0.3823,0.6586,0.7481,0.7034,0.558,0.8543,0.7062,0.4461,0.2762,0.3611
5.6,-0.1008,0.68,0.3887,0.6619,0.7361,0.699,0.5647,0.867,0.7159,0.445,0.2731,0.359
5.7,-0.0899,0.6783,0.3961,0.6635,0.7244,0.6939,0.572,0.8774,0.7247,0.4467,0.2732,0.36
5.8,-0.0815,0.6752,0.4031,0.6625,0.7128,0.6877,0.5794,0.8847,0.732,0.4508,0.2762,0.3635
5.9,-0.0763,0.6703,0.4095,0.6581,0.7012,0.6796,0.5861,0.8885,0.7373,0.4563,0.2816,0.3689
6,-0.0754,0.6634,0.4156,0.649,0.6894,0.6692,0.5912,0.889,0.7401,0.4624,0.289,0.3757
6.1,-0.0797,0.6545,0.4219,0.6343,0.6776,0.656,0.5941,0.8863,0.7402,0.4688,0.2982,0.3835
6.2,-0.0886,0.6435,0.4289,0.6147,0.6655,0.6401,0.5943,0.8802,0.7373,0.4753,0.3085,0.3919
6.3,-0.1009,0.6307,0.4367,0.5912,0.6532,0.6222,0.5913,0.8709,0.7311,0.4821,0.3186,0.4003
6.4,-0.1153,0.6166,0.4451,0.5655,0.641,0.6033,0.5851,0.8585,0.7218,0.4887,0.3273,0.408
6.5,-0.1305,0.6016,0.454,0.5387,0.6294,0.584,0.5756,0.8435,0.7095,0.4942,0.3336,0.4139
6.6,-0.1461,0.5858,0.4635,0.5113,0.6189,0.5651,0.5638,0.8269,0.6954,0.4983,0.3375,0.4179
6.7,-0.1615,0.5697,0.4741,0.484,0.6101,0.5471,0.5505,0.8098,0.6801,0.5012,0.34,0.4206
6.8,-0.1764,0.5533,0.4855,0.4582,0.6032,0.5307,0.5362,0.7925,0.6644,0.5034,0.3421,0.4228
6.9,-0.1912,0.5374,0.4975,0.4351,0.5983,0.5167,0.5215,0.7754,0.6484,0.5053,0.3443,0.4248
7,-0.206,0.5224,0.51,0.4152,0.5951,0.5052,0.5068,0.7586,0.6327,0.5074,0.3468,0.4271
7.1,-0.2213,0.5092,0.5229,0.3988,0.5935,0.4961,0.4928,0.7424,0.6176,0.5105,0.3496,0.4301
7.2,-0.237,0.4979,0.5359,0.3862,0.5931,0.4897,0.4804,0.7271,0.6038,0.515,0.3525,0.4337
7.3,-0.2522,0.489,0.5487,0.3782,0.5942,0.4862,0.4698,0.7128,0.5913,0.5201,0.3552,0.4376
7.4,-0.2663,0.4823,0.5615,0.3754,0.5969,0.4861,0.4611,0.6996,0.5803,0.525,0.3571,0.441
7.5,-0.2786,0.4781,0.5747,0.3779,0.6016,0.4897,0.454,0.6879,0.5709,0.5289,0.3579,0.4434
7.6,-0.2892,0.4763,0.5886,0.3851,0.6084,0.4968,0.4487,0.6776,0.5632,0.5321,0.3579,0.445
7.7,-0.2979,0.4767,0.6024,0.396,0.6171,0.5066,0.4454,0.6688,0.5571,0.5348,0.357,0.4459
7.8,-0.3043,0.4791,0.6155,0.4103,0.6274,0.5188,0.4447,0.6611,0.5529,0.5371,0.3549,0.446
7.9,-0.308,0.4834,0.6275,0.4277,0.6393,0.5335,0.4471,0.6542,0.5507,0.5394,0.3514,0.4454
8,-0.3088,0.4898,0.6384,0.4483,0.6528,0.5506,0.4528,0.6483,0.5506,0.5428,0.347,0.4449
8.1,-0.3066,0.4981,0.6484,0.4718,0.6682,0.57,0.4614,0.6436,0.5525,0.5486,0.3428,0.4457
8.2,-0.3009,0.5084,0.6575,0.4977,0.6856,0.5916,0.4723,0.6402,0.5562,0.557,0.3397,0.4483
8.3,-0.2915,0.5206,0.6652,0.526,0.705,0.6155,0.4852,0.6382,0.5617,0.5677,0.3377,0.4527
8.4,-0.2782,0.5351,0.671,0.5566,0.7264,0.6415,0.5006,0.6376,0.5691,0.5804,0.3368,0.4586
8.5,-0.2612,0.5522,0.6749,0.5894,0.7495,0.6695,0.519,0.6388,0.5789,0.5947,0.3373,0.466
8.6,-0.241,0.5722,0.6771,0.6233,0.7736,0.6984,0.5405,0.6421,0.5913,0.6106,0.3391,0.4749
8.7,-0.2183,0.5948,0.6773,0.657,0.7974,0.7272,0.5645,0.6475,0.606,0.6274,0.3419,0.4846
8.8,-0.1936,0.619,0.675,0.6887,0.82,0.7544,0.5898,0.6541,0.622,0.6437,0.3444,0.494
8.9,-0.1679,0.6434,0.6696,0.7173,0.8406,0.779,0.6154,0.6612,0.6383,0.6577,0.3459,0.5018
9,-0.1419,0.6673,0.6609,0.7424,0.8588,0.8006,0.6405,0.6687,0.6546,0.6689,0.3464,0.5077
9.1,-0.1158,0.6904,0.6495,0.7639,0.8745,0.8192,0.6649,0.6776,0.6713,0.6775,0.3472,0.5124
9.2,-0.0889,0.7128,0.6368,0.7819,0.8872,0.8345,0.6883,0.6889,0.6886,0.6847,0.3493,0.517
9.3,-0.0611,0.7341,0.6248,0.7965,0.8959,0.8462,0.7098,0.703,0.7064,0.6913,0.3532,0.5222
9.4,-0.0318,0.7535,0.6143,0.8077,0.9001,0.8539,0.7288,0.7192,0.724,0.698,0.3585,0.5283
9.5,-0.0004,0.7702,0.6058,0.8165,0.8999,0.8582,0.7453,0.7368,0.741,0.7047,0.3647,0.5347
9.6,0.0338,0.7842,0.5994,0.8238,0.8955,0.8597,0.7598,0.7552,0.7575,0.7108,0.3715,0.5411
9.7,0.0692,0.7953,0.5953,0.8304,0.8874,0.8589,0.7722,0.7741,0.7731,0.7159,0.3787,0.5473
9.8,0.1034,0.8034,0.5936,0.8355,0.8766,0.8561,0.7826,0.7929,0.7877,0.7197,0.386,0.5528
9.9,0.1337,0.8081,0.5941,0.8386,0.8641,0.8513,0.7908,0.8107,0.8008,0.7222,0.3932,0.5577
10,0.1581,0.8091,0.5966,0.8394,0.8508,0.8451,0.7969,0.8261,0.8115,0.7239,0.4,0.5619
10.1,0.1767,0.8075,0.6009,0.8389,0.8377,0.8383,0.8008,0.8375,0.8192,0.7243,0.4062,0.5652
10.2,0.1898,0.8045,0.6072,0.838,0.8251,0.8316,0.8024,0.8439,0.8231,0.7235,0.4117,0.5676
10.3,0.1982,0.801,0.6156,0.8376,0.8131,0.8253,0.8016,0.8447,0.8231,0.722,0.4161,0.5691
10.4,0.2025,0.7972,0.6261,0.8376,0.8015,0.8196,0.7984,0.8405,0.8194,0.7198,0.419,0.5694
10.5,0.2037,0.7928,0.6386,0.8378,0.791,0.8144,0.7931,0.8319,0.8125,0.7165,0.4198,0.5682
10.6,0.2026,0.7879,0.6529,0.8381,0.7827,0.8104,0.7861,0.8196,0.8029,0.7121,0.4185,0.5653
10.7,0.1993,0.7821,0.6687,0.8381,0.7773,0.8077,0.7781,0.8043,0.7912,0.707,0.416,0.5615
10.8,0.1924,0.7758,0.6856,0.8374,0.7752,0.8063,0.77,0.7871,0.7785,0.7027,0.4134,0.5581
10.9,0.1809,0.7692,0.7033,0.8352,0.7761,0.8056,0.7625,0.7688,0.7656,0.7014,0.4123,0.5568
11,0.1653,0.7629,0.7211,0.831,0.7795,0.8052,0.7561,0.7505,0.7533,0.7043,0.4134,0.5588
11.1,0.1461,0.757,0.7381,0.8245,0.7843,0.8044,0.7506,0.7325,0.7415,0.7109,0.4163,0.5636
11.2,0.1242,0.7516,0.7535,0.8154,0.7901,0.8027,0.7457,0.715,0.7303,0.7203,0.4205,0.5704
11.3,0.1005,0.7462,0.767,0.8036,0.7958,0.7997,0.7412,0.6983,0.7198,0.7322,0.4261,0.5791
11.4,0.0754,0.7408,0.7785,0.7888,0.8007,0.7947,0.7375,0.6833,0.7104,0.7465,0.4336,0.5901
11.5,0.049,0.7352,0.7877,0.7715,0.8041,0.7878,0.7349,0.6708,0.7029,0.7625,0.4433,0.6029
11.6,0.0216,0.7297,0.7938,0.7519,0.8055,0.7787,0.7333,0.661,0.6972,0.778,0.4545,0.6163
11.7,-0.007,0.7241,0.7965,0.7307,0.8049,0.7678,0.7324,0.6537,0.6931,0.7918,0.4667,0.6292
11.8,-0.0369,0.7184,0.7959,0.7084,0.8024,0.7554,0.7317,0.6491,0.6904,0.8036,0.4798,0.6417
11.9,-0.0678,0.7122,0.7925,0.6857,0.7983,0.742,0.7305,0.6474,0.689,0.8136,0.4942,0.6539
12,-0.099,0.7055,0.7872,0.663,0.793,0.728,0.7281,0.6487,0.6884,0.8221,0.5105,0.6663
12.1,-0.1296,0.6985,0.7805,0.6405,0.7866,0.7136,0.7243,0.6526,0.6885,0.8294,0.529,0.6792
12.2,-0.1584,0.691,0.7725,0.6182,0.7792,0.6987,0.719,0.6588,0.6889,0.8356,0.55,0.6928
12.3,-0.1842,0.6827,0.7636,0.5961,0.77,0.6831,0.7126,0.667,0.6898,0.8414,0.5732,0.7073
12.4,-0.2058,0.6732,0.754,0.5743,0.7583,0.6663,0.7052,0.6769,0.6911,0.847,0.5981,0.7226
12.5,-0.223,0.6624,0.7438,0.5534,0.7439,0.6487,0.6969,0.6883,0.6926,0.8523,0.6236,0.738
12.6,-0.2362,0.6504,0.7336,0.5337,0.7274,0.6305,0.6873,0.7006,0.694,0.856,0.6481,0.7521
12.7,-0.2463,0.6372,0.7235,0.5149,0.7093,0.6121,0.6764,0.7126,0.6945,0.8563,0.6707,0.7635
12.8,-0.2537,0.6226,0.714,0.4966,0.6901,0.5933,0.6643,0.7236,0.694,0.8521,0.6907,0.7714
12.9,-0.2585,0.6066,0.7051,0.4786,0.6697,0.5741,0.6515,0.7333,0.6924,0.8427,0.708,0.7754
13,-0.261,0.5898,0.6969,0.4615,0.6487,0.5551,0.6383,0.7417,0.69,0.8289,0.7231,0.776
13.1,-0.2618,0.5726,0.6893,0.4456,0.6276,0.5366,0.6249,0.7484,0.6867,0.8112,0.7356,0.7734
13.2,-0.2615,0.555,0.6817,0.4307,0.6069,0.5188,0.6111,0.7526,0.6818,0.7895,0.7453,0.7674
13.3,-0.2603,0.5374,0.6738,0.4167,0.5871,0.5019,0.5963,0.7538,0.6751,0.7636,0.7521,0.7579
13.4,-0.2585,0.52,0.6658,0.4038,0.5685,0.4861,0.5805,0.752,0.6663,0.7337,0.7557,0.7447
13.5,-0.2555,0.5034,0.6579,0.3928,0.5515,0.4722,0.5641,0.7477,0.6559,0.7008,0.7557,0.7283
13.6,-0.251,0.4881,0.6505,0.3841,0.5366,0.4604,0.5477,0.7419,0.6448,0.6665,0.7516,0.7091
13.7,-0.2455,0.4745,0.6432,0.3781,0.5242,0.4512,0.5322,0.7353,0.6337,0.6318,0.7427,0.6873
13.8,-0.2402,0.4628,0.6357,0.3749,0.5149,0.4449,0.5182,0.728,0.6231,0.5967,0.7287,0.6627
13.9,-0.2361,0.4527,0.628,0.3741,0.5089,0.4415,0.5059,0.7199,0.6129,0.5613,0.7104,0.6359
14,-0.2337,0.4439,0.6203,0.3751,0.5061,0.4406,0.4953,0.711,0.6032,0.5263,0.6895,0.6079
14.1,-0.2331,0.4359,0.6129,0.3772,0.5053,0.4412,0.4867,0.7016,0.5941,0.4928,0.6672,0.58
14.2,-0.2338,0.4283,0.6055,0.3796,0.5055,0.4425,0.4803,0.6923,0.5863,0.4615,0.6445,0.553
14.3,-0.2355,0.4212,0.5975,0.3821,0.5064,0.4442,0.4762,0.6836,0.5799,0.4328,0.6223,0.5276
14.4,-0.2384,0.4149,0.5887,0.3848,0.5084,0.4466,0.4745,0.6758,0.5751,0.4068,0.6023,0.5046
14.5,-0.2425,0.4101,0.579,0.388,0.512,0.45,0.4751,0.6685,0.5718,0.3842,0.586,0.4851
14.6,-0.2474,0.407,0.5685,0.3916,0.5171,0.4544,0.4783,0.6618,0.57,0.3658,0.5753,0.4706
14.7,-0.2523,0.4059,0.5577,0.396,0.5235,0.4597,0.4842,0.656,0.5701,0.3529,0.5712,0.4621
14.8,-0.2572,0.4069,0.547,0.4012,0.5306,0.4659,0.4924,0.6517,0.5721,0.346,0.5743,0.4601
14.9,-0.2624,0.4104,0.5367,0.4071,0.5385,0.4728,0.5023,0.6495,0.5759,0.3452,0.5846,0.4649
15,-0.2683,0.4164,0.5269,0.4136,0.5469,0.4803,0.513,0.6495,0.5812,0.3508,0.6021,0.4765
15.1,-0.2741,0.4248,0.5179,0.4204,0.5556,0.488,0.5242,0.6518,0.588,0.3636,0.6265,0.495
15.2,-0.2785,0.4352,0.5097,0.4278,0.5643,0.496,0.5362,0.6566,0.5964,0.3833,0.6559,0.5196
15.3,-0.2795,0.4472,0.5021,0.436,0.5723,0.5041,0.5488,0.6635,0.6061,0.4087,0.6874,0.5481
15.4,-0.2755,0.4602,0.4951,0.4451,0.5788,0.5119,0.5616,0.6715,0.6165,0.4378,0.718,0.5779
15.5,-0.2659,0.4736,0.4881,0.4552,0.583,0.5191,0.5741,0.6794,0.6267,0.4687,0.7455,0.6071
15.6,-0.2508,0.4873,0.4811,0.4663,0.5849,0.5256,0.5856,0.6864,0.636,0.4998,0.7683,0.634
15.7,-0.2311,0.501,0.474,0.4789,0.585,0.5319,0.596,0.6919,0.6439,0.5299,0.7859,0.6579
15.8,-0.2085,0.5148,0.4674,0.4933,0.5841,0.5387,0.6052,0.6959,0.6506,0.5581,0.7979,0.678
15.9,-0.1849,0.5285,0.462,0.5093,0.5831,0.5462,0.6131,0.6984,0.6557,0.584,0.8047,0.6944
16,-0.1616,0.542,0.4583,0.5264,0.5822,0.5543,0.6195,0.6992,0.6593,0.6071,0.8069,0.707
16.1,-0.1383,0.5545,0.4559,0.5441,0.5807,0.5624,0.6241,0.6977,0.6609,0.6272,0.805,0.7161
16.2,-0.1148,0.5652,0.454,0.5622,0.5781,0.5701,0.6265,0.6941,0.6603,0.6437,0.7989,0.7213
16.3,-0.0914,0.5733,0.4519,0.5803,0.5739,0.5771,0.6262,0.6884,0.6573,0.6563,0.7883,0.7223
16.4,-0.0694,0.5783,0.4495,0.5978,0.5689,0.5834,0.6228,0.681,0.6519,0.6651,0.7728,0.719
16.5,-0.0503,0.58,0.447,0.614,0.5636,0.5888,0.6162,0.6724,0.6443,0.671,0.7528,0.7119
16.6,-0.0349,0.5785,0.4449,0.6277,0.5586,0.5932,0.6063,0.663,0.6347,0.6746,0.7289,0.7017
16.7,-0.0228,0.5735,0.443,0.6383,0.5537,0.596,0.5935,0.6531,0.6233,0.6768,0.7016,0.6892
16.8,-0.0129,0.565,0.4416,0.6453,0.5484,0.5969,0.5783,0.643,0.6106,0.6782,0.6717,0.6749
16.9,-0.0046,0.5531,0.4407,0.6484,0.5425,0.5955,0.5612,0.6333,0.5973,0.679,0.6395,0.6592
17,0.0018,0.5381,0.4408,0.647,0.536,0.5915,0.5431,0.6245,0.5838,0.679,0.6057,0.6424
17.1,0.0057,0.5209,0.4421,0.6406,0.5293,0.5849,0.5244,0.6168,0.5706,0.6781,0.571,0.6245
17.2,0.0071,0.5018,0.445,0.6293,0.5229,0.5761,0.506,0.611,0.5585,0.6762,0.536,0.6061
17.3,0.0062,0.4814,0.4502,0.6137,0.5168,0.5652,0.4891,0.6076,0.5484,0.6736,0.5016,0.5876
17.4,0.0039,0.4603,0.4584,0.595,0.511,0.553,0.4746,0.6075,0.541,0.6703,0.4687,0.5695
17.5,0.0007,0.4399,0.4695,0.5748,0.5061,0.5404,0.4632,0.6109,0.537,0.6666,0.4378,0.5522
17.6,-0.0031,0.4221,0.483,0.555,0.5032,0.5291,0.4549,0.6178,0.5364,0.6624,0.4096,0.536
17.7,-0.0072,0.4086,0.4981,0.5371,0.5031,0.5201,0.4497,0.6273,0.5385,0.6579,0.3848,0.5214
17.8,-0.0117,0.4001,0.5139,0.5215,0.506,0.5137,0.4472,0.6386,0.5429,0.653,0.3641,0.5086
17.9,-0.0168,0.3962,0.5303,0.5076,0.5111,0.5094,0.4472,0.6509,0.549,0.6475,0.3475,0.4975
18,-0.0227,0.3959,0.5472,0.4949,0.5179,0.5064,0.4493,0.6642,0.5567,0.6408,0.3354,0.4881
18.1,-0.03,0.3987,0.5649,0.4833,0.5265,0.5049,0.4534,0.6787,0.566,0.6327,0.3281,0.4804
18.2,-0.0387,0.4048,0.5829,0.4736,0.5375,0.5055,0.4595,0.6942,0.5769,0.6231,0.3257,0.4744
18.3,-0.0488,0.4141,0.6001,0.4665,0.5508,0.5086,0.4678,0.71,0.5889,0.6117,0.3279,0.4698
18.4,-0.0596,0.4264,0.6153,0.4626,0.5662,0.5144,0.4786,0.7247,0.6017,0.5984,0.3338,0.4661
18.5,-0.0704,0.4407,0.6279,0.4622,0.5832,0.5227,0.4919,0.7374,0.6147,0.5833,0.342,0.4627
18.6,-0.0805,0.4566,0.6379,0.4653,0.6015,0.5334,0.5072,0.7474,0.6273,0.5666,0.3516,0.4591
18.7,-0.0894,0.4738,0.6457,0.4719,0.6209,0.5464,0.5238,0.7539,0.6388,0.5485,0.3618,0.4552
18.8,-0.097,0.492,0.6513,0.4816,0.6413,0.5615,0.5408,0.7567,0.6487,0.53,0.3733,0.4516
18.9,-0.104,0.5108,0.6548,0.4941,0.6628,0.5784,0.5577,0.7558,0.6567,0.5118,0.3863,0.4491
19,-0.1116,0.5299,0.6567,0.509,0.6856,0.5973,0.5739,0.7519,0.6629,0.4946,0.4012,0.4479
19.1,-0.1215,0.5488,0.6574,0.5259,0.7104,0.6181,0.5891,0.746,0.6675,0.479,0.4177,0.4484
19.2,-0.1347,0.5671,0.6573,0.5444,0.7367,0.6405,0.6029,0.7389,0.6709,0.4651,0.4353,0.4502
19.3,-0.1504,0.5842,0.6562,0.5634,0.7636,0.6635,0.6148,0.7309,0.6728,0.4528,0.4537,0.4532
19.4,-0.1668,0.5991,0.6539,0.5824,0.7898,0.6861,0.6245,0.722,0.6732,0.4419,0.4724,0.4571
19.5,-0.1826,0.6116,0.6505,0.6011,0.8143,0.7077,0.6319,0.7119,0.6719,0.4322,0.4904,0.4613
19.6,-0.1977,0.6216,0.6465,0.6194,0.8367,0.728,0.6368,0.701,0.6689,0.4238,0.5065,0.4652
19.7,-0.2122,0.6299,0.6421,0.6374,0.8568,0.7471,0.6391,0.6894,0.6643,0.4167,0.5202,0.4685
19.8,-0.2259,0.6369,0.6376,0.6548,0.8745,0.7646,0.639,0.6776,0.6583,0.4109,0.5313,0.4711
19.9,-0.2374,0.6431,0.6332,0.6712,0.8896,0.7804,0.6367,0.6658,0.6513,0.4063,0.5404,0.4734
20,-0.2452,0.6484,0.6289,0.6861,0.9014,0.7938,0.6331,0.6541,0.6436,0.4021,0.5473,0.4747
20.1,-0.2491,0.6524,0.6246,0.699,0.9095,0.8042,0.6282,0.643,0.6356,0.3974,0.5512,0.4743
20.2,-0.2498,0.6549,0.6206,0.7092,0.9134,0.8113,0.6224,0.6333,0.6278,0.3917,0.5516,0.4717
20.3,-0.248,0.6562,0.6174,0.7161,0.9134,0.8148,0.616,0.6251,0.6206,0.3852,0.5481,0.4667
20.4,-0.2437,0.6564,0.6154,0.7193,0.9095,0.8144,0.6092,0.6182,0.6137,0.3788,0.541,0.4599
20.5,-0.2362,0.6551,0.6141,0.7181,0.9018,0.81,0.602,0.6124,0.6072,0.3731,0.5312,0.4522
20.6,-0.2257,0.6517,0.6129,0.7125,0.8899,0.8012,0.594,0.607,0.6005,0.3682,0.5197,0.4439
20.7,-0.2124,0.646,0.6112,0.7028,0.8737,0.7883,0.5848,0.6019,0.5933,0.3644,0.507,0.4357
20.8,-0.1962,0.6381,0.6084,0.6898,0.8534,0.7716,0.5738,0.5964,0.5851,0.3624,0.4937,0.428
