Time,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
20.9,-0.1766,0.6283,0.604,0.6741,0.8293,0.7517,0.561,0.5898,0.5754,0.363,0.4799,0.4215
21,-0.1527,0.6162,0.5974,0.6559,0.8016,0.7288,0.5467,0.5814,0.564,0.3664,0.4654,0.4159
21.1,-0.125,0.6014,0.5884,0.6355,0.7705,0.703,0.5315,0.5707,0.5511,0.3721,0.4499,0.411
21.2,-0.0949,0.5836,0.5772,0.6126,0.7368,0.6747,0.5159,0.5586,0.5372,0.3802,0.4338,0.407
21.3,-0.0644,0.5634,0.5647,0.588,0.7017,0.6449,0.5005,0.5461,0.5233,0.3908,0.4175,0.4042
21.4,-0.0356,0.5417,0.5519,0.5627,0.6669,0.6148,0.4856,0.5342,0.5099,0.4039,0.4014,0.4027
21.5,-0.0094,0.52,0.5393,0.5379,0.6337,0.5858,0.4714,0.5229,0.4971,0.4187,0.3857,0.4022
21.6,0.0138,0.4993,0.5273,0.5144,0.6028,0.5586,0.458,0.5115,0.4848,0.4346,0.3701,0.4023
21.7,0.0335,0.4803,0.5162,0.4924,0.5743,0.5333,0.4457,0.5001,0.4729,0.4509,0.3549,0.4029
21.8,0.0496,0.4634,0.507,0.472,0.5488,0.5104,0.4352,0.4892,0.4622,0.4675,0.3406,0.404
21.9,0.0615,0.4492,0.5006,0.4531,0.5276,0.4904,0.4268,0.48,0.4534,0.4841,0.3279,0.406
22,0.069,0.4384,0.4972,0.4362,0.5121,0.4741,0.421,0.4731,0.447,0.5,0.3178,0.4089
22.1,0.0713,0.4313,0.4968,0.4216,0.503,0.4623,0.4175,0.4689,0.4432,0.5146,0.3103,0.4125
22.2,0.0679,0.4279,0.4993,0.4097,0.5005,0.4551,0.4164,0.4678,0.4421,0.5274,0.3059,0.4167
22.3,0.0585,0.4283,0.5054,0.4003,0.504,0.4522,0.4177,0.4697,0.4437,0.5383,0.3051,0.4217
22.4,0.0434,0.4324,0.5158,0.3929,0.5132,0.4531,0.4217,0.4751,0.4484,0.5472,0.3083,0.4277
22.5,0.0228,0.4402,0.5309,0.3873,0.5276,0.4574,0.4285,0.4838,0.4561,0.5538,0.3159,0.4349
22.6,-0.002,0.4516,0.5505,0.3831,0.5464,0.4647,0.4374,0.4953,0.4664,0.5576,0.3277,0.4426
22.7,-0.0292,0.4659,0.5734,0.3805,0.5681,0.4743,0.4479,0.5086,0.4782,0.558,0.3432,0.4506
22.8,-0.057,0.4829,0.5986,0.3797,0.5911,0.4854,0.4593,0.5231,0.4912,0.5553,0.3625,0.4589
22.9,-0.0838,0.5021,0.6255,0.381,0.6138,0.4974,0.4714,0.5387,0.505,0.55,0.3852,0.4676
23,-0.1086,0.5228,0.6531,0.3839,0.635,0.5094,0.4837,0.5556,0.5196,0.5426,0.4115,0.477
23.1,-0.1312,0.5441,0.6808,0.3875,0.6534,0.5204,0.4959,0.5735,0.5347,0.5341,0.4412,0.4877
23.2,-0.1518,0.5646,0.7086,0.3911,0.6681,0.5296,0.5079,0.5921,0.55,0.5261,0.4744,0.5002
23.3,-0.1704,0.5837,0.7364,0.3946,0.6785,0.5365,0.5195,0.6111,0.5653,0.5192,0.5103,0.5147
23.4,-0.1873,0.6008,0.7637,0.3982,0.6841,0.5411,0.5303,0.6303,0.5803,0.5137,0.5476,0.5307
23.5,-0.2029,0.6159,0.7897,0.402,0.6849,0.5435,0.5402,0.6495,0.5948,0.5094,0.5847,0.547
23.6,-0.2172,0.6293,0.8137,0.4061,0.6813,0.5437,0.5488,0.6682,0.6085,0.506,0.62,0.563
23.7,-0.2301,0.6409,0.8348,0.4105,0.6734,0.542,0.5559,0.6856,0.6208,0.5037,0.6526,0.5781
23.8,-0.2413,0.6509,0.8525,0.4156,0.6613,0.5385,0.5615,0.701,0.6313,0.5023,0.6819,0.5921
23.9,-0.2505,0.6591,0.866,0.4221,0.645,0.5335,0.5656,0.7141,0.6398,0.5021,0.7072,0.6047
24,-0.2578,0.6656,0.8747,0.4305,0.625,0.5277,0.5684,0.7248,0.6466,0.5039,0.7281,0.616
24.1,-0.2634,0.6704,0.8789,0.4412,0.6022,0.5217,0.5703,0.7333,0.6518,0.5078,0.7436,0.6257
24.2,-0.2679,0.6732,0.8789,0.4537,0.578,0.5158,0.5712,0.7395,0.6554,0.5139,0.7534,0.6336
24.3,-0.2716,0.6742,0.8752,0.4673,0.5539,0.5106,0.5717,0.7434,0.6575,0.5214,0.7575,0.6394
24.4,-0.2751,0.6734,0.8683,0.481,0.5314,0.5062,0.5718,0.7452,0.6585,0.5295,0.7556,0.6426
24.5,-0.279,0.6715,0.8582,0.4944,0.5118,0.5031,0.5716,0.7455,0.6586,0.538,0.7477,0.6429
24.6,-0.2842,0.6685,0.8449,0.5067,0.496,0.5013,0.5713,0.7448,0.658,0.5469,0.734,0.6405
24.7,-0.2911,0.6645,0.8289,0.517,0.4842,0.5006,0.5708,0.7432,0.657,0.5564,0.7155,0.6359
24.8,-0.2993,0.6593,0.8105,0.5247,0.4764,0.5005,0.5702,0.7406,0.6554,0.566,0.6936,0.6298
24.9,-0.3078,0.6533,0.7904,0.5294,0.4722,0.5008,0.5697,0.7364,0.6531,0.5754,0.6693,0.6224
25,-0.3154,0.6468,0.7693,0.5311,0.4716,0.5014,0.5696,0.7312,0.6504,0.5847,0.6437,0.6142
25.1,-0.3208,0.64,0.7476,0.5299,0.4749,0.5024,0.5703,0.7254,0.6478,0.5942,0.6173,0.6058
25.2,-0.3231,0.6329,0.7257,0.5259,0.4818,0.5039,0.5716,0.7194,0.6455,0.6042,0.5907,0.5975
25.3,-0.3216,0.6254,0.7038,0.5194,0.4915,0.5055,0.5732,0.7129,0.6431,0.6151,0.5641,0.5896
25.4,-0.3157,0.6176,0.682,0.5113,0.5032,0.5072,0.5745,0.7053,0.6399,0.6269,0.5379,0.5824
25.5,-0.3056,0.6098,0.6604,0.5028,0.5161,0.5094,0.5748,0.6963,0.6355,0.6395,0.5121,0.5758
25.6,-0.2918,0.6025,0.6391,0.4946,0.5298,0.5122,0.5738,0.6857,0.6297,0.6527,0.4869,0.5698
25.7,-0.275,0.5958,0.6182,0.4872,0.5445,0.5158,0.5711,0.6739,0.6225,0.6661,0.4624,0.5642
25.8,-0.2554,0.59,0.5975,0.4811,0.5599,0.5205,0.5666,0.6612,0.6139,0.6788,0.4386,0.5587
25.9,-0.233,0.5847,0.5768,0.4769,0.5756,0.5262,0.5601,0.6482,0.6041,0.69,0.4158,0.5529
26,-0.2079,0.5797,0.5557,0.4749,0.5902,0.5326,0.5515,0.6353,0.5934,0.6989,0.3939,0.5464
26.1,-0.1803,0.5742,0.5341,0.4749,0.6019,0.5384,0.5411,0.6232,0.5821,0.7053,0.3728,0.539
26.2,-0.1518,0.5675,0.5124,0.4758,0.6094,0.5426,0.5291,0.6123,0.5707,0.7099,0.3525,0.5312
26.3,-0.1241,0.5587,0.4913,0.4772,0.6122,0.5447,0.5163,0.6028,0.5596,0.7138,0.3341,0.524
26.4,-0.0989,0.5479,0.4713,0.4792,0.611,0.5451,0.5033,0.5946,0.5489,0.7176,0.3185,0.518
26.5,-0.0779,0.5354,0.4534,0.4823,0.6066,0.5444,0.4903,0.5873,0.5388,0.721,0.3058,0.5134
26.6,-0.0621,0.5215,0.4375,0.4866,0.6,0.5433,0.4781,0.5807,0.5294,0.7234,0.2954,0.5094
26.7,-0.0518,0.5063,0.4229,0.4915,0.5918,0.5417,0.4675,0.575,0.5212,0.7241,0.286,0.5051
26.8,-0.0473,0.4895,0.4089,0.496,0.5826,0.5393,0.4591,0.5701,0.5146,0.7229,0.2765,0.4997
26.9,-0.0481,0.4714,0.3949,0.5,0.5726,0.5363,0.4532,0.5656,0.5094,0.7197,0.2663,0.493
27,-0.0527,0.4528,0.3802,0.5039,0.5625,0.5332,0.4499,0.5609,0.5054,0.7148,0.2552,0.485
27.1,-0.0596,0.4347,0.3649,0.5089,0.5531,0.531,0.449,0.5554,0.5022,0.7089,0.2441,0.4765
27.2,-0.0677,0.418,0.3492,0.5153,0.545,0.5301,0.4508,0.549,0.4999,0.7028,0.2335,0.4682
27.3,-0.077,0.4031,0.3334,0.5229,0.5385,0.5307,0.4553,0.542,0.4986,0.6966,0.2236,0.4601
27.4,-0.0877,0.3901,0.3182,0.5313,0.5336,0.5325,0.4622,0.535,0.4986,0.6894,0.2135,0.4515
27.5,-0.0994,0.3794,0.3041,0.5403,0.5301,0.5352,0.4708,0.5286,0.4997,0.6796,0.2019,0.4408
27.6,-0.1111,0.3713,0.2909,0.5499,0.528,0.5389,0.4804,0.5232,0.5018,0.6659,0.1881,0.427
27.7,-0.1211,0.3658,0.2786,0.5598,0.5269,0.5434,0.4902,0.5188,0.5045,0.648,0.1717,0.4098
27.8,-0.1286,0.3629,0.2666,0.5695,0.5265,0.548,0.5002,0.5154,0.5078,0.6272,0.1529,0.3901
27.9,-0.1343,0.3623,0.2551,0.5782,0.5265,0.5523,0.5104,0.5134,0.5119,0.6053,0.1331,0.3692
28,-0.1385,0.3643,0.2454,0.586,0.527,0.5565,0.5209,0.5131,0.517,0.5835,0.1146,0.349
28.1,-0.1416,0.3692,0.2392,0.5939,0.5281,0.561,0.5319,0.5148,0.5234,0.5627,0.0992,0.3309
28.2,-0.1431,0.3778,0.2377,0.6027,0.5297,0.5662,0.5435,0.5187,0.5311,0.5423,0.0878,0.315
28.3,-0.1429,0.3901,0.2411,0.6127,0.5319,0.5723,0.5551,0.5245,0.5398,0.5215,0.0794,0.3005
28.4,-0.1414,0.4058,0.2491,0.6239,0.5346,0.5793,0.5664,0.5318,0.5491,0.4999,0.0735,0.2867
28.5,-0.1385,0.4246,0.2613,0.6369,0.538,0.5875,0.5772,0.5406,0.5589,0.4777,0.0705,0.2741
28.6,-0.1346,0.4458,0.278,0.6521,0.5422,0.5972,0.5875,0.5512,0.5694,0.456,0.0715,0.2638
28.7,-0.1301,0.4691,0.2995,0.6694,0.5471,0.6083,0.5982,0.5644,0.5813,0.436,0.0773,0.2566
28.8,-0.1256,0.4937,0.3264,0.6883,0.5525,0.6204,0.6098,0.5807,0.5952,0.4189,0.0877,0.2533
28.9,-0.1218,0.5183,0.3589,0.7073,0.5583,0.6328,0.623,0.6002,0.6116,0.4053,0.1023,0.2538
29,-0.1192,0.542,0.3967,0.725,0.564,0.6445,0.6376,0.6227,0.6301,0.3957,0.1212,0.2584
29.1,-0.118,0.5639,0.4396,0.7404,0.5696,0.655,0.654,0.6478,0.6509,0.3905,0.1445,0.2675
29.2,-0.1182,0.5835,0.4875,0.7524,0.5748,0.6636,0.6726,0.6756,0.6741,0.3909,0.1731,0.282
29.3,-0.1201,0.6003,0.5396,0.7598,0.5789,0.6693,0.6941,0.706,0.7001,0.3976,0.2067,0.3022
29.4,-0.1245,0.6136,0.5939,0.7612,0.5811,0.6711,0.7182,0.7385,0.7283,0.4111,0.2444,0.3277
29.5,-0.1324,0.6226,0.6477,0.7556,0.581,0.6683,0.7443,0.7715,0.7579,0.431,0.2846,0.3578
29.6,-0.1442,0.6271,0.6987,0.743,0.579,0.661,0.7718,0.8039,0.7878,0.4572,0.3268,0.392
29.7,-0.1595,0.6283,0.7458,0.7246,0.5761,0.6504,0.8002,0.8345,0.8173,0.4891,0.3707,0.4299
29.8,-0.177,0.6276,0.7889,0.7017,0.5735,0.6376,0.8283,0.8626,0.8454,0.5252,0.4143,0.4698
29.9,-0.195,0.6261,0.828,0.6749,0.5717,0.6233,0.855,0.8875,0.8712,0.5634,0.4552,0.5093
