Time,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
28,-0.0966,0.5929,0.6908,0.6591,0.6232,0.6412,0.6703,0.7848,0.7276,0.7338,0.6226,0.6782
28.1,-0.1182,0.5834,0.686,0.6511,0.6263,0.6387,0.6576,0.7797,0.7186,0.7253,0.6264,0.6758
28.2,-0.1364,0.5733,0.6817,0.642,0.6286,0.6353,0.644,0.7728,0.7084,0.7153,0.6268,0.671
28.3,-0.1506,0.5632,0.6785,0.6319,0.6302,0.6311,0.6302,0.7644,0.6973,0.7041,0.6236,0.6638
28.4,-0.1603,0.5531,0.6762,0.6208,0.6311,0.626,0.6167,0.7544,0.6856,0.6914,0.6168,0.6541
28.5,-0.1647,0.5435,0.6748,0.609,0.632,0.6205,0.6041,0.7433,0.6737,0.6771,0.6064,0.6417
28.6,-0.1629,0.535,0.6744,0.5973,0.6339,0.6156,0.593,0.7317,0.6623,0.6616,0.5931,0.6273
28.7,-0.1547,0.5284,0.675,0.5865,0.6375,0.612,0.584,0.7204,0.6522,0.6456,0.5778,0.6117
28.8,-0.14,0.5244,0.677,0.5771,0.643,0.61,0.5777,0.71,0.6438,0.6298,0.5616,0.5957
28.9,-0.119,0.5231,0.6806,0.5693,0.6503,0.6098,0.5744,0.701,0.6377,0.6149,0.5455,0.5802
29,-0.0925,0.5249,0.6858,0.5632,0.659,0.6111,0.5742,0.6939,0.6341,0.6015,0.53,0.5658
29.1,-0.0621,0.53,0.6924,0.5591,0.6691,0.6141,0.5771,0.689,0.6331,0.59,0.516,0.553
29.2,-0.0296,0.539,0.7003,0.5576,0.6808,0.6192,0.5831,0.6864,0.6347,0.5805,0.5042,0.5424
29.3,0.0033,0.5523,0.7087,0.5593,0.6936,0.6264,0.5918,0.686,0.6389,0.5728,0.4949,0.5339
29.4,0.0346,0.5693,0.7171,0.5641,0.7066,0.6353,0.6025,0.6876,0.6451,0.5666,0.4881,0.5274
29.5,0.0629,0.5886,0.725,0.571,0.7187,0.6448,0.6139,0.6907,0.6523,0.5617,0.4835,0.5226
29.6,0.0875,0.6087,0.732,0.5788,0.7288,0.6538,0.625,0.6946,0.6598,0.5578,0.4808,0.5193
29.7,0.1074,0.6282,0.7376,0.5869,0.737,0.6619,0.6353,0.6989,0.6671,0.5555,0.4803,0.5179
29.8,0.1218,0.6463,0.7419,0.5955,0.7434,0.6694,0.6453,0.7033,0.6743,0.5551,0.482,0.5186
29.9,0.1303,0.6625,0.7447,0.6051,0.7482,0.6767,0.655,0.7078,0.6814,0.5565,0.4859,0.5212
