Time,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23.6,0.1878,0.6244,0.8816,0.6864,0.568,0.6272,0.7336,0.8808,0.8072,0.7206,0.8068,0.7637
23.7,0.207,0.6077,0.8756,0.6776,0.5604,0.619,0.7261,0.8551,0.7906,0.7273,0.7987,0.763
23.8,0.2239,0.5952,0.8683,0.6716,0.5545,0.613,0.7195,0.8299,0.7747,0.7355,0.7909,0.7632
23.9,0.2381,0.5866,0.8596,0.6681,0.5501,0.6091,0.7137,0.8061,0.7599,0.7449,0.7837,0.7643
24,0.2499,0.582,0.8494,0.6671,0.548,0.6076,0.7088,0.7844,0.7466,0.7548,0.7775,0.7661
24.1,0.2599,0.582,0.8387,0.6689,0.5484,0.6086,0.7047,0.7656,0.7352,0.765,0.7726,0.7688
24.2,0.2688,0.5861,0.8287,0.6731,0.5511,0.6121,0.7018,0.7504,0.7261,0.7757,0.7698,0.7728
24.3,0.2762,0.593,0.8208,0.6784,0.5551,0.6168,0.7005,0.739,0.7198,0.7873,0.7698,0.7785
24.4,0.2817,0.6003,0.8155,0.6835,0.5594,0.6214,0.7008,0.7315,0.7161,0.7994,0.7721,0.7858
24.5,0.2851,0.6062,0.8121,0.6874,0.563,0.6252,0.7024,0.7273,0.7149,0.8112,0.7754,0.7933
24.6,0.2871,0.61,0.8093,0.69,0.5655,0.6278,0.7048,0.7262,0.7155,0.8214,0.7778,0.7996
24.7,0.2885,0.6117,0.8059,0.6922,0.567,0.6296,0.7075,0.7275,0.7175,0.829,0.7778,0.8034
24.8,0.2888,0.6113,0.8008,0.6948,0.5677,0.6313,0.7105,0.7307,0.7206,0.8335,0.7739,0.8037
24.9,0.2856,0.6088,0.7931,0.698,0.5686,0.6333,0.7128,0.7354,0.7241,0.8344,0.7665,0.8004
25,0.2787,0.6045,0.7833,0.7012,0.5699,0.6356,0.7143,0.7411,0.7277,0.8315,0.7564,0.7939
25.1,0.2684,0.5987,0.7718,0.7043,0.5716,0.638,0.7147,0.7471,0.7309,0.8256,0.7446,0.7851
25.2,0.2547,0.5926,0.7587,0.7075,0.5739,0.6407,0.714,0.7537,0.7338,0.8179,0.7321,0.775
25.3,0.2376,0.587,0.7443,0.7112,0.5775,0.6443,0.7123,0.7609,0.7366,0.81,0.7199,0.7649
25.4,0.2173,0.5829,0.7289,0.7162,0.5826,0.6494,0.7099,0.7691,0.7395,0.8025,0.7085,0.7555
25.5,0.1941,0.5807,0.7128,0.7231,0.5898,0.6565,0.7072,0.7779,0.7426,0.7958,0.6982,0.747
25.6,0.169,0.5808,0.6962,0.7321,0.5991,0.6656,0.7046,0.7872,0.7459,0.7897,0.6891,0.7394
25.7,0.1423,0.5832,0.6794,0.7427,0.6102,0.6764,0.7024,0.7968,0.7496,0.7838,0.6812,0.7325
25.8,0.114,0.588,0.6625,0.7542,0.6228,0.6885,0.7008,0.807,0.7539,0.778,0.6747,0.7264
25.9,0.0836,0.5945,0.6459,0.7662,0.6368,0.7015,0.6998,0.8179,0.7588,0.7719,0.6694,0.7207
26,0.0513,0.6021,0.6299,0.7778,0.6518,0.7148,0.6995,0.8295,0.7645,0.7651,0.6649,0.715
26.1,0.0178,0.6104,0.6146,0.7886,0.6674,0.728,0.6998,0.8414,0.7706,0.7572,0.6605,0.7088
26.2,-0.0158,0.619,0.6003,0.7978,0.683,0.7404,0.7007,0.8528,0.7768,0.7481,0.6554,0.7017
26.3,-0.0489,0.6276,0.5868,0.8045,0.6975,0.751,0.702,0.8631,0.7825,0.7376,0.6492,0.6934
26.4,-0.0813,0.6358,0.574,0.8076,0.7102,0.7589,0.7031,0.8715,0.7873,0.7256,0.6416,0.6836
26.5,-0.1133,0.6431,0.5617,0.8064,0.7205,0.7635,0.7034,0.878,0.7907,0.7116,0.6326,0.6721
26.6,-0.1448,0.649,0.5497,0.8008,0.7286,0.7647,0.702,0.8827,0.7924,0.6955,0.6219,0.6587
26.7,-0.1752,0.6536,0.5374,0.7911,0.7348,0.7629,0.6979,0.8854,0.7917,0.6768,0.6092,0.643
26.8,-0.2036,0.6571,0.5248,0.7783,0.7392,0.7588,0.6901,0.8858,0.788,0.6559,0.5944,0.6251
26.9,-0.2289,0.6593,0.5117,0.7632,0.7417,0.7525,0.678,0.8838,0.7809,0.6328,0.5774,0.6051
27,-0.2506,0.6597,0.4979,0.7462,0.7417,0.7439,0.6611,0.8791,0.7701,0.6078,0.5585,0.5832
27.1,-0.2684,0.6575,0.483,0.7271,0.7388,0.7329,0.6394,0.8718,0.7556,0.5809,0.5379,0.5594
27.2,-0.2816,0.6521,0.4666,0.7058,0.7327,0.7193,0.6125,0.8615,0.737,0.552,0.5159,0.5339
27.3,-0.2893,0.6434,0.4488,0.6827,0.7234,0.7031,0.5804,0.8478,0.7141,0.5211,0.4923,0.5067
27.4,-0.29,0.6312,0.4298,0.6583,0.7107,0.6845,0.5435,0.8301,0.6868,0.4889,0.4674,0.4781
27.5,-0.2825,0.6151,0.4108,0.6333,0.6941,0.6637,0.5033,0.8085,0.6559,0.4563,0.442,0.4492
27.6,-0.2664,0.5943,0.3925,0.608,0.673,0.6405,0.4624,0.7835,0.623,0.4248,0.4169,0.4208
27.7,-0.2422,0.5684,0.3752,0.5823,0.6472,0.6148,0.4231,0.7557,0.5894,0.3952,0.3932,0.3942
27.8,-0.2107,0.538,0.3582,0.5564,0.6172,0.5868,0.3866,0.7251,0.5559,0.3679,0.3712,0.3695
27.9,-0.173,0.5051,0.3412,0.5309,0.5841,0.5575,0.3537,0.692,0.5229,0.343,0.3514,0.3472
28,-0.1305,0.4724,0.3243,0.5067,0.5496,0.5282,0.3254,0.6572,0.4913,0.3212,0.3345,0.3279
28.1,-0.0852,0.4424,0.3092,0.4846,0.516,0.5003,0.3037,0.6224,0.463,0.304,0.3225,0.3132
28.2,-0.0395,0.4167,0.2979,0.4652,0.4849,0.4751,0.2906,0.5898,0.4402,0.2932,0.3174,0.3053
28.3,0.0035,0.3959,0.2909,0.4479,0.4577,0.4528,0.2857,0.5611,0.4234,0.289,0.3205,0.3047
28.4,0.0434,0.3793,0.2875,0.4318,0.4334,0.4326,0.2874,0.5362,0.4118,0.29,0.33,0.31
28.5,0.0805,0.3669,0.2878,0.4169,0.4115,0.4142,0.2955,0.5156,0.4056,0.2957,0.3444,0.32
28.6,0.1141,0.3589,0.292,0.4034,0.3923,0.3978,0.3097,0.5004,0.405,0.3053,0.3624,0.3339
28.7,0.1432,0.3554,0.3008,0.3915,0.3761,0.3838,0.3305,0.4914,0.4109,0.3185,0.3834,0.3509
28.8,0.1672,0.3563,0.3141,0.381,0.3629,0.372,0.358,0.4888,0.4234,0.3348,0.4067,0.3707
28.9,0.1859,0.3609,0.3313,0.3716,0.3524,0.362,0.3919,0.4912,0.4415,0.3539,0.4311,0.3925
29,0.1996,0.3678,0.3509,0.3628,0.3439,0.3534,0.4308,0.4971,0.464,0.375,0.4549,0.4149
29.1,0.2085,0.3759,0.3718,0.3541,0.3371,0.3456,0.4732,0.5057,0.4895,0.397,0.4766,0.4368
29.2,0.2128,0.3842,0.3939,0.3452,0.3322,0.3387,0.5179,0.5169,0.5174,0.4195,0.4953,0.4574
29.3,0.2127,0.3924,0.4173,0.3366,0.33,0.3333,0.5644,0.5306,0.5475,0.442,0.511,0.4765
29.4,0.2093,0.4007,0.4421,0.3288,0.3313,0.3301,0.6117,0.5465,0.5791,0.4649,0.5242,0.4945
29.5,0.2045,0.4094,0.4677,0.3228,0.3364,0.3296,0.6586,0.5639,0.6112,0.4885,0.5352,0.5118
29.6,0.2001,0.4188,0.4936,0.3195,0.3453,0.3324,0.7037,0.5822,0.643,0.5125,0.5442,0.5283
29.7,0.1965,0.4289,0.5194,0.3195,0.358,0.3388,0.7454,0.6014,0.6734,0.5364,0.551,0.5437
29.8,0.1936,0.4397,0.5454,0.3234,0.3749,0.3492,0.7827,0.6212,0.7019,0.5589,0.5559,0.5574
29.9,0.1908,0.4515,0.5715,0.3316,0.3964,0.364,0.8146,0.641,0.7278,0.579,0.559,0.569
