Time,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.2,-0.1694,0.6268,0.9489,0.5602,0.6468,0.6035,0.4727,0.7638,0.6183,0.6332,0.6421,0.6376
27.3,-0.1057,0.6481,0.9624,0.5789,0.6255,0.6022,0.4929,0.7835,0.6382,0.6316,0.6428,0.6372
27.4,-0.0218,0.6718,0.9635,0.5957,0.6,0.5978,0.5098,0.7954,0.6526,0.626,0.6382,0.6321
27.5,0.0759,0.697,0.953,0.6093,0.5724,0.5909,0.5235,0.8004,0.662,0.6171,0.6285,0.6228
27.6,0.1791,0.7222,0.9328,0.619,0.546,0.5825,0.5348,0.8006,0.6677,0.6051,0.614,0.6096
27.7,0.2789,0.745,0.905,0.6243,0.523,0.5737,0.544,0.7976,0.6708,0.5906,0.5955,0.5931
27.8,0.368,0.7631,0.872,0.6252,0.504,0.5646,0.5513,0.7924,0.6718,0.5741,0.5738,0.574
27.9,0.4409,0.7755,0.836,0.622,0.488,0.555,0.5565,0.7859,0.6712,0.5566,0.5496,0.5531
28,0.4942,0.7819,0.7994,0.6149,0.4742,0.5445,0.5597,0.7794,0.6695,0.539,0.524,0.5315
28.1,0.5272,0.7824,0.7641,0.6039,0.4628,0.5334,0.5613,0.7742,0.6677,0.5217,0.4982,0.5099
28.2,0.5423,0.7771,0.7311,0.5898,0.455,0.5224,0.5613,0.7711,0.6662,0.505,0.4734,0.4892
28.3,0.5431,0.7667,0.7007,0.5733,0.4522,0.5127,0.5599,0.7701,0.665,0.4889,0.4503,0.4696
28.4,0.5332,0.752,0.6736,0.5559,0.4548,0.5053,0.5573,0.7709,0.6641,0.4734,0.4294,0.4514
28.5,0.5149,0.7341,0.6507,0.5384,0.4623,0.5003,0.5538,0.7734,0.6636,0.4588,0.4108,0.4348
28.6,0.4894,0.7138,0.6321,0.5211,0.4738,0.4975,0.5507,0.7777,0.6642,0.4449,0.3951,0.42
28.7,0.4586,0.6917,0.6175,0.5039,0.4874,0.4957,0.5489,0.7835,0.6662,0.4317,0.3826,0.4071
28.8,0.4252,0.6683,0.6057,0.4864,0.5006,0.4935,0.5488,0.7905,0.6697,0.4193,0.3728,0.3961
28.9,0.3921,0.6447,0.5958,0.4685,0.5122,0.4904,0.5503,0.798,0.6742,0.4081,0.3655,0.3868
29,0.3611,0.6218,0.5879,0.451,0.5221,0.4866,0.5531,0.8056,0.6794,0.399,0.3608,0.3799
29.1,0.3336,0.6005,0.5827,0.4356,0.5306,0.4831,0.5576,0.8135,0.6855,0.3925,0.3598,0.3762
29.2,0.3112,0.5814,0.5807,0.4248,0.5375,0.4812,0.5643,0.8216,0.6929,0.389,0.3637,0.3764
29.3,0.2955,0.5647,0.5824,0.4211,0.5427,0.4819,0.5729,0.8295,0.7012,0.3887,0.3734,0.3811
29.4,0.2878,0.5507,0.5884,0.4252,0.546,0.4856,0.5823,0.8366,0.7094,0.392,0.3893,0.3906
29.5,0.2878,0.5395,0.5995,0.4362,0.5473,0.4917,0.5908,0.8424,0.7166,0.399,0.4112,0.4051
29.6,0.2933,0.5307,0.6161,0.4514,0.547,0.4992,0.5975,0.8474,0.7225,0.4103,0.4387,0.4245
29.7,0.3011,0.5236,0.6384,0.4675,0.5461,0.5068,0.6022,0.8516,0.7269,0.4256,0.471,0.4483
29.8,0.3081,0.5165,0.6659,0.4817,0.5451,0.5134,0.6045,0.8547,0.7296,0.4442,0.5064,0.4753
29.9,0.3125,0.5082,0.6973,0.4927,0.5444,0.5186,0.6036,0.8559,0.7297,0.4649,0.5424,0.5037
