Time,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3267,0.6954,0.6601,0.6192,0.7458,0.6825,0.4742,0.7804,0.6273,0.6996,0.7353,0.7175
0.1,-0.3059,0.7095,0.6539,0.6234,0.7626,0.693,0.4709,0.7701,0.6205,0.7155,0.7524,0.734
0.2,-0.2829,0.723,0.6468,0.6283,0.7776,0.703,0.4718,0.7583,0.615,0.7313,0.7681,0.7497
0.3,-0.2595,0.7357,0.6394,0.6333,0.7906,0.712,0.477,0.7451,0.611,0.7476,0.7824,0.765
0.4,-0.2375,0.7477,0.6321,0.6374,0.8018,0.7196,0.4866,0.7307,0.6086,0.7652,0.7957,0.7804
0.5,-0.2185,0.7586,0.625,0.6391,0.8111,0.7251,0.5,0.7155,0.6077,0.7835,0.8084,0.796
0.6,-0.2036,0.7681,0.6187,0.6376,0.8183,0.7279,0.5163,0.7003,0.6083,0.8019,0.8206,0.8112
0.7,-0.1934,0.7761,0.6141,0.6324,0.8233,0.7278,0.5347,0.6859,0.6103,0.8201,0.8321,0.8261
0.8,-0.1877,0.7825,0.6114,0.6242,0.8259,0.725,0.5551,0.6722,0.6137,0.8383,0.8426,0.8404
0.9,-0.1863,0.7872,0.6103,0.6142,0.8261,0.7202,0.5774,0.6591,0.6182,0.8563,0.8515,0.8539
1,-0.1891,0.7897,0.6103,0.6031,0.824,0.7136,0.6011,0.646,0.6235,0.8733,0.8582,0.8657
1.1,-0.1952,0.7888,0.6116,0.5913,0.8195,0.7054,0.6252,0.6329,0.629,0.8878,0.8622,0.875
1.2,-0.2028,0.784,0.6147,0.579,0.813,0.696,0.6488,0.6203,0.6345,0.8985,0.8637,0.8811
1.3,-0.21,0.7751,0.6198,0.5671,0.8047,0.6859,0.6715,0.6086,0.64,0.9044,0.8627,0.8836
1.4,-0.2158,0.7627,0.6269,0.5562,0.7946,0.6754,0.693,0.5984,0.6457,0.9052,0.8592,0.8822
1.5,-0.2198,0.7474,0.6361,0.5465,0.7827,0.6646,0.7131,0.5899,0.6515,0.901,0.8527,0.8769
1.6,-0.2226,0.7298,0.6476,0.538,0.7699,0.654,0.731,0.5834,0.6572,0.8927,0.8433,0.868
1.7,-0.2248,0.7106,0.6618,0.531,0.7578,0.6444,0.7461,0.579,0.6625,0.8814,0.8311,0.8563
1.8,-0.2259,0.6914,0.6788,0.5257,0.7481,0.6369,0.7584,0.5764,0.6674,0.8687,0.8169,0.8428
1.9,-0.2252,0.6737,0.6982,0.5227,0.7422,0.6324,0.7683,0.5755,0.6719,0.8556,0.8018,0.8287
2,-0.2227,0.659,0.7195,0.5219,0.741,0.6315,0.776,0.5758,0.6759,0.8427,0.7861,0.8144
2.1,-0.219,0.6476,0.7418,0.5234,0.7448,0.6341,0.7817,0.5767,0.6792,0.8308,0.7696,0.8002
2.2,-0.2139,0.6393,0.7643,0.527,0.7533,0.6402,0.7855,0.5778,0.6816,0.8204,0.7517,0.786
2.3,-0.2057,0.6342,0.7862,0.5331,0.7661,0.6496,0.7878,0.579,0.6834,0.8124,0.7322,0.7723
2.4,-0.1914,0.6322,0.8066,0.5421,0.7823,0.6622,0.7892,0.5804,0.6848,0.8077,0.7119,0.7598
2.5,-0.1691,0.6333,0.825,0.5541,0.8012,0.6777,0.7901,0.5823,0.6862,0.8066,0.6916,0.7491
2.6,-0.1394,0.6374,0.8413,0.5687,0.8216,0.6951,0.79,0.5845,0.6873,0.8086,0.6717,0.7401
2.7,-0.1053,0.6435,0.8557,0.5845,0.8423,0.7134,0.7883,0.5867,0.6875,0.813,0.6521,0.7325
2.8,-0.0705,0.6509,0.8683,0.5999,0.8624,0.7311,0.7843,0.5886,0.6865,0.8189,0.6325,0.7257
2.9,-0.0373,0.6592,0.8785,0.614,0.8816,0.7478,0.7781,0.5901,0.6841,0.8261,0.6128,0.7194
3,-0.0072,0.6686,0.8853,0.6268,0.9002,0.7635,0.7699,0.5909,0.6804,0.8344,0.5933,0.7139
