Time,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4213,0.2524,0.3124,0.7261,0.2768,0.5015,0.4555,0.4068,0.4311,0.4087,0.695,0.5519
0.1,0.4261,0.236,0.3199,0.6751,0.276,0.4756,0.4509,0.392,0.4215,0.4349,0.7069,0.5709
0.2,0.4319,0.2213,0.3279,0.6253,0.2771,0.4512,0.4456,0.3767,0.4111,0.4637,0.7174,0.5905
0.3,0.4399,0.2085,0.3349,0.5779,0.2789,0.4284,0.4391,0.3604,0.3997,0.4936,0.726,0.6098
0.4,0.4492,0.198,0.3397,0.5336,0.2801,0.4068,0.4312,0.3425,0.3868,0.5227,0.7317,0.6272
0.5,0.458,0.1904,0.3415,0.4932,0.2795,0.3864,0.4218,0.3227,0.3722,0.5496,0.7341,0.6418
0.6,0.4644,0.1857,0.3408,0.457,0.2767,0.3668,0.4114,0.3015,0.3564,0.5739,0.7332,0.6536
0.7,0.4659,0.1838,0.3384,0.4249,0.2716,0.3482,0.401,0.2803,0.3406,0.5957,0.7298,0.6628
0.8,0.4599,0.1842,0.3347,0.3973,0.2649,0.3311,0.3916,0.26,0.3258,0.6148,0.7242,0.6695
0.9,0.4451,0.1873,0.3303,0.3746,0.2571,0.3159,0.3839,0.2411,0.3125,0.6308,0.7169,0.6738
1,0.423,0.1934,0.326,0.3569,0.2489,0.3029,0.3788,0.224,0.3014,0.6441,0.7082,0.6761
1.1,0.3954,0.2025,0.3224,0.3437,0.241,0.2923,0.3777,0.2093,0.2935,0.6553,0.6989,0.6771
1.2,0.3637,0.2143,0.3208,0.335,0.2339,0.2845,0.382,0.1979,0.29,0.665,0.6897,0.6774
1.3,0.3285,0.2281,0.3219,0.3301,0.2286,0.2793,0.3922,0.1909,0.2916,0.6736,0.6809,0.6773
1.4,0.2903,0.244,0.3264,0.3289,0.2254,0.2771,0.408,0.1888,0.2984,0.6806,0.6722,0.6764
1.5,0.2502,0.2625,0.3345,0.3315,0.2246,0.278,0.428,0.1913,0.3097,0.6856,0.6633,0.6744
1.6,0.21,0.2845,0.3465,0.3381,0.2267,0.2824,0.4512,0.1983,0.3248,0.6885,0.6542,0.6714
1.7,0.1716,0.3098,0.3623,0.3483,0.2321,0.2902,0.4767,0.2099,0.3433,0.6892,0.6452,0.6672
1.8,0.1366,0.3374,0.3812,0.3615,0.241,0.3013,0.5041,0.2266,0.3653,0.6876,0.6365,0.6621
1.9,0.1061,0.3657,0.4025,0.3764,0.2536,0.315,0.5332,0.2481,0.3906,0.6841,0.6286,0.6563
2,0.0808,0.3933,0.4257,0.392,0.27,0.331,0.5634,0.2742,0.4188,0.6787,0.6217,0.6502
2.1,0.0616,0.4197,0.4506,0.4077,0.2904,0.349,0.5936,0.3042,0.4489,0.6721,0.6162,0.6441
2.2,0.0479,0.4444,0.4772,0.4226,0.3145,0.3685,0.6221,0.3372,0.4797,0.6649,0.6131,0.639
2.3,0.0385,0.467,0.505,0.436,0.3415,0.3887,0.6476,0.3726,0.5101,0.6579,0.6136,0.6358
2.4,0.0318,0.4867,0.5333,0.4474,0.3702,0.4088,0.6693,0.4095,0.5394,0.6517,0.6177,0.6347
