Time,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
19.1,-0.1866,0.3481,0.4798,0.3593,0.387,0.3732,0.6367,0.6669,0.6518,0.6531,0.6447,0.6489
19.2,-0.2125,0.3803,0.478,0.3726,0.4041,0.3883,0.6272,0.6628,0.645,0.6253,0.6305,0.6279
19.3,-0.2393,0.4166,0.4815,0.3863,0.4217,0.404,0.6195,0.6614,0.6404,0.5986,0.617,0.6078
19.4,-0.2643,0.4552,0.4894,0.3998,0.4387,0.4193,0.6136,0.662,0.6378,0.5739,0.6046,0.5892
19.5,-0.2841,0.494,0.5001,0.4133,0.4546,0.4339,0.6094,0.6639,0.6366,0.5517,0.5932,0.5725
19.6,-0.2971,0.5314,0.5116,0.4267,0.4698,0.4483,0.6069,0.6669,0.6369,0.533,0.5828,0.5579
19.7,-0.3029,0.5664,0.5232,0.439,0.4855,0.4622,0.6062,0.6714,0.6388,0.5184,0.5743,0.5463
19.8,-0.303,0.5982,0.5348,0.4492,0.5019,0.4756,0.6071,0.678,0.6426,0.5086,0.5679,0.5383
19.9,-0.299,0.6268,0.5462,0.4574,0.5192,0.4883,0.6094,0.6859,0.6477,0.5032,0.5639,0.5336
20,-0.2923,0.6521,0.5573,0.4644,0.5374,0.5009,0.6126,0.6944,0.6535,0.5018,0.5623,0.5321
20.1,-0.2837,0.6737,0.5678,0.4709,0.5558,0.5133,0.6163,0.7029,0.6596,0.5043,0.5633,0.5338
20.2,-0.2739,0.6908,0.5781,0.4766,0.5734,0.525,0.6203,0.7118,0.6661,0.5108,0.5675,0.5392
20.3,-0.2641,0.7026,0.5884,0.4806,0.5897,0.5351,0.6242,0.7215,0.6728,0.5216,0.5749,0.5482
20.4,-0.2561,0.7088,0.5984,0.4824,0.6045,0.5435,0.6273,0.7321,0.6797,0.5363,0.5849,0.5606
20.5,-0.2507,0.7102,0.6071,0.4827,0.6187,0.5507,0.6297,0.7431,0.6864,0.554,0.5965,0.5752
20.6,-0.2466,0.7074,0.6137,0.4823,0.6324,0.5573,0.6312,0.7543,0.6927,0.5733,0.6089,0.5911
20.7,-0.2411,0.7012,0.618,0.4821,0.6448,0.5635,0.632,0.7653,0.6986,0.5933,0.6216,0.6074
20.8,-0.2317,0.6916,0.6196,0.4824,0.6549,0.5686,0.6317,0.7758,0.7037,0.6126,0.6336,0.6231
20.9,-0.2168,0.6789,0.6183,0.4834,0.6616,0.5725,0.6296,0.7857,0.7076,0.6301,0.644,0.6371
21,-0.1967,0.6632,0.6142,0.4853,0.6646,0.5749,0.6249,0.7947,0.7098,0.6449,0.6524,0.6487
21.1,-0.1725,0.6446,0.6073,0.488,0.6639,0.576,0.6176,0.8028,0.7102,0.6565,0.6589,0.6577
21.2,-0.1453,0.6229,0.5982,0.4908,0.6594,0.5751,0.6079,0.81,0.709,0.665,0.6636,0.6643
21.3,-0.1158,0.5979,0.5873,0.4923,0.6505,0.5714,0.5965,0.8161,0.7063,0.67,0.6664,0.6682
21.4,-0.0845,0.5699,0.5747,0.4915,0.6371,0.5643,0.5833,0.8205,0.7019,0.6711,0.667,0.669
21.5,-0.0521,0.5403,0.5601,0.4886,0.6195,0.554,0.568,0.8225,0.6952,0.6677,0.665,0.6664
21.6,-0.0195,0.5111,0.544,0.4843,0.5982,0.5413,0.5504,0.8216,0.686,0.6601,0.6606,0.6603
21.7,0.0121,0.4845,0.5275,0.4798,0.5741,0.527,0.5306,0.8178,0.6742,0.6486,0.6539,0.6512
21.8,0.041,0.4618,0.5114,0.4758,0.5483,0.5121,0.5091,0.8107,0.6599,0.6334,0.645,0.6392
21.9,0.0663,0.4429,0.496,0.4728,0.5218,0.4973,0.4863,0.7998,0.6431,0.6146,0.6336,0.6241
22,0.0882,0.4278,0.4816,0.4708,0.4947,0.4828,0.4627,0.7848,0.6238,0.5925,0.62,0.6062
22.1,0.1069,0.4159,0.4683,0.4702,0.4672,0.4687,0.4388,0.7663,0.6025,0.5674,0.6044,0.5859
22.2,0.1224,0.4072,0.4558,0.4709,0.44,0.4554,0.4156,0.745,0.5803,0.5398,0.5876,0.5637
22.3,0.134,0.4013,0.4443,0.4728,0.4143,0.4435,0.3941,0.7219,0.558,0.5104,0.5699,0.5402
22.4,0.1405,0.398,0.4339,0.4756,0.3912,0.4334,0.3751,0.6974,0.5363,0.4802,0.5523,0.5162
22.5,0.141,0.397,0.4252,0.4792,0.3717,0.4254,0.3591,0.6721,0.5156,0.4503,0.5355,0.4929
22.6,0.1357,0.3981,0.4181,0.4833,0.356,0.4196,0.3464,0.6458,0.4961,0.4218,0.5202,0.471
22.7,0.1248,0.4008,0.4124,0.4877,0.3443,0.416,0.3366,0.6188,0.4777,0.3948,0.5066,0.4507
22.8,0.1091,0.4052,0.4078,0.4922,0.3371,0.4146,0.3291,0.5914,0.4603,0.3695,0.4943,0.4319
22.9,0.0892,0.4117,0.4044,0.4968,0.3351,0.416,0.3233,0.5638,0.4435,0.346,0.4834,0.4147
23,0.0649,0.4209,0.4027,0.5014,0.3388,0.4201,0.3191,0.5368,0.428,0.3245,0.4738,0.3992
23.1,0.0363,0.4338,0.4032,0.5062,0.348,0.4271,0.317,0.5114,0.4142,0.3056,0.466,0.3858
23.2,0.0045,0.4504,0.406,0.5115,0.362,0.4367,0.3171,0.4881,0.4026,0.2899,0.4604,0.3751
23.3,-0.0291,0.4711,0.4108,0.5178,0.3798,0.4488,0.3192,0.4671,0.3932,0.2781,0.4571,0.3676
23.4,-0.0635,0.4956,0.4174,0.5249,0.4012,0.4631,0.3231,0.4486,0.3859,0.2707,0.4563,0.3635
23.5,-0.0982,0.5239,0.4254,0.5321,0.4258,0.479,0.3283,0.433,0.3806,0.2678,0.4578,0.3628
23.6,-0.1331,0.5558,0.4343,0.5384,0.4538,0.4961,0.3344,0.4202,0.3773,0.2696,0.4611,0.3654
23.7,-0.1679,0.5903,0.4432,0.5431,0.485,0.5141,0.3413,0.41,0.3757,0.2761,0.4656,0.3709
23.8,-0.2019,0.6263,0.4516,0.5457,0.5183,0.532,0.3489,0.402,0.3754,0.2874,0.4712,0.3793
23.9,-0.234,0.6623,0.459,0.5458,0.5522,0.549,0.3569,0.3958,0.3763,0.3034,0.4777,0.3906
24,-0.2627,0.6966,0.4657,0.5428,0.5852,0.564,0.3651,0.3913,0.3782,0.3238,0.4857,0.4047
24.1,-0.2861,0.7271,0.4715,0.5365,0.6155,0.576,0.3733,0.3882,0.3808,0.3483,0.4954,0.4219
24.2,-0.302,0.7521,0.4762,0.5277,0.6426,0.5851,0.3813,0.3864,0.3838,0.3761,0.5068,0.4414
24.3,-0.3096,0.771,0.4792,0.5177,0.6665,0.5921,0.3887,0.3855,0.3871,0.4058,0.5191,0.4624
24.4,-0.3087,0.7836,0.4799,0.5077,0.688,0.5978,0.3952,0.3851,0.3902,0.4358,0.5312,0.4835
24.5,-0.2998,0.7897,0.4785,0.498,0.7077,0.6028,0.4003,0.3849,0.3926,0.4643,0.5423,0.5033
24.6,-0.2833,0.789,0.4754,0.4882,0.7247,0.6064,0.4041,0.3847,0.3944,0.4898,0.5519,0.5208
24.7,-0.2592,0.7815,0.4709,0.4782,0.7374,0.6078,0.4064,0.3843,0.3953,0.5118,0.5597,0.5357
24.8,-0.2279,0.7682,0.4655,0.4688,0.7452,0.607,0.4067,0.3832,0.3949,0.53,0.566,0.548
24.9,-0.1911,0.751,0.4594,0.4618,0.7485,0.6051,0.405,0.3811,0.393,0.5446,0.571,0.5578
25,-0.1503,0.7311,0.4526,0.4585,0.7479,0.6032,0.4016,0.3779,0.3898,0.5556,0.5749,0.5653
25.1,-0.1061,0.7092,0.4449,0.4589,0.7435,0.6012,0.3972,0.3739,0.3856,0.5633,0.5776,0.5705
25.2,-0.0597,0.6851,0.4361,0.462,0.735,0.5985,0.3926,0.369,0.3808,0.5683,0.5791,0.5737
25.3,-0.0129,0.6586,0.4265,0.4667,0.7224,0.5946,0.3881,0.3636,0.3758,0.5716,0.58,0.5758
25.4,0.0323,0.631,0.4166,0.4726,0.7062,0.5894,0.3839,0.358,0.371,0.574,0.5811,0.5776
25.5,0.0733,0.6039,0.407,0.4796,0.6878,0.5837,0.3803,0.3529,0.3666,0.5762,0.5831,0.5796
25.6,0.1085,0.5783,0.3983,0.4876,0.6682,0.5779,0.3778,0.3486,0.3632,0.5781,0.5861,0.5821
25.7,0.1375,0.5549,0.391,0.4962,0.6482,0.5722,0.3765,0.3447,0.3606,0.5799,0.5901,0.585
25.8,0.1602,0.5343,0.3858,0.5052,0.6286,0.5669,0.3764,0.3409,0.3586,0.5812,0.5946,0.5879
25.9,0.1772,0.517,0.3832,0.5148,0.6101,0.5624,0.3774,0.3367,0.3571,0.5817,0.5995,0.5906
26,0.1887,0.5038,0.3836,0.5251,0.5935,0.5593,0.3794,0.3323,0.3558,0.5812,0.6045,0.5928
26.1,0.1948,0.4952,0.3872,0.5359,0.5789,0.5574,0.3824,0.3282,0.3553,0.5795,0.6095,0.5945
26.2,0.1961,0.4909,0.3945,0.5467,0.5659,0.5563,0.3874,0.3257,0.3565,0.5769,0.6148,0.5959
26.3,0.1936,0.4907,0.4058,0.5571,0.554,0.5555,0.3951,0.3254,0.3603,0.574,0.6205,0.5973
26.4,0.1878,0.4948,0.4208,0.5676,0.5431,0.5553,0.4063,0.3284,0.3674,0.5715,0.6268,0.5991
26.5,0.1792,0.5032,0.4386,0.5784,0.5341,0.5562,0.4211,0.3354,0.3783,0.5701,0.6336,0.6018
26.6,0.1678,0.5154,0.4583,0.5884,0.5275,0.5579,0.4393,0.3466,0.3929,0.5702,0.6409,0.6056
26.7,0.1531,0.5301,0.479,0.5955,0.5229,0.5592,0.46,0.3617,0.4109,0.5714,0.6481,0.6098
26.8,0.1347,0.5455,0.5,0.5972,0.5196,0.5584,0.4826,0.3804,0.4315,0.5729,0.6539,0.6134
26.9,0.1131,0.5597,0.5208,0.5919,0.5172,0.5546,0.5057,0.4018,0.4538,0.5737,0.6571,0.6154
27,0.0905,0.5706,0.5404,0.5794,0.5154,0.5474,0.528,0.4251,0.4766,0.5738,0.6575,0.6157
27.1,0.07,0.577,0.5581,0.5605,0.5137,0.5371,0.548,0.4495,0.4988,0.5736,0.6553,0.6144
27.2,0.0543,0.5776,0.5733,0.5368,0.5117,0.5243,0.5645,0.4744,0.5195,0.5734,0.651,0.6122
27.3,0.0451,0.5722,0.5854,0.5101,0.509,0.5095,0.5763,0.4984,0.5374,0.5738,0.6448,0.6093
27.4,0.0432,0.561,0.5942,0.4822,0.505,0.4936,0.5825,0.5199,0.5512,0.5746,0.6363,0.6055
27.5,0.0483,0.5451,0.5992,0.4549,0.4993,0.4771,0.5827,0.5375,0.5601,0.5757,0.625,0.6003
27.6,0.0601,0.5252,0.6008,0.4295,0.4919,0.4607,0.5772,0.5505,0.5638,0.5766,0.6111,0.5939
27.7,0.0785,0.5022,0.5995,0.4066,0.4828,0.4447,0.5667,0.5591,0.5629,0.5773,0.5959,0.5866
27.8,0.103,0.4758,0.5962,0.3853,0.4713,0.4283,0.5522,0.5636,0.5579,0.5782,0.5806,0.5794
27.9,0.1323,0.446,0.5919,0.3652,0.4569,0.4111,0.5341,0.5643,0.5492,0.5799,0.5662,0.5731
28,0.1646,0.4137,0.587,0.3464,0.4393,0.3928,0.5129,0.561,0.5369,0.5827,0.5531,0.5679
28.1,0.1985,0.3802,0.5812,0.3295,0.4194,0.3745,0.4888,0.5535,0.5211,0.5863,0.5409,0.5636
28.2,0.233,0.3471,0.5747,0.3156,0.3992,0.3574,0.4623,0.5419,0.5021,0.5899,0.529,0.5594
28.3,0.2672,0.3156,0.5676,0.3048,0.3806,0.3427,0.4342,0.5267,0.4805,0.5929,0.5169,0.5549
28.4,0.3003,0.286,0.56,0.2967,0.3647,0.3307,0.4053,0.5091,0.4572,0.5953,0.5045,0.5499
28.5,0.3322,0.2589,0.5523,0.2909,0.3519,0.3214,0.3766,0.4897,0.4332,0.5976,0.4919,0.5448
28.6,0.3624,0.2356,0.5454,0.2875,0.3431,0.3153,0.349,0.469,0.409,0.6001,0.4796,0.5399
28.7,0.3904,0.217,0.5397,0.2867,0.3387,0.3127,0.323,0.4467,0.3848,0.6026,0.468,0.5353
28.8,0.4169,0.2039,0.5355,0.2885,0.3391,0.3138,0.2991,0.4226,0.3609,0.6042,0.4569,0.5305
28.9,0.442,0.1964,0.5326,0.2929,0.3446,0.3188,0.2779,0.3972,0.3376,0.6036,0.4455,0.5245
29,0.465,0.195,0.5311,0.3004,0.3561,0.3282,0.2608,0.3712,0.316,0.5997,0.4333,0.5165
29.1,0.4846,0.2004,0.5309,0.3114,0.3749,0.3432,0.2489,0.3457,0.2973,0.5922,0.4198,0.506
29.2,0.4998,0.213,0.5319,0.3267,0.4013,0.364,0.2436,0.3218,0.2827,0.5813,0.4052,0.4932
29.3,0.51,0.2325,0.5336,0.3458,0.4332,0.3895,0.2452,0.3002,0.2727,0.5675,0.39,0.4787
29.4,0.5151,0.2581,0.5348,0.3677,0.4677,0.4177,0.2535,0.2814,0.2674,0.5517,0.3746,0.4631
29.5,0.5152,0.2884,0.535,0.3914,0.5021,0.4468,0.268,0.2661,0.267,0.5345,0.3595,0.447
29.6,0.5113,0.3226,0.5342,0.4169,0.536,0.4764,0.2885,0.2553,0.2719,0.5169,0.3453,0.4311
29.7,0.5045,0.3602,0.533,0.4445,0.5696,0.507,0.314,0.2505,0.2823,0.5001,0.3324,0.4163
29.8,0.4953,0.3999,0.5318,0.4733,0.6029,0.5381,0.3428,0.2526,0.2977,0.4853,0.3215,0.4034
29.9,0.4846,0.4396,0.5307,0.5016,0.6343,0.5679,0.3733,0.2614,0.3173,0.4733,0.3133,0.3933
