Time,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,-0.1794,0.5809,0.7442,0.6659,0.9711,0.8185,0.9115,0.7578,0.8346,0.8082,0.8005,0.8043
4.6,-0.1872,0.5806,0.739,0.6668,0.9622,0.8145,0.9208,0.7698,0.8453,0.8072,0.8189,0.813
4.7,-0.1928,0.5793,0.7367,0.6672,0.9496,0.8084,0.9268,0.7813,0.854,0.8013,0.837,0.8192
4.8,-0.1969,0.5777,0.7369,0.6684,0.9335,0.8009,0.9291,0.792,0.8606,0.7904,0.8539,0.8222
4.9,-0.1995,0.5764,0.7388,0.671,0.9142,0.7926,0.9282,0.8016,0.8649,0.7751,0.8685,0.8218
5,-0.1998,0.5751,0.7419,0.6749,0.892,0.7835,0.9247,0.8097,0.8672,0.756,0.8805,0.8183
5.1,-0.1977,0.5732,0.7459,0.6793,0.8671,0.7732,0.9192,0.8161,0.8676,0.7339,0.8898,0.8119
5.2,-0.1938,0.5701,0.7504,0.6828,0.8398,0.7613,0.9118,0.8205,0.8662,0.7096,0.8964,0.803
5.3,-0.189,0.5659,0.755,0.6848,0.811,0.7479,0.9022,0.8234,0.8628,0.6838,0.9005,0.7922
5.4,-0.1844,0.5609,0.7594,0.685,0.7818,0.7334,0.8897,0.8253,0.8575,0.6571,0.9018,0.7794
5.5,-0.1814,0.5556,0.7635,0.6836,0.753,0.7183,0.874,0.8265,0.8503,0.6303,0.8998,0.765
5.6,-0.1805,0.5502,0.7673,0.6807,0.7258,0.7033,0.8557,0.8273,0.8415,0.6041,0.8944,0.7492
5.7,-0.1815,0.5448,0.7711,0.6766,0.7007,0.6886,0.8353,0.8277,0.8315,0.5795,0.8858,0.7327
5.8,-0.183,0.5397,0.7749,0.6717,0.6783,0.675,0.8135,0.8276,0.8206,0.5578,0.8747,0.7163
5.9,-0.183,0.5351,0.7785,0.667,0.6587,0.6628,0.791,0.8262,0.8086,0.5401,0.8616,0.7009
6,-0.1792,0.5311,0.7812,0.6635,0.6419,0.6527,0.7678,0.8225,0.7951,0.5267,0.8465,0.6866
6.1,-0.1699,0.5276,0.7827,0.6624,0.6276,0.645,0.7439,0.8163,0.7801,0.517,0.8291,0.673
6.2,-0.154,0.5248,0.7826,0.6645,0.6157,0.6401,0.7197,0.8084,0.764,0.5102,0.8086,0.6594
6.3,-0.1311,0.5237,0.7814,0.6701,0.6063,0.6382,0.6962,0.8009,0.7485,0.506,0.7851,0.6455
6.4,-0.1007,0.5251,0.7797,0.6794,0.5997,0.6395,0.6747,0.7961,0.7354,0.5044,0.7594,0.6319
6.5,-0.0625,0.5297,0.7777,0.6925,0.5956,0.6441,0.6562,0.7956,0.7259,0.5056,0.7333,0.6195
6.6,-0.017,0.5368,0.7756,0.7088,0.5937,0.6513,0.6412,0.7995,0.7203,0.5101,0.709,0.6095
6.7,0.0341,0.5452,0.7731,0.7274,0.5932,0.6603,0.6297,0.8068,0.7182,0.5179,0.6876,0.6027
6.8,0.0881,0.5534,0.7703,0.7471,0.5934,0.6702,0.6219,0.8167,0.7193,0.5288,0.6694,0.5991
6.9,0.1425,0.5607,0.7673,0.7667,0.5941,0.6804,0.6178,0.8284,0.7231,0.5421,0.6537,0.5979
7,0.1961,0.5672,0.7641,0.7858,0.5948,0.6903,0.6176,0.841,0.7293,0.5569,0.6401,0.5985
