Time,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1491,0.6384,0.6159,0.6698,0.8304,0.7501,0.5046,0.5421,0.5234,0.5566,0.5601,0.5583
0.1,0.1735,0.653,0.6132,0.6913,0.8173,0.7543,0.518,0.5538,0.5359,0.5657,0.5686,0.5671
0.2,0.1979,0.668,0.612,0.7144,0.8024,0.7584,0.5308,0.5695,0.5501,0.5757,0.5765,0.5761
0.3,0.2206,0.6838,0.6125,0.7387,0.7869,0.7628,0.5446,0.5895,0.567,0.5879,0.5843,0.5861
0.4,0.2396,0.7002,0.6143,0.7636,0.7715,0.7676,0.5605,0.6146,0.5876,0.6031,0.5925,0.5978
0.5,0.2523,0.7169,0.6173,0.7881,0.7569,0.7725,0.5787,0.6447,0.6117,0.6215,0.6012,0.6114
0.6,0.2569,0.7336,0.6208,0.8108,0.7432,0.777,0.5986,0.6789,0.6388,0.6427,0.6098,0.6263
0.7,0.2527,0.7499,0.6248,0.8306,0.7309,0.7808,0.6196,0.7158,0.6677,0.666,0.6174,0.6417
0.8,0.2408,0.7654,0.6287,0.847,0.7202,0.7836,0.6415,0.7537,0.6976,0.6907,0.6229,0.6568
0.9,0.2236,0.7799,0.6323,0.86,0.7116,0.7858,0.6635,0.7917,0.7276,0.7163,0.6261,0.6712
1,0.2038,0.7929,0.6355,0.8695,0.7048,0.7872,0.685,0.8289,0.7569,0.7423,0.6271,0.6847
1.1,0.1838,0.8034,0.6378,0.8751,0.6989,0.787,0.7049,0.8632,0.7841,0.7674,0.6264,0.6969
1.2,0.1651,0.8101,0.6391,0.8757,0.6927,0.7842,0.7223,0.8927,0.8075,0.79,0.6244,0.7072
1.3,0.1484,0.8119,0.6393,0.8707,0.6853,0.778,0.7368,0.9154,0.8261,0.8085,0.621,0.7147
1.4,0.1336,0.8085,0.6385,0.8602,0.6767,0.7685,0.7481,0.9311,0.8396,0.8218,0.6162,0.719
1.5,0.1212,0.8002,0.6365,0.8458,0.6677,0.7567,0.7561,0.9404,0.8482,0.8297,0.6103,0.72
1.6,0.1116,0.7878,0.6333,0.8289,0.6591,0.744,0.7607,0.9446,0.8526,0.8325,0.6041,0.7183
1.7,0.1047,0.772,0.6293,0.8102,0.6517,0.7309,0.762,0.9443,0.8532,0.8308,0.5983,0.7145
1.8,0.1006,0.7525,0.6251,0.7894,0.6452,0.7173,0.7605,0.9396,0.85,0.8251,0.5937,0.7094
1.9,0.0987,0.7295,0.6213,0.766,0.6396,0.7028,0.7565,0.9309,0.8437,0.8157,0.5904,0.7031
2,0.0985,0.7035,0.6181,0.7402,0.6349,0.6875,0.7504,0.9194,0.8349,0.8025,0.5885,0.6955
2.1,0.0994,0.6753,0.6163,0.7131,0.6313,0.6722,0.742,0.9068,0.8244,0.7859,0.5885,0.6872
2.2,0.1011,0.6462,0.616,0.686,0.6286,0.6573,0.7317,0.8952,0.8135,0.767,0.5913,0.6792
2.3,0.1041,0.6167,0.6171,0.6598,0.6263,0.643,0.7202,0.8856,0.8029,0.7473,0.5972,0.6723
2.4,0.1092,0.587,0.6195,0.6347,0.6237,0.6292,0.7081,0.8786,0.7933,0.7276,0.6062,0.6669
2.5,0.1169,0.558,0.623,0.6108,0.6209,0.6158,0.6958,0.8748,0.7853,0.7086,0.6176,0.6631
2.6,0.1268,0.5307,0.6278,0.5884,0.6186,0.6035,0.6834,0.8747,0.7791,0.6904,0.6307,0.6606
2.7,0.1372,0.5064,0.634,0.5676,0.6178,0.5927,0.6708,0.8789,0.7748,0.6731,0.6448,0.659
2.8,0.1465,0.4857,0.642,0.5482,0.6185,0.5833,0.6581,0.8875,0.7728,0.6564,0.6595,0.6579
2.9,0.1532,0.4683,0.6518,0.5296,0.6207,0.5751,0.6459,0.9004,0.7732,0.6402,0.6743,0.6573
3,0.1565,0.454,0.6631,0.5116,0.624,0.5678,0.6347,0.9166,0.7757,0.6247,0.6885,0.6566
3.1,0.1554,0.4426,0.675,0.4945,0.6287,0.5616,0.6248,0.9342,0.7795,0.6102,0.7016,0.6559
3.2,0.1486,0.4345,0.6867,0.4784,0.6354,0.5569,0.6171,0.951,0.784,0.5974,0.713,0.6552
3.3,0.1349,0.4302,0.6975,0.4637,0.6447,0.5542,0.6122,0.9652,0.7887,0.5871,0.7225,0.6548
3.4,0.1139,0.43,0.7067,0.4502,0.6573,0.5537,0.611,0.9755,0.7933,0.5802,0.7303,0.6552
3.5,0.086,0.4336,0.7136,0.4379,0.6728,0.5554,0.6143,0.9808,0.7975,0.5773,0.7369,0.6571
3.6,0.0516,0.4409,0.718,0.4269,0.6909,0.5589,0.622,0.9806,0.8013,0.5788,0.7428,0.6608
3.7,0.0112,0.4512,0.7197,0.4175,0.7107,0.5641,0.6336,0.9743,0.804,0.5842,0.7478,0.666
3.8,-0.0342,0.4638,0.719,0.41,0.7312,0.5706,0.6486,0.962,0.8053,0.593,0.7515,0.6722
3.9,-0.0834,0.4781,0.716,0.4048,0.7515,0.5781,0.6663,0.944,0.8051,0.6042,0.7534,0.6788
4,-0.1345,0.4936,0.7107,0.4023,0.771,0.5867,0.6863,0.9212,0.8037,0.6173,0.7531,0.6852
4.1,-0.1857,0.5102,0.7032,0.4035,0.7892,0.5963,0.7087,0.8949,0.8018,0.6321,0.7512,0.6916
4.2,-0.2351,0.5276,0.6939,0.4089,0.8055,0.6072,0.7329,0.8669,0.7999,0.6481,0.7485,0.6983
4.3,-0.2807,0.5457,0.6833,0.4187,0.8193,0.619,0.7587,0.8386,0.7987,0.6652,0.7456,0.7054
4.4,-0.3212,0.5639,0.6721,0.4324,0.8304,0.6314,0.7854,0.8114,0.7984,0.6829,0.7429,0.7129
