Time,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.8,0.2407,0.9076,0.9963,1.188,0.5846,0.8863,0.7722,0.813,0.7926,0.7817,0.8243,0.803
24.9,0.2011,0.9034,0.9676,1.1687,0.5825,0.8756,0.7589,0.7736,0.7663,0.7731,0.8121,0.7926
25,0.1542,0.9,0.9371,1.1468,0.5835,0.8651,0.7456,0.7372,0.7414,0.7665,0.8029,0.7847
25.1,0.1052,0.8969,0.9053,1.1237,0.5878,0.8558,0.7342,0.7043,0.7193,0.7613,0.7968,0.779
25.2,0.0583,0.8939,0.8728,1.1003,0.5947,0.8475,0.7252,0.6752,0.7002,0.7568,0.7935,0.7752
25.3,0.0162,0.8906,0.84,1.0771,0.6027,0.8399,0.7181,0.6496,0.6839,0.7518,0.7932,0.7725
25.4,-0.0199,0.8872,0.8073,1.0536,0.6102,0.8319,0.7127,0.6273,0.67,0.7452,0.7954,0.7703
25.5,-0.049,0.8837,0.7752,1.0297,0.6164,0.823,0.709,0.6085,0.6587,0.7362,0.8,0.7681
25.6,-0.071,0.8801,0.7439,1.0055,0.6213,0.8134,0.7075,0.5931,0.6503,0.7249,0.8062,0.7656
25.7,-0.087,0.8766,0.7133,0.9816,0.6256,0.8036,0.7082,0.581,0.6446,0.712,0.8135,0.7628
25.8,-0.098,0.8737,0.6838,0.9579,0.6296,0.7938,0.7109,0.5719,0.6414,0.6981,0.8213,0.7597
25.9,-0.1046,0.8718,0.6557,0.9349,0.6345,0.7847,0.715,0.5656,0.6403,0.6835,0.8294,0.7565
26,-0.1075,0.8716,0.6296,0.9132,0.6416,0.7774,0.7203,0.5622,0.6413,0.6682,0.8379,0.7531
26.1,-0.1083,0.8732,0.6064,0.8938,0.6525,0.7732,0.7273,0.5621,0.6447,0.6523,0.8472,0.7497
26.2,-0.1084,0.8761,0.5863,0.8773,0.6676,0.7724,0.7363,0.5655,0.6509,0.6361,0.8576,0.7469
26.3,-0.1094,0.8795,0.5692,0.8638,0.6865,0.7751,0.7472,0.5719,0.6595,0.6207,0.8685,0.7446
26.4,-0.1118,0.8828,0.5542,0.8535,0.7077,0.7806,0.7591,0.5801,0.6696,0.6068,0.8793,0.743
26.5,-0.1156,0.8853,0.5407,0.8465,0.7298,0.7882,0.771,0.589,0.68,0.595,0.8892,0.7421
26.6,-0.121,0.8865,0.5283,0.8428,0.7515,0.7972,0.7823,0.5973,0.6898,0.5861,0.8982,0.7421
26.7,-0.1289,0.8852,0.5172,0.8416,0.772,0.8068,0.793,0.6041,0.6985,0.5808,0.9066,0.7437
26.8,-0.14,0.8805,0.5084,0.842,0.7905,0.8163,0.8031,0.6087,0.7059,0.5801,0.9152,0.7477
26.9,-0.1541,0.8719,0.5024,0.843,0.8065,0.8247,0.8122,0.6105,0.7113,0.5848,0.9242,0.7545
27,-0.1705,0.8598,0.4992,0.8439,0.8201,0.832,0.8194,0.6092,0.7143,0.5952,0.9333,0.7643
27.1,-0.1883,0.846,0.4986,0.8452,0.8323,0.8387,0.8247,0.6058,0.7152,0.6113,0.9424,0.7769
27.2,-0.2072,0.8324,0.5005,0.8471,0.8438,0.8455,0.8282,0.6012,0.7147,0.633,0.9513,0.7921
27.3,-0.2264,0.8203,0.5049,0.8498,0.8553,0.8525,0.8305,0.5962,0.7133,0.66,0.9597,0.8098
27.4,-0.2441,0.8105,0.5114,0.853,0.8664,0.8597,0.8314,0.5904,0.7109,0.692,0.9673,0.8297
27.5,-0.2581,0.8031,0.5196,0.8566,0.8764,0.8665,0.8307,0.583,0.7068,0.7284,0.9738,0.8511
27.6,-0.2671,0.7976,0.5294,0.8599,0.8846,0.8723,0.8279,0.5737,0.7008,0.7675,0.9788,0.8731
27.7,-0.271,0.7934,0.5407,0.8619,0.8912,0.8766,0.823,0.5628,0.6929,0.8072,0.9824,0.8948
27.8,-0.2706,0.7901,0.553,0.8617,0.8962,0.8789,0.8159,0.5508,0.6833,0.8457,0.9849,0.9153
27.9,-0.2668,0.7877,0.5656,0.8588,0.8994,0.8791,0.8061,0.5382,0.6721,0.8809,0.986,0.9334
28,-0.2595,0.787,0.5782,0.8538,0.9006,0.8772,0.7931,0.5259,0.6595,0.9107,0.9855,0.9481
28.1,-0.2482,0.7886,0.5907,0.8478,0.9001,0.874,0.7768,0.515,0.6459,0.9342,0.9835,0.9588
28.2,-0.2323,0.7931,0.6028,0.842,0.8989,0.8705,0.7578,0.5058,0.6318,0.9518,0.9798,0.9658
28.3,-0.2105,0.8008,0.6142,0.8369,0.8978,0.8673,0.737,0.4983,0.6176,0.9642,0.9746,0.9694
28.4,-0.1815,0.8109,0.625,0.8324,0.8964,0.8644,0.7148,0.4926,0.6037,0.9715,0.9675,0.9695
28.5,-0.1444,0.8226,0.6345,0.8286,0.8929,0.8608,0.6913,0.4887,0.59,0.9729,0.9585,0.9657
28.6,-0.0993,0.835,0.6423,0.8253,0.8849,0.8551,0.6664,0.4856,0.576,0.9681,0.9475,0.9578
28.7,-0.0488,0.8471,0.648,0.8219,0.8709,0.8464,0.6406,0.4824,0.5615,0.9572,0.9347,0.946
28.8,0.0042,0.8583,0.6519,0.8185,0.851,0.8348,0.6145,0.4787,0.5466,0.9412,0.9205,0.9309
28.9,0.0572,0.8685,0.6542,0.8162,0.8272,0.8217,0.5891,0.4749,0.532,0.9217,0.9052,0.9135
29,0.108,0.8776,0.6555,0.8161,0.8014,0.8088,0.5656,0.4718,0.5187,0.9002,0.8898,0.895
29.1,0.1539,0.8852,0.6563,0.819,0.7747,0.7968,0.5451,0.47,0.5076,0.8777,0.8754,0.8765
29.2,0.1926,0.8903,0.6573,0.8243,0.7475,0.7859,0.529,0.4701,0.4996,0.8551,0.8631,0.8591
29.3,0.2214,0.892,0.6589,0.8313,0.7206,0.7759,0.5181,0.4723,0.4952,0.833,0.8536,0.8433
29.4,0.2387,0.8898,0.6616,0.839,0.6951,0.767,0.5131,0.4763,0.4947,0.8119,0.8472,0.8295
29.5,0.2444,0.8841,0.6652,0.8468,0.6715,0.7592,0.5143,0.4819,0.4981,0.7922,0.8441,0.8182
29.6,0.2412,0.8759,0.6694,0.8546,0.6499,0.7522,0.522,0.4886,0.5053,0.7747,0.8449,0.8098
29.7,0.2331,0.8666,0.6746,0.8627,0.6301,0.7464,0.536,0.4961,0.5161,0.7608,0.8501,0.8054
29.8,0.2245,0.8569,0.6815,0.8709,0.6122,0.7415,0.5561,0.5043,0.5302,0.7511,0.8607,0.8059
29.9,0.2179,0.8474,0.6917,0.8786,0.5967,0.7377,0.5814,0.5135,0.5474,0.7459,0.8775,0.8117
