Time,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
28.4,-0.1917,0.554,0.5645,0.722,0.6772,0.6996,0.3961,0.8452,0.6207,0.4012,0.5023,0.4517
28.5,-0.2059,0.5675,0.5441,0.7614,0.7051,0.7333,0.4123,0.851,0.6316,0.396,0.4889,0.4425
28.6,-0.2181,0.5835,0.5244,0.7994,0.7324,0.7659,0.4285,0.8544,0.6415,0.3842,0.4733,0.4287
28.7,-0.2266,0.603,0.5065,0.8355,0.7581,0.7968,0.4446,0.8548,0.6497,0.3669,0.4567,0.4118
28.8,-0.2305,0.6268,0.4909,0.8696,0.7816,0.8256,0.4599,0.8509,0.6554,0.3461,0.4403,0.3932
28.9,-0.2301,0.6546,0.478,0.9014,0.8027,0.852,0.4745,0.8426,0.6585,0.3238,0.4251,0.3744
29,-0.2258,0.6856,0.4681,0.9298,0.8208,0.8753,0.4889,0.8311,0.66,0.3015,0.4126,0.357
29.1,-0.2174,0.7191,0.4615,0.9539,0.8357,0.8948,0.5046,0.8182,0.6614,0.2807,0.4046,0.3426
29.2,-0.2042,0.7546,0.4584,0.9727,0.8471,0.9099,0.5223,0.8047,0.6635,0.2628,0.4025,0.3327
29.3,-0.187,0.7909,0.4591,0.9853,0.8549,0.9201,0.5415,0.7903,0.6659,0.2493,0.4069,0.3281
29.4,-0.1685,0.8258,0.464,0.991,0.8585,0.9247,0.5613,0.7745,0.6679,0.2412,0.4173,0.3292
29.5,-0.1524,0.8572,0.4733,0.9892,0.8578,0.9235,0.5817,0.7582,0.67,0.2384,0.433,0.3357
29.6,-0.1405,0.8836,0.4872,0.9796,0.8524,0.916,0.604,0.7429,0.6735,0.2404,0.4531,0.3468
29.7,-0.132,0.9043,0.505,0.9616,0.8426,0.9021,0.6295,0.7292,0.6794,0.2473,0.4774,0.3624
29.8,-0.125,0.9188,0.5252,0.935,0.829,0.882,0.6582,0.7159,0.687,0.2589,0.5054,0.3822
29.9,-0.1192,0.9269,0.5465,0.8999,0.8124,0.8561,0.6879,0.7012,0.6945,0.2747,0.5364,0.4055
