Time,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0196,0.6117,0.4333,0.7025,0.5585,0.6305,0.5691,0.4724,0.5207,0.7254,0.3901,0.5578
0.1,-0.0064,0.6078,0.4215,0.6989,0.5472,0.623,0.5842,0.4613,0.5227,0.6972,0.3831,0.5402
0.2,0.011,0.6002,0.4147,0.6921,0.5318,0.6119,0.5989,0.4506,0.5248,0.6686,0.3761,0.5224
0.3,0.0316,0.5902,0.413,0.6834,0.5142,0.5988,0.6129,0.4412,0.527,0.6405,0.3701,0.5053
0.4,0.0536,0.5788,0.4157,0.6734,0.4958,0.5846,0.6254,0.4333,0.5293,0.6141,0.3657,0.4899
0.5,0.0743,0.5671,0.4213,0.6619,0.4779,0.5699,0.6355,0.4261,0.5308,0.5898,0.3631,0.4765
0.6,0.0916,0.5556,0.4282,0.6488,0.4618,0.5553,0.6424,0.4188,0.5306,0.5674,0.3615,0.4644
0.7,0.1046,0.5452,0.4358,0.6348,0.4488,0.5418,0.6458,0.4106,0.5282,0.5461,0.3599,0.453
0.8,0.1136,0.5368,0.4439,0.6208,0.4399,0.5303,0.6458,0.4021,0.524,0.5252,0.3577,0.4414
0.9,0.1183,0.5313,0.4528,0.6082,0.4358,0.522,0.6422,0.394,0.5181,0.5046,0.3553,0.4299
1,0.118,0.5292,0.4627,0.598,0.4372,0.5176,0.6351,0.3872,0.5111,0.4846,0.3536,0.4191
1.1,0.1114,0.5312,0.4734,0.5904,0.4449,0.5177,0.6249,0.3824,0.5036,0.4658,0.353,0.4094
1.2,0.098,0.5377,0.4846,0.5853,0.4591,0.5222,0.6122,0.3802,0.4962,0.4487,0.3537,0.4012
1.3,0.0781,0.5487,0.4957,0.5822,0.4793,0.5307,0.5976,0.3809,0.4892,0.4337,0.3555,0.3946
1.4,0.0524,0.5636,0.5062,0.5804,0.504,0.5422,0.5817,0.3842,0.4829,0.4208,0.3585,0.3897
1.5,0.0217,0.5815,0.5153,0.5791,0.5315,0.5553,0.5648,0.3895,0.4771,0.4102,0.3634,0.3868
1.6,-0.0134,0.6015,0.523,0.578,0.5609,0.5695,0.547,0.3962,0.4716,0.4018,0.3706,0.3862
