Time,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.353,0.6369,0.445,0.4241,0.6324,0.5283,0.6241,0.6264,0.6253,0.7278,0.6361,0.6819
0.1,0.3733,0.6685,0.4587,0.4433,0.6652,0.5542,0.6297,0.6507,0.6402,0.7509,0.6701,0.7105
0.2,0.397,0.6996,0.4761,0.4647,0.6981,0.5814,0.6389,0.6742,0.6565,0.7731,0.7042,0.7386
0.3,0.421,0.7291,0.4971,0.4877,0.7314,0.6096,0.6511,0.696,0.6736,0.7943,0.7376,0.766
0.4,0.4418,0.7567,0.5212,0.5121,0.7653,0.6387,0.6656,0.7154,0.6905,0.8137,0.7693,0.7915
0.5,0.4572,0.7823,0.5478,0.5376,0.7996,0.6686,0.6813,0.7319,0.7066,0.8308,0.7984,0.8146
0.6,0.4664,0.8058,0.5766,0.564,0.8335,0.6988,0.6975,0.7454,0.7214,0.8448,0.8245,0.8346
0.7,0.4696,0.8266,0.607,0.5907,0.8655,0.7281,0.7132,0.7557,0.7345,0.855,0.847,0.851
0.8,0.4675,0.8441,0.6383,0.6168,0.8946,0.7557,0.728,0.7633,0.7457,0.861,0.8654,0.8632
0.9,0.4608,0.8577,0.6697,0.642,0.9204,0.7812,0.742,0.7686,0.7553,0.8629,0.8795,0.8712
1,0.45,0.8669,0.7001,0.6661,0.943,0.8046,0.7551,0.7721,0.7636,0.8612,0.8896,0.8754
1.1,0.4359,0.8715,0.7286,0.689,0.9617,0.8254,0.7669,0.7741,0.7705,0.856,0.8957,0.8759
1.2,0.4194,0.8716,0.7538,0.7102,0.9755,0.8429,0.777,0.7749,0.776,0.8473,0.8979,0.8726
1.3,0.401,0.8678,0.7744,0.7297,0.9838,0.8567,0.7848,0.7751,0.78,0.8349,0.896,0.8654
1.4,0.3806,0.8607,0.7898,0.747,0.9864,0.8667,0.7904,0.7752,0.7828,0.8193,0.8904,0.8549
1.5,0.3581,0.8506,0.8,0.761,0.9836,0.8723,0.7942,0.7755,0.7849,0.8018,0.882,0.8419
1.6,0.3325,0.8381,0.8052,0.7711,0.9759,0.8735,0.7965,0.7761,0.7863,0.7837,0.8717,0.8277
1.7,0.3029,0.8242,0.8055,0.7769,0.9637,0.8703,0.797,0.7761,0.7866,0.7663,0.8602,0.8133
1.8,0.2684,0.8099,0.8007,0.7788,0.9481,0.8634,0.795,0.7751,0.785,0.7496,0.848,0.7988
1.9,0.2292,0.7957,0.791,0.7769,0.9295,0.8532,0.7897,0.7725,0.7811,0.7337,0.835,0.7844
2,0.1869,0.7818,0.7772,0.7711,0.9081,0.8396,0.7809,0.7682,0.7746,0.7185,0.8215,0.77
2.1,0.1438,0.768,0.7601,0.7613,0.8841,0.8227,0.7688,0.7624,0.7656,0.7041,0.8078,0.7559
2.2,0.1013,0.7543,0.7404,0.7475,0.8577,0.8026,0.7538,0.7549,0.7543,0.6907,0.7938,0.7423
2.3,0.0596,0.7409,0.7185,0.7295,0.8292,0.7794,0.7363,0.7453,0.7408,0.6783,0.7797,0.729
2.4,0.0181,0.7275,0.695,0.7072,0.7987,0.7529,0.7164,0.7336,0.725,0.6666,0.7655,0.7161
2.5,-0.0239,0.7142,0.6705,0.6803,0.7669,0.7236,0.6949,0.7198,0.7073,0.6557,0.7513,0.7035
2.6,-0.066,0.7003,0.6462,0.6492,0.7346,0.6919,0.6728,0.7044,0.6886,0.6458,0.7375,0.6917
2.7,-0.1074,0.6855,0.6231,0.6146,0.703,0.6588,0.6518,0.6882,0.67,0.6371,0.7243,0.6807
2.8,-0.1466,0.6693,0.602,0.5778,0.6733,0.6255,0.6334,0.6716,0.6525,0.6297,0.7112,0.6705
2.9,-0.1826,0.6515,0.5832,0.5399,0.6466,0.5932,0.6184,0.6551,0.6367,0.6238,0.6981,0.661
3,-0.2143,0.6323,0.5668,0.5022,0.6232,0.5627,0.607,0.6387,0.6228,0.6195,0.6849,0.6522
3.1,-0.241,0.612,0.5524,0.4657,0.6035,0.5346,0.5992,0.6226,0.6109,0.6168,0.6717,0.6443
3.2,-0.2618,0.5914,0.5399,0.4312,0.5876,0.5094,0.5951,0.607,0.6011,0.6157,0.6589,0.6373
3.3,-0.2764,0.5712,0.5294,0.4,0.5764,0.4882,0.5946,0.5919,0.5933,0.616,0.6464,0.6312
3.4,-0.285,0.5523,0.5205,0.3733,0.5706,0.4719,0.5974,0.5766,0.587,0.6173,0.6338,0.6255
3.5,-0.2887,0.5354,0.5131,0.3516,0.5711,0.4614,0.6025,0.561,0.5818,0.6192,0.621,0.6201
3.6,-0.2891,0.5208,0.5066,0.3352,0.5779,0.4565,0.6093,0.5454,0.5774,0.6216,0.6081,0.6148
3.7,-0.2871,0.5087,0.5011,0.3236,0.5903,0.4569,0.6171,0.5304,0.5738,0.6245,0.5954,0.6099
3.8,-0.2833,0.4988,0.4966,0.3168,0.6074,0.4621,0.6258,0.5167,0.5712,0.628,0.583,0.6055
3.9,-0.2776,0.491,0.4933,0.3144,0.6279,0.4712,0.635,0.5046,0.5698,0.6318,0.5711,0.6015
4,-0.2694,0.485,0.4912,0.3163,0.6511,0.4837,0.6444,0.4938,0.5691,0.6357,0.5596,0.5976
4.1,-0.2587,0.4808,0.4902,0.3222,0.6766,0.4994,0.6535,0.4846,0.5691,0.6394,0.5486,0.594
4.2,-0.246,0.4779,0.4903,0.3314,0.7042,0.5178,0.6622,0.4773,0.5697,0.6429,0.5384,0.5907
4.3,-0.2325,0.4762,0.4912,0.3431,0.7333,0.5382,0.6704,0.4724,0.5714,0.6463,0.5294,0.5879
4.4,-0.2195,0.4754,0.4928,0.3563,0.7623,0.5593,0.6775,0.47,0.5737,0.6491,0.5216,0.5854
4.5,-0.2076,0.475,0.4944,0.3696,0.7884,0.579,0.6822,0.4692,0.5757,0.6506,0.5149,0.5828
4.6,-0.1974,0.4745,0.4954,0.3815,0.8092,0.5953,0.6831,0.4691,0.5761,0.65,0.509,0.5795
4.7,-0.1898,0.4728,0.4956,0.3904,0.823,0.6067,0.6795,0.4695,0.5745,0.6472,0.5038,0.5755
4.8,-0.1855,0.4693,0.4954,0.3948,0.8286,0.6117,0.6715,0.4705,0.571,0.6425,0.4994,0.5709
4.9,-0.1851,0.4637,0.4954,0.3946,0.8253,0.6099,0.6598,0.4726,0.5662,0.6362,0.496,0.5661
5,-0.1878,0.4562,0.4963,0.39,0.8129,0.6015,0.6448,0.4757,0.5603,0.6286,0.4936,0.5611
5.1,-0.1919,0.4475,0.4982,0.3825,0.7922,0.5873,0.6269,0.4796,0.5532,0.6198,0.492,0.5559
5.2,-0.195,0.4386,0.5018,0.3731,0.7651,0.5691,0.6068,0.4843,0.5456,0.6098,0.4913,0.5505
5.3,-0.1958,0.4305,0.5078,0.3626,0.7337,0.5482,0.5858,0.4908,0.5383,0.599,0.4914,0.5452
5.4,-0.1944,0.424,0.5169,0.3516,0.7003,0.5259,0.565,0.4996,0.5323,0.5879,0.4927,0.5403
5.5,-0.1922,0.4194,0.5292,0.3403,0.6665,0.5034,0.5452,0.5108,0.528,0.5769,0.495,0.536
5.6,-0.1908,0.4167,0.5439,0.329,0.6333,0.4812,0.5264,0.5237,0.5251,0.5662,0.498,0.5321
5.7,-0.1914,0.416,0.5607,0.3182,0.6022,0.4602,0.5088,0.5378,0.5233,0.5559,0.5014,0.5286
5.8,-0.1942,0.4179,0.5794,0.3087,0.575,0.4418,0.4926,0.5529,0.5228,0.5463,0.505,0.5257
5.9,-0.1989,0.4238,0.6002,0.3019,0.5539,0.4279,0.4789,0.5692,0.5241,0.538,0.509,0.5235
6,-0.2052,0.4348,0.6229,0.2992,0.5401,0.4197,0.4684,0.5867,0.5276,0.5315,0.5133,0.5224
6.1,-0.2118,0.4512,0.6464,0.3014,0.533,0.4172,0.4615,0.6046,0.533,0.5269,0.5176,0.5222
6.2,-0.2172,0.4728,0.6694,0.3086,0.5313,0.42,0.4579,0.6218,0.5398,0.5244,0.5219,0.5232
6.3,-0.2188,0.4988,0.6914,0.321,0.5335,0.4272,0.4572,0.6376,0.5474,0.5249,0.5267,0.5258
6.4,-0.2146,0.5287,0.7123,0.3383,0.5386,0.4385,0.4592,0.6524,0.5558,0.5289,0.5327,0.5308
6.5,-0.2033,0.562,0.7327,0.3607,0.5461,0.4534,0.4644,0.6668,0.5656,0.5367,0.5404,0.5385
6.6,-0.1857,0.598,0.7528,0.3878,0.556,0.4719,0.473,0.681,0.577,0.5481,0.5501,0.5491
6.7,-0.1639,0.6361,0.7725,0.4188,0.5687,0.4937,0.4845,0.6951,0.5898,0.5628,0.5614,0.5621
6.8,-0.14,0.6754,0.7914,0.4529,0.5844,0.5186,0.4984,0.7088,0.6036,0.5802,0.5741,0.5772
6.9,-0.1152,0.7146,0.8089,0.4892,0.6027,0.5459,0.5137,0.7224,0.618,0.5997,0.5878,0.5938
7,-0.0899,0.7522,0.8248,0.5269,0.6229,0.5749,0.5297,0.736,0.6329,0.6204,0.6018,0.6111
7.1,-0.064,0.7868,0.8385,0.5654,0.6441,0.6048,0.546,0.7494,0.6477,0.6413,0.6154,0.6283
7.2,-0.0379,0.8172,0.8499,0.6042,0.6661,0.6352,0.5621,0.7621,0.6621,0.6609,0.6277,0.6443
7.3,-0.012,0.8427,0.8587,0.6428,0.6891,0.6659,0.5774,0.7734,0.6754,0.678,0.6383,0.6582
7.4,0.0133,0.8633,0.8648,0.6807,0.7136,0.6971,0.5921,0.7833,0.6877,0.6919,0.6469,0.6694
7.5,0.0378,0.8791,0.8682,0.7171,0.7393,0.7282,0.6063,0.7923,0.6993,0.7022,0.6539,0.6781
7.6,0.0605,0.8901,0.8689,0.7511,0.7651,0.7581,0.62,0.8006,0.7103,0.7088,0.6596,0.6842
7.7,0.0803,0.8961,0.8663,0.7813,0.7892,0.7852,0.6327,0.8081,0.7204,0.7115,0.6637,0.6876
7.8,0.0959,0.8969,0.8603,0.8071,0.8103,0.8087,0.6436,0.8141,0.7288,0.7098,0.6658,0.6878
7.9,0.1064,0.892,0.8502,0.8277,0.8279,0.8278,0.6523,0.8181,0.7352,0.7036,0.6654,0.6845
8,0.112,0.8815,0.8359,0.8426,0.8415,0.8421,0.659,0.8199,0.7394,0.6926,0.6622,0.6774
8.1,0.1133,0.8658,0.8172,0.8516,0.8515,0.8516,0.6642,0.8193,0.7417,0.6771,0.6562,0.6667
8.2,0.1114,0.8459,0.794,0.8549,0.8585,0.8567,0.6681,0.8165,0.7423,0.6576,0.6479,0.6527
8.3,0.1066,0.8227,0.7671,0.8528,0.8634,0.8581,0.6707,0.8113,0.741,0.6348,0.6378,0.6363
8.4,0.0979,0.7973,0.7376,0.8458,0.8676,0.8567,0.6721,0.8041,0.7381,0.6097,0.6268,0.6183
8.5,0.0839,0.7707,0.7068,0.8344,0.8717,0.853,0.6729,0.7949,0.7339,0.5837,0.616,0.5999
8.6,0.0627,0.744,0.6761,0.8187,0.876,0.8473,0.6733,0.7843,0.7288,0.558,0.6063,0.5822
8.7,0.0345,0.7176,0.6462,0.799,0.8797,0.8393,0.6735,0.7721,0.7228,0.5339,0.5983,0.5661
8.8,0.0013,0.6912,0.6172,0.7754,0.8813,0.8284,0.6731,0.7579,0.7155,0.5126,0.5922,0.5524
8.9,-0.0341,0.6643,0.5895,0.7483,0.8795,0.8139,0.6723,0.7406,0.7065,0.4952,0.5877,0.5414
9,-0.0691,0.6365,0.5635,0.7184,0.8732,0.7958,0.672,0.7196,0.6958,0.4824,0.5847,0.5336
9.1,-0.1026,0.6088,0.5402,0.6869,0.8623,0.7746,0.6736,0.6947,0.6841,0.4751,0.5835,0.5293
9.2,-0.1334,0.5826,0.5203,0.6553,0.8476,0.7514,0.6777,0.6665,0.6721,0.4735,0.5842,0.5289
9.3,-0.1603,0.5593,0.5038,0.6247,0.8292,0.727,0.684,0.6357,0.6599,0.4772,0.5868,0.532
9.4,-0.1809,0.5391,0.4902,0.5957,0.807,0.7013,0.6915,0.6028,0.6471,0.4854,0.5906,0.538
9.5,-0.1925,0.5218,0.4787,0.5687,0.7809,0.6748,0.6992,0.5685,0.6338,0.4973,0.5952,0.5462
9.6,-0.1935,0.5069,0.4693,0.5445,0.7522,0.6483,0.7069,0.534,0.6204,0.5122,0.6002,0.5562
9.7,-0.1833,0.4944,0.4623,0.5239,0.7227,0.6233,0.7143,0.5008,0.6076,0.5292,0.6056,0.5674
9.8,-0.1633,0.484,0.4579,0.5072,0.694,0.6006,0.7211,0.4699,0.5955,0.5474,0.6109,0.5792
9.9,-0.1358,0.4752,0.4557,0.4938,0.6675,0.5807,0.7263,0.4416,0.584,0.5657,0.6156,0.5907
10,-0.1041,0.4677,0.4554,0.483,0.6445,0.5638,0.7294,0.4166,0.573,0.5834,0.6193,0.6014
10.1,-0.0709,0.4612,0.4569,0.4739,0.6264,0.5502,0.7301,0.3958,0.5629,0.6,0.6218,0.6109
10.2,-0.0382,0.4559,0.4607,0.4668,0.614,0.5404,0.7288,0.38,0.5544,0.6149,0.6231,0.619
10.3,-0.0067,0.4517,0.467,0.4621,0.6072,0.5347,0.7258,0.3693,0.5476,0.6278,0.6233,0.6255
10.4,0.0236,0.4484,0.4755,0.46,0.6055,0.5327,0.7212,0.3632,0.5422,0.6383,0.6221,0.6302
10.5,0.0525,0.4457,0.4856,0.4603,0.6074,0.5339,0.715,0.3609,0.538,0.6466,0.6199,0.6333
10.6,0.0795,0.4434,0.4963,0.4627,0.6119,0.5373,0.7074,0.3617,0.5346,0.6526,0.6169,0.6348
10.7,0.1036,0.4417,0.507,0.4664,0.6181,0.5422,0.6985,0.3656,0.5321,0.6566,0.6133,0.635
10.8,0.1239,0.4408,0.5168,0.4707,0.625,0.5479,0.6885,0.3723,0.5304,0.6588,0.6093,0.634
10.9,0.1399,0.4406,0.5252,0.4754,0.6318,0.5536,0.677,0.3813,0.5291,0.6594,0.6045,0.632
11,0.1512,0.4408,0.5312,0.4803,0.6379,0.5591,0.664,0.3918,0.5279,0.6586,0.5986,0.6286
11.1,0.157,0.4412,0.5343,0.4854,0.6438,0.5646,0.6493,0.4034,0.5264,0.6561,0.5913,0.6237
11.2,0.1559,0.4426,0.5341,0.4908,0.6503,0.5706,0.6333,0.4155,0.5244,0.652,0.5827,0.6173
11.3,0.1472,0.4458,0.5308,0.4969,0.6582,0.5776,0.6165,0.4274,0.5219,0.6462,0.5727,0.6094
11.4,0.131,0.4518,0.5243,0.5037,0.6677,0.5857,0.5992,0.4381,0.5186,0.6389,0.5615,0.6002
11.5,0.1085,0.4608,0.5153,0.5115,0.6784,0.595,0.5814,0.4468,0.5141,0.6307,0.5495,0.5901
11.6,0.0817,0.4728,0.5043,0.521,0.69,0.6055,0.5631,0.4533,0.5082,0.6218,0.5367,0.5793
11.7,0.0518,0.4875,0.4926,0.5329,0.7023,0.6176,0.5446,0.4583,0.5014,0.6122,0.5232,0.5677
11.8,0.0199,0.5046,0.4806,0.5478,0.7151,0.6315,0.5264,0.4622,0.4943,0.6015,0.5088,0.5552
11.9,-0.0125,0.5236,0.4685,0.5655,0.7274,0.6465,0.5088,0.4648,0.4868,0.589,0.4926,0.5408
12,-0.0432,0.5439,0.4554,0.585,0.7379,0.6614,0.4918,0.4651,0.4784,0.5737,0.4739,0.5238
12.1,-0.0701,0.5647,0.4405,0.6051,0.7457,0.6754,0.4756,0.4623,0.469,0.5554,0.4522,0.5038
12.2,-0.0926,0.5853,0.4237,0.6251,0.7506,0.6878,0.4607,0.4568,0.4587,0.5341,0.4277,0.4809
12.3,-0.1116,0.6056,0.4053,0.6443,0.7531,0.6987,0.448,0.4494,0.4487,0.5107,0.4012,0.456
12.4,-0.1288,0.6257,0.3858,0.6625,0.754,0.7082,0.4386,0.4411,0.4399,0.4861,0.3741,0.4301
12.5,-0.1454,0.6456,0.3657,0.6792,0.7536,0.7164,0.4327,0.433,0.4329,0.4615,0.3481,0.4048
12.6,-0.1603,0.6649,0.3456,0.6939,0.752,0.723,0.4304,0.4258,0.4281,0.4383,0.3248,0.3815
12.7,-0.1714,0.683,0.3259,0.7061,0.7492,0.7276,0.4309,0.4205,0.4257,0.4176,0.3051,0.3614
12.8,-0.1776,0.6998,0.307,0.7153,0.7449,0.7301,0.434,0.4177,0.4258,0.4005,0.2895,0.345
12.9,-0.1788,0.715,0.2891,0.7216,0.7388,0.7302,0.439,0.4176,0.4283,0.3872,0.2777,0.3324
13,-0.1761,0.7283,0.2723,0.7249,0.7309,0.7279,0.4449,0.4199,0.4324,0.3774,0.2693,0.3233
13.1,-0.1706,0.7394,0.2566,0.7253,0.7212,0.7232,0.4503,0.4235,0.4369,0.3704,0.2635,0.317
13.2,-0.1632,0.7479,0.2419,0.7225,0.71,0.7163,0.4541,0.4276,0.4409,0.3658,0.2601,0.313
13.3,-0.1547,0.754,0.2288,0.7167,0.6978,0.7072,0.456,0.432,0.444,0.3632,0.2591,0.3111
13.4,-0.1461,0.7582,0.218,0.7078,0.685,0.6964,0.4561,0.4366,0.4463,0.3627,0.2606,0.3117
13.5,-0.1382,0.7608,0.21,0.6966,0.6717,0.6841,0.455,0.4409,0.4479,0.3641,0.2649,0.3145
13.6,-0.1316,0.762,0.2042,0.6832,0.6578,0.6705,0.4527,0.4433,0.448,0.3667,0.2714,0.3191
13.7,-0.1261,0.7615,0.1996,0.6683,0.643,0.6557,0.4492,0.442,0.4456,0.3698,0.2796,0.3247
13.8,-0.1213,0.7587,0.1952,0.6519,0.6278,0.6399,0.4446,0.4363,0.4405,0.3729,0.2892,0.331
13.9,-0.1168,0.7534,0.1913,0.6344,0.6127,0.6235,0.4394,0.4269,0.4332,0.3758,0.3003,0.3381
14,-0.1127,0.7458,0.1888,0.6159,0.598,0.607,0.434,0.4149,0.4244,0.3788,0.3131,0.3459
14.1,-0.1089,0.736,0.1892,0.5972,0.5842,0.5907,0.4289,0.4013,0.4151,0.3819,0.3274,0.3547
14.2,-0.1047,0.7242,0.1937,0.5789,0.5716,0.5753,0.4241,0.387,0.4056,0.385,0.343,0.364
14.3,-0.0988,0.7109,0.2024,0.5617,0.5606,0.5612,0.4197,0.3724,0.396,0.3879,0.3591,0.3735
14.4,-0.0906,0.6966,0.2152,0.5459,0.5514,0.5486,0.4154,0.3583,0.3868,0.3901,0.3751,0.3826
14.5,-0.0799,0.6819,0.2312,0.5311,0.5442,0.5377,0.4113,0.345,0.3781,0.3912,0.3905,0.3908
14.6,-0.0672,0.667,0.25,0.5173,0.539,0.5281,0.4075,0.3328,0.3701,0.391,0.405,0.398
14.7,-0.0527,0.652,0.271,0.5042,0.5351,0.5197,0.4041,0.3219,0.363,0.39,0.4185,0.4042
14.8,-0.0359,0.637,0.2942,0.4923,0.532,0.5122,0.4011,0.3129,0.357,0.3887,0.4312,0.4099
14.9,-0.017,0.6219,0.3194,0.4821,0.5297,0.5059,0.3987,0.3066,0.3527,0.3876,0.4436,0.4156
