Time,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2596,0.5022,0.6019,0.6022,0.6244,0.6133,0.3658,0.558,0.4619,0.5993,0.7218,0.6606
0.1,0.2316,0.5075,0.602,0.6117,0.6559,0.6338,0.3735,0.5705,0.472,0.6154,0.7233,0.6694
0.2,0.1985,0.5124,0.6037,0.6214,0.6872,0.6543,0.3855,0.5834,0.4844,0.6334,0.7252,0.6793
0.3,0.1607,0.5175,0.6066,0.6305,0.717,0.6738,0.4012,0.5958,0.4985,0.6525,0.7275,0.69
0.4,0.1195,0.5232,0.6105,0.6387,0.7441,0.6914,0.4202,0.6075,0.5139,0.6716,0.73,0.7008
0.5,0.076,0.5299,0.6155,0.6456,0.7672,0.7064,0.4421,0.6181,0.5301,0.6892,0.7326,0.7109
0.6,0.0317,0.5376,0.621,0.6507,0.7838,0.7172,0.4661,0.6269,0.5465,0.7037,0.7353,0.7195
0.7,-0.0117,0.5459,0.626,0.653,0.7907,0.7218,0.4912,0.6329,0.5621,0.7141,0.7378,0.7259
0.8,-0.0515,0.554,0.6299,0.652,0.7855,0.7188,0.5172,0.6358,0.5765,0.7192,0.7398,0.7295
0.9,-0.084,0.5615,0.6324,0.648,0.7679,0.708,0.5432,0.6359,0.5895,0.7191,0.7406,0.7299
1,-0.1063,0.5682,0.6349,0.6412,0.7391,0.6902,0.5676,0.634,0.6008,0.7145,0.7399,0.7272
1.1,-0.1166,0.5737,0.6386,0.6323,0.7015,0.6669,0.5888,0.6307,0.6097,0.706,0.7382,0.7221
1.2,-0.1147,0.5774,0.644,0.6217,0.6569,0.6393,0.6051,0.6263,0.6157,0.6941,0.7358,0.715
1.3,-0.101,0.5786,0.6504,0.61,0.6073,0.6086,0.6157,0.6207,0.6182,0.679,0.733,0.706
1.4,-0.0763,0.5775,0.6563,0.5982,0.5543,0.5762,0.6208,0.6134,0.6171,0.6609,0.7297,0.6953
1.5,-0.0417,0.5749,0.6609,0.5873,0.5001,0.5437,0.6207,0.6044,0.6125,0.6405,0.7256,0.683
1.6,0.0013,0.5713,0.664,0.5779,0.447,0.5125,0.6157,0.5941,0.6049,0.6188,0.7204,0.6696
1.7,0.0501,0.5669,0.6658,0.57,0.3966,0.4833,0.606,0.5831,0.5946,0.5965,0.7141,0.6553
1.8,0.1016,0.5617,0.6662,0.5627,0.3498,0.4562,0.5919,0.5717,0.5818,0.574,0.7067,0.6403
1.9,0.1532,0.5555,0.6653,0.5553,0.3068,0.431,0.5741,0.56,0.5671,0.5522,0.6986,0.6254
