Time,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
25.1,-0.0502,0.6267,0.4268,0.7797,0.6038,0.6917,0.4326,0.5509,0.4918,0.4032,0.3208,0.362
25.2,-0.0624,0.6384,0.4273,0.7996,0.5977,0.6986,0.4201,0.5422,0.4811,0.3894,0.3165,0.353
25.3,-0.0776,0.6477,0.4295,0.8154,0.5925,0.7039,0.4058,0.5311,0.4684,0.376,0.3131,0.3446
25.4,-0.0967,0.6552,0.4323,0.8265,0.5889,0.7077,0.3899,0.5181,0.454,0.3628,0.3105,0.3367
25.5,-0.1207,0.6615,0.435,0.8319,0.5871,0.7095,0.373,0.5036,0.4383,0.3499,0.3088,0.3293
25.6,-0.15,0.6664,0.4374,0.8305,0.5867,0.7086,0.3557,0.4876,0.4217,0.3379,0.3081,0.323
25.7,-0.1845,0.6698,0.4395,0.8215,0.5873,0.7044,0.339,0.4711,0.405,0.328,0.3089,0.3185
25.8,-0.2233,0.6722,0.4414,0.8057,0.589,0.6974,0.3239,0.455,0.3894,0.3215,0.3118,0.3166
25.9,-0.2647,0.6745,0.4429,0.785,0.5928,0.6889,0.3114,0.4402,0.3758,0.319,0.3165,0.3178
26,-0.3067,0.6772,0.4435,0.7609,0.599,0.68,0.3022,0.427,0.3646,0.3204,0.3227,0.3215
26.1,-0.3475,0.6807,0.4434,0.7345,0.6077,0.6711,0.2962,0.4157,0.3559,0.325,0.3298,0.3274
26.2,-0.385,0.6851,0.4431,0.7074,0.6182,0.6628,0.2935,0.4064,0.35,0.3325,0.338,0.3352
26.3,-0.4176,0.6908,0.4426,0.6815,0.6299,0.6557,0.2944,0.3996,0.347,0.3426,0.3476,0.3451
26.4,-0.4446,0.6981,0.4422,0.6587,0.6425,0.6506,0.2987,0.3954,0.347,0.3545,0.3583,0.3564
26.5,-0.466,0.7067,0.4419,0.6397,0.6562,0.648,0.3064,0.3938,0.3501,0.3669,0.3698,0.3683
26.6,-0.4819,0.7161,0.4417,0.6247,0.6712,0.6479,0.3172,0.3943,0.3558,0.3782,0.3816,0.3799
26.7,-0.492,0.7258,0.4418,0.613,0.6873,0.6502,0.3309,0.3967,0.3638,0.3878,0.3935,0.3906
26.8,-0.4963,0.7354,0.4425,0.6041,0.7039,0.654,0.3473,0.4004,0.3739,0.3955,0.4055,0.4005
26.9,-0.4947,0.7449,0.4437,0.5976,0.7206,0.6591,0.3661,0.4048,0.3854,0.4014,0.4178,0.4096
27,-0.4868,0.7544,0.4449,0.5936,0.7368,0.6652,0.3866,0.4092,0.3979,0.4058,0.4301,0.418
27.1,-0.472,0.7641,0.4455,0.5926,0.7518,0.6722,0.4083,0.4131,0.4107,0.4087,0.4423,0.4255
27.2,-0.4501,0.7737,0.4451,0.5945,0.7648,0.6797,0.4306,0.4159,0.4233,0.4101,0.4543,0.4322
27.3,-0.4217,0.7826,0.4439,0.599,0.7744,0.6867,0.4529,0.4178,0.4354,0.41,0.4662,0.4381
27.4,-0.3881,0.7897,0.4419,0.6049,0.7795,0.6922,0.4744,0.4193,0.4468,0.4091,0.4782,0.4437
27.5,-0.3506,0.7942,0.4394,0.6115,0.7802,0.6958,0.495,0.4206,0.4578,0.4084,0.4905,0.4495
27.6,-0.3096,0.7962,0.437,0.6185,0.7767,0.6976,0.5149,0.4219,0.4684,0.4091,0.5026,0.4559
27.7,-0.2656,0.7959,0.4355,0.6256,0.7691,0.6974,0.5343,0.4236,0.479,0.4117,0.5143,0.463
27.8,-0.2194,0.7934,0.4353,0.6324,0.7578,0.6951,0.5531,0.4254,0.4893,0.416,0.5252,0.4706
27.9,-0.1727,0.7889,0.4364,0.6379,0.7432,0.6905,0.5706,0.4272,0.4989,0.4209,0.5348,0.4779
28,-0.1273,0.7818,0.4379,0.6409,0.726,0.6835,0.586,0.4288,0.5074,0.4258,0.5427,0.4842
28.1,-0.085,0.7714,0.4388,0.6403,0.7071,0.6737,0.5987,0.4305,0.5146,0.4299,0.5483,0.4891
28.2,-0.0465,0.7571,0.4382,0.6354,0.6869,0.6612,0.6082,0.4323,0.5202,0.4333,0.5508,0.492
28.3,-0.0128,0.7388,0.4361,0.6259,0.6663,0.6461,0.6142,0.4344,0.5243,0.4358,0.5501,0.4929
28.4,0.0154,0.7171,0.4322,0.611,0.6455,0.6283,0.6167,0.437,0.5269,0.4373,0.5464,0.4918
28.5,0.0369,0.6931,0.426,0.5904,0.625,0.6077,0.6161,0.4405,0.5283,0.4379,0.5399,0.4889
28.6,0.0516,0.6681,0.4176,0.5641,0.6053,0.5847,0.6129,0.445,0.5289,0.4379,0.5317,0.4848
28.7,0.0595,0.6436,0.4075,0.533,0.5865,0.5598,0.6079,0.4509,0.5294,0.4382,0.5226,0.4804
28.8,0.0603,0.621,0.3968,0.4984,0.5686,0.5335,0.6017,0.4583,0.53,0.4397,0.5137,0.4767
28.9,0.0541,0.6012,0.3867,0.462,0.5515,0.5067,0.5949,0.4667,0.5308,0.4434,0.5062,0.4748
29,0.0416,0.5849,0.3776,0.4258,0.5353,0.4806,0.5877,0.4753,0.5315,0.4497,0.5006,0.4752
29.1,0.0247,0.5723,0.3702,0.3918,0.5203,0.456,0.5802,0.4837,0.532,0.4588,0.4974,0.4781
29.2,0.0046,0.5634,0.3645,0.3615,0.5064,0.4339,0.5723,0.492,0.5322,0.4699,0.4965,0.4832
29.3,-0.0181,0.5574,0.3604,0.3348,0.4937,0.4143,0.5637,0.5002,0.5319,0.4822,0.4977,0.49
29.4,-0.0437,0.5528,0.358,0.311,0.4822,0.3966,0.5539,0.5081,0.531,0.4947,0.5003,0.4975
29.5,-0.0715,0.5485,0.3573,0.2891,0.4717,0.3804,0.5429,0.5155,0.5292,0.5067,0.5042,0.5054
29.6,-0.1,0.5442,0.3587,0.2691,0.4628,0.3659,0.5306,0.5222,0.5264,0.5182,0.5094,0.5138
29.7,-0.1279,0.5401,0.363,0.2514,0.4559,0.3536,0.5173,0.5286,0.5229,0.5294,0.5164,0.5229
29.8,-0.1555,0.5366,0.3708,0.2366,0.4518,0.3442,0.5033,0.5351,0.5192,0.5406,0.5254,0.533
29.9,-0.1831,0.5342,0.3826,0.2261,0.4515,0.3388,0.4894,0.542,0.5157,0.5526,0.5369,0.5448
