Time,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
19.8,-0.0312,0.6388,0.6569,0.6535,0.7696,0.7115,0.6912,0.642,0.6666,0.5607,0.5717,0.5662
19.9,-0.0701,0.6514,0.6864,0.6531,0.7947,0.7239,0.7172,0.6654,0.6913,0.5591,0.5659,0.5625
20,-0.1172,0.663,0.716,0.6525,0.8186,0.7355,0.7425,0.6884,0.7155,0.5629,0.5615,0.5622
20.1,-0.1721,0.6735,0.7452,0.6531,0.8417,0.7474,0.7662,0.711,0.7386,0.5721,0.5587,0.5654
20.2,-0.2341,0.682,0.7735,0.6556,0.8643,0.7599,0.7875,0.7332,0.7603,0.5863,0.5579,0.5721
20.3,-0.3016,0.6877,0.7998,0.66,0.8861,0.7731,0.8061,0.7547,0.7804,0.6046,0.5588,0.5817
20.4,-0.373,0.6901,0.8232,0.6658,0.9062,0.786,0.8218,0.7749,0.7984,0.6264,0.5612,0.5938
20.5,-0.4468,0.689,0.8421,0.6724,0.9232,0.7978,0.8337,0.7928,0.8133,0.6507,0.5642,0.6075
20.6,-0.5217,0.6847,0.8555,0.6798,0.9362,0.808,0.8405,0.8073,0.8239,0.6762,0.5673,0.6218
20.7,-0.5972,0.6779,0.8631,0.6879,0.9449,0.8164,0.841,0.8184,0.8297,0.7016,0.5704,0.636
20.8,-0.6734,0.669,0.8656,0.6965,0.9495,0.823,0.8353,0.8268,0.831,0.7263,0.5742,0.6502
20.9,-0.7499,0.6583,0.8642,0.7059,0.9505,0.8282,0.8249,0.833,0.8289,0.7503,0.58,0.6651
21,-0.8243,0.6464,0.8605,0.7161,0.949,0.8325,0.8122,0.8377,0.825,0.7743,0.5892,0.6817
21.1,-0.8935,0.634,0.8559,0.7259,0.9457,0.8358,0.7992,0.8413,0.8203,0.7979,0.6023,0.7001
21.2,-0.9547,0.6215,0.8515,0.7335,0.9411,0.8373,0.7859,0.8438,0.8149,0.82,0.6179,0.719
21.3,-1.0045,0.6087,0.848,0.7371,0.9359,0.8365,0.7711,0.8452,0.8081,0.8388,0.6339,0.7364
21.4,-1.0388,0.5957,0.846,0.7363,0.9303,0.8333,0.7544,0.8457,0.8001,0.8532,0.6485,0.7508
21.5,-1.0526,0.5834,0.846,0.732,0.9242,0.8281,0.7372,0.8456,0.7914,0.8634,0.6607,0.7621
21.6,-1.0416,0.5733,0.8476,0.7259,0.9172,0.8215,0.7212,0.8448,0.783,0.8702,0.6708,0.7705
21.7,-1.0057,0.5666,0.8496,0.7194,0.9097,0.8145,0.7077,0.8426,0.7751,0.8741,0.6788,0.7765
21.8,-0.9487,0.5637,0.8507,0.713,0.9024,0.8077,0.697,0.8383,0.7676,0.8753,0.6849,0.7801
21.9,-0.876,0.5649,0.8501,0.7069,0.8955,0.8012,0.6891,0.8318,0.7604,0.8735,0.689,0.7812
22,-0.7921,0.5693,0.8477,0.7014,0.8888,0.7951,0.6837,0.8236,0.7536,0.869,0.6914,0.7802
22.1,-0.7004,0.5758,0.844,0.697,0.8812,0.7891,0.6809,0.8144,0.7477,0.8624,0.6927,0.7776
22.2,-0.6052,0.583,0.8396,0.6937,0.8717,0.7827,0.6806,0.8049,0.7428,0.8548,0.6939,0.7743
22.3,-0.513,0.5897,0.8344,0.691,0.8599,0.7755,0.6824,0.7954,0.7389,0.8464,0.6952,0.7708
22.4,-0.4302,0.5947,0.827,0.6878,0.8462,0.767,0.6855,0.7856,0.7356,0.8372,0.6966,0.7669
22.5,-0.3591,0.598,0.8163,0.6837,0.8311,0.7574,0.689,0.7757,0.7324,0.8273,0.6982,0.7628
22.6,-0.2991,0.5999,0.8021,0.6802,0.815,0.7476,0.6927,0.7658,0.7292,0.8172,0.7003,0.7587
22.7,-0.2484,0.6009,0.7847,0.6789,0.7981,0.7385,0.6963,0.7562,0.7262,0.8069,0.7031,0.755
22.8,-0.2053,0.6014,0.7642,0.6811,0.7803,0.7307,0.6992,0.7466,0.7229,0.7955,0.7061,0.7508
22.9,-0.1692,0.6014,0.7409,0.6861,0.7612,0.7236,0.7,0.7363,0.7181,0.7818,0.708,0.7449
23,-0.1404,0.601,0.715,0.692,0.7402,0.7161,0.6975,0.7245,0.711,0.7658,0.7083,0.7371
23.1,-0.1198,0.6001,0.6869,0.6978,0.7171,0.7075,0.6914,0.7105,0.701,0.7485,0.7074,0.728
23.2,-0.1078,0.5989,0.6571,0.7031,0.6919,0.6975,0.6818,0.6939,0.6878,0.7308,0.7062,0.7185
23.3,-0.104,0.5972,0.6261,0.7085,0.6646,0.6866,0.6689,0.6747,0.6718,0.7135,0.7049,0.7092
23.4,-0.1078,0.5953,0.5943,0.7136,0.635,0.6743,0.6533,0.6528,0.6531,0.6965,0.7029,0.6997
23.5,-0.1187,0.5934,0.5624,0.7168,0.6032,0.66,0.6351,0.6285,0.6318,0.68,0.699,0.6895
23.6,-0.1365,0.593,0.5313,0.7164,0.5702,0.6433,0.6147,0.6024,0.6086,0.6646,0.6927,0.6786
23.7,-0.1606,0.5959,0.5023,0.7114,0.5379,0.6247,0.593,0.5757,0.5844,0.6513,0.6846,0.6679
23.8,-0.1893,0.6034,0.4766,0.7023,0.5079,0.6051,0.5711,0.5497,0.5604,0.6407,0.6756,0.6581
23.9,-0.2196,0.6159,0.4544,0.6899,0.481,0.5855,0.5492,0.5253,0.5373,0.6324,0.6661,0.6492
24,-0.2484,0.6325,0.4361,0.6738,0.4575,0.5657,0.5274,0.5031,0.5153,0.6258,0.6559,0.6408
24.1,-0.2735,0.652,0.4215,0.6532,0.4373,0.5453,0.5065,0.4836,0.4951,0.6206,0.6449,0.6327
24.2,-0.2942,0.6733,0.4111,0.6276,0.4211,0.5244,0.4879,0.4674,0.4776,0.6166,0.6329,0.6248
24.3,-0.3111,0.6951,0.4049,0.598,0.4101,0.504,0.4725,0.4548,0.4637,0.6135,0.6201,0.6168
24.4,-0.3252,0.7165,0.4029,0.5659,0.4046,0.4852,0.4602,0.4459,0.453,0.6109,0.606,0.6084
24.5,-0.337,0.7357,0.4043,0.5327,0.4041,0.4684,0.45,0.4399,0.445,0.6078,0.5904,0.5991
24.6,-0.3474,0.7505,0.4081,0.5006,0.4077,0.4542,0.4409,0.4365,0.4387,0.6038,0.5735,0.5886
24.7,-0.3571,0.7598,0.4135,0.4724,0.4146,0.4435,0.4326,0.4349,0.4337,0.5985,0.5555,0.577
24.8,-0.3659,0.7637,0.4197,0.4503,0.4244,0.4373,0.426,0.4348,0.4304,0.5925,0.5373,0.5649
24.9,-0.3737,0.7633,0.4268,0.4354,0.4365,0.436,0.4224,0.436,0.4292,0.5863,0.5199,0.5531
25,-0.3806,0.7593,0.4349,0.4271,0.4503,0.4387,0.4226,0.4386,0.4306,0.5802,0.5045,0.5424
25.1,-0.3871,0.752,0.4443,0.4229,0.4648,0.4439,0.4265,0.4427,0.4346,0.5744,0.4917,0.5331
25.2,-0.394,0.7414,0.4551,0.4203,0.4794,0.4498,0.4338,0.4485,0.4411,0.5692,0.482,0.5256
25.3,-0.4014,0.7274,0.4674,0.4177,0.4938,0.4558,0.4439,0.4558,0.4499,0.5646,0.4751,0.5198
25.4,-0.4092,0.7104,0.4807,0.4152,0.5078,0.4615,0.4565,0.4645,0.4605,0.5609,0.4711,0.516
25.5,-0.4172,0.6907,0.4943,0.4127,0.5217,0.4672,0.4712,0.4738,0.4725,0.5582,0.47,0.5141
25.6,-0.4255,0.6686,0.5069,0.4102,0.5353,0.4727,0.4876,0.4828,0.4852,0.5565,0.4725,0.5145
25.7,-0.4338,0.6448,0.5174,0.4074,0.5483,0.4778,0.5051,0.4908,0.498,0.5558,0.4791,0.5174
25.8,-0.441,0.6206,0.5249,0.4042,0.5605,0.4824,0.523,0.4976,0.5103,0.5563,0.4898,0.5231
25.9,-0.4453,0.5972,0.5295,0.401,0.5719,0.4864,0.5405,0.5033,0.5219,0.558,0.5046,0.5313
26,-0.4451,0.5754,0.5312,0.3977,0.5818,0.4897,0.5568,0.5081,0.5325,0.5608,0.5226,0.5417
26.1,-0.4404,0.5549,0.53,0.3936,0.5895,0.4916,0.571,0.5114,0.5412,0.5639,0.5429,0.5534
26.2,-0.4314,0.5351,0.5259,0.3878,0.5946,0.4912,0.5822,0.5127,0.5474,0.5671,0.5644,0.5657
26.3,-0.4187,0.5161,0.5192,0.3795,0.597,0.4883,0.5906,0.5123,0.5514,0.571,0.5861,0.5785
26.4,-0.4035,0.4986,0.5104,0.3691,0.5977,0.4834,0.5965,0.5109,0.5537,0.5764,0.6078,0.5921
26.5,-0.387,0.483,0.5003,0.3575,0.598,0.4778,0.5999,0.5094,0.5546,0.5835,0.629,0.6063
26.6,-0.3704,0.4694,0.4892,0.3454,0.5987,0.472,0.6004,0.508,0.5542,0.5918,0.6493,0.6205
26.7,-0.3537,0.4574,0.4777,0.3328,0.5994,0.4661,0.598,0.5066,0.5523,0.6005,0.6677,0.6341
26.8,-0.3368,0.4466,0.466,0.3197,0.5992,0.4595,0.5928,0.5048,0.5488,0.6092,0.6833,0.6462
26.9,-0.3199,0.4368,0.4543,0.3063,0.5978,0.4521,0.585,0.5028,0.5439,0.6175,0.6957,0.6566
27,-0.3037,0.4276,0.443,0.2936,0.5957,0.4447,0.5753,0.5011,0.5382,0.6254,0.7049,0.6652
27.1,-0.2886,0.4186,0.4323,0.2831,0.5935,0.4383,0.5642,0.5001,0.5321,0.6326,0.7111,0.6718
27.2,-0.2746,0.4088,0.4222,0.276,0.5917,0.4338,0.5521,0.4996,0.5259,0.6388,0.7143,0.6766
27.3,-0.262,0.398,0.4131,0.2729,0.5904,0.4317,0.5396,0.4998,0.5197,0.6439,0.7146,0.6792
27.4,-0.2523,0.386,0.4055,0.2733,0.5895,0.4314,0.5271,0.5006,0.5138,0.648,0.7123,0.6802
27.5,-0.2484,0.3736,0.3996,0.2767,0.589,0.4329,0.5149,0.5022,0.5086,0.6517,0.7082,0.6799
27.6,-0.2527,0.3616,0.3957,0.2836,0.5895,0.4365,0.5037,0.5049,0.5043,0.6553,0.7036,0.6795
27.7,-0.2659,0.3503,0.3935,0.295,0.5916,0.4433,0.4933,0.5088,0.501,0.6592,0.6996,0.6794
27.8,-0.2874,0.3401,0.3928,0.3111,0.5957,0.4534,0.4834,0.5133,0.4984,0.6635,0.6964,0.68
27.9,-0.3152,0.3317,0.3933,0.3318,0.6012,0.4665,0.4741,0.518,0.4961,0.6682,0.6942,0.6812
28,-0.348,0.3259,0.3947,0.3563,0.6072,0.4818,0.4656,0.5228,0.4942,0.6736,0.6932,0.6834
28.1,-0.3847,0.3237,0.3974,0.384,0.6125,0.4982,0.4585,0.5276,0.493,0.6804,0.6939,0.6872
28.2,-0.4232,0.3256,0.4016,0.4136,0.6155,0.5145,0.454,0.5325,0.4933,0.6891,0.6975,0.6933
28.3,-0.4621,0.3317,0.4079,0.4442,0.6157,0.5299,0.4535,0.5377,0.4956,0.6998,0.7046,0.7022
28.4,-0.499,0.3414,0.4162,0.475,0.6136,0.5443,0.4575,0.5432,0.5004,0.7123,0.7156,0.7139
28.5,-0.5296,0.3539,0.4261,0.5056,0.609,0.5573,0.4658,0.5486,0.5072,0.7263,0.7299,0.7281
28.6,-0.5478,0.368,0.4366,0.5353,0.6017,0.5685,0.477,0.553,0.515,0.7414,0.7463,0.7438
28.7,-0.5485,0.3827,0.4464,0.564,0.591,0.5775,0.4898,0.5551,0.5224,0.7564,0.7635,0.76
28.8,-0.5304,0.3978,0.4545,0.5911,0.5771,0.5841,0.5034,0.5544,0.5289,0.7705,0.78,0.7753
28.9,-0.4957,0.4126,0.4606,0.6146,0.5606,0.5876,0.517,0.5505,0.5337,0.7824,0.7946,0.7885
29,-0.449,0.4263,0.4647,0.6324,0.5428,0.5876,0.5297,0.5434,0.5365,0.7908,0.806,0.7984
29.1,-0.3957,0.4381,0.4673,0.6424,0.5241,0.5833,0.5408,0.5338,0.5373,0.7956,0.8134,0.8045
29.2,-0.3396,0.4476,0.4692,0.6444,0.5046,0.5745,0.5504,0.5227,0.5366,0.797,0.8172,0.8071
29.3,-0.2828,0.4541,0.4708,0.6395,0.4848,0.5621,0.5595,0.5111,0.5353,0.7956,0.8177,0.8067
29.4,-0.227,0.4571,0.4715,0.6293,0.4651,0.5472,0.5685,0.4993,0.5339,0.7917,0.8152,0.8035
29.5,-0.1739,0.4565,0.4703,0.6157,0.4469,0.5313,0.5781,0.4876,0.5328,0.7852,0.8098,0.7975
29.6,-0.1255,0.4532,0.4667,0.5999,0.4319,0.5159,0.5878,0.4763,0.5321,0.7763,0.8016,0.7889
29.7,-0.0823,0.4485,0.4609,0.5835,0.4218,0.5027,0.5975,0.4664,0.5319,0.7656,0.7913,0.7784
29.8,-0.0442,0.4437,0.4543,0.568,0.4177,0.4929,0.6072,0.459,0.5331,0.7542,0.7799,0.767
29.9,-0.0112,0.4396,0.4475,0.5541,0.4195,0.4868,0.6176,0.4548,0.5362,0.743,0.7681,0.7555
